place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJEZTXe5-iqhMRk1kPmJ03XUE,Hotel Dar El Bhar,"Hotel de style decontracte en bord de plage comprenant piscine exterieure, spa et restaurant avec terrasse",False,212,,Hotel Dar El Bhar (proprietaire),https://www.google.com/maps/contrib/105665894874639669818,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFEGHmmRFWzrN7vwuwzq6paVohiXv92ghzP589QvlqV4IAkA5NPxcLrh9ASujmVB732FF7nS9MgZi1Quy4yVU7f4mlrD1yyGN0VtAV4XjeDIgLCQzaLH09Vu5o4e2spSSoQ6-elvfFS65OAKB_Lm701qjNDZuSZNs1LXqm3-0274W6T2hTAJ4c=w408-h274-k-no,Hotel,"Hotel, Maison d'hotes, Aire de repos",4,,,75 757 350,"Hotel Dar El Bhar, route, Mezraya","prix, piscine, la musique, service, massage, pieds, soir, hammam, clients, cuisine",https://www.google.com/maps/place/Hotel+Dar+El+Bhar/data=!4m10!3m9!1s0x13aaa29f7bd79411:0x415d379d980f5993!5m2!4m1!1i2!8m2!3d33.8624158!4d10.9774328!16s%2Fg%2F1w42hltl!19sChIJEZTXe5-iqhMRk1kPmJ03XUE?authuser=0&hl=fr&rclk=1
ChIJmyzuTe-kqhMRpJqfV-OBA2Q,Hotel Arischa,,False,83,,Hotel Arischa (proprietaire),https://www.google.com/maps/contrib/103897155038996094043,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGeCY0FzjB3KCbqOKDb_Twq1xxYK7H3F2TRFp2cF8iyWOGcYp6RHoXHGkAn0jW3KXPnY_IJ4Y6ihdgU4QnhIWYTYslv9uU9J9k7Ue4VqdSzD3wZ53pQQKYa_moTPItyx1Yg4TBLzueBhYoikRRmqVdujdJpma-4emIY9TMe1Ft2x5fKGdBMyV9N=w408-h265-k-no,Hotel,"Hotel, Voyages",4,,,75 650 384,"Hotel Arischa, 36 rue Mustapha ghazi 4180 Djerba Houmet Souk - Djerba, 4180","bar, bieres, service, chef, clients, chambres",https://www.google.com/maps/place/Hotel+Arischa/data=!4m10!3m9!1s0x13aaa4ef4dee2c9b:0x640381e3579f9aa4!5m2!4m1!1i2!8m2!3d33.8777739!4d10.8578892!16s%2Fg%2F1thzy53x!19sChIJmyzuTe-kqhMRpJqfV-OBA2Q?authuser=0&hl=fr&rclk=1
ChIJl28qW2GjqhMRFxKcAkLEHHw,Hotel El Baraka,"Chambres claires, certaines avec vue sur mer, dans hotel fonctionnel proposant Wi-Fi et parking gratuits.",False,82,http://www.hotelalbarakadjerba.com/,Hotel El Baraka (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGMbE8TLohwqGGy7K3x0Fb-Eoi38HMewASJqD9Ho5pBdRqFBCiq-QisH2RnQyozoTajms8BT2YcBKN3XcGFB77gyWdLrpx1Ty3ttw6ca4MkDwBtdcJr2zV9r0vc5p8Pd8e-B5Z4XFXVrY5dwEwwc45Zjo4Zl-4Xvm9w8-qCyGC0WGgBFuzkcW9n=w408-h544-k-no,Hotel,Hotel,4,,,75 627 313,"VVFX+F38 Hotel El Baraka, Unnamed Road, Fatou, Fatou","prix, hygiene, espace, dinar",https://www.google.com/maps/place/H%C3%B4tel+El+Baraka/data=!4m10!3m9!1s0x13aaa3615b2a6f97:0x7c1cc442029c1217!5m2!4m1!1i2!8m2!3d33.8736746!4d10.8976877!16s%2Fg%2F11g6njf9g6!19sChIJl28qW2GjqhMRFxKcAkLEHHw?authuser=0&hl=fr&rclk=1
ChIJrWZSKOmkqhMR8VvMmoFQ10s,Hotel Marhala Touring Club de Tunisie,,False,78,,Hotel Marhala Touring Club de Tunisie (proprietaire),https://www.google.com/maps/contrib/102351169620765817964,https://lh5.googleusercontent.com/p/AF1QipOm-4LFGLqi9HZng11n3NT7JE5wqyRCkGStg7uq=w408-h544-k-no,Hotel,Hotel,4.3,,,75 650 146,"Hotel Marhala Touring Club de Tunisie, 32 Rue 2 Mars 1934, Houmt Souk","prix, chambre, coeur",https://www.google.com/maps/place/H%C3%B4tel+Marhala+Touring+Club+de+Tunisie/data=!4m10!3m9!1s0x13aaa4e9285266ad:0x4bd750819acc5bf1!5m2!4m1!1i2!8m2!3d33.8774407!4d10.8593483!16s%2Fg%2F1w3sw_0h!19sChIJrWZSKOmkqhMR8VvMmoFQ10s?authuser=0&hl=fr&rclk=1
ChIJYyRdkpKlqhMRQnnwyobNtGY,Dar Lola,,False,53,http://www.darlola.tn/,Dar Lola (proprietaire),https://www.google.com/maps/contrib/115932660742046747208,https://lh5.googleusercontent.com/p/AF1QipMe3k_nZnuq75nNbPeaT68kPA1cNqpmcpyFdc0=w408-h544-k-no,Maison d'hotes,"Maison d'hotes, Gite, Hotel",4.9,,,24 915 814,"Dar Lola, 14 rue Mohamed Ferjani, Houmt Souk 4180","coeur, chambre, terrasse, wifi, service, dames, souk, espace, proprete, experience",https://www.google.com/maps/place/Dar+Lola/data=!4m10!3m9!1s0x13aaa592925d2463:0x66b4cd86caf07942!5m2!4m1!1i2!8m2!3d33.8769271!4d10.8588819!16s%2Fg%2F11h3c9tjt7!19sChIJYyRdkpKlqhMRQnnwyobNtGY?authuser=0&hl=fr&rclk=1
ChIJ-bZ7uu6kqhMRzqixLCUYx0c,Hotel Les Palmes D'or,Chambres lumineuses au mobilier simple dans hotel de style decontracte avec petit-dejeuner et Wi-Fi gratuits.,False,50,https://hotelpalmesdor.com/,Hotel Les Palmes D'or (proprietaire),https://www.google.com/maps/contrib/108060207274889654287,https://lh5.googleusercontent.com/p/AF1QipMzXMUGetyfEhH-q3QsqU3rxPqR8B8M5StTIkaP=w408-h271-k-no,Hotel,Hotel,4.1,,,75 653 369,"Hotel Les Palmes D'or, Avenue Abdelhamidel Cadhi, Houmt Souk 4180","chambre, prix",https://www.google.com/maps/place/H%C3%B4tel+Les+Palmes+D%27or/data=!4m10!3m9!1s0x13aaa4eeba7bb6f9:0x47c718252cb1a8ce!5m2!4m1!1i2!8m2!3d33.8785268!4d10.8613559!16s%2Fg%2F11c0vt8srv!19sChIJ-bZ7uu6kqhMRzqixLCUYx0c?authuser=0&hl=fr&rclk=1
ChIJu9UT9VGlqhMRyO94A1PIEN4,Dar Michele,,False,43,,Dar Michele (proprietaire),https://www.google.com/maps/contrib/108962986795968144316,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFokz2NTjaIfMUZo2Jgqi8VArYETs1BVkU6h8Fvq5ASgouPuw9mBzfotzN9cQ-NSw_fZ9AESe3_aaDiHJt_vWenpq-Mq6CJ0mSlTSMvYQX5BuZoo3ji_rW-BQR7ffGYNKNQvxMEr2sdaoy1FGmPoWcJhZQWPfqlA8zCNJ1YafrKTHfP_pOVZni9iw=w408-h544-k-no,Maison d'hotes,Maison d'hotes,4.6,,,51 919 775,"Dar Michele, Djerba next to Mosquee Sidi Ibrahim El-Charef, Taourit, Houmt Souk 4180","chambre, piscine",https://www.google.com/maps/place/Dar+Mich%C3%A8le/data=!4m10!3m9!1s0x13aaa551f513d5bb:0xde10c8530378efc8!5m2!4m1!1i2!8m2!3d33.8726157!4d10.8631294!16s%2Fg%2F11j_xz5_21!19sChIJu9UT9VGlqhMRyO94A1PIEN4?authuser=0&hl=fr&rclk=1
ChIJX-_Ae4-lqhMRABbx1FBKH0Y,Hotel Mizwar Djerba,,False,31,http://www.hotel-mizwar-djerba.com/,Hotel Mizwar Djerba (proprietaire),https://www.google.com/maps/contrib/103469166911932069972,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFH17EQzjUC7XV9mO88wC8nhJKwqMSABBGdXlwfXV3-K6IPPsmuTVHiKStDwzqdr2BpU90K5cUYToGBxsVlmTkbsCb9sksP_y3ul3Jv1aeoizUGoWR5NkiiHsan_iSKU2Le-UNZaWBdpRfI4PaWpktuOjdxkquJgBa9_SEj2uK0k4HGNqWmFFXL=w408-h271-k-no,Hotel de ville,"Hotel de ville, Service de navette aeroport, Hotel, Salle de reunion de scouts",4.4,,,70 028 680,"Hotel Mizwar Djerba, Av. Salah Ben youssef, Djerba 4180","petit dejeuner, prix, chambre",https://www.google.com/maps/place/Hotel+Mizwar+Djerba/data=!4m10!3m9!1s0x13aaa58f7bc0ef5f:0x461f4a50d4f11600!5m2!4m1!1i2!8m2!3d33.8674779!4d10.854677!16s%2Fg%2F11kn33lxmm!19sChIJX-_Ae4-lqhMRABbx1FBKH0Y?authuser=0&hl=fr&rclk=1
ChIJAQDhvMakqhMR8IIdUbn904s,Hotel du Lotosnzl llwTws,,False,13,https://www.lotoshotel.tn/,Hotel du Lotosnzl llwTws (proprietaire),https://www.google.com/maps/contrib/101903633789236742885,https://lh5.googleusercontent.com/p/AF1QipPQ4RykRmPRNLVK_pQXAfA7nEZlbS6iPkaqzzGe=w408-h272-k-no,Hotel,"Hotel, Lieu historique",4.3,,,75 650 026,"Hotel du Lotosnzl llwTws, Rue de la Republique Le Port, Houmt Souk",,https://www.google.com/maps/place/Hotel+du+Lotos%D9%86%D8%B2%D9%84+%D8%A7%D9%84%D9%84%D9%88%D8%B7%D9%88%D8%B3%E2%80%AD/data=!4m10!3m9!1s0x13aaa4c6bce10001:0x8bd3fdb9511d82f0!5m2!4m1!1i2!8m2!3d33.88443!4d10.8566423!16s%2Fg%2F11clwlnc_p!19sChIJAQDhvMakqhMR8IIdUbn904s?authuser=0&hl=fr&rclk=1
ChIJf220wgylqhMRAjgeCjfQ9vI,Bella Djerba,,False,11,,Bella Djerba (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHe7JLTCbaVPKfqCOP1lVDbR7JJEg1YQHzQ_Sa5_COTrgV23500_01yqiO7nfDOIT4LG4x0vKx3ZqtyoKRKjlzFTr381jIYVfv-ESQTaMCf84fcGf_hKM2zHkWhexKPpnJRXu809fmjBiY4mmC_smnDHVT06dsGOOo8TEr64Defsido979FLB7HGg=w408-h544-k-no,Hebergement,Hebergement,4.3,,,25 200 570,"Bella Djerba, 3.5 km, Sidi Salam Houmt Souk, Djerba 4180",,https://www.google.com/maps/place/Bella+Djerba/data=!4m10!3m9!1s0x13aaa50cc2b46d7f:0xf2f6d0370a1e3802!5m2!4m1!1i2!8m2!3d33.8959873!4d10.8146644!16s%2Fg%2F12vr_vg4x!19sChIJf220wgylqhMRAjgeCjfQ9vI?authuser=0&hl=fr&rclk=1
