place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJxz4swkbF_RIRe6JGpA06RiI,La Kasba,"Hotel de style decontracte, petit-dej. gratuit, restaurant, cafe, piscine exterieure et espace de reception.",False,509,https://www.goldenyasmin.com/,La Kasba (proprietaire),https://www.google.com/maps/contrib/101706252292300859830,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFrYTkJQFg26vsft0VskF9kLAngmAPMivN0UFelOM2yyA5rxI3EM1ggdHAH6_2EQgCqIe_wrNB4IgyxUhuLuEWPRBVB_tiQUBTwb3xYoyEfVeQisOTGhgaRdPmvehOUhc4UkSYRTTNqAUOLBz7eKhlGdX8hPrIkmP5PkJdI6JPndakQWfNcXOKPcQ=w408-h291-k-no,Hotel,"Hotel, Lieu historique",4.3,,,77 237 301,"La Kasba, 3140 Rue de La Kasbah, Kairouan","service, piscine, buffet, chambres, etoiles, architecture, mosquee, dejeuner, souper, cuisine",https://www.google.com/maps/place/La+Kasba/data=!4m10!3m9!1s0x12fdc546c22c3ec7:0x22463a0da446a27b!5m2!4m1!1i2!8m2!3d35.6799151!4d10.0992983!16s%2Fg%2F1tpmd7nl!19sChIJxz4swkbF_RIRe6JGpA06RiI?authuser=0&hl=fr&rclk=1
ChIJX4Fk4fa9VBIRtQAx1QVTp7U,Kenza,,False,142,http://www.kenza-chenini.com/,Kenza (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHF8xmvl0R0FRBjwHCXZ-bGuH9wX59H_vaBmfCdTs3ntjvSBOUwOuw605SjQ7SWZu2X2Qr9byO5CRztOcxuLSo4mGwTQbCBkwmxtOg69i-GKDjML9ceo8UvD3dpbJIR7AZ89qHXBGAEE8Hsyw3BlAX33AG4mLKYDYWXYJVdI8r6z6jw_UnJHg=w408-h306-k-no,Hebergement d'interieur,Hebergement d'interieur,4.3,,,97 284 086,"Kenza, Chenini Troglodytique 3222 Shanini Shanini, 3222","experience, chambres, troglodytes, grottes, village, diner, prix, coeur, magique, region",https://www.google.com/maps/place/Kenza/data=!4m10!3m9!1s0x1254bdf6e164815f:0xb5a75305d53100b5!5m2!4m1!1i2!8m2!3d32.9113253!4d10.2639852!16s%2Fg%2F1tn8npfc!19sChIJX4Fk4fa9VBIRtQAx1QVTp7U?authuser=0&hl=fr&rclk=1
ChIJD1Y37Vy3VBIRcBBOq4Q3TLA,Auberge Alferdaous,,False,49,https://www.hotelstunisian.com/auberge-alferdaous/,Auberge Alferdaous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPWIinOxmCbpNcXYKpq8fMcPSDYhRcaW3SloCoD=w408-h306-k-no,Hostel,Hostel,4.3,,,90 031 690,"Auberge Alferdaous, 44 Av. habib bourguiba, Tataouine 3200","prix, cuisine, centre ville, droit de propriete, payer, dinar, wifi, douche, pain, climatisation",https://www.google.com/maps/place/Auberge+Alferdaous/data=!4m10!3m9!1s0x1254b75ced37560f:0xb04c3784ab4e1070!5m2!4m1!1i2!8m2!3d32.9282678!4d10.4488963!16s%2Fg%2F11h11kzbv6!19sChIJD1Y37Vy3VBIRcBBOq4Q3TLA?authuser=0&hl=fr&rclk=1
ChIJLy2KZlnJVBIR2oI0DaBcB_o,Hotel AL RAYAN Tataouine Nouvelle,,False,35,http://hotelalrayan.tn/,Hotel AL RAYAN Tataouine Nouvelle (proprietaire),https://www.google.com/maps/contrib/113401738791775686164,https://lh5.googleusercontent.com/p/AF1QipPpDySMDdkyShxkIhehMf4iQOqDtDvAodft1RCj=w408-h272-k-no,Hotel,Hotel,4.2,,,75 870 097,"Hotel AL RAYAN Tataouine Nouvelle, Tataouine 3262",piscine,https://www.google.com/maps/place/Hotel+AL+RAYAN+Tataouine+Nouvelle/data=!4m10!3m9!1s0x1254c959668a2d2f:0xfa075ca00d3482da!5m2!4m1!1i2!8m2!3d32.99158!4d10.4624472!16s%2Fg%2F11rg4gbdzb!19sChIJLy2KZlnJVBIR2oI0DaBcB_o?authuser=0&hl=fr&rclk=1
ChIJo2qAVkfF_RIR3EESL8PrE_0,Dar Hassine Allani,,False,33,https://www.facebook.com/darhassineallani/,Dar Hassine Allani (proprietaire),https://www.google.com/maps/contrib/117309442297508198446,https://lh5.googleusercontent.com/p/AF1QipOfvIoI4w1S0-iRZs_R61XevhAnJxy_kn_5yMIj=w408-h273-k-no,Maison d'hotes,Maison d'hotes,4,,,25 258 684,"Dar Hassine Allani, 37 Rue El Kadraoui, Kairouan","terrasse, chambre, prix",https://www.google.com/maps/place/Dar+Hassine+Allani/data=!4m10!3m9!1s0x12fdc54756806aa3:0xfd13ebc32f1241dc!5m2!4m1!1i2!8m2!3d35.679492!4d10.1023196!16s%2Fg%2F1hf1jq04y!19sChIJo2qAVkfF_RIR3EESL8PrE_0?authuser=0&hl=fr&rclk=1
ChIJp1WGmtQ-_BIRbCfqXqhZITE,Dar El Henchir,"Hotel sobre avec chambres traditionnelles au mobilier ancien, restaurant et terrasse.",False,33,https://www.facebook.com/profile.php/%3Fid%3D100063673205877,Dar El Henchir (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF6iBi034CnQXPHOcNkUsiWxaWwkCi-U3H3sGpiiKDAnduzPhvmVd59Q2uzMOM4b2RDH4Bc8LaSYVHUZRFNYliO-fGo5QvFP9J5HCaxQp6FyyZ7eT6m9z5TAjD2jlx6NL4uUho_SaZP9vBk72nBJXkMFmunHRQPWwtgxyoMdMLxYUe9RE_nM5M=w408-h306-k-no,Maison d'hotes,"Maison d'hotes, Lodge",4.6,,,23 302 239,"Dar El Henchir, Al-Waslatiyah , km 55 Route De Kairouan Oueslatia , On Main Road To Alwaslatiyah, Ousseltia 3120",,https://www.google.com/maps/place/Dar+El+Henchir/data=!4m10!3m9!1s0x12fc3ed49a8655a7:0x312159a85eea276c!5m2!4m1!1i2!8m2!3d35.8279739!4d9.6322095!16s%2Fg%2F11c1xsjfrm!19sChIJp1WGmtQ-_BIRbCfqXqhZITE?authuser=0&hl=fr&rclk=1
ChIJHWWT4x7F_RIR1JC3Jy6VEg8,Dar Alouini,,False,28,http://dar-alouini.com/,Dar Alouini (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOD2WGPZ8l_VPjfxBkTO355IG3nTzW-DbvcmgqF=w408-h306-k-no,Maison d'hotes,Maison d'hotes,4.4,,,77 231 321,"Dar Alouini, 34 Rue Oum, Iyadh, 3100, Kairouan","hotel de charme, mosquee",https://www.google.com/maps/place/Dar+Alouini/data=!4m10!3m9!1s0x12fdc51ee393651d:0xf12952e27b790d4!5m2!4m1!1i2!8m2!3d35.681692!4d10.1050989!16s%2Fg%2F11gnn0x610!19sChIJHWWT4x7F_RIR1JC3Jy6VEg8?authuser=0&hl=fr&rclk=1
ChIJWYxMOknF_RIRQBh70OLpyOw,Hotel Ettaoufik,,False,14,,Hotel Ettaoufik (proprietaire),https://www.google.com/maps/contrib/100472591456010179764,https://lh5.googleusercontent.com/p/AF1QipMOftNyIR_wAMtQ0jLIDC0vUMBEVYRxsfxtiETI=w408-h306-k-no,Hotel,Hotel,4.6,,,51 802 840,"Hotel Ettaoufik, Kairouan",,https://www.google.com/maps/place/Hotel+Ettaoufik/data=!4m10!3m9!1s0x12fdc5493a4c8c59:0xecc8e9e2d07b1840!5m2!4m1!1i2!8m2!3d35.6717605!4d10.0983877!16s%2Fg%2F11c5rpyffb!19sChIJWYxMOknF_RIRQBh70OLpyOw?authuser=0&hl=fr&rclk=1
ChIJ6dfsO_bF_RIR9zi3nEFsA1c,Dar Chama,,False,6,,Dar Chama (proprietaire),https://www.google.com/maps/contrib/118124646720048421370,https://lh5.googleusercontent.com/p/AF1QipPezeRAiMybSqz70YEEMrzywFtOMp_NlOAckWWf=w408-h306-k-no,Chambre d'hotes,Chambre d'hotes,4.8,,,92 125 743,"Dar Chama, Kairouan 3100",,https://www.google.com/maps/place/Dar+Chama/data=!4m10!3m9!1s0x12fdc5f63becd7e9:0x57036c419cb738f7!5m2!4m1!1i2!8m2!3d35.6779375!4d10.0940625!16s%2Fg%2F11r_xcq_14!19sChIJ6dfsO_bF_RIR9zi3nEFsA1c?authuser=0&hl=fr&rclk=1
ChIJM3UX9yO3VBIRwhtzPqfusDE,Tataouineranch,,False,2,https://destinationdahar.com/places/tataouine-les-bains/,Tataouineranch (proprietaire),https://www.google.com/maps/contrib/110334790113768333986,https://lh5.googleusercontent.com/p/AF1QipPjF_IFFnNRjrM-41vCIuv9Bv5cUHAEtXXqgL2s=w408-h271-k-no,Maison d'hotes,"Maison d'hotes, Chambre d'hotes",5,,,,"WFW9+737 Tataouineranch, Tataouine 3234",,https://www.google.com/maps/place/Tataouineranch/data=!4m10!3m9!1s0x1254b723f7177533:0x31b0eea73e731bc2!5m2!4m1!1i2!8m2!3d32.9456066!4d10.4677177!16s%2Fg%2F11st70yl65!19sChIJM3UX9yO3VBIRwhtzPqfusDE?authuser=0&hl=fr&rclk=1
