place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJw5rkkygyHRMR97pYtmu5VoI,Cap-Bon Kelibia Beach Hotel & Spa,"Hotel balneaire haut de gamme avec chambres/suites chaleureuses, spa et 3 restaurants raffines.",False,562,https://kelibiabeachhotel.com/,Cap-Bon Kelibia Beach Hotel & Spa (proprietaire),https://www.google.com/maps/contrib/100289006971291855197,https://lh5.googleusercontent.com/p/AF1QipP7pkHqbuP_9YohabHNsSicTFDSdbtOcEZ8mfWn=w408-h272-k-no,Hotel,"Hotel, Restaurant, Spa, Piscine",4.1,,,72 277 770,"Cap-Bon Kelibia Beach Hotel & Spa, Plage El Mansourah, Kelibia 8090","animation, sable, italienne, massage, fils, village vacances, juillet, tout compris, cristallin, spectacle vivant",https://www.google.com/maps/place/Cap-Bon+Kelibia+Beach+Hotel+%26+Spa/data=!4m10!3m9!1s0x131d322893e49ac3:0x8256b96bb658baf7!5m2!4m1!1i2!8m2!3d36.8565201!4d11.1260907!16s%2Fg%2F1hdz2z1nq!19sChIJw5rkkygyHRMR97pYtmu5VoI?authuser=0&hl=fr&rclk=1
ChIJ1ZSw-XUzHRMRfieS2c_E_1Q,DAR COLIBRI maison d'hotes,,False,71,http://www.darcolibri.com/,DAR COLIBRI maison d'hotes (proprietaire),https://www.google.com/maps/contrib/117720096641538367915,https://lh5.googleusercontent.com/p/AF1QipPbgsPayl70IFVEY7GNv2qSfgqfDSyZaS6Yn8JB=w408-h507-k-no,Chambre d'hotes,"Chambre d'hotes, Maison d'hotes",4.6,,,46 566 564,"DAR COLIBRI maison d'hotes, Rue de Londres, Kelibia 8090","massage, gout, hammam, chambres, architecture, plages, piscine, est, bienveillance, paix",https://www.google.com/maps/place/DAR+COLIBRI+maison+d%27h%C3%B4tes/data=!4m10!3m9!1s0x131d3375f9b094d5:0x54ffc4cfd992277e!5m2!4m1!1i2!8m2!3d36.8462807!4d11.1066611!16s%2Fg%2F11p3dgpm17!19sChIJ1ZSw-XUzHRMRfieS2c_E_1Q?authuser=0&hl=fr&rclk=1
ChIJXUAy0QwxHRMRySeCwPC2Nqw,Dar Oguz,,False,67,http://www.daroguz.com/,Dar Oguz (proprietaire),https://www.google.com/maps/contrib/117307569539365378828,https://lh5.googleusercontent.com/p/AF1QipMnuHNSnaWJoMWZ09Bc1hhh__VTyiUY0a7Ua7yt=w427-h240-k-no,Maison d'hotes,Maison d'hotes,4,,,23 350 930,"Dar Oguz, Plage Hammem El Ghzez, 8025","service, plage, chambre, prix, serviettes, etoile, menage, piscine",https://www.google.com/maps/place/Dar+O%C4%9Fuz/data=!4m10!3m9!1s0x131d310cd132405d:0xac36b6f0c08227c9!5m2!4m1!1i2!8m2!3d36.8880989!4d11.1167504!16s%2Fg%2F11h3x9y_by!19sChIJXUAy0QwxHRMRySeCwPC2Nqw?authuser=0&hl=fr&rclk=1
ChIJTQKK0aAxHRMRd6b-q_meEtc,RESIDENCE STERN,,False,36,http://www.stern-residence.eu/,RESIDENCE STERN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPMlCQr1yTCMctGoaZbJtOU-iG1u5f6VHAqBvGb=w408-h270-k-no,Residence hoteliere,Residence hoteliere,4,,,24 234 647,"V4P9+GC3 RESIDENCE STERN, RUE DE LA PLAGE, Hammam Al Agzaz",,https://www.google.com/maps/place/RESIDENCE+STERN/data=!4m10!3m9!1s0x131d31a0d18a024d:0xd7129ef9abfea677!5m2!4m1!1i2!8m2!3d36.8862675!4d11.118535!16s%2Fg%2F11c51dv65d!19sChIJTQKK0aAxHRMRd6b-q_meEtc?authuser=0&hl=fr&rclk=1
ChIJj5rEPIQzHRMRTjrw4CTP7lw,Maison d'hotes / Restaurant L'Hirondelle de Kelibia : Chez Amou (3ammou),,False,32,,Maison d'hotes / Restaurant L'Hirondelle de Kelibia : Chez Amou (3ammou) (proprietaire),https://www.google.com/maps/contrib/102521377868296081430,https://lh5.googleusercontent.com/p/AF1QipNN82hTMHaafbSPx4b7euYJXpz4zpRn6Lma1kMq=w480-h240-k-no,Hotel,Hotel,4,,,23 105 706,"Maison d'hotes / Restaurant L'Hirondelle de Kelibia : Chez Amou (3ammou), Avenue de l'environnement (Ain Grenz), Kelibia 8090","plage, chambre, pied, hirondelles, gentillesse, confort",https://www.google.com/maps/place/Maison+d%27h%C3%B4tes+%2F+Restaurant+L%27Hirondelle+de+K%C3%A9libia+:+Chez+Amou+%283ammou%29/data=!4m10!3m9!1s0x131d33843cc49a8f:0x5ceecf24e0f03a4e!5m2!4m1!1i2!8m2!3d36.828506!4d11.07758!16s%2Fg%2F11f_d7_pc9!19sChIJj5rEPIQzHRMRTjrw4CTP7lw?authuser=0&hl=fr&rclk=1
ChIJR9MgCkAzHRMR12iSpfUqXhQ,Kelibia Paradise,,False,18,,Kelibia Paradise (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMM7wgrksBnaiDuVSYkbSS0llGOPxoAUPihdnHR=w408-h305-k-no,Hebergement,Hebergement,4.6,,,95 496 413,"R3WV+RCP Kelibia Paradise, 47 Rue d'orange Cite Ezzouhour, 8090, Kelibia",,https://www.google.com/maps/place/K%C3%A9libia+Paradise/data=!4m10!3m9!1s0x131d33400a20d347:0x145e2af5a59268d7!5m2!4m1!1i2!8m2!3d36.8460559!4d11.098385!16s%2Fg%2F11gxww36_z!19sChIJR9MgCkAzHRMR12iSpfUqXhQ?authuser=0&hl=fr&rclk=1
ChIJYeD4FR8zHRMRDJrA6noDsYc,Myriam Bel Air,,False,14,https://myriam.com.tn/,Myriam Bel Air (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHD8ANw6mQLF46TjjbYroRagHkKeIdbYzhgYOVMA_nVvMpUOrOBh_NHF3ZH7-x82TWvmyYDVFfsYtOds4X7E-Pk3Tk7bQbuiGirELF7R_PvbdecCxloBQNNWJpbi5yFM3cHYeBtYfi-9VKNMsVIxJJG5R7CuyqZrFH3u1l4voYNcLvGY4im28c=w408-h544-k-no,Hebergement,Hebergement,4.2,,,58 555 933,"Myriam Bel Air, Avenue Pasteur El Mansourah, 8090, Kelibia",,https://www.google.com/maps/place/Myriam+Bel+Air/data=!4m10!3m9!1s0x131d331f15f8e061:0x87b1037aeac09a0c!5m2!4m1!1i2!8m2!3d36.8440071!4d11.1179073!16s%2Fg%2F11h55njkl8!19sChIJYeD4FR8zHRMRDJrA6noDsYc?authuser=0&hl=fr&rclk=1
ChIJB9-mjzQyHRMRt50DaR3GFM4,Residence Asma,,False,14,,Residence Asma (proprietaire),https://www.google.com/maps/contrib/101855629676464670895,https://lh5.googleusercontent.com/p/AF1QipPCfBC6yLZmVDtXpnri8c2NTSSWMJjrfBAET74z=w408-h306-k-no,Residence hoteliere,Residence hoteliere,4.4,,,98 248 341,"Residence Asma, Rue Jean Jaque Rousseau El Mansoura, Avenue De La Mansoura, Kelibia 8090",,https://www.google.com/maps/place/R%C3%A9sidence+Asma/data=!4m10!3m9!1s0x131d32348fa6df07:0xce14c61d69039db7!5m2!4m1!1i2!8m2!3d36.8435681!4d11.1186905!16s%2Fg%2F11cmcf4gdh!19sChIJB9-mjzQyHRMRt50DaR3GFM4?authuser=0&hl=fr&rclk=1
ChIJWZJQyMEzHRMRIgY84wTxgPA,Pension Anis,,False,14,,Pension Anis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMR68ZY54mrzZNNKNEOCyqCtFHNPiIlsHDxHdcI=w408-h272-k-no,Pension de famille,Pension de famille,4,,,72 295 777,"R3VW+Q2P Pension Anis, Av. du Dr Mongi Ben Hmida, Kelibia",prix,https://www.google.com/maps/place/Pension+Anis/data=!4m10!3m9!1s0x131d33c1c8509259:0xf080f104e33c0622!5m2!4m1!1i2!8m2!3d36.8444511!4d11.0950756!16s%2Fg%2F11b74shsr7!19sChIJWZJQyMEzHRMRIgY84wTxgPA?authuser=0&hl=fr&rclk=1
ChIJRV9MOYAzHRMRrd54bF00F04,Casa Del Mar Residence,,False,11,,Casa Del Mar Residence (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOdMcD_LFIEAgf4aGIAZf43xodiok_GVumc3saW=w408-h306-k-no,Maison d'hotes,Maison d'hotes,4.3,,,97 970 097,"R3FF+766 Casa Del Mar Residence, Kelibia",plage,https://www.google.com/maps/place/Casa+Del+Mar+Residence/data=!4m10!3m9!1s0x131d3380394c5f45:0x4e17345d6c78dead!5m2!4m1!1i2!8m2!3d36.8231566!4d11.073003!16s%2Fg%2F11f06jhmml!19sChIJRV9MOYAzHRMRrd54bF00F04?authuser=0&hl=fr&rclk=1
