place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJw3NtiKkjAhMRHT4uUWU-VdI,Hotel Nour Palace Resort & Thalasso,"Complexe haut de gamme en bord de mer avec acces a la plage, piscines, green d'entrainement, courts de tennis et spa.",False,1597,http://nourpalace.tn/,Hotel Nour Palace Resort & Thalasso (proprietaire),https://www.google.com/maps/contrib/109655736588926880227,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGFZ5Uue5hQr1jlrX9h9y03Sl4bLHW7wY7cBp140DBpHaaLO5rbbXp_BARX4B0aV93v-MbrttTNjWoSUg_dRJn2T53CWslLc7J2mjyfY6-qHlwx0voI4CGb-GPa2uliUkh_mDSI7EwR7czW446ES3jBjUjY4hDbserDXKW8kUljZ4QFaFBp0zJH7Q=w411-h240-k-no,Hotel,"Hotel, Complexe hotelier",4,,,73 682 500,"B.P. 79, G2PJ+68F Hotel Nour Palace Resort & Thalasso, Zone Touristique Hiboune, Mahdia 5111","animation, etoiles, mer, all inclusive, toboggans, transats, loisirs, territoire, voilee, aquapark",https://www.google.com/maps/place/Hotel+Nour+Palace+Resort+%26+Thalasso/data=!4m10!3m9!1s0x130223a9886d73c3:0xd2553e65512e3e1d!5m2!4m1!1i2!8m2!3d35.5366718!4d11.031056!16s%2Fg%2F11bbt861wf!19sChIJw3NtiKkjAhMRHT4uUWU-VdI?authuser=0&hl=fr&rclk=1
ChIJM2ukEL8jAhMROGLerr4S7yY,Hotel El Mehdi,"Hotel balneaire tout compris a l'ambiance detendue avec chambres sobres, restaurants, animations et piscines.",False,1082,http://www.hotelelmehdi.com/,Hotel El Mehdi (proprietaire),https://www.google.com/maps/contrib/106283328495745313479,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEpZ3f0v607gUpAS1MEdN2gAYWTy_gfkUJRydnXYKuf--tcjR7zl-BTHOhBwwS1p2xW_1aTeWPuf33fPOeUs1Sm5Q9U8gegQZc5iz2G5UBq0pptphlurHkyYNB37Y6l76nxSYs2uuEopeHFyf95IUVVaZLtlg0lIA_D68B2-_gz-aX85lB1GITvtQ=w426-h240-k-no,Hotel,"Hotel, Complexe hotelier",4,,,73 671 300,"Hotel El Mehdi, Route de la corniche, Mahdia 5100","mer, animation, toboggans, all inclusive, massage, sable, village vacances, lit bebe, cafeteria, hammam",https://www.google.com/maps/place/Hotel+El+Mehdi/data=!4m10!3m9!1s0x130223bf10a46b33:0x26ef12beaede6238!5m2!4m1!1i2!8m2!3d35.5171842!4d11.0444435!16s%2Fg%2F1vc_sfzx!19sChIJM2ukEL8jAhMROGLerr4S7yY?authuser=0&hl=fr&rclk=1
ChIJ16SzpkQhAhMRPdmYx9JLvA4,ONE Resort El Mansour,"Logements fonctionnels dans hotel de style decontracte avec 2 restaurants, spa et jardin.",False,901,http://www.oneelmansour.tn/,ONE Resort El Mansour (proprietaire),https://www.google.com/maps/contrib/115106466422156110236,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEmFNi8e-TN0ZPpKJvIXnJXXTrFI8qe6rFvjqwuu8hgCdCAw5sp17Gm6DHGuM02V69Tr-1Cq1xqTsa_58Wg4oYDK7Lt7eHK4E-Qvh6daU44kDH0JBIAcpjLZWs8AI93tcwXkzgGIbAg0_pSke4g7e0GQMG1D3pnO4nhiX4SaCgzo0HjIvlJ14Qt=w408-h270-k-no,Hotel,Hotel,4.2,,,73 682 696,"ONE Resort El Mansour, Route Touristique, B.P. 98, Mahdia","piscine, mer, animation, pizza, bungalow, all inclusive, animateurs, intoxication, toboggans, amir",https://www.google.com/maps/place/ONE+Resort+El+Mansour/data=!4m10!3m9!1s0x13022144a6b3a4d7:0xebc4bd2c798d93d!5m2!4m1!1i2!8m2!3d35.528057!4d11.035511!16s%2Fg%2F1tk5qkmh!19sChIJ16SzpkQhAhMRPdmYx9JLvA4?authuser=0&hl=fr&rclk=1
ChIJc4S_0mMhAhMRa9c5h7xHyvE,Dar Sidi,,False,32,http://www.darsidi.tn/,Dar Sidi (proprietaire),https://www.google.com/maps/contrib/113785901174197468960,https://lh5.googleusercontent.com/p/AF1QipO0JC65trOTuBvXA_D1QhVBV0o4BW4cp4wS81F9=w408-h272-k-no,Maison d'hotes,Maison d'hotes,4.4,,,58 882 222,"Dar Sidi, Rejiche",plage,https://www.google.com/maps/place/Dar+Sidi/data=!4m10!3m9!1s0x13022163d2bf8473:0xf1ca47bc8739d76b!5m2!4m1!1i2!8m2!3d35.459418!4d11.0478935!16s%2Fg%2F11hyft_ygm!19sChIJc4S_0mMhAhMRa9c5h7xHyvE?authuser=0&hl=fr&rclk=1
ChIJzTf1Ox8lAhMR-PjGSWSMypg,Dar evelyne,,False,30,http://www.subway-mahdia.com/,Dar evelyne (proprietaire),https://www.google.com/maps/contrib/115273361672332881321,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0ZNavowtoEAnrmvTC7HypdjeO6GlhHA4JuVRBBf31G058x-Bit4tlUJw9Yl_j6oBxDEWz3xvVHylYrD_4QQAvo9IyQtO3bPLXFJj2CcCDdBprZAHTEoWyeqEl6zmfd2e54qBkc7um5gvWqUxRhr8QlU_eR45yPZpZDB-wH3pQbDoFQui3whYp=w408-h306-k-no,Hostel,Hostel,4.6,,,98 556 542,"Dar evelyne, Mahdia",terrasse,https://www.google.com/maps/place/Dar+evelyne/data=!4m10!3m9!1s0x1302251f3bf537cd:0x98ca8c6449c6f8f8!5m2!4m1!1i2!8m2!3d35.5051242!4d11.0740523!16s%2Fg%2F11pc9z29jm!19sChIJzTf1Ox8lAhMR-PjGSWSMypg?authuser=0&hl=fr&rclk=1
ChIJVcY9p0sjAhMRmJh4OE9Ob7k,Laourient,,False,19,https://www.apartments-tunisia.com/,Laourient (proprietaire),https://www.google.com/maps/contrib/101909068618698089337,https://lh5.googleusercontent.com/p/AF1QipNqD5VkDxRxD5P1ChJNx6HUs9XzmA1tYHoP7mAC=w408-h272-k-no,Restaurant,"Restaurant, Complexe d'appartements meubles",5,19:00-00:00,,25 681 552,"Laourient, Zone Touristique Ma/Ba Mahdia Mahdia - Bagdhedi, Bekalta 5090",,https://www.google.com/maps/place/Laourient/data=!4m10!3m9!1s0x1302234ba73dc655:0xb96f4e4f38789898!5m2!4m1!1i2!8m2!3d35.556303!4d11.0237215!16s%2Fg%2F11t5y59359!19sChIJVcY9p0sjAhMRmJh4OE9Ob7k?authuser=0&hl=fr&rclk=1
ChIJq1rDpy2OARMR5_2iKuhXjNg,Beach Lodge,,False,11,,Beach Lodge (proprietaire),https://www.google.com/maps/contrib/102208087118354005834,https://lh5.googleusercontent.com/p/AF1QipMSZARzarRJdmisbCADLKCCAndrDOR60sL_7SC7=w408-h544-k-no,Hotel,Hotel,4.4,,,52 634 003,"Beach Lodge, Avenue Habib Bourguiba - Rue N 20 La Chebba, Chebba 5170",,https://www.google.com/maps/place/Beach+Lodge/data=!4m10!3m9!1s0x13018e2da7c35aab:0xd88c57e82aa2fde7!5m2!4m1!1i2!8m2!3d35.2434475!4d11.1308032!16s%2Fg%2F11f049g5z6!19sChIJq1rDpy2OARMR5_2iKuhXjNg?authuser=0&hl=fr&rclk=1
ChIJCc037JQhAhMRcfpvmixp3LQ,Dar Rejiche,,False,9,https://www.facebook.com/Dar-Rejiche-Mahdia-195280204739500/,Dar Rejiche (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMpxPClxJXT5L5wsoK-I5B5EnxqUIQIzpYeO5QN=w408-h544-k-no,Hebergement,Hebergement,4.9,,,98 330 982,"F25X+P55 Dar Rejiche, Rejiche",,https://www.google.com/maps/place/Dar+Rejiche/data=!4m10!3m9!1s0x13022194ec37cd09:0xb4dc692c9a6ffa71!5m2!4m1!1i2!8m2!3d35.4592573!4d11.0479929!16s%2Fg%2F11flph6qs9!19sChIJCc037JQhAhMRcfpvmixp3LQ?authuser=0&hl=fr&rclk=1
ChIJN0vv7gS3VBIReCWFOn28W_g,Dar essadeg,,False,9,"https://www.booking.com/hotel/tn/dar-essadeg-tataouine12.fr.html%3Faid%3D376366%26label%3Dfr-51aYADzKCvHZ21Orv3nXsASM193330406601:pl:ta:p1:p22.563.000:ac:ap:neg:fi:tikwd-65526620:lp9075940:li:dem:dm:ppccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o%26sid%3Df5220773e9ac84bf3977577177c6ecd0%26all_sr_blocks%3D831527901_348345905_2_0_0%3Bcheckin%3D2022-06-21%3Bcheckout%3D2022-06-22%3Bdest_id%3D-731465%3Bdest_type%3Dcity%3Bdist%3D0%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Bhapos%3D2%3Bhighlighted_blocks%3D831527901_348345905_2_0_0%3Bhpos%3D2%3Bmatching_block_id%3D831527901_348345905_2_0_0%3Bno_rooms%3D1%3Breq_adults%3D2%3Breq_children%3D0%3Broom1%3DA,A%3Bsb_price_type%3Dtotal%3Bsr_order%3Dpopularity%3Bsr_pri_blocks%3D831527901_348345905_2_0_0__3000%3Bsrepoch%3D1655398898%3Bsrpvid%3D7c9f78185d370021%3Btype%3Dtotal%3Bucfs%3D1%26",Dar essadeg (proprietaire),https://www.google.com/maps/contrib/101778497337234972921,https://lh5.googleusercontent.com/p/AF1QipMyatQp-OlT3TVDujR_DuU4qtdbTJbvYVMFnO8D=w408-h306-k-no,Lodge,"Lodge, Hebergement de groupe",4.9,,,97 284 185,"Dar essadeg, P19, Tataouine",,https://www.google.com/maps/place/Dar+essadeg/data=!4m10!3m9!1s0x1254b704eeef4b37:0xf85bbc7d3a852578!5m2!4m1!1i2!8m2!3d32.9251725!4d10.4409536!16s%2Fg%2F11j0r4k5ky!19sChIJN0vv7gS3VBIReCWFOn28W_g?authuser=0&hl=fr&rclk=1
ChIJUaBTza0jAhMRzzlS33AJbJo,Dar Set El Kol,,False,2,,Dar Set El Kol (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhENyL5wqBG4O0yNhdKxkeAW23tCr6G5g19jsGiOZ4XWXwV1eKua9RCRTC2b_HCFgylwWmkLKOjGaSzEX7g0g61CLDOIX4OvfkuceruwH3MoJY_z_mXHqWR-ChNr088IaUf4ABi1ESs1pTtmPzBbSXgoqjxONSPbi4aSBYeJnliPAo9uuM5F2sXKEQ=w408-h272-k-no,Chambre d'hotes,Chambre d'hotes,5,,,55 863 400,"Dar Set El Kol, 222 Av. Habib Bourgiba, Mahdia",,https://www.google.com/maps/place/Dar+Set+El+Kol/data=!4m10!3m9!1s0x130223adcd53a051:0x9a6c0970df5239cf!5m2!4m1!1i2!8m2!3d35.5063144!4d11.0587474!16s%2Fg%2F11rwrz7gv3!19sChIJUaBTza0jAhMRzzlS33AJbJo?authuser=0&hl=fr&rclk=1
