place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWTdRYOojAhMRj2tuSYn1IX4,Iberostar Selection Royal El Mansour,,False,6715,https://www.iberostar.com/en/hotels/mahdia/iberostar-royal-el-mansour-thalasso/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DIBSVOL_EMEA_SEOLOC_GMB_NA_EN_TUN_TUN_MAH_REM_PULL_NA_NA_NA_NA_NA,Iberostar Selection Royal El Mansour (proprietaire),https://www.google.com/maps/contrib/113158232200725657080,https://lh5.googleusercontent.com/p/AF1QipN8agVo_0-XvkNnQjqIdd_NPY8UPHFj3W1I-erw=w408-h303-k-no,Hotel,"Hotel, Hotel bien-etre",4.8,,,73 681 100,"Iberostar Selection Royal El Mansour, Avenue Taher Sfar, Route de la Corniche, B.P. 217, El Jem, Mahdia 5150","animation, divertissement, all inclusive, spectacle, animateurs, tir a l'arc, thalasso, quad, flechettes, vue sur mer",https://www.google.com/maps/place/Iberostar+Selection+Royal+El+Mansour/data=!4m10!3m9!1s0x130223ea60513759:0x7e21f589496e6b8f!5m2!4m1!1i2!8m2!3d35.5126002!4d11.0496963!16s%2Fg%2F1tglcyhd!19sChIJWTdRYOojAhMRj2tuSYn1IX4?authuser=0&hl=fr&rclk=1
ChIJw3NtiKkjAhMRHT4uUWU-VdI,Hotel Nour Palace Resort & Thalasso,"Complexe haut de gamme en bord de mer avec acces a la plage, piscines, green d'entrainement, courts de tennis et spa.",False,1597,http://nourpalace.tn/,Hotel Nour Palace Resort & Thalasso (proprietaire),https://www.google.com/maps/contrib/109655736588926880227,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGFZ5Uue5hQr1jlrX9h9y03Sl4bLHW7wY7cBp140DBpHaaLO5rbbXp_BARX4B0aV93v-MbrttTNjWoSUg_dRJn2T53CWslLc7J2mjyfY6-qHlwx0voI4CGb-GPa2uliUkh_mDSI7EwR7czW446ES3jBjUjY4hDbserDXKW8kUljZ4QFaFBp0zJH7Q=w411-h240-k-no,Hotel,"Hotel, Complexe hotelier",4,,,73 682 500,"B.P. 79, G2PJ+68F Hotel Nour Palace Resort & Thalasso, Zone Touristique Hiboune, Mahdia 5111","animation, etoiles, mer, all inclusive, toboggans, transats, loisirs, territoire, voilee, aquapark",https://www.google.com/maps/place/Hotel+Nour+Palace+Resort+%26+Thalasso/data=!4m10!3m9!1s0x130223a9886d73c3:0xd2553e65512e3e1d!5m2!4m1!1i2!8m2!3d35.5366718!4d11.031056!16s%2Fg%2F11bbt861wf!19sChIJw3NtiKkjAhMRHT4uUWU-VdI?authuser=0&hl=fr&rclk=1
ChIJazvAmwAjAhMRQImTWjL-5R8,Mahdia Palace Thalasso,"Hotel haut de gamme avec logements conviviaux, spa, espace plage prive, piscines interieure et exterieure.",False,1512,http://mahdiapalace.tn/,Mahdia Palace Thalasso (proprietaire),https://www.google.com/maps/contrib/117050322797071634880,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEDk7RbqNZIcoRgmckpRIxoFNaTCx7KtzlHMuH7oLH1p6PWmVMYsEpwj2u6d7BxfvGmhhCZ0HrueCgO-6tcIiuVmE_gFbSnxOOjGEwWfN_rdw-AMB2ghWFyNuMbUbBGMpALskmAfI_d8q6eRBcR_QNo_ekNopMfavNwu4nPdWNxseTT2Le6L1qA=w408-h253-k-no,Hotel,Hotel,4.2,,,73 683 777,"Mahdia Palace Thalasso, BP 134, Zone Touristique","plage, piscine, 5 etoiles, serveurs, spa, animation, all inclusive, qualite, pays, demi pension",https://www.google.com/maps/place/Mahdia+Palace+Thalasso/data=!4m10!3m9!1s0x130223009bc03b6b:0x1fe5fe325a938940!5m2!4m1!1i2!8m2!3d35.5396804!4d11.0316419!16s%2Fg%2F1tg58023!19sChIJazvAmwAjAhMRQImTWjL-5R8?authuser=0&hl=fr&rclk=1
ChIJM2ukEL8jAhMROGLerr4S7yY,Hotel El Mehdi,"Hotel balneaire tout compris a l'ambiance detendue avec chambres sobres, restaurants, animations et piscines.",False,1082,http://www.hotelelmehdi.com/,Hotel El Mehdi (proprietaire),https://www.google.com/maps/contrib/106283328495745313479,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEpZ3f0v607gUpAS1MEdN2gAYWTy_gfkUJRydnXYKuf--tcjR7zl-BTHOhBwwS1p2xW_1aTeWPuf33fPOeUs1Sm5Q9U8gegQZc5iz2G5UBq0pptphlurHkyYNB37Y6l76nxSYs2uuEopeHFyf95IUVVaZLtlg0lIA_D68B2-_gz-aX85lB1GITvtQ=w426-h240-k-no,Hotel,"Hotel, Complexe hotelier",4,,,73 671 300,"Hotel El Mehdi, Route de la corniche, Mahdia 5100","mer, animation, toboggans, all inclusive, massage, sable, village vacances, lit bebe, cafeteria, hammam",https://www.google.com/maps/place/Hotel+El+Mehdi/data=!4m10!3m9!1s0x130223bf10a46b33:0x26ef12beaede6238!5m2!4m1!1i2!8m2!3d35.5171842!4d11.0444435!16s%2Fg%2F1vc_sfzx!19sChIJM2ukEL8jAhMROGLerr4S7yY?authuser=0&hl=fr&rclk=1
ChIJ16SzpkQhAhMRPdmYx9JLvA4,ONE Resort El Mansour,"Logements fonctionnels dans hotel de style decontracte avec 2 restaurants, spa et jardin.",False,901,http://www.oneelmansour.tn/,ONE Resort El Mansour (proprietaire),https://www.google.com/maps/contrib/115106466422156110236,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEmFNi8e-TN0ZPpKJvIXnJXXTrFI8qe6rFvjqwuu8hgCdCAw5sp17Gm6DHGuM02V69Tr-1Cq1xqTsa_58Wg4oYDK7Lt7eHK4E-Qvh6daU44kDH0JBIAcpjLZWs8AI93tcwXkzgGIbAg0_pSke4g7e0GQMG1D3pnO4nhiX4SaCgzo0HjIvlJ14Qt=w408-h270-k-no,Hotel,Hotel,4.2,,,73 682 696,"ONE Resort El Mansour, Route Touristique, B.P. 98, Mahdia","piscine, mer, animation, pizza, bungalow, all inclusive, animateurs, intoxication, toboggans, amir",https://www.google.com/maps/place/ONE+Resort+El+Mansour/data=!4m10!3m9!1s0x13022144a6b3a4d7:0xebc4bd2c798d93d!5m2!4m1!1i2!8m2!3d35.528057!4d11.035511!16s%2Fg%2F1tk5qkmh!19sChIJ16SzpkQhAhMRPdmYx9JLvA4?authuser=0&hl=fr&rclk=1
ChIJvzR0i7ojAhMR7NM9Xm4D1Tk,Hotel El Borj,"Complexe balneaire tout compris a l'ambiance detendue, chambres conviviales, piscine exterieure et restaurant.",False,496,,Hotel El Borj (proprietaire),https://www.google.com/maps/contrib/104959930908975784724,https://lh5.googleusercontent.com/p/AF1QipPwbvdFVpoCj9iO6UGROFbVYF2WkFyKsE0v-rZe=w408-h267-k-no,Hotel,Hotel,4,,,73 683 700,"Hotel El Borj, Route de la Corniche, Mahdia 5111","animation, mer, village, italienne, cocktails, divertir, dinar, lit bebe, verre, dysenterie",https://www.google.com/maps/place/H%C3%B4tel+El+Borj/data=!4m10!3m9!1s0x130223ba8b7434bf:0x39d5036e5e3dd3ec!5m2!4m1!1i2!8m2!3d35.5181265!4d11.0434036!16s%2Fg%2F1tf83q29!19sChIJvzR0i7ojAhMR7NM9Xm4D1Tk?authuser=0&hl=fr&rclk=1
ChIJ7SZk6M4jAhMRq5quxHdfqPM,Hotel Dar Al Madina,"Chambres sobres dotees du Wi-Fi dans un hotel simple proposant un cafe, un pub et un parking gratuit.",False,41,http://www.daralmadina.tn/,Hotel Dar Al Madina (proprietaire),https://www.google.com/maps/contrib/109832862892926414653,https://lh5.googleusercontent.com/p/AF1QipOyOQSM9YAa5spT30E0UfuDY2Htlo39Iz1ONEYR=w408-h544-k-no,Hotel,Hotel,4.5,,,73 656 266,"Hotel Dar Al Madina, Bi'allah, Rue El Quaem, Mahdia 5100",chambres,https://www.google.com/maps/place/Hotel+Dar+Al+Madina/data=!4m10!3m9!1s0x130223cee86426ed:0xf3a85f77c4ae9aab!5m2!4m1!1i2!8m2!3d35.503813!4d11.0700223!16s%2Fg%2F11jsjsqvp3!19sChIJ7SZk6M4jAhMRq5quxHdfqPM?authuser=0&hl=fr&rclk=1
ChIJc4S_0mMhAhMRa9c5h7xHyvE,Dar Sidi,,False,32,http://www.darsidi.tn/,Dar Sidi (proprietaire),https://www.google.com/maps/contrib/113785901174197468960,https://lh5.googleusercontent.com/p/AF1QipO0JC65trOTuBvXA_D1QhVBV0o4BW4cp4wS81F9=w408-h272-k-no,Maison d'hotes,Maison d'hotes,4.4,,,58 882 222,"Dar Sidi, Rejiche",plage,https://www.google.com/maps/place/Dar+Sidi/data=!4m10!3m9!1s0x13022163d2bf8473:0xf1ca47bc8739d76b!5m2!4m1!1i2!8m2!3d35.459418!4d11.0478935!16s%2Fg%2F11hyft_ygm!19sChIJc4S_0mMhAhMRa9c5h7xHyvE?authuser=0&hl=fr&rclk=1
ChIJzTf1Ox8lAhMR-PjGSWSMypg,Dar evelyne,,False,30,http://www.subway-mahdia.com/,Dar evelyne (proprietaire),https://www.google.com/maps/contrib/115273361672332881321,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0ZNavowtoEAnrmvTC7HypdjeO6GlhHA4JuVRBBf31G058x-Bit4tlUJw9Yl_j6oBxDEWz3xvVHylYrD_4QQAvo9IyQtO3bPLXFJj2CcCDdBprZAHTEoWyeqEl6zmfd2e54qBkc7um5gvWqUxRhr8QlU_eR45yPZpZDB-wH3pQbDoFQui3whYp=w408-h306-k-no,Hostel,Hostel,4.6,,,98 556 542,"Dar evelyne, Mahdia",terrasse,https://www.google.com/maps/place/Dar+evelyne/data=!4m10!3m9!1s0x1302251f3bf537cd:0x98ca8c6449c6f8f8!5m2!4m1!1i2!8m2!3d35.5051242!4d11.0740523!16s%2Fg%2F11pc9z29jm!19sChIJzTf1Ox8lAhMR-PjGSWSMypg?authuser=0&hl=fr&rclk=1
ChIJ6y6iGhslAhMREOgzKKMtpTY,Maison Albatros mahdia,,False,23,,Maison Albatros mahdia (proprietaire),https://www.google.com/maps/contrib/106301544923615756141,https://lh5.googleusercontent.com/p/AF1QipOkRSd_5EMBJxsNqaPpw8iY-uGxnuh4GrrHRTkJ=w408-h725-k-no,Maison d'hotes,"Maison d'hotes, Chambre d'hotes",4.7,,,51 878 716,"Maison Albatros mahdia, Av. Cap Africa, Mahdia 5129",mer,https://www.google.com/maps/place/Maison+Albatros+mahdia/data=!4m10!3m9!1s0x1302251b1aa22eeb:0x36a52da32833e810!5m2!4m1!1i2!8m2!3d35.5076445!4d11.0777109!16s%2Fg%2F11t85m4l2q!19sChIJ6y6iGhslAhMREOgzKKMtpTY?authuser=0&hl=fr&rclk=1
