place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJC9P1nGQ0_RIRf5DM7rIaXUQ,Hotel ibis Tunis,"Hotel de style decontracte avec chambres sobres, Wi-Fi gratuit, restaurant simple et bar.",False,926,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3D6144%26merchantid%3Dseo-maps-TN-6144%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MTUzNjExMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Hotel ibis Tunis (proprietaire),https://www.google.com/maps/contrib/105041267567602329639,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHA0bamRwJ9EQLSNv9IdZOjxBwJNF7pebWtGx4gF7iqdNKsJbqbkWKEiUWH_t-7_sQBliksY1Nc9pSt4UrcpCKKtBsM-y6xPWunc3a3UtV9n53fGZUSEHAlFNIzI_Xnvvvqi-JWNf8rRgTjfoZU0oolvMSLIYEm3TuhxO0hdwwPl0dU8g8Nloysow=w408-h306-k-no,Hotel,Hotel,4,,,71 830 300,"Hotel ibis Tunis, Rue de Syrie, Tunis 1002","service, chambre, buffet, aeroport, diner, novotel, capitale, souriant, deplacement professionnel, meme",https://www.google.com/maps/place/H%C3%B4tel+ibis+Tunis/data=!4m10!3m9!1s0x12fd34649cf5d30b:0x445d1ab2eecc907f!5m2!4m1!1i2!8m2!3d36.8116062!4d10.1839263!16s%2Fg%2F1tf919bt!19sChIJC9P1nGQ0_RIRf5DM7rIaXUQ?authuser=0&hl=fr&rclk=1
ChIJ3TdVZq3M4hIR3h6zfpfEXVM,The Penthouse,"Appart'hotel convivial offrant logements avec cuisine. Patinoire, bowling et piscine saisonniere.",False,424,https://www.thepenthouse.tn/,The Penthouse (proprietaire),https://www.google.com/maps/contrib/115079674210043909563,https://lh5.googleusercontent.com/p/AF1QipOg2YCF7gKUL-CDKJhOn1MRp9S3GAaLaIE8ysf5=w408-h272-k-no,Hotel,Hotel,4.2,,,71 811 535,"The Penthouse, Rue Medinat Radhoua, Ariana 2203","service, piscine, chambres, suites, prix, patinoire, bowling, cuisine, experimenter, luxe",https://www.google.com/maps/place/The+Penthouse/data=!4m10!3m9!1s0x12e2ccad665537dd:0x535dc4977eb31ede!5m2!4m1!1i2!8m2!3d36.8627206!4d10.1601918!16s%2Fg%2F11b73mkmlb!19sChIJ3TdVZq3M4hIR3h6zfpfEXVM?authuser=0&hl=fr&rclk=1
ChIJ4fSktYk0_RIRzQNbW0R_oN0,Business Hotel,"Hotel elegant avec bar, restaurant sur le toit, salon et espace de reunion.",False,392,https://www.businesshoteltunis.com/,Business Hotel (proprietaire),https://www.google.com/maps/contrib/100324514390236959719,https://lh5.googleusercontent.com/p/AF1QipMxa9AW9LjH-pjBj7xAatybuk6wQ4W3mUkTL869=w408-h255-k-no,Hotel,Hotel,4,,,71 900 555,"Business Hotel, 4 Rue Ibn Nadim, Tunis 1073","chambre, service, la musique, confortable, bruit, voyage, aeroport, etage, qualite, soir",https://www.google.com/maps/place/Business+H%C3%B4tel/data=!4m10!3m9!1s0x12fd3489b5a4f4e1:0xdda07f445b5b03cd!5m2!4m1!1i2!8m2!3d36.818325!4d10.184596!16s%2Fg%2F11bwn563xh!19sChIJ4fSktYk0_RIRzQNbW0R_oN0?authuser=0&hl=fr&rclk=1
ChIJA-Bme3Q0_RIRdmMuuMgNax0,Hotel Royal Victoria,"Hotel style mauresque, ancienne ambassade du XVIIe siecle, chambres chics, resto avec terrasse/vue sur ville.",False,375,https://hotel-royalvictoria.com/,Hotel Royal Victoria (proprietaire),https://www.google.com/maps/contrib/106532387569314109289,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF90FkikFXhVOCD33YF6WfHJ3asjtVRpXH5qJCpT9oieaXhUKJzcEmaHEhe0Luwl-VA1sL_5ssRUomhBXbp3pHpkIPFMs15nzLSPKXSylthJKUCef9p2y6WBHNmXaDG0bkNaOdmAHmtn-P9uUJPJxMVnd9N0-qPtJrHO3GbuFWq9-66ggrTjQ=w408-h408-k-no,Hotel,Hotel,4.3,,,71 320 066,"Hotel Royal Victoria, 5 place de la Victoire, Port de France, Tunis 1001","chambre, service, porte, ambassade, architecture, je, decoration, etoiles, histoire, balcon",https://www.google.com/maps/place/H%C3%B4tel+Royal+Victoria/data=!4m10!3m9!1s0x12fd34747b66e003:0x1d6b0dc8b82e6376!5m2!4m1!1i2!8m2!3d36.79942!4d10.1753245!16s%2Fg%2F11cr_vbdrp!19sChIJA-Bme3Q0_RIRdmMuuMgNax0?authuser=0&hl=fr&rclk=1
ChIJq6qq6sg0_RIRc3FI_rDFJ_o,Tunis Marriott Hotel,"Hotel haut de gamme avec 2 restaurants raffines, un salon d'accueil et une piscine sur le toit bordee d'un bar.",False,326,https://www.marriott.com/en-us/hotels/tunmc-tunis-marriott-hotel/overview/%3Fscid%3Df2ae0541-1279-4f24-b197-a979c79310b0,Tunis Marriott Hotel (proprietaire),https://www.google.com/maps/contrib/101484772929140016302,https://lh5.googleusercontent.com/p/AF1QipMNodE8XP6EecKYVCfxvOK2lHPfHluFN6H14UCS=w426-h240-k-no,Hotel,"Hotel, Service d'organisation d'evenements professionnels, Lieu de mariage",4.2,,,31 220 022,"Tunis Marriott Hotel, Rue Zohra Faiza, Yasmine Tower, Immeuble, Tunis 1082","aeroport, bar, experience, diner, business, toit, buffet, SPA, vue, je",https://www.google.com/maps/place/Tunis+Marriott+Hotel/data=!4m10!3m9!1s0x12fd34c8eaaaaaab:0xfa27c5b0fe487173!5m2!4m1!1i2!8m2!3d36.8473571!4d10.2011188!16s%2Fg%2F11c2pm28w3!19sChIJq6qq6sg0_RIRc3FI_rDFJ_o?authuser=0&hl=fr&rclk=1
ChIJDfqyxYk0_RIRlsBwKRwYx7Y,Hotel Marigold,Logements a la decoration chaleureuse dans hotel convivial avec restaurant. Petit-dejeuner et Wi-Fi gratuits.,False,272,https://marigold-hotel.com/,Hotel Marigold (proprietaire),https://www.google.com/maps/contrib/107437843103431973340,https://lh5.googleusercontent.com/p/AF1QipOJ8frkHVYg6Wj-pRO7eTKYjsyx7bf4J20Skblo=w408-h272-k-no,Hotel,Hotel,4.2,,,71 904 011,"Hotel Marigold, Angle Rue Ibn Nadim, &Chabia 1073","chambre, service, prix, aeroport, site, hygiene, buffet, nettoyage, internet, odeur",https://www.google.com/maps/place/H%C3%B4tel+Marigold/data=!4m10!3m9!1s0x12fd3489c5b2fa0d:0xb6c7181c2970c096!5m2!4m1!1i2!8m2!3d36.8177289!4d10.1850597!16s%2Fg%2F11g0tkrv46!19sChIJDfqyxYk0_RIRlsBwKRwYx7Y?authuser=0&hl=fr&rclk=1
ChIJET6NjQo0_RIRnDjw6oPbGls,Bayram Palace - Palais Bayram,"Hotel de style decontracte dans batiment du XVIIIe siecle avec restaurant, salon de the et hammam.",False,205,http://palaisbayram.com/,Bayram Palace - Palais Bayram (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF4N3Ed7HvclKj37a3tAs53Q3yBP2dlnm_HjfnUg2yvjeWXzguzkOC43648R6zhLXkdBp-JdJc4xsMSkZMFEg8NEmVb7bEOYuFg6X_NZZrP0kBo1UgUTE_Cvm2lA-B5M58X80V6zHp1ihgSJPNjYUCovicKExfgq3d2gar2Zh8F_EtpukGPxxY2=w408-h271-k-no,Hotel,"Hotel, Restaurant gastronomique, Restaurant",4,,,31 393 393,"Bayram Palace - Palais Bayram, Gouvernorat de, 6 Rue des Andalous, Tunis 1008","service, hammam, architecture, coeur, experience, 5 etoiles, dine, omelette, odeur, spa",https://www.google.com/maps/place/Bayram+Palace+-+Palais+Bayram/data=!4m10!3m9!1s0x12fd340a8d8d3e11:0x5b1adb83eaf0389c!5m2!4m1!1i2!8m2!3d36.7959155!4d10.1709383!16s%2Fg%2F11bzsdf405!19sChIJET6NjQo0_RIRnDjw6oPbGls?authuser=0&hl=fr&rclk=1
ChIJPf-ZIv01_RIRBcMw9jT43Oc,DownTown Tunis Hotel,,False,172,https://downtowntunisia.com/,DownTown Tunis Hotel (proprietaire),https://www.google.com/maps/contrib/100977686245327115219,https://lh5.googleusercontent.com/p/AF1QipN75h2fgmWzHkWKMu-ZVy-2AOJBALai2FBeG_3h=w426-h240-k-no,Hotel,"Hotel, Centre d'affaires",4.2,,,71 790 216,"DownTown Tunis Hotel, 13 Rue de Medine, Tunis 1002","service, chambres, prix, voyage, aeroport, parking, mosquee, salle de reunion, travailleurs, refrigerateur",https://www.google.com/maps/place/DownTown+Tunis+Hotel/data=!4m10!3m9!1s0x12fd35fd2299ff3d:0xe7dcf834f630c305!5m2!4m1!1i2!8m2!3d36.8203316!4d10.1801214!16s%2Fg%2F11h48kzwdd!19sChIJPf-ZIv01_RIRBcMw9jT43Oc?authuser=0&hl=fr&rclk=1
ChIJLxH6j4oz_RIRsdtju6SdYLg,Dar El Medina,Chambres et suites chaleureuses dans hotel raffine proposant cafe et toit-terrasse avec vue sur la ville.,False,160,http://www.darelmedina.tn/,Dar El Medina (proprietaire),https://www.google.com/maps/contrib/113828063465889598230,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGU3zFsQF2seFrjQJjsEAw1jr1mGwPzZQ92DSLuiFpb3LBa95XkKZ5kS8O45ZFmoTlePwRB2zl9fxZU-zByFpG5d3JPcTZp9NcgK4hwOWCF-1GovPHhOPXpwTGz1uhhZA17Z2HnkaawfgD7ZTGcUB1T3SWenVTiBtgD0UkcT23iMqtS0HN1OWqM=w408-h306-k-no,Maison d'hotes,"Maison d'hotes, Hotel",4.4,,,71 563 022,"Dar El Medina, 64 Rue Sidi Ben Arous, Tunis 1006","dine, coeur, terrasse, toit, cafe, prix, service, experience, menthe, hotel de charme",https://www.google.com/maps/place/Dar+El+Medina/data=!4m10!3m9!1s0x12fd338a8ffa112f:0xb8609da4bb63dbb1!5m2!4m1!1i2!8m2!3d36.7990491!4d10.1695484!16s%2Fg%2F1thszp5m!19sChIJLxH6j4oz_RIRsdtju6SdYLg?authuser=0&hl=fr&rclk=1
ChIJk9RMrYsz_RIRB3DlmtrP0c8,Dar Ya - Hostel,"Hebergements sobres dans auberge de jeunesse coloree avec petit-dejeuner, Wi-Fi, cuisine et toit-terrasse.",False,154,https://www.facebook.com/DarYaTunis/,Dar Ya - Hostel (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG66HwhBKLVbNd7xnrbrXt2iggL8QO08RkLVE3SOgnzsS9SW06V1e8jrUvDS-Y956pDW-_2JvmHXjF-7hh3cqri9Y7ZLWHSMv-c7Mif-Wr65IhSvzrjciKa1wDa_hef1wTF2ZwQixkpsA7RMaab-wCcof7fI4j26pHjtVU7X_19xsMwM2IQTLbF=w408-h612-k-no,Hebergement,Hebergement,4.4,,,22 880 044,"Dar Ya - Hostel, 6 Rue de la Carriere, Tunis 1006","hotel, chambres, coeur, famille, salle de bain, climatisation, prix, sourire, kasbah, patisseries",https://www.google.com/maps/place/Dar+Ya+-+Hostel/data=!4m10!3m9!1s0x12fd338bad4cd493:0xcfd1cfda9ae57007!5m2!4m1!1i2!8m2!3d36.8004619!4d10.1674853!16s%2Fg%2F11b7vwqqkq!19sChIJk9RMrYsz_RIRB3DlmtrP0c8?authuser=0&hl=fr&rclk=1
