place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTVvLeu4NAhMRBqKhfvxMVK0,Iberostar Selection Kuriat Palace,"Chambres et suites raffinees dans hotel de luxe sur plage avec 2 restaurants, 3 piscines exterieures et spa.",False,6878,https://www.iberostar.com/en/hotels/monastir/iberostar-kuriat-palace/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DIBSVOL_EMEA_SEOLOC_GMB_NA_EN_TUN_TUN_MON_KUR_PULL_NA_NA_NA_NA_NA,Iberostar Selection Kuriat Palace (proprietaire),https://www.google.com/maps/contrib/115224448558828116619,https://lh5.googleusercontent.com/p/AF1QipM9v8lvz5FCSzuSgvpYx0XSM1Vnm0HXqwVd7MWB=w408-h272-k-no,Hotel,Hotel,4.8,,,73 520 100,"Iberostar Selection Kuriat Palace, Hotel iberostar Selection Kuriat palace Zone touristique, Dkhila 5060","animation, mario, l'equipe, animateurs, neymar, spectacle, flechettes, petanque, dedicace, amine",https://www.google.com/maps/place/Iberostar+Selection+Kuriat+Palace/data=!4m10!3m9!1s0x13020dee7acb5b4d:0xad544cfc7ea1a206!5m2!4m1!1i2!8m2!3d35.7654271!4d10.7558064!16s%2Fg%2F1tvdxn_w!19sChIJTVvLeu4NAhMRBqKhfvxMVK0?authuser=0&hl=fr&rclk=1
ChIJGymJWQqK_RIR6UVXmST4jQ4,Hotel Marhaba Salem,"Hotel en bord de plage avec piscines en interieur et en exterieur, spa, 4 restaurants et 3 bars.",False,1662,http://www.marhabasalem.tn/,Hotel Marhaba Salem (proprietaire),https://www.google.com/maps/contrib/108481785392645967866,https://lh5.googleusercontent.com/p/AF1QipONhIid2uUzfPnS7E37JGJUhB-hdxHF2rqElTvA=w426-h240-k-no,Hotel,Hotel,4.4,,,73 240 966,"Hotel Marhaba Salem, Boulevard 14 Janvier 4039 Sousse, Hammam Sousse 4039","animation, divertir, danse, animateurs, zumba, momos, disco, flechettes, tir a l'arc, aquagym",https://www.google.com/maps/place/Hotel+Marhaba+Salem/data=!4m10!3m9!1s0x12fd8a0a5989291b:0xe8df824995745e9!5m2!4m1!1i2!8m2!3d35.8594365!4d10.6164423!16s%2Fg%2F1vp5_3hj!19sChIJGymJWQqK_RIR6UVXmST4jQ4?authuser=0&hl=fr&rclk=1
ChIJg-atsaUMAhMRHpQsAhQegDg,One Resort Jockey,"Chambres sobres dans complexe convivial avec restaurant de style decontracte, 2 piscines exterieures et spa.",False,1123,https://onejockey.tn/,One Resort Jockey (proprietaire),https://www.google.com/maps/contrib/113367197913311898505,https://lh5.googleusercontent.com/p/AF1QipOc6SnhY_FclTFw2un5NbR7HRaAgQpMTb_0zAYr=w408-h272-k-no,Hotel,Hotel,4,,,73 521 833,"One Resort Jockey, Monastir","animation, divertissement, parc aquatique, toboggans, all inclusive, serveurs, bemol, animateurs, spectacle, quad",https://www.google.com/maps/place/One+Resort+Jockey/data=!4m10!3m9!1s0x13020ca5b1ade683:0x38801e14022c941e!5m2!4m1!1i2!8m2!3d35.7636875!4d10.7400625!16s%2Fg%2F11c1s18r9p!19sChIJg-atsaUMAhMRHpQsAhQegDg?authuser=0&hl=fr&rclk=1
ChIJGZRI3FYTAhMRO_hDqgfMKOY,Hotel Skanes,"Complexe tout compris convivial en bord de plage, chambres colorees, 5 piscines exterieures et 3 restaurants.",False,952,,Hotel Skanes (proprietaire),https://www.google.com/maps/contrib/104698977115559048173,https://lh5.googleusercontent.com/p/AF1QipPVuD-oa5GEp9df9zURlRpdVdig_sM_GcJt4PVu=w408-h272-k-no,Hotel,Hotel,4.4,,,29 919 643,"Hotel Skanes, Dekhila Skanes, 5000","piscine, plage, animation, loisirs, toboggan aquatique, adultes, tennis, boite de nuit, chambre familiale, all inclusive",https://www.google.com/maps/place/Hotel+Skanes/data=!4m10!3m9!1s0x13021356dc489419:0xe628cc07aa43f83b!5m2!4m1!1i2!8m2!3d35.7641601!4d10.746232!16s%2Fg%2F12hsz2kbp!19sChIJGZRI3FYTAhMRO_hDqgfMKOY?authuser=0&hl=fr&rclk=1
ChIJC8aGwUltAhMRF2DEaUWlgX4,Sahara Beach Hotel,"Complexe balneaire simple avec restaurants, bars, tennis, plusieurs piscines et club enfants.",False,583,,Sahara Beach Hotel (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHoR9as0UExLaUj5r5h7hu2silkl1dIeV8ATZmWtSt1wOlUnfZ99gHaSG8Zd-C7lsn8sggVjyqrMFhDo03TFo2nTYyaSeexDTE42oOXmS1w8f4-zACZ1IljJzKV1k7fG27fM5HVkb7X1CPvWSYv-f-BgPkpdn-udJjOfw58zJRDgFeeXGltWxDpkQ=w408-h408-k-no,Hebergement,Hebergement,4.3,,,73 461 088,"QP7J+W6V Sahara Beach Hotel, Route Tourist. Dkhila, Monastir 5000","piscines, enfants, bars, parc aquatique, animation, divertissement, souriant, tout compris, toboggans, l'equitation",https://www.google.com/maps/place/Sahara+Beach+H%C3%B4tel/data=!4m10!3m9!1s0x13026d49c186c60b:0x7e81a54569c46017!5m2!4m1!1i2!8m2!3d35.7648664!4d10.7305349!16s%2Fg%2F1td1ygrw!19sChIJC8aGwUltAhMRF2DEaUWlgX4?authuser=0&hl=fr&rclk=1
ChIJXR5jnMAMAhMRXgh1gr5FuJQ,Hilton Skanes Monastir Beach Resort,,False,426,https://www.hilton.com/en/hotels/mirsmhi-hilton-skanes-monastir-beach-resort/%3FSEO_id%3DGMB-EMEA-HI-MIRSMHI,Hilton Skanes Monastir Beach Resort (proprietaire),https://www.google.com/maps/contrib/103201951218050525977,https://lh5.googleusercontent.com/p/AF1QipM4mzjeHJERTlN5-XdgiBBNV3PpY6xA-VsCgbmL=w408-h254-k-no,Complexe hotelier,"Complexe hotelier, Institut de spa et bien-etre",4,,,31 377 737,"Hilton Skanes Monastir Beach Resort, Zone Touristique Dkhila, Monastir 5000","chambre, buffet, catastrophique, italien, animation, toboggans, remercier, superviseur, piscine couverte, employes",https://www.google.com/maps/place/Hilton+Skanes+Monastir+Beach+Resort/data=!4m10!3m9!1s0x13020cc09c631e5d:0x94b845be8275085e!5m2!4m1!1i2!8m2!3d35.7640676!4d10.7325502!16s%2Fg%2F11sb12pw0j!19sChIJXR5jnMAMAhMRXgh1gr5FuJQ?authuser=0&hl=fr&rclk=1
ChIJhyGHdNwMAhMRi_QjFl1fHAs,Hotel Magic life Family Skanes,,False,113,http://skanes.magichotelsandresorts.com/,Hotel Magic life Family Skanes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkYX6j9_2vDsQKb7iPx-9bfcwtNefi1XgCmLwM=w408-h306-k-no,Hotel,"Hotel, Parc aquatique",4.2,,,73 520 350,"QP7X+P37 Hotel Magic life Family Skanes, Monastir","piscine, plage, tennis, animation, tout compris, chambre, service",https://www.google.com/maps/place/Hotel+Magic+life+Family+Skanes/data=!4m10!3m9!1s0x13020cdc74872187:0xb1c5f5d1623f48b!5m2!4m1!1i2!8m2!3d35.7642896!4d10.7476705!16s%2Fg%2F11c1s7t80n!19sChIJhyGHdNwMAhMRi_QjFl1fHAs?authuser=0&hl=fr&rclk=1
ChIJNRzhujFtAhMROYhyxKD3wiA,Marina Cap Monastir - Appart Hotel,Appart'hotel simple pres du port de plaisance proposant logements sobres avec kitchenette et balcon.,False,105,http://www.marinamonastir.tn/,Marina Cap Monastir - Appart Hotel (proprietaire),https://www.google.com/maps/contrib/101858125151756446241,https://lh5.googleusercontent.com/p/AF1QipN2YA00MWYHqNCzy1u1NvVc9CgRANK9f3_HZBkI=w408-h272-k-no,Appartement de vacances,"Appartement de vacances, Hotel, Motel, Complexe hotelier",4,,,73 462 305,"Marina Cap Monastir - Appart Hotel, Port Marina Monastir, Monastir 5000","port, prix, bruits, vue, wifi, chambre, parking, four, literie, serviettes",https://www.google.com/maps/place/Marina+Cap+Monastir+-+Appart+H%C3%B4tel/data=!4m10!3m9!1s0x13026d31bae11c35:0x20c2f7a0c4728839!5m2!4m1!1i2!8m2!3d35.7812576!4d10.8333758!16s%2Fg%2F1tfx6_z2!19sChIJNRzhujFtAhMROYhyxKD3wiA?authuser=0&hl=fr&rclk=1
ChIJ17MCZzRtAhMRFeoUQjypLdY,The Wave Hostel Monastir,,False,19,,The Wave Hostel Monastir (proprietaire),https://www.google.com/maps/contrib/102036961262712746067,https://lh5.googleusercontent.com/p/AF1QipMjxogt-9Z9nO1scI-n8X-6NMPaO3L9jS-e5NUp=w408-h673-k-no,Hostel,Hostel,4.3,,,24 674 623,"The Wave Hostel Monastir, QRGG+PQ9, Auberge de Monastir 500, Sidi Sree Mosque, Monastir",prix,https://www.google.com/maps/place/The+Wave+Hostel+Monastir/data=!4m10!3m9!1s0x13026d346702b3d7:0xd62da93c4214ea15!5m2!4m1!1i2!8m2!3d35.7767786!4d10.8269781!16s%2Fg%2F11c5cj5pyx!19sChIJ17MCZzRtAhMRFeoUQjypLdY?authuser=0&hl=fr&rclk=1
ChIJZ_PBIjANAhMRzwIZZAPUGLQ,Le Soleil Bella Vista - Couple and family only,,False,6,,Le Soleil Bella Vista - Couple and family only (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPtnlHznetmg8o2bMkWcz28ND2nzxcnLll-ObGm=w408-h306-k-no,Hotel,Hotel,4,,,73 325 334,"QQ98+VPF Le Soleil Bella Vista - Couple and family only, Zone Touristique Skanes, Monastir 5000",,https://www.google.com/maps/place/Le+Soleil+Bella+Vista+-+Couple+and+family+only/data=!4m10!3m9!1s0x13020d3022c1f367:0xb418d403641902cf!5m2!4m1!1i2!8m2!3d35.7696823!4d10.7668079!16s%2Fg%2F11fd49ks8t!19sChIJZ_PBIjANAhMRzwIZZAPUGLQ?authuser=0&hl=fr&rclk=1
