place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJC_t_doHqVxIRBSdxoDs_X_g,Hotel Ras El Ain Tozeur,"Hotel de luxe, restaurant de style decontracte, spa, salle de fitness, et piscines interieure et exterieure.",False,1042,https://www.goldenyasmin.com/,Hotel Ras El Ain Tozeur (proprietaire),https://www.google.com/maps/contrib/105542293437372958323,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHr9qOHJ9GkyDg-Yar8vmj3UJ6pmQH3-mYIdUUl1xmi15bORy48-HOE3OtHHLr76J8tGqNX68-hQZsfhFL-vGG9xgYzyz8loWgiK_179AY9bnFOQhBmOtSlgZZujttlInHt5SGPt8pfeNv0pgFWjmN-xi00RqyKkkLfUIK5majeX4AnYXeR3FmM=w426-h240-k-no,Hotel,Hotel,4,,,76 452 003,"Hotel Ras El Ain Tozeur, Bp 141, Tozeur 2200","chambre, buffet, desert, restauration, excursion, proprete, equipe, massage, piscine couverte, service",https://www.google.com/maps/place/H%C3%B4tel+Ras+El+A%C3%AFn+Tozeur/data=!4m10!3m9!1s0x1257ea81767ffb0b:0xf85f3f3ba0712705!5m2!4m1!1i2!8m2!3d33.9129878!4d8.1174973!16s%2Fg%2F1tdjt4t4!19sChIJC_t_doHqVxIRBSdxoDs_X_g?authuser=0&hl=fr&rclk=1
ChIJ3f____OHVhIRqL79-G_DNfY,Sahara Douz,"Elegant hotel aux allures de chateau avec restaurant, bars, piscines interieure et exterieure, spa.",False,951,http://www.saharadouz.com/,Sahara Douz (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEWniRiM7Jjk6xb9NylXlLGKDu8LhNlmako8SN3mDj6hq5XzEFffukyYw5h4F6jJdW2namUPIh-XdGrye6OeZ-oIUkulx2sLi-JryT_tH1z2l-n9YsySqstWwwYwJ5BADAycjTHkCEoZBmmfyIH-CYmlNeoQjzz1ZwK0k-5kbXeIB-wdSr1JoceZg=w408-h271-k-no,Hotel,Hotel,4,,,75 470 864,"Sahara Douz, Zone Touristique De Douz, Douz, 4260, 4260","piscine, desert, chambre, buffet, boissons, bar, excursion, chicha, oasis, chameau",https://www.google.com/maps/place/Sahara+Douz/data=!4m10!3m9!1s0x125687f3ffffffdd:0xf635c36ff8fdbea8!5m2!4m1!1i2!8m2!3d33.4353323!4d9.0200085!16s%2Fg%2F1pxxrv1m1!19sChIJ3f____OHVhIRqL79-G_DNfY?authuser=0&hl=fr&rclk=1
ChIJTTF4AzTrVxIRKAzjuIX02pc,Anantara Sahara Tozeur Resort & Villas,,False,384,https://www.anantara.com/sahara-tozeur%3Futm_source%3DGoogleMyBusiness%26utm_medium%3DGMB%26utm_term%3DTozeur%26utm_content%3DHome%26utm_campaign%3DGoogle_GMB,Anantara Sahara Tozeur Resort & Villas (proprietaire),https://www.google.com/maps/contrib/106009733832937234221,https://lh5.googleusercontent.com/p/AF1QipNMv2Fq7YyUGK0BnjEYb-To_nDqW6teTUUCGvaA=w408-h272-k-no,Complexe hotelier,Complexe hotelier,4.6,,,70 100 800,"Anantara Sahara Tozeur Resort & Villas, Mrah lahwar 2200, Tozeur","desert, chambre, vue, souriant, gentillesse, architecture, oasis, concierge, hotel de luxe, menage",https://www.google.com/maps/place/Anantara+Sahara+Tozeur+Resort+%26+Villas/data=!4m10!3m9!1s0x1257eb340378314d:0x97daf485b8e30c28!5m2!4m1!1i2!8m2!3d33.8958125!4d8.0795625!16s%2Fg%2F11hzqy0dh4!19sChIJTTF4AzTrVxIRKAzjuIX02pc?authuser=0&hl=fr&rclk=1
ChIJBy0ku4zqVxIRsAeBnvJtip8,Residence l'Oued,"Hotel de style marocain avec restaurant a l'ambiance decontractee, piscine exterieure et chambres conviviales.",False,162,http://www.hotel-residence-loued-tozeur.vivehotels.com/,Residence l'Oued (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEGwWmdxWB3pKWIupU0WElxkrshJp_MsoTQ8Rv1Tekzueyl5NVyYi7d5WDMRgp3L2NbxoiRAmthlB1Pq7LIEv7Nd0iXxRsSyiq4nQZsYYAft5mva-9x-BekFF6TjH6Q3JqHYiWAMPQnoL4EoOOQgzlXHKtHJNOwC_AJYl0YJMToS5zfATSQJYEm=w408-h408-k-no,Hotel,Hotel,4.1,,,76 463 036,"W47H+942 Residence l'Oued, Tozeur","piscine, prix, chambre, nettoyage, service, monnaie",https://www.google.com/maps/place/R%C3%A9sidence+l%E2%80%99Oued/data=!4m10!3m9!1s0x1257ea8cbb242d07:0x9f8a6df29e8107b0!5m2!4m1!1i2!8m2!3d33.913436!4d8.1277689!16s%2Fg%2F1tf8jrfw!19sChIJBy0ku4zqVxIRsAeBnvJtip8?authuser=0&hl=fr&rclk=1
ChIJAcWcopaMVxIRMpeKvvl0yKQ,Dar Hi Life,Chambres et suites modernes au decor eclectique dans hotel eco-chic avec hammam et petit-dejeuner gratuit.,False,86,http://www.dar-hi.net/,Dar Hi Life (proprietaire),https://www.google.com/maps/contrib/100530668687262081497,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG7YiFe91GbI_ZfOebrSmpNezeho0GtrCPljEMN_tOAdMtN46075LHYXj1MJwlEyxcgKJewTq8ELU9aQlZXkgCRadyeEVTnhy6yXR-Xc7GllrtaO0BPaiiPtgnCsMNccYcffQV6LY3MvxxbqZjtJCxfHvTQ8u-UoiqsTzONH87vf2MHUQgBYMPwDg=w408-h242-k-no,Hotel,Hotel,4.4,,,76 432 779,"VVGM+X2 Dar Hi Life, Quartier Ezaouia, Nefta","piscine, architecture, experience, source, hammam, desert, magique, cuisine, coucher de soleil, spa",https://www.google.com/maps/place/Dar+Hi+Life/data=!4m10!3m9!1s0x12578c96a29cc501:0xa4c874f9be8a9732!5m2!4m1!1i2!8m2!3d33.8774375!4d7.8825625!16s%2Fg%2F1tlk3n5l!19sChIJAcWcopaMVxIRMpeKvvl0yKQ?authuser=0&hl=fr&rclk=1
ChIJOVGLS7C14hIRguF_dMNFQ8U,LA MENARA,,False,41,http://www.lamenara.tn/,LA MENARA (proprietaire),https://www.google.com/maps/contrib/113361500000227367193,https://lh5.googleusercontent.com/p/AF1QipO1kfiG91wZVnrIMm6tP9fwmcayh10XoBeuX5YT=w408-h725-k-no,Hotel,Hotel,4.9,,,54 847 878,"LA MENARA, 2026 Rue Ali Ben Ayed, Tunis","chambre, piscine",https://www.google.com/maps/place/LA+MENARA/data=!4m10!3m9!1s0x12e2b5b04b8b5139:0xc54345c3747fe182!5m2!4m1!1i2!8m2!3d36.8722516!4d10.3452926!16s%2Fg%2F11k4nyktz6!19sChIJOVGLS7C14hIRguF_dMNFQ8U?authuser=0&hl=fr&rclk=1
ChIJLVHD7KOX-BIRCpn0YkrZovE,dar seddik residence d artistes,,False,35,https://www.facebook.com/mounir.letaief.5,dar seddik residence d artistes (proprietaire),https://www.google.com/maps/contrib/101309453049517576921,https://lh5.googleusercontent.com/p/AF1QipMO5ue0YAWCt7t9l5U3yaBSMKL6r_zdsEuynbLL=w408-h272-k-no,Hotel,Hotel,4.7,,,21 171 717,"dar seddik residence d artistes, oasis, Gafsa 2100","diner, chambre",https://www.google.com/maps/place/dar+seddik+residence+d+artistes/data=!4m10!3m9!1s0x12f897a3ecc3512d:0xf1a2d94a62f4990a!5m2!4m1!1i2!8m2!3d34.4150912!4d8.7793319!16s%2Fg%2F11pz30_5n_!19sChIJLVHD7KOX-BIRCpn0YkrZovE?authuser=0&hl=fr&rclk=1
ChIJuftFz3NK-RIR13QFVzpTX2Y,Hotel de la Jeunesse,,False,24,,Hotel de la Jeunesse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNv2h6scWy9lCcpH1gPBUZmmwl_e8avspgUnsWI=w408-h544-k-no,Hostel,Hostel,4.3,,,77 466 528,"Hotel de la Jeunesse, 40 Av. Habib Bourguiba, Sbeitla",,https://www.google.com/maps/place/Hotel+de+la+Jeunesse/data=!4m10!3m9!1s0x12f94a73cf45fbb9:0x665f533a570574d7!5m2!4m1!1i2!8m2!3d35.2284444!4d9.1280053!16s%2Fg%2F11c5bdbxgt!19sChIJuftFz3NK-RIR13QFVzpTX2Y?authuser=0&hl=fr&rclk=1
ChIJZzqhpaKMVxIR1scSTCq2e2A,Villa Dar Zargouni,,False,23,,Villa Dar Zargouni (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEYdh4eumbqmB0FxtjQ-t1mD_DibXt-UsqIXBmDqenfzDz8SdhhmincY0YewDAKc-ecj0TotlppThMG6axMwJbGewjTV1_Luf3q9ypnQSZWtP70oYo9wl0hhdRKdhdV7gyZVH5zbafz3OfSqarguiCDleKoFpHObKZ221fKTcsSm41nZztfEDE=w408-h271-k-no,Maison d'hotes,Maison d'hotes,4.1,,,98 621 920,"VVHJ+PW6 Villa Dar Zargouni, Route Sahara Palace, Naftah 2240",,https://www.google.com/maps/place/Villa+Dar+Zargouni/data=!4m10!3m9!1s0x12578ca2a5a13a67:0x607bb62a4c12c7d6!5m2!4m1!1i2!8m2!3d33.8792834!4d7.8822619!16s%2Fg%2F1tqks4nx!19sChIJZzqhpaKMVxIR1scSTCq2e2A?authuser=0&hl=fr&rclk=1
ChIJKbk3OYGNVxIRjAMugGnbonw,Hotel Marhala,,False,3,,Hotel Marhala (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFXeU1VRIiU6VjeJlITqckL3CwJ3Z1M0kLzNzxjzkNi-KIMOCRchttquvzt6M6st-YnzEfJIDhiNpJrWTO55dU8-E3t0yotzHjl5Rn3Xcb-P1qw_dch410J43oJPfpJgJheRa6WkXWfmY6urugbjj-iyo7M2NFl9IquHvU6alXKy34L9jM7UjsO=w408-h271-k-no,Hotel,Hotel,4,,,,"VV9F+F26 Hotel Marhala, Palmeraie de, Zone Touristique, Nefta 2240",,https://www.google.com/maps/place/Hotel+Marhala/data=!4m10!3m9!1s0x12578d813937b929:0x7ca2db69802e038c!5m2!4m1!1i2!8m2!3d33.8698539!4d7.8723953!16s%2Fg%2F11jzgynyjh!19sChIJKbk3OYGNVxIRjAMugGnbonw?authuser=0&hl=fr&rclk=1
