place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTVvLeu4NAhMRBqKhfvxMVK0,Iberostar Selection Kuriat Palace,"Chambres et suites raffinees dans hotel de luxe sur plage avec 2 restaurants, 3 piscines exterieures et spa.",False,6878,https://www.iberostar.com/en/hotels/monastir/iberostar-kuriat-palace/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DIBSVOL_EMEA_SEOLOC_GMB_NA_EN_TUN_TUN_MON_KUR_PULL_NA_NA_NA_NA_NA,Iberostar Selection Kuriat Palace (proprietaire),https://www.google.com/maps/contrib/115224448558828116619,https://lh5.googleusercontent.com/p/AF1QipM9v8lvz5FCSzuSgvpYx0XSM1Vnm0HXqwVd7MWB=w408-h272-k-no,Hotel,Hotel,4.8,,,73 520 100,"Iberostar Selection Kuriat Palace, Hotel iberostar Selection Kuriat palace Zone touristique, Dkhila 5060","animation, mario, l'equipe, animateurs, neymar, spectacle, flechettes, petanque, dedicace, amine",https://www.google.com/maps/place/Iberostar+Selection+Kuriat+Palace/data=!4m10!3m9!1s0x13020dee7acb5b4d:0xad544cfc7ea1a206!5m2!4m1!1i2!8m2!3d35.7654271!4d10.7558064!16s%2Fg%2F1tvdxn_w!19sChIJTVvLeu4NAhMRBqKhfvxMVK0?authuser=0&hl=fr&rclk=1
ChIJdc-EXIR1AhMRfunMH3KWB8o,JAZ Tour KHALEF,"Complexe raffine avec chambres et suites claires, spa, piscines d'eau salee et vue sur mer.",False,6106,https://www.jazhotels.com/hoteldetail/48-tunisia-tunisia-jaz-tour-khalef,JAZ Tour KHALEF (proprietaire),https://www.google.com/maps/contrib/117198368217060196270,https://lh5.googleusercontent.com/p/AF1QipODLb067KC1dTP_zHwcU8dc_vgjDdNUXh6IZSem=w408-h272-k-no,Hotel,"Hotel, Spa",4.7,,,73 241 844,"JAZ Tour KHALEF, Bd du 14 Janvier, Sousse 4051","animation, thalasso, animateurs, l'equipe, jazz, remerciement, disco, mahdi, fatiha",https://www.google.com/maps/place/JAZ+Tour+KHALEF/data=!4m10!3m9!1s0x130275845c84cf75:0xca0796721fcce97e!5m2!4m1!1i2!8m2!3d35.8488573!4d10.6198143!16s%2Fg%2F1hhxpwzxg!19sChIJdc-EXIR1AhMRfunMH3KWB8o?authuser=0&hl=fr&rclk=1
ChIJUzgPUYR1AhMRydfR9quFIUo,Movenpick Sousse,"Chambres et suites elegantes dans complexe chic en bord de plage avec spa de luxe, piscines et 5 restaurants.",False,3906,https://movenpick.accor.com/en/africa/tunisia/sousse/hotel-sousse.html%3Fmerchantid%3Dseo-maps-TN-B4I8%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DSousse%26y_source%3D1_MTUzNjI2OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Sousse (proprietaire),https://www.google.com/maps/contrib/115364484336977391461,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGFAIPWifQMafhxY1EzMHc5rRSKHIVlGMju4EN4o7BPAbIxJKiJoqF6aUEWC76NwDW7FX57_j0-lVKMmUv-pyA7dxFv8M7o56Xn9gRFgKRAttpZrj2tsSueGgrxc8BsbrmAc4rJzU5VxSMU4Iq8ujl-8tLe20JnYlbavzo1A_Mc58kHeazZ3jqR=w408-h272-k-no,Hotel,Hotel,4.3,,,73 202 000,"Movenpick Sousse, Bd du 14 Janvier, Sousse 4039","restauration, serveurs, massage, thalasso, burkini, villa, animation, qualite, iftar, islamophobie",https://www.google.com/maps/place/M%C3%B6venpick+Sousse/data=!4m10!3m9!1s0x13027584510f3853:0x4a2185abf6d1d7c9!5m2!4m1!1i2!8m2!3d35.8425522!4d10.6272781!16s%2Fg%2F1tjj8jfj!19sChIJUzgPUYR1AhMRydfR9quFIUo?authuser=0&hl=fr&rclk=1
ChIJGymJWQqK_RIRojgs5ucRyDY,Hotel Marhaba Royal Salem,"Logements clairs dans complexe convivial en bord de plage avec restaurant, piscines, club enfants et spa.",False,2205,https://www.royalsalem.tn/,Hotel Marhaba Royal Salem (proprietaire),https://www.google.com/maps/contrib/103136526160093510562,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEqWbUcvfHIa1TE_ACiPeen0RWQ00150t5Jb9d6UBSU1H7L6PKd5xzzDhor27Zdby3V8x7Mh51xhqUusp1KLh8FFUIA6me99xnsXUWZQYI0hM83YOoy__iAkvNfWrY-M_Dj2lXn83Fh5EUElUjsxxZqA1qekYTXS412qow2OXzqiGsPpLPvlCuq=w408-h270-k-no,Hotel,Hotel,4.3,,,73 271 588,"Hotel Marhaba Royal Salem, Marhaba Royal Salem, Boulevard du 14 Janvier, Sousse 4039","animation, divertissement, pourboire, all inclusive, danse, toboggan, zumba, animateurs, flechettes, momos",https://www.google.com/maps/place/Hotel+Marhaba+Royal+Salem/data=!4m10!3m9!1s0x12fd8a0a5989291b:0x36c811e7e62c38a2!5m2!4m1!1i2!8m2!3d35.858572!4d10.6158463!16s%2Fg%2F1vpgzxgr!19sChIJGymJWQqK_RIRojgs5ucRyDY?authuser=0&hl=fr&rclk=1
ChIJy5NJ5Yh1AhMRVS9qKGeOiW0,Hotel Marhaba Beach,"Complexe simple en front de mer avec piscines interieure/exterieures, restaurant buffet et terrains de sport.",False,1667,http://marhababeach.tn/,Hotel Marhaba Beach (proprietaire),https://www.google.com/maps/contrib/101024654895170047676,https://lh5.googleusercontent.com/p/AF1QipOFsnm6okb4g8i56Z7ce5OFHtzLidHCRmbW_6Cf=w408-h306-k-no,Hotel,Hotel,4.2,,,73 240 112,"Hotel Marhaba Beach, Bd du 14 Janvier, Sousse 4039","animation, all inclusive, divertir, jour ferie, pourboires, territoire, massage, hammam, animateurs, maitre nageur",https://www.google.com/maps/place/H%C3%B4tel+Marhaba+Beach/data=!4m10!3m9!1s0x13027588e54993cb:0x6d898e67286a2f55!5m2!4m1!1i2!8m2!3d35.8487989!4d10.6197962!16s%2Fg%2F1tg_090c!19sChIJy5NJ5Yh1AhMRVS9qKGeOiW0?authuser=0&hl=fr&rclk=1
ChIJGymJWQqK_RIR6UVXmST4jQ4,Hotel Marhaba Salem,"Hotel en bord de plage avec piscines en interieur et en exterieur, spa, 4 restaurants et 3 bars.",False,1662,http://www.marhabasalem.tn/,Hotel Marhaba Salem (proprietaire),https://www.google.com/maps/contrib/108481785392645967866,https://lh5.googleusercontent.com/p/AF1QipONhIid2uUzfPnS7E37JGJUhB-hdxHF2rqElTvA=w426-h240-k-no,Hotel,Hotel,4.4,,,73 240 966,"Hotel Marhaba Salem, Boulevard 14 Janvier 4039 Sousse, Hammam Sousse 4039","animation, divertir, danse, animateurs, zumba, momos, disco, flechettes, tir a l'arc, aquagym",https://www.google.com/maps/place/Hotel+Marhaba+Salem/data=!4m10!3m9!1s0x12fd8a0a5989291b:0xe8df824995745e9!5m2!4m1!1i2!8m2!3d35.8594365!4d10.6164423!16s%2Fg%2F1vp5_3hj!19sChIJGymJWQqK_RIR6UVXmST4jQ4?authuser=0&hl=fr&rclk=1
ChIJQ9nY-6UMAhMRL8iKcKYLJZ0,One Resort Aqua Park & Spa,"Chambres sobres dans complexe balneaire tout compris avec 4 piscines, spa et plusieurs restaurants.",False,1618,https://oneaqua.tn/,One Resort Aqua Park & Spa (proprietaire),https://www.google.com/maps/contrib/108649289853985116648,https://lh5.googleusercontent.com/p/AF1QipOzw2jFZWQew12ezv6f8mK74g0bfI51QHZJ25I=w408-h263-k-no,Hotel,Hotel,4.1,,,73 521 750,"One Resort Aqua Park & Spa, Route Touristique, Monastir 5029","plage, parc aquatique, animation, toboggans, bungalows, divertissement, excursions, all inclusive, animateurs, pirate",https://www.google.com/maps/place/One+Resort+Aqua+Park+%26+Spa/data=!4m10!3m9!1s0x13020ca5fbd8d943:0x9d250ba6708ac82f!5m2!4m1!1i2!8m2!3d35.7716804!4d10.7147255!16s%2Fg%2F11c5zk594v!19sChIJQ9nY-6UMAhMRL8iKcKYLJZ0?authuser=0&hl=fr&rclk=1
ChIJRdwjPb8MAhMReEytdu9i5cg,Sahara Beach AquaPark Resort,"Complexe convivial tout compris avec bars a theme, espace prive sur la plage et complexe aquatique exterieur.",False,1444,,Sahara Beach AquaPark Resort (proprietaire),https://www.google.com/maps/contrib/102030921786094542061,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGGGv72_AePjemHUU5tc52nHXFzlvA83CxJJucK2jltpEv2SpXLVGWOgb6q4Fa4t_nRd1FKCYwVBhGeQSFj5jTytLx3AC0pmqRlhmTuBaImQtV1_S-hguKprgC7jbah8XBAYRN7iQSuarZv6hSWdXie8zjJre52EPmLsiAzhQw-mYvLrjmS3rkF=w408-h272-k-no,Hotel,Hotel,4.3,,,73 521 088,"Sahara Beach AquaPark Resort, Monastir 5000","parc aquatique, animation, divertissements, all inclusive, toboggans, mini golf, discotheque, equestre, tir a l'arc, qualite",https://www.google.com/maps/place/Sahara+Beach+AquaPark+Resort/data=!4m10!3m9!1s0x13020cbf3d23dc45:0xc8e562ef76ad4c78!5m2!4m1!1i2!8m2!3d35.763991!4d10.729932!16s%2Fg%2F1hc27m28n!19sChIJRdwjPb8MAhMReEytdu9i5cg?authuser=0&hl=fr&rclk=1
ChIJvypHhYh1AhMRLl_Lk51M3hE,Occidental Sousse Marhaba,"Chambres et suites classiques dans hotel raffine avec 3 restaurants, 8 bars, discotheque et piscines.",False,1442,https://www.barcelo.com/fr-fr/occidental-sousse-marhaba/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmy_business%26utm_content%3D10319,Occidental Sousse Marhaba (proprietaire),https://www.google.com/maps/contrib/100629833311419019805,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHdX1pBD3ceWbznAVpCh5RGc2W-X_L7i5a267-8JNIo7EMADTggGioBSzdTdMNg43Gt2HizOaTNrhsYwnf090DGslZ1WI_7jRofc6oKClyB2auXo-31FiRpnRaBK-e2JAhwaqBD4AAJxSdqzSlZF_L0Dsdd7xaGCnXJwYBoH2GAa9tdLD0TfJinEQ=w408-h254-k-no,Hotel,"Hotel, Piscine",4,,,73 241 667,"Occidental Sousse Marhaba, 2011 Av. 14 Janvier, Sousse 4039","plage, all inclusive, animation, divertissement, serveurs, toboggan, buffet, animateurs, aquagym, flechettes",https://www.google.com/maps/place/Occidental+Sousse+Marhaba/data=!4m10!3m9!1s0x1302758885472abf:0x11de4c9d93cb5f2e!5m2!4m1!1i2!8m2!3d35.846735!4d10.6219208!16s%2Fg%2F1tf8b331!19sChIJvypHhYh1AhMRLl_Lk51M3hE?authuser=0&hl=fr&rclk=1
ChIJg-atsaUMAhMRHpQsAhQegDg,One Resort Jockey,"Chambres sobres dans complexe convivial avec restaurant de style decontracte, 2 piscines exterieures et spa.",False,1123,https://onejockey.tn/,One Resort Jockey (proprietaire),https://www.google.com/maps/contrib/113367197913311898505,https://lh5.googleusercontent.com/p/AF1QipOc6SnhY_FclTFw2un5NbR7HRaAgQpMTb_0zAYr=w408-h272-k-no,Hotel,Hotel,4,,,73 521 833,"One Resort Jockey, Monastir","animation, divertissement, parc aquatique, toboggans, all inclusive, serveurs, bemol, animateurs, spectacle, quad",https://www.google.com/maps/place/One+Resort+Jockey/data=!4m10!3m9!1s0x13020ca5b1ade683:0x38801e14022c941e!5m2!4m1!1i2!8m2!3d35.7636875!4d10.7400625!16s%2Fg%2F11c1s18r9p!19sChIJg-atsaUMAhMRHpQsAhQegDg?authuser=0&hl=fr&rclk=1
