place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJX4Fk4fa9VBIRtQAx1QVTp7U,Kenza,,False,142,http://www.kenza-chenini.com/,Kenza (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHF8xmvl0R0FRBjwHCXZ-bGuH9wX59H_vaBmfCdTs3ntjvSBOUwOuw605SjQ7SWZu2X2Qr9byO5CRztOcxuLSo4mGwTQbCBkwmxtOg69i-GKDjML9ceo8UvD3dpbJIR7AZ89qHXBGAEE8Hsyw3BlAX33AG4mLKYDYWXYJVdI8r6z6jw_UnJHg=w408-h306-k-no,Hebergement d'interieur,Hebergement d'interieur,4.3,,,97 284 086,"Kenza, Chenini Troglodytique 3222 Shanini Shanini, 3222","experience, chambres, troglodytes, grottes, village, diner, prix, coeur, magique, region",https://www.google.com/maps/place/Kenza/data=!4m10!3m9!1s0x1254bdf6e164815f:0xb5a75305d53100b5!5m2!4m1!1i2!8m2!3d32.9113253!4d10.2639852!16s%2Fg%2F1tn8npfc!19sChIJX4Fk4fa9VBIRtQAx1QVTp7U?authuser=0&hl=fr&rclk=1
ChIJz59fOAi7VBIRmXq6pu2BprM,Ksar Ouled Debbab,,False,78,https://galaxytours.com/starwars-tunisia-recce-sites/ksar-ouled-debbab/,Ksar Ouled Debbab (proprietaire),https://www.google.com/maps/contrib/116499249567203523439,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGqYoEnc1fzKW27MxDO13YiuGDXs_d0DPqU7AAx7hFEvX5oBrACnUD49QI7jOWjRqQMNSyuouOoh3NCKFeDRXNTxvkkTd1ZwxkPek0uvmuMOY4Nm4MSSDycxShgoBBow2lb_L31IMe3e3jpKnT8mGkNx9X6OPZwdnRzf-ffzKf3fpOJC71pGj03gQ=w408-h306-k-no,Hotel,Hotel,4.3,,,29 564 663,"Ksar Ouled Debbab, 3242","touristique, prix, chambre, cafe",https://www.google.com/maps/place/Ksar+Ouled+Debbab/data=!4m10!3m9!1s0x1254bb08385f9fcf:0xb3a681eda6ba7a99!5m2!4m1!1i2!8m2!3d32.8699487!4d10.3815236!16s%2Fg%2F12cpc9s5k!19sChIJz59fOAi7VBIRmXq6pu2BprM?authuser=0&hl=fr&rclk=1
ChIJD1Y37Vy3VBIRcBBOq4Q3TLA,Auberge Alferdaous,,False,49,https://www.hotelstunisian.com/auberge-alferdaous/,Auberge Alferdaous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPWIinOxmCbpNcXYKpq8fMcPSDYhRcaW3SloCoD=w408-h306-k-no,Hostel,Hostel,4.3,,,90 031 690,"Auberge Alferdaous, 44 Av. habib bourguiba, Tataouine 3200","prix, cuisine, centre ville, droit de propriete, payer, dinar, wifi, douche, pain, climatisation",https://www.google.com/maps/place/Auberge+Alferdaous/data=!4m10!3m9!1s0x1254b75ced37560f:0xb04c3784ab4e1070!5m2!4m1!1i2!8m2!3d32.9282678!4d10.4488963!16s%2Fg%2F11h11kzbv6!19sChIJD1Y37Vy3VBIRcBBOq4Q3TLA?authuser=0&hl=fr&rclk=1
ChIJLy2KZlnJVBIR2oI0DaBcB_o,Hotel AL RAYAN Tataouine Nouvelle,,False,35,http://hotelalrayan.tn/,Hotel AL RAYAN Tataouine Nouvelle (proprietaire),https://www.google.com/maps/contrib/113401738791775686164,https://lh5.googleusercontent.com/p/AF1QipPpDySMDdkyShxkIhehMf4iQOqDtDvAodft1RCj=w408-h272-k-no,Hotel,Hotel,4.2,,,75 870 097,"Hotel AL RAYAN Tataouine Nouvelle, Tataouine 3262",piscine,https://www.google.com/maps/place/Hotel+AL+RAYAN+Tataouine+Nouvelle/data=!4m10!3m9!1s0x1254c959668a2d2f:0xfa075ca00d3482da!5m2!4m1!1i2!8m2!3d32.99158!4d10.4624472!16s%2Fg%2F11rg4gbdzb!19sChIJLy2KZlnJVBIR2oI0DaBcB_o?authuser=0&hl=fr&rclk=1
ChIJ34qOfgTXVBIRkgSf8TnasZg,Maison d'hotes La Cuesta Medenine,,False,31,,Maison d'hotes La Cuesta Medenine (proprietaire),https://www.google.com/maps/contrib/108639821203852812938,https://lh5.googleusercontent.com/p/AF1QipPdyXYZ-UPii7hoNaYkZraoLOufxoiPVvmMtfXd=w408-h306-k-no,Residence hoteliere,"Residence hoteliere, Maison d'hotes",4.7,,,96 059 845,"Maison d'hotes La Cuesta Medenine, ndeg 3 Rue Ibn Battouta, Medenine 4100","chambres, jardin, proprete",https://www.google.com/maps/place/Maison+d%27h%C3%B4tes+La+Cuesta+Medenine/data=!4m10!3m9!1s0x1254d7047e8e8adf:0x98b1da39f19f0492!5m2!4m1!1i2!8m2!3d33.3370058!4d10.4923823!16s%2Fg%2F11g4ds4fjs!19sChIJ34qOfgTXVBIRkgSf8TnasZg?authuser=0&hl=fr&rclk=1
ChIJqckJXaK3VBIR5irCY9uZuHs,Dar ettawfik,,False,12,,Dar ettawfik (proprietaire),https://www.google.com/maps/contrib/112108363884854459263,https://lh5.googleusercontent.com/p/AF1QipN26vZonitn7K-zVXzYHYpxbEYe6t6L4BitJZuG=w408-h272-k-no,Maison d'hotes,"Maison d'hotes, Villa",5,,,22 777 216,"Dar ettawfik, Rue Arabie Saoudite, Tataouine 3234","diner, enfants",https://www.google.com/maps/place/Dar+ettawfik/data=!4m10!3m9!1s0x1254b7a25d09c9a9:0x7bb899db63c22ae6!5m2!4m1!1i2!8m2!3d32.9449748!4d10.4673285!16s%2Fg%2F11sd8w245h!19sChIJqckJXaK3VBIR5irCY9uZuHs?authuser=0&hl=fr&rclk=1
ChIJN0vv7gS3VBIReCWFOn28W_g,Dar essadeg,,False,9,"https://www.booking.com/hotel/tn/dar-essadeg-tataouine12.fr.html%3Faid%3D376366%26label%3Dfr-51aYADzKCvHZ21Orv3nXsASM193330406601:pl:ta:p1:p22.563.000:ac:ap:neg:fi:tikwd-65526620:lp9075940:li:dem:dm:ppccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o%26sid%3Df5220773e9ac84bf3977577177c6ecd0%26all_sr_blocks%3D831527901_348345905_2_0_0%3Bcheckin%3D2022-06-21%3Bcheckout%3D2022-06-22%3Bdest_id%3D-731465%3Bdest_type%3Dcity%3Bdist%3D0%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Bhapos%3D2%3Bhighlighted_blocks%3D831527901_348345905_2_0_0%3Bhpos%3D2%3Bmatching_block_id%3D831527901_348345905_2_0_0%3Bno_rooms%3D1%3Breq_adults%3D2%3Breq_children%3D0%3Broom1%3DA,A%3Bsb_price_type%3Dtotal%3Bsr_order%3Dpopularity%3Bsr_pri_blocks%3D831527901_348345905_2_0_0__3000%3Bsrepoch%3D1655398898%3Bsrpvid%3D7c9f78185d370021%3Btype%3Dtotal%3Bucfs%3D1%26",Dar essadeg (proprietaire),https://www.google.com/maps/contrib/101778497337234972921,https://lh5.googleusercontent.com/p/AF1QipMyatQp-OlT3TVDujR_DuU4qtdbTJbvYVMFnO8D=w408-h306-k-no,Lodge,"Lodge, Hebergement de groupe",4.9,,,97 284 185,"Dar essadeg, P19, Tataouine",,https://www.google.com/maps/place/Dar+essadeg/data=!4m10!3m9!1s0x1254b704eeef4b37:0xf85bbc7d3a852578!5m2!4m1!1i2!8m2!3d32.9251725!4d10.4409536!16s%2Fg%2F11j0r4k5ky!19sChIJN0vv7gS3VBIReCWFOn28W_g?authuser=0&hl=fr&rclk=1
ChIJM3UX9yO3VBIRwhtzPqfusDE,Tataouineranch,,False,2,https://destinationdahar.com/places/tataouine-les-bains/,Tataouineranch (proprietaire),https://www.google.com/maps/contrib/110334790113768333986,https://lh5.googleusercontent.com/p/AF1QipPjF_IFFnNRjrM-41vCIuv9Bv5cUHAEtXXqgL2s=w408-h271-k-no,Maison d'hotes,"Maison d'hotes, Chambre d'hotes",5,,,,"WFW9+737 Tataouineranch, Tataouine 3234",,https://www.google.com/maps/place/Tataouineranch/data=!4m10!3m9!1s0x1254b723f7177533:0x31b0eea73e731bc2!5m2!4m1!1i2!8m2!3d32.9456066!4d10.4677177!16s%2Fg%2F11st70yl65!19sChIJM3UX9yO3VBIRwhtzPqfusDE?authuser=0&hl=fr&rclk=1
ChIJWcEioue3VBIRvGnQO4QC5Ms,Hotel Belmharem,,False,2,https://www.facebook.com/profile.php%3Fid%3D100077652843936%26mibextid%3DZbWKwL,Hotel Belmharem (proprietaire),https://www.google.com/maps/contrib/100063739711183365406,https://lh5.googleusercontent.com/p/AF1QipMPDR87T8NMcX3-YFJC2dcdfDLkIJXAuLtZkrMu=w408-h545-k-no,Hotel,Hotel,5,,,75 860 104,"Hotel Belmharem, Tataouine",,https://www.google.com/maps/place/Hotel+Belmharem/data=!4m10!3m9!1s0x1254b7e7a222c159:0xcbe402843bd069bc!5m2!4m1!1i2!8m2!3d32.9289361!4d10.4500232!16s%2Fg%2F11twg0vdpf!19sChIJWcEioue3VBIRvGnQO4QC5Ms?authuser=0&hl=fr&rclk=1
ChIJ6br58uu4VBIRFjDTHS7Qx-4,Hotel Mabrouk,,False,1,,Hotel Mabrouk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPgfWKue8tW-mPA_cbELwvz18XuF-jL10WG4Thq=w426-h240-k-no,Hotel,Hotel,4,,,98 438 115,X9HG+FW3 Hotel Mabrouk,,https://www.google.com/maps/place/Hotel+Mabrouk/data=!4m10!3m9!1s0x1254b8ebf2f9bae9:0xeec7d02e1dd33016!5m2!4m1!1i2!8m2!3d32.978643!4d10.3773007!16s%2Fg%2F11dxqd1zzz!19sChIJ6br58uu4VBIRFjDTHS7Qx-4?authuser=0&hl=fr&rclk=1
