place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJC_t_doHqVxIRBSdxoDs_X_g,Hotel Ras El Ain Tozeur,"Hotel de luxe, restaurant de style decontracte, spa, salle de fitness, et piscines interieure et exterieure.",False,1042,https://www.goldenyasmin.com/,Hotel Ras El Ain Tozeur (proprietaire),https://www.google.com/maps/contrib/105542293437372958323,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHr9qOHJ9GkyDg-Yar8vmj3UJ6pmQH3-mYIdUUl1xmi15bORy48-HOE3OtHHLr76J8tGqNX68-hQZsfhFL-vGG9xgYzyz8loWgiK_179AY9bnFOQhBmOtSlgZZujttlInHt5SGPt8pfeNv0pgFWjmN-xi00RqyKkkLfUIK5majeX4AnYXeR3FmM=w426-h240-k-no,Hotel,Hotel,4,,,76 452 003,"Hotel Ras El Ain Tozeur, Bp 141, Tozeur 2200","chambre, buffet, desert, restauration, excursion, proprete, equipe, massage, piscine couverte, service",https://www.google.com/maps/place/H%C3%B4tel+Ras+El+A%C3%AFn+Tozeur/data=!4m10!3m9!1s0x1257ea81767ffb0b:0xf85f3f3ba0712705!5m2!4m1!1i2!8m2!3d33.9129878!4d8.1174973!16s%2Fg%2F1tdjt4t4!19sChIJC_t_doHqVxIRBSdxoDs_X_g?authuser=0&hl=fr&rclk=1
ChIJTTF4AzTrVxIRKAzjuIX02pc,Anantara Sahara Tozeur Resort & Villas,,False,384,https://www.anantara.com/sahara-tozeur%3Futm_source%3DGoogleMyBusiness%26utm_medium%3DGMB%26utm_term%3DTozeur%26utm_content%3DHome%26utm_campaign%3DGoogle_GMB,Anantara Sahara Tozeur Resort & Villas (proprietaire),https://www.google.com/maps/contrib/106009733832937234221,https://lh5.googleusercontent.com/p/AF1QipNMv2Fq7YyUGK0BnjEYb-To_nDqW6teTUUCGvaA=w408-h272-k-no,Complexe hotelier,Complexe hotelier,4.6,,,70 100 800,"Anantara Sahara Tozeur Resort & Villas, Mrah lahwar 2200, Tozeur","desert, chambre, vue, souriant, gentillesse, architecture, oasis, concierge, hotel de luxe, menage",https://www.google.com/maps/place/Anantara+Sahara+Tozeur+Resort+%26+Villas/data=!4m10!3m9!1s0x1257eb340378314d:0x97daf485b8e30c28!5m2!4m1!1i2!8m2!3d33.8958125!4d8.0795625!16s%2Fg%2F11hzqy0dh4!19sChIJTTF4AzTrVxIRKAzjuIX02pc?authuser=0&hl=fr&rclk=1
ChIJBy0ku4zqVxIRsAeBnvJtip8,Residence l'Oued,"Hotel de style marocain avec restaurant a l'ambiance decontractee, piscine exterieure et chambres conviviales.",False,162,http://www.hotel-residence-loued-tozeur.vivehotels.com/,Residence l'Oued (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEGwWmdxWB3pKWIupU0WElxkrshJp_MsoTQ8Rv1Tekzueyl5NVyYi7d5WDMRgp3L2NbxoiRAmthlB1Pq7LIEv7Nd0iXxRsSyiq4nQZsYYAft5mva-9x-BekFF6TjH6Q3JqHYiWAMPQnoL4EoOOQgzlXHKtHJNOwC_AJYl0YJMToS5zfATSQJYEm=w408-h408-k-no,Hotel,Hotel,4.1,,,76 463 036,"W47H+942 Residence l'Oued, Tozeur","piscine, prix, chambre, nettoyage, service, monnaie",https://www.google.com/maps/place/R%C3%A9sidence+l%E2%80%99Oued/data=!4m10!3m9!1s0x1257ea8cbb242d07:0x9f8a6df29e8107b0!5m2!4m1!1i2!8m2!3d33.913436!4d8.1277689!16s%2Fg%2F1tf8jrfw!19sChIJBy0ku4zqVxIRsAeBnvJtip8?authuser=0&hl=fr&rclk=1
ChIJeakYuTzAVxIR-mpLGJgYg84,Diar Abou Habibi,,False,126,https://www.diarhabibi.com/,Diar Abou Habibi (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFcMriskqTmVhOf4fmZDdYWnCNpNkHwhfIXSpbt3IL_w1IFR9x7tmzGL8yHEhGBj-L5bJXkAJBSaGpH7l3hdsRa7kO2m56CSGRD_x1NtZqjxeK9CHC3x4ZoV9Y6oizTyMlXth_EnVSfc7GvYAUdqWPM6n-ExvhxFK_z2PSSYcdwOMlfG5RSpUF3=w408-h271-k-no,Maison d'hotes,Maison d'hotes,4.5,,,76 460 270,"W46W+478 Diar Abou Habibi, Rte des Touaregs, Tozeur","cabanes, chambres, coeur, palmeraie, piscine, oasis, diner, chalets, magique, la nature",https://www.google.com/maps/place/Diar+Abou+Habibi/data=!4m10!3m9!1s0x1257c03cb918a979:0xce831898184b6afa!5m2!4m1!1i2!8m2!3d33.9102969!4d8.1457186!16s%2Fg%2F1ptwzy4q1!19sChIJeakYuTzAVxIR-mpLGJgYg84?authuser=0&hl=fr&rclk=1
ChIJYUrWTCnAVxIRW60Fo7lJfxY,Dar Tozeur,Chambres de style convivial a raffine dans maison d'hotes elegante avec piscine exterieure et restaurant chic.,False,113,http://www.dartozeur.com/,Dar Tozeur (proprietaire),https://www.google.com/maps/contrib/117176296686885304800,https://lh5.googleusercontent.com/p/AF1QipPO2GP1zLdegf2vSwZ-KLuKk7HCZgrFboMtTaTS=w408-h306-k-no,Maison d'hotes,"Maison d'hotes, Institut de massages, Restaurant, Spa, Hotel bien-etre",4.3,,,98 318 252,"Dar Tozeur, El Hawadef 2200","piscine, chambre, service, diner, experience, coeur, est, prix, charme, jardin",https://www.google.com/maps/place/Dar+Tozeur/data=!4m10!3m9!1s0x1257c0294cd64a61:0x167f49b9a305ad5b!5m2!4m1!1i2!8m2!3d33.9225937!4d8.1381036!16s%2Fg%2F1jgm1ydtb!19sChIJYUrWTCnAVxIRW60Fo7lJfxY?authuser=0&hl=fr&rclk=1
ChIJMz1egoHqVxIR3wTTv4JXWoQ,Maison D'hotes Dar Saida Beya,"Chambres et suites elegantes dans un hotel haut de gamme avec hammam et patio, petit-dejeuner gratuit.",False,83,http://www.darsaidabeya.com/,Maison D'hotes Dar Saida Beya (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHw0nppv0-cJGDyg5hACBRhKM-uOqAcLnq3Tyxv-n51WwF89yci47AaedqYagH2aD4gQpwhh8bqG49D8eak5sNe01Rv9I6IlDxRxDMQP0bX7F0kF6EtrZBlNDQc7TufzPClErNuN9yBOuFAvDwKZjCb2ielAP30MMV8X_D_lJd8rVkgWMQTsQI=w408-h275-k-no,Maison d'hotes,Maison d'hotes,4.7,,,25 566 066,"W49P+HFM Maison D'hotes Dar Saida Beya, Rue Ahmed El Ayech, Tozeur 2200","hammam, hotel de charme, chambres, confort",https://www.google.com/maps/place/Maison+D%27h%C3%B4tes+Dar+Saida+Beya/data=!4m10!3m9!1s0x1257ea81825e3d33:0x845a5782bfd304df!5m2!4m1!1i2!8m2!3d33.9189642!4d8.1361647!16s%2Fg%2F1tgsl6pb!19sChIJMz1egoHqVxIR3wTTv4JXWoQ?authuser=0&hl=fr&rclk=1
ChIJ9__4XJ3qVxIRAhPOVR_mr10,Maison d'hotes Villa Fatima,,False,44,,Maison d'hotes Villa Fatima (proprietaire),https://www.google.com/maps/contrib/108982881392147639915,https://lh5.googleusercontent.com/p/AF1QipMhtdyGYmKaU3IF0BN_gWxagfSXNbCXVQShu7vz=w408-h306-k-no,Maison d'hotes,Maison d'hotes,4.3,,,98 450 451,"Maison d'hotes Villa Fatima, Cite AFH 2 Rte Touristique","chambres, voyage, diner, prix, demeure, desert, gentillesse, pain",https://www.google.com/maps/place/Maison+d%27h%C3%B4tes+Villa+Fatima/data=!4m10!3m9!1s0x1257ea9d5cf8fff7:0x5dafe61f55ce1302!5m2!4m1!1i2!8m2!3d33.9170077!4d8.111522!16s%2Fg%2F1tf90m8d!19sChIJ9__4XJ3qVxIRAhPOVR_mr10?authuser=0&hl=fr&rclk=1
ChIJcWxm8BbrVxIR2Va-LUQV9gc,Dar Yomma,,False,39,https://daryommatozeur.wixsite.com/maison,Dar Yomma (proprietaire),https://www.google.com/maps/contrib/117075440881381261976,https://lh5.googleusercontent.com/p/AF1QipMp6U8AWMhQg_vveeKKZ20VQPaweJGyY_4Q9oM4=w408-h272-k-no,Maison d'hotes,Maison d'hotes,4.9,,,51 024 509,"Dar Yomma, Tozeur","diner, chambres, paradis, piscine, hospitalite, paix, proprete",https://www.google.com/maps/place/Dar+Yomma/data=!4m10!3m9!1s0x1257eb16f0666c71:0x7f615442dbe56d9!5m2!4m1!1i2!8m2!3d33.9163628!4d8.1355262!16s%2Fg%2F11sn84ssj3!19sChIJcWxm8BbrVxIR2Va-LUQV9gc?authuser=0&hl=fr&rclk=1
ChIJY-ylpQTBVxIRBJsfszhYEgs,L'ilot Palmiers,,False,39,https://www.lilotpalmier.com/,L'ilot Palmiers (proprietaire),https://www.google.com/maps/contrib/104036935604303276436,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH_l1KnjQfkl4v2Bu2WwSXXFp4OqGOr7E9ruN3CaHj9Se3A8vL1cPezSKOQgB4YH99ZEdPe2WP9AwO1OLEmHciO60fNUFdxazSsWttRxdGCeIa17J6ZefBq283Ie-oZ78kibi1a5tQcy0KD_NbnHOSoooBPEyGL9Dov0soDCuBCsirUe9orcD9xwA=w408-h544-k-no,Camping avec cabanes,Camping avec cabanes,4.6,,,56 307 308,"W45W+78 L'ilot Palmiers, Rte des Touaregs, Tozeur","tentes, toilettes, douche, prix, palmeraie, experience, literie",https://www.google.com/maps/place/L%27%C3%AElot+Palmiers/data=!4m10!3m9!1s0x1257c104a5a5ec63:0xb125838b31f9b04!5m2!4m1!1i2!8m2!3d33.9080292!4d8.1459466!16s%2Fg%2F11ljs_7g3j!19sChIJY-ylpQTBVxIRBJsfszhYEgs?authuser=0&hl=fr&rclk=1
ChIJHzIP_dPBVxIRUSB-G3avo-A,Castilia Suites,,False,19,http://www.castilia-suites-tozeur.vivehotels.com/,Castilia Suites (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCS5oxXACrJxswhS1f2SenBaK8SjzwM9tQH4FL=w408-h730-k-no,Hotel,Hotel,4.5,,,76 463 777,"W4MQ+GWX Castilia Suites, route, El Hamma 2200",clim,https://www.google.com/maps/place/Castilia+Suites/data=!4m10!3m9!1s0x1257c1d3fd0f321f:0xe0a3af761b7e2051!5m2!4m1!1i2!8m2!3d33.9338681!4d8.1398526!16s%2Fg%2F11dzddxq26!19sChIJHzIP_dPBVxIRUSB-G3avo-A?authuser=0&hl=fr&rclk=1
