place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRZMHxgnvqhMRH5moSk3EBA8,Odyssee Resort Thalasso & Spa Zarzis,"Complexe tout compris de style decontracte avec 5 restaurants, piscines, acces plage et courts de tennis.",False,1445,http://www.odyssee-resort.com/,Odyssee Resort Thalasso & Spa Zarzis (proprietaire),https://www.google.com/maps/contrib/112509351603000263724,https://lh5.googleusercontent.com/p/AF1QipMA8TOeMmywppe9aiyNFGEj86ByuWJe3DWibGX2=w455-h240-k-no,Hotel,"Hotel, Complexe hotelier",4.2,,,75 705 705,"Odyssee Resort Thalasso & Spa Zarzis, Odyssee Resort Thalasso and Spa, Zarzis","algues, animation, all inclusive, spectacles, animateurs, tir a l'arc, aquagym, thermale, maures, troglodyte",https://www.google.com/maps/place/Odyssee+Resort+Thalasso+%26+Spa+Zarzis/data=!4m10!3m9!1s0x13aaef09c6079345:0xf04c44d4aa8991f!5m2!4m1!1i2!8m2!3d33.5927695!4d11.0765835!16s%2Fg%2F1tt95vtc!19sChIJRZMHxgnvqhMRH5moSk3EBA8?authuser=0&hl=fr&rclk=1
ChIJY7GKdq7vqhMR51V3xzFykhY,Zita Beach Resort,,False,1033,,Zita Beach Resort (proprietaire),https://www.google.com/maps/contrib/107125398001789073368,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG5sTbBab4zmeoU7YpOiz4AKjyQstDu2KS0FaXlyJU2cO6X9fiWd05xUxkKvb12iMU73QpwaGqR1b4XW0XnP0EBW5D0-5yYu4Cn-z_nhQaY1vFIZr7CKNcS3VTJ5B6ueI_FnNoRVsLpdDbgam09GVz0F3kfA_1BcihPM7ROpjai--KjfN9E8LOX=w408-h270-k-no,Hotel,Hotel,4,,,,"Zita Beach Resort, Zone Touristique Djerba, 4170","mer, animation, algues, all inclusive, serveurs, animateurs, quad, excursions, directeur, spectacle",https://www.google.com/maps/place/Zita+Beach+Resort/data=!4m10!3m9!1s0x13aaefae768ab163:0x16927231c77755e7!5m2!4m1!1i2!8m2!3d33.5413824!4d11.1106066!16s%2Fg%2F11h1qdjnk4!19sChIJY7GKdq7vqhMR51V3xzFykhY?authuser=0&hl=fr&rclk=1
ChIJT8YrJYjrqhMRtMb-6CTyBCw,Club Oasis Marine ex Oamarit,,False,225,,Club Oasis Marine ex Oamarit (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHQdncuVjb3rNYOnj4t2XfkKVPw7O70OLdCfokclkwQBTn4H_GzkE-hgnM_CqKGhshxhnaNbXaSI-FoxW13WjwkJQr-26l-80j_XLYUagTR1-5ToploNepMf46bDCGYmkhAoDLzGxXFHDQR3S0-ewRfUGM7nBTZqw5EYx2wAv-DKZZ3yu1Ys8g=w408-h306-k-no,Complexe hotelier,Complexe hotelier,4.1,,,75 705 770,"Club Oasis Marine ex Oamarit, Zone Touristique, B.P. 39, 4170","plage, animation, piscine, repas, prix, bungalow, chambre, excursion, vue, massage",https://www.google.com/maps/place/Club+Oasis+Marine+ex+Oamarit/data=!4m10!3m9!1s0x13aaeb88252bc64f:0x2c04f224e8fec6b4!5m2!4m1!1i2!8m2!3d33.5965606!4d11.0708222!16s%2Fg%2F1v9d50sy!19sChIJT8YrJYjrqhMRtMb-6CTyBCw?authuser=0&hl=fr&rclk=1
ChIJEaUFxgnvqhMRB7tNLz0WHHY,Hotel Bellevue Zarzis,Chambres et suites sobres avec balcon ou terrasse dans hotel simple proposant restaurant et piscine.,False,114,http://www.bellevuezarzis.com/,Hotel Bellevue Zarzis (proprietaire),https://www.google.com/maps/contrib/101941058138350686594,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHcPB43XOu5inL5R08ZedKEutJvEP7w7EEt_CHW5Zzao6vsSPmLILkk5b0EsjBqcg9TUOWny6GzIXI41aKlX_qExDqu7Pxqi-nOxkA89dvAFOHN9HN3zMaA602dBbwvGrWl2V5nBcNHE3UHWMGNZDgsbdUV1gPIPMXK5d-sDuWMSACESHp8KVgM=w408-h271-k-no,Hotel,"Hotel, Cafe, Restaurant, Piscine",4.6,,,75 707 455,"Hotel Bellevue Zarzis, Zone Touristique Sangho, Zarzis 4173","mer, piscine, service, chambre, cafe",https://www.google.com/maps/place/H%C3%B4tel+Bellevue+Zarzis/data=!4m10!3m9!1s0x13aaef09c605a511:0x761c163d2f4dbb07!5m2!4m1!1i2!8m2!3d33.5898628!4d11.0736738!16s%2Fg%2F113fswwnn!19sChIJEaUFxgnvqhMRB7tNLz0WHHY?authuser=0&hl=fr&rclk=1
ChIJq6qqqj7vqhMRiTNdLm6qVuw,Hotel Eden Star,,False,47,,Hotel Eden Star (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFlg5EAx6UcX86DBWcBh0PU1hb39gob9RKScupVWWHbQ96QbyGWfjV4v4mVELY04Z5Yr4TQ9vZCw0R0esdiuw5ZWeQi3gFLl4GMG8yJ2LzvgfdWZjAU1Mv3En4MBD4tgVCCRQ6UtQjmXxDw2IvyfH-EXzCcEQUsY4b6y9_N5gZlBTU0jSVx8Suclg=w426-h240-k-no,Hotel,Hotel,4.1,,,,"G33Q+J7W Hotel Eden Star, Unnamed Road, Zarzis","animation, gentillesse, chambres, restauration, vacances, clients",https://www.google.com/maps/place/Hotel+Eden+Star/data=!4m10!3m9!1s0x13aaef3eaaaaaaab:0xec56aa6e2e5d3389!5m2!4m1!1i2!8m2!3d33.5041224!4d11.0882028!16s%2Fg%2F11d_1m3mpn!19sChIJq6qqqj7vqhMRiTNdLm6qVuw?authuser=0&hl=fr&rclk=1
ChIJW7_rfpnuqhMRpcZz7kP9DnU,Dar Nesma,,False,41,http://www.dar-nesma.com/,Dar Nesma (proprietaire),https://www.google.com/maps/contrib/114348427255338495067,https://lh5.googleusercontent.com/p/AF1QipPrkuO0yp74m08-_-v9R3doAScoXsLxdIDk9FrY=w408-h264-k-no,Maison d'hotes,"Maison d'hotes, Lodge",4.4,,,55 900 708,"Dar Nesma, souhiel BP153, Zarzis 4173","vue, chambres, mer, prix, cuisine",https://www.google.com/maps/place/Dar+Nesma/data=!4m10!3m9!1s0x13aaee997eebbf5b:0x750efd43ee73c6a5!5m2!4m1!1i2!8m2!3d33.5564041!4d11.0992081!16s%2Fg%2F11dzdh6x9w!19sChIJW7_rfpnuqhMRpcZz7kP9DnU?authuser=0&hl=fr&rclk=1
ChIJjRrY44vrqhMRH8caJ7EptQM,Suites Hotel Les Seigniors,,False,23,,Suites Hotel Les Seigniors (proprietaire),https://www.google.com/maps/contrib/106844186380355857501,https://lh5.googleusercontent.com/p/AF1QipN--9BeQEsqOeIcmSu72WIk4qDLtv-FNJYLiZK7=w408-h408-k-no,Hebergement d'interieur,Hebergement d'interieur,4.5,,,98 336 744,"Suites Hotel Les Seigniors, Suite Hotel les Seigniors zone touristique Sangho, Zarzis 4173",,https://www.google.com/maps/place/Suites+H%C3%B4tel+Les+Seigniors/data=!4m10!3m9!1s0x13aaeb8be3d81a8d:0x3b529b1271ac71f!5m2!4m1!1i2!8m2!3d33.5940256!4d11.0663684!16s%2Fg%2F11bzsggprd!19sChIJjRrY44vrqhMRH8caJ7EptQM?authuser=0&hl=fr&rclk=1
ChIJW_h4vxLsqhMRgtXAEpKH-Qc,Apparthotel les Berberes,,False,23,http://www.berber-holidays.ch/,Apparthotel les Berberes (proprietaire),https://www.google.com/maps/contrib/114738693867004957500,https://lh5.googleusercontent.com/p/AF1QipP7LJHWkG1FYegKM8cubbVHoJcSAZff41FuzqpY=w408-h306-k-no,Hotel,Hotel,4.6,,,,"Apparthotel les Berberes, Zone Touristique, Sangho","plage, appartement",https://www.google.com/maps/place/Apparth%C3%B4tel+les+Berb%C3%A8res/data=!4m10!3m9!1s0x13aaec12bf78f85b:0x7f9879212c0d582!5m2!4m1!1i2!8m2!3d33.5863168!4d11.0838228!16s%2Fg%2F1q5bl646n!19sChIJW_h4vxLsqhMRgtXAEpKH-Qc?authuser=0&hl=fr&rclk=1
ChIJ569vpdbBqhMRHaor8nV41O8,Dar Oomi,,False,19,http://www.dar-oomi.com/,Dar Oomi (proprietaire),https://www.google.com/maps/contrib/116851657178462886990,https://lh5.googleusercontent.com/p/AF1QipNgc0qOCz-Wzw5DeTj6vdxOSH-XJSmdjSyaM7vj=w408-h271-k-no,Hotel,Hotel,4.6,,,29 172 388,"Dar Oomi, Km 33 Route de Djerba, Zarzis 4170",,https://www.google.com/maps/place/Dar+Oomi/data=!4m10!3m9!1s0x13aac1d6a56fafe7:0xefd47875f22baa1d!5m2!4m1!1i2!8m2!3d33.6204589!4d10.9623116!16s%2Fg%2F11k3lx89h9!19sChIJ569vpdbBqhMRHaor8nV41O8?authuser=0&hl=fr&rclk=1
ChIJ13pFWHPvqhMR0sAnemh4srU,Villa Kika,,False,7,http://villa-kika-zarzis.com/,Villa Kika (proprietaire),https://www.google.com/maps/contrib/103536388929910922129,https://lh5.googleusercontent.com/p/AF1QipOAwyTNJkLGIkeQEmkGgXkp3AJQMmMegbb4yQRd=w408-h306-k-no,Chambre d'hotes,Chambre d'hotes,4.4,,,20 154 010,"Villa Kika, Chemin de la plage de, Zarzis","mer, piscine, chambres",https://www.google.com/maps/place/Villa+Kika/data=!4m10!3m9!1s0x13aaef7358457ad7:0xb5b278687a27c0d2!5m2!4m1!1i2!8m2!3d33.5633125!4d11.1024375!16s%2Fg%2F11khx2bg13!19sChIJ13pFWHPvqhMR0sAnemh4srU?authuser=0&hl=fr&rclk=1
