place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJU_Re2OyJ_RIRJMqQ5RyU790,Port El-Kantaoui,,False,4401,http://www.portelkantaoui.com.tn/,Port El-Kantaoui (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNoFLdBbMaju0qiKcVmjNl3T0huiLT2jXCjjwE5=w408-h545-k-no,Port de plaisance,Port de plaisance,4.4,,,73 348 600,"Port El-Kantaoui, Route Touristique Port El Kantaoui, 4089","hotel, souvenirs, catamaran, commerces, fontaine, parc d'attraction, pirate, vendeur, zoo",https://www.google.com/maps/place/Port+El-Kantaoui/data=!4m7!3m6!1s0x12fd89ecd85ef453:0xddef941ce590ca24!8m2!3d35.8947174!4d10.5964325!16s%2Fg%2F12vt14l_v!19sChIJU_Re2OyJ_RIRJMqQ5RyU790?authuser=0&hl=fr&rclk=1
ChIJgbfjdJSL_RIRUODv8ItCUeY,L'Aromate Restaurant - Pizzeria,,False,481,,L'Aromate Restaurant - Pizzeria (proprietaire),https://www.google.com/maps/contrib/116252056258632169416,https://lh5.googleusercontent.com/p/AF1QipMElWGEfbIsjX2W3RXi0U709BtvAKzoJ7fbubwh=w426-h240-k-no,Restaurant,Restaurant,4.3,,,23 732 731,"L'Aromate Restaurant - Pizzeria, Sousse","pates, pizza, assiette, qualite, penne, saumon, spaghetti, souriant, lasagnes, fruits de mer",https://www.google.com/maps/place/L%E2%80%99Aromate+Restaurant+-+Pizzeria/data=!4m7!3m6!1s0x12fd8b9474e3b781:0xe651428bf0efe050!8m2!3d35.8398929!4d10.6033261!16s%2Fg%2F11g1nrbxmn!19sChIJgbfjdJSL_RIRUODv8ItCUeY?authuser=0&hl=fr&rclk=1
ChIJ7ToD0ZKJ_RIRMC9aAhyCCvo,El Kantaoui - Maisons de la Mer,,False,94,http://www.maisonsdelamer.com.tn/,El Kantaoui - Maisons de la Mer (proprietaire),https://www.google.com/maps/contrib/117455001976839316946,https://lh5.googleusercontent.com/p/AF1QipM0YF7usMffe4bo7SpzMMxNEZsWTqlIlNXlr0Wz=w427-h240-k-no,Location d'appartement de vacances,Location d'appartement de vacances,3.8,,,58 202 244,"VHWW+GF2 El Kantaoui - Maisons de la Mer, Hammam Sousse",prix,https://www.google.com/maps/place/El+Kantaoui+-+Maisons+de+la+Mer/data=!4m7!3m6!1s0x12fd8992d1033aed:0xfa0a821c025a2f30!8m2!3d35.8937463!4d10.5961204!16s%2Fg%2F1tk_rd00!19sChIJ7ToD0ZKJ_RIRMC9aAhyCCvo?authuser=0&hl=fr&rclk=1
ChIJkzbqKQ6K_RIRBHahefpy0OM,Restaurant Carthage Beach,,False,73,,Restaurant Carthage Beach (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPKtowqzqoIrMbUze6r-YIlPySmu6jZsfrR0yFl=w426-h240-k-no,Restaurant de fruits de mer,"Restaurant de fruits de mer, Bar",4.4,11:00-01:00,,73 325 102,"VJ85+782 Restaurant Carthage Beach, Hammam Sousse",biere,https://www.google.com/maps/place/Restaurant+Carthage+Beach/data=!4m7!3m6!1s0x12fd8a0e29ea3693:0xe3d072fa79a17604!8m2!3d35.8656392!4d10.6082726!16s%2Fg%2F11c55xblls!19sChIJkzbqKQ6K_RIRBHahefpy0OM?authuser=0&hl=fr&rclk=1
ChIJD0VISFmL_RIRDYc0da-qN8M,Cafe Resto Mer Soleil,,False,50,,Cafe Resto Mer Soleil (proprietaire),https://www.google.com/maps/contrib/116356945183894986037,https://lh5.googleusercontent.com/p/AF1QipOBAC2dp1x2-kiKl-A79QhwgT4U-ACdt8twyViP=w532-h240-k-no,Restaurant,Restaurant,3.6,07:00-00:00,,98 228 889,"Cafe Resto Mer Soleil, Plage Cleopatre, rue du requin hammam-sousse, Hammam Sousse 4011",,https://www.google.com/maps/place/Caf%C3%A9+Resto+Mer+Soleil/data=!4m7!3m6!1s0x12fd8b594848450f:0xc337aaaf7534870d!8m2!3d35.8698466!4d10.6081839!16s%2Fg%2F11kn63rw01!19sChIJD0VISFmL_RIRDYc0da-qN8M?authuser=0&hl=fr&rclk=1
ChIJmXEE6C6K_RIRUzWysBZ0CHQ,Salon De The Le Rendez vous,,False,9,,Salon De The Le Rendez vous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdI3pmjauHnRny7WpMaJZz6OquScQpqU2Baj7b=w408-h725-k-no,Cafe,Cafe,4.3,06:00-00:00,,,"VHFJ+RFP Salon De The Le Rendez vous, P1, Akouda",,https://www.google.com/maps/place/Salon+De+The+Le+Rendez+vous/data=!4m7!3m6!1s0x12fd8a2ee8047199:0x74087416b0b23553!8m2!3d35.8745803!4d10.5811977!16s%2Fg%2F11dxc_2flk!19sChIJmXEE6C6K_RIRUzWysBZ0CHQ?authuser=0&hl=fr&rclk=1
ChIJLVuAa8mL_RIRDOl2r4u6BfA,municipalite Akouda,,False,7,http://www.commune-akouda.gov.tn/,municipalite Akouda (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOuActQ7k3VTdXazVPf6T1H_r45QamJm_skIrHG=w408-h544-k-no,Administration municipale,Administration municipale,3.6,08:00-17:00,dimanche,,"VH89+34J municipalite Akouda, Av. de la Republique, Akouda",,https://www.google.com/maps/place/municipalit%C3%A9+Akouda/data=!4m7!3m6!1s0x12fd8bc96b805b2d:0xf005ba8baf76e90c!8m2!3d35.8652171!4d10.5677565!16s%2Fg%2F12hp_py5v!19sChIJLVuAa8mL_RIRDOl2r4u6BfA?authuser=0&hl=fr&rclk=1
ChIJw4s_smqJ_RIRbGjdRk7WnzU,ORCA Aqua-vision,,False,6,https://www.facebook.com/ORCAAquavision/,ORCA Aqua-vision (proprietaire),https://www.google.com/maps/contrib/111771806499265632938,https://lh5.googleusercontent.com/p/AF1QipMaZl3Un0VOCBiyyjMFqGZZq2Q-Z8vJAxJEKyb6=w408-h272-k-no,Attraction touristique,Attraction touristique,3.8,10:00-16:00,,20 089 670,"ORCA Aqua-vision, Maisons de la Mer Port El-Kantaoui, 4089",,https://www.google.com/maps/place/ORCA+Aqua-vision/data=!4m7!3m6!1s0x12fd896ab23f8bc3:0x359fd64e46dd686c!8m2!3d35.8937533!4d10.5974452!16s%2Fg%2F11syrlbnc5!19sChIJw4s_smqJ_RIRbGjdRk7WnzU?authuser=0&hl=fr&rclk=1
ChIJORsj6XJ1AhMRMj16vMi1nFM,Qg,,False,6,,Qg (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOvebp_JlrudmY7Zxtutpe7Zi9tllHY1wN0MHgZ=w408-h306-k-no,Restaurant de fruits de mer,Restaurant de fruits de mer,4.3,,,,"RJFM+RR4 Qg, Sousse",,https://www.google.com/maps/place/Qg/data=!4m7!3m6!1s0x13027572e9231b39:0x539cb5c8bc7a3d32!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11tcfh8ftx!19sChIJORsj6XJ1AhMRMj16vMi1nFM?authuser=0&hl=fr&rclk=1
ChIJn26s8suL_RIRzwkksffOkgM,BIAT,,False,4,http://www.biat.com.tn/,BIAT (proprietaire),,,Banque,Banque,3,,,,"VH8C+85C BIAT, Akouda",,https://www.google.com/maps/place/BIAT/data=!4m7!3m6!1s0x12fd8bcbf2ac6e9f:0x392cef7b12409cf!8m2!3d35.8658208!4d10.570386!16s%2Fg%2F11c529rz14!19sChIJn26s8suL_RIRzwkksffOkgM?authuser=0&hl=fr&rclk=1
