place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJNSJ-Duc3_RIRKjeuXaZiG6c,Restaurant Route 66,,False,53,,Restaurant Route 66 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO_XKBL68Kx3_nL0Md7he7DlnQ7znp0wBcvDt-Y=w408-h306-k-no,Restaurant,"Restaurant, Restauration rapide, Livraison de repas a domicile, Livraison de pizzas, Pizzeria",3.3,11:00-21:30,,51 494 949,"Restaurant Route 66, 16 Avenue du 14 Janvier 2011, Ben Arous 2013","pizza, caissier",https://www.google.com/maps/place/Restaurant+Route+66/data=!4m7!3m6!1s0x12fd37e70e7e2235:0xa71b62a65dae372a!8m2!3d36.7548439!4d10.2211165!16s%2Fg%2F11jd8ws5sw!19sChIJNSJ-Duc3_RIRKjeuXaZiG6c?authuser=0&hl=fr&rclk=1
ChIJ430NTUVK_RIRWuEchFvT_gw,"Port de Rades, Zone Petroliere",,False,30,,,,https://lh5.googleusercontent.com/p/AF1QipMMsastd4b38wKg629NZO73tFlW_gondNq-_-S_=w408-h306-k-no,Mer,Mer,3.4,,,,"Port de Rades, Zone Petroliere",,"https://www.google.com/maps/place/Port+de+Rades,+Zone+P%C3%A9troli%C3%A8re/data=!4m7!3m6!1s0x12fd4a454d0d7de3:0xcfed35b841ce15a!8m2!3d36.7992001!4d10.2964735!16s%2Fg%2F11r9x8zgl!19sChIJ430NTUVK_RIRWuEchFvT_gw?authuser=0&hl=fr&rclk=1"
ChIJR24QUEBL_RIRZCpBmPBgJmQ,Kram,,False,29,,,,https://lh5.googleusercontent.com/p/AF1QipNtfRG9MfgzDToHeatj4vpzic-9bTaNmWkcu87A=w426-h240-k-no,Mer,Mer,4.4,,,,Kram,,https://www.google.com/maps/place/Kram/data=!4m7!3m6!1s0x12fd4b4050106e47:0x642660f098412a64!8m2!3d36.826768!4d10.3315463!16s%2Fg%2F1hc6vq393!19sChIJR24QUEBL_RIRZCpBmPBgJmQ?authuser=0&hl=fr&rclk=1
ChIJWz9MCM1L_RIRJgCtlFZ8OLA,Rades,,False,19,,,,https://lh5.googleusercontent.com/p/AF1QipMDTTU5-l688bsf1GFbpJEEqjqJmGuUdUy06wc=w408-h272-k-no,Mer,Mer,4.1,,,,Rades,,https://www.google.com/maps/place/Rades/data=!4m7!3m6!1s0x12fd4bcd084c3f5b:0xb0387c5694ad0026!8m2!3d36.7667356!4d10.3020843!16s%2Fg%2F1q5bksjt4!19sChIJWz9MCM1L_RIRJgCtlFZ8OLA?authuser=0&hl=fr&rclk=1
ChIJhQoj_mM2_RIRcXdr2A75ZkA,Ben Arous,,False,15,https://www.transtu.tn/fr/,Ben Arous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMhRd1t7VpGRQUFJC5QcSW6ppyhFALpJOb55GKm=w408-h544-k-no,Station de metro,Station de metro,4.4,,,,Ben Arous,,https://www.google.com/maps/place/Ben+Arous/data=!4m7!3m6!1s0x12fd3663fe230a85:0x4066f90ed86b7771!8m2!3d36.7551877!4d10.2205165!16s%2Fg%2F1tf4b7bb!19sChIJhQoj_mM2_RIRcXdr2A75ZkA?authuser=0&hl=fr&rclk=1
ChIJIRcj2Wg2_RIRekQi4YW9Ig0,IRIE Ben Arous,,False,9,http://www.isie.tn/,IRIE Ben Arous (proprietaire),https://www.google.com/maps/contrib/106538863081096834997,https://lh5.googleusercontent.com/p/AF1QipMnTVlq3ftEY1zBO_Ij7t987ebIu0GVsPPRQQwu=w408-h306-k-no,Administration locale,Administration locale,3.8,08:00-17:00,dimanche,70 018 545,"IRIE Ben Arous, Rue Ibn Zaydoun, Cite du Stade, Ben Arous 2013",,https://www.google.com/maps/place/IRIE+Ben+Arous/data=!4m7!3m6!1s0x12fd3668d9231721:0xd22bd85e122447a!8m2!3d36.7526538!4d10.2295646!16s%2Fg%2F11ddxw2y02!19sChIJIRcj2Wg2_RIRekQi4YW9Ig0?authuser=0&hl=fr&rclk=1
ChIJPU6CbF02_RIRwO7zjUuSBhU,Municipalite Ben Arous,,False,9,,Municipalite Ben Arous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNkqQezBiptiEwLyUbe_kYMcxMwdLFDK0vbXGRA=w408-h544-k-no,Hotel de ville,Hotel de ville,3.8,,,,"P6XF+8R9 Municipalite Ben Arous, Ben Arous",,https://www.google.com/maps/place/Municipalit%C3%A9+Ben+Arous/data=!4m7!3m6!1s0x12fd365d6c824e3d:0x1506924b8df3eec0!8m2!3d36.7482753!4d10.2246083!16s%2Fg%2F11dxm5bjwl!19sChIJPU6CbF02_RIRwO7zjUuSBhU?authuser=0&hl=fr&rclk=1
ChIJIxU3YhpL_RIRxO6J_KGkOOw,Khereddine,,False,4,,,,https://lh5.googleusercontent.com/p/AF1QipNlPuZWYoTCv_xjDzXyXvEIpxDx6hN1xWt3Cds2=w685-h240-k-no,Mer,Mer,3.8,,,,Khereddine,,https://www.google.com/maps/place/Khereddine/data=!4m7!3m6!1s0x12fd4b1a62371523:0xec38a4a1fc89eec4!8m2!3d36.8277493!4d10.3203215!16s%2Fg%2F1pxyl2npp!19sChIJIxU3YhpL_RIRxO6J_KGkOOw?authuser=0&hl=fr&rclk=1
ChIJsYYAqOo3_RIRHVgy6VoaYy4,Poissons et fruit de mer RAIS,,False,3,,Poissons et fruit de mer RAIS (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPDL_u3Axe7E7qx5dvkF0X0ITDRWGF1S1kgdjfc=w408-h725-k-no,Poissonnerie,Poissonnerie,4.3,,,95 069 903,"Poissons et fruit de mer RAIS, 91 Av. du 20 Mars 1956, El Mourouj",,https://www.google.com/maps/place/Poissons+et+fruit+de+mer+RA%C3%8ES/data=!4m7!3m6!1s0x12fd37eaa80086b1:0x2e631a5ae932581d!8m2!3d36.7146882!4d10.2070908!16s%2Fg%2F11rvgm3pc7!19sChIJsYYAqOo3_RIRHVgy6VoaYy4?authuser=0&hl=fr&rclk=1
ChIJM7F-dDVL_RIRl3ZXBPM37oo,Port militaire de Carthage la phenicienne,,False,2,,,,https://lh5.googleusercontent.com/p/AF1QipMfSUtMjQ3buTqlt2w27yXa2v4X7Y71w_wxGq7N=w426-h240-k-no,Mer,Mer,3,,,,Port militaire de Carthage la phenicienne,,https://www.google.com/maps/place/Port+militaire+de+Carthage+la+ph%C3%A9nicienne/data=!4m7!3m6!1s0x12fd4b35747eb133:0x8aee37f304577697!8m2!3d36.8458069!4d10.3250568!16s%2Fg%2F1tfljbpq!19sChIJM7F-dDVL_RIRl3ZXBPM37oo?authuser=0&hl=fr&rclk=1
