place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ6XAzKg6YAhMRgrcmP7DojiA,CASA CAFE ISMAIL (Cafe de la Plage),,False,140,https://www.facebook.com/cafeplagebenikhiar1,CASA CAFE ISMAIL (Cafe de la Plage) (proprietaire),https://www.google.com/maps/contrib/109032822416222601286,https://lh5.googleusercontent.com/p/AF1QipMOTmwNHQ3pQSiwGXi5c6qSyi0ZOIAE6LVJtZBU=w408-h306-k-no,Cafe,"Cafe, Restaurant",3.8,06:00-00:00,,28 078 898,"CASA CAFE ISMAIL (Cafe de la Plage), Av. de la Liberte, Beni Khiar 8060","mer, serveur, vue",https://www.google.com/maps/place/CASA+CAFE+ISMAIL+%28Caf%C3%A9+de+la+Plage%29/data=!4m7!3m6!1s0x1302980e2a3370e9:0x208ee8b03f26b782!8m2!3d36.454405!4d10.785911!16s%2Fg%2F1th2n7yx!19sChIJ6XAzKg6YAhMRgrcmP7DojiA?authuser=0&hl=fr&rclk=1
ChIJNZgp0vOYAhMR2VU9TrTC6ts,Corniche de Nabeul,,False,84,,Corniche de Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOfpcHb9ENvmNJ_dRJpEubUo9ALnamZawSWgaUT=w481-h240-k-no,Parc,Parc,4.1,Ouvert 24h/24,,95 071 074,"CPRW+RPC Corniche de Nabeul, Nabeul",mer,https://www.google.com/maps/place/Corniche+de+Nabeul/data=!4m7!3m6!1s0x130298f3d2299835:0xdbeac2b44e3d55d9!8m2!3d36.4420574!4d10.7467713!16s%2Fg%2F11dxfmxbwc!19sChIJNZgp0vOYAhMR2VU9TrTC6ts?authuser=0&hl=fr&rclk=1
ChIJ72iTPROYAhMR6-BWut0Kt3I,Plage Beni khiar,,False,57,,,,https://lh5.googleusercontent.com/p/AF1QipO5sxbqmKuhHO4y3wncHboRBcdhLjAZnZ1Sk5VZ=w408-h306-k-no,Plage,Plage,4.1,,,,"Plage Beni khiar, Beni Khiar",,https://www.google.com/maps/place/Plage+Beni+khiar/data=!4m7!3m6!1s0x130298133d9368ef:0x72b70addba56e0eb!8m2!3d36.451221!4d10.7785374!16s%2Fg%2F12hnfyj4w!19sChIJ72iTPROYAhMR6-BWut0Kt3I?authuser=0&hl=fr&rclk=1
ChIJ92b1ZS-jAhMRUpkCf0imI6Q,Grill station,,False,29,https://www.facebook.com/Grill-station-1855632481210052/,Grill station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNbx2FYRNpxpXtDNPtbzF-p92-qahz3Ka2xUaXv=w426-h240-k-no,Restaurant,Restaurant,4.3,10:00-01:00,,23 312 754,"FQGP+43F Grill station, a cote de carrefour, A. Beni Khiar ----- Nabeul, Dar Chaabane Al Fehri","fruits de mer, garniture, prix",https://www.google.com/maps/place/Grill+station/data=!4m7!3m6!1s0x1302a32f65f566f7:0xa423a6487f029952!8m2!3d36.475302!4d10.7851807!16s%2Fg%2F11hy_ndy19!19sChIJ92b1ZS-jAhMRUpkCf0imI6Q?authuser=0&hl=fr&rclk=1
ChIJZYMfx0qZAhMRCVJSBBJ38m0,Beni khiar,,False,17,,Beni khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipODYKU776ob52lQ7LVbY8iXbY-Aka-RHOWJsamF=w408-h725-k-no,Boulangerie,Boulangerie,4.4,,,92 422 215,"FQ5M+V7J Beni khiar, Beni Khiar",,https://www.google.com/maps/place/B%C3%A9ni+khiar/data=!4m7!3m6!1s0x1302994ac71f8365:0x6df2771204525209!8m2!3d36.4597097!4d10.7831324!16s%2Fg%2F11qbvnqgc6!19sChIJZYMfx0qZAhMRCVJSBBJ38m0?authuser=0&hl=fr&rclk=1
ChIJr0rVHrKZAhMRqOs2fCmwGy8,LA BAMBA,,False,10,,LA BAMBA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPY2Yb3GNilqxKBSVbObMnzBnN9m7irGbXkS1ya=w408-h544-k-no,Pizzeria,Pizzeria,4.7,,,,"FQ7M+Q9C LA BAMBA, shr` lbyy'@, Beni Khiar 8060",,https://www.google.com/maps/place/LA+BAMBA/data=!4m7!3m6!1s0x130299b21ed54aaf:0x2f1bb0297c36eba8!8m2!3d36.4644411!4d10.7833834!16s%2Fg%2F11flgfs71b!19sChIJr0rVHrKZAhMRqOs2fCmwGy8?authuser=0&hl=fr&rclk=1
ChIJ2YwBHgOYAhMRZiWxayaoR4E,Port de Beni Khiar,,False,9,,Port de Beni Khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNBxwguZL5m1dFWKgEsj7AK0wS9uLRgiTRLVJ3z=w408-h306-k-no,Port maritime,Port maritime,4.6,,,,"Port de Beni Khiar, Beni Khiar",,https://www.google.com/maps/place/Port+de+Beni+Khiar/data=!4m7!3m6!1s0x130298031e018cd9:0x8147a8266bb12566!8m2!3d36.4539605!4d10.797537!16s%2Fg%2F1v_sw73_!19sChIJ2YwBHgOYAhMRZiWxayaoR4E?authuser=0&hl=fr&rclk=1
ChIJfx4z2me2AhMRyb9ym5P63jM,Mer Lebna,,False,6,,,,https://lh5.googleusercontent.com/p/AF1QipNwjuXFT9qqA43CW9KlOKk6tvc_L08KJeE2MBE=w408-h544-k-no,Point d'eau,Point d'eau,3.2,,,,Mer Lebna,,https://www.google.com/maps/place/Mer+Lebna/data=!4m7!3m6!1s0x1302b667da331e7f:0x33defa939b72bfc9!8m2!3d36.6835856!4d10.9453814!16s%2Fg%2F12338d2t2!19sChIJfx4z2me2AhMRyb9ym5P63jM?authuser=0&hl=fr&rclk=1
ChIJ57b_DOGZAhMR9S0TbtsEB3k,Restaurant la voix de la mer,,False,4,,Restaurant la voix de la mer (proprietaire),,,Restaurant de fruits de mer,Restaurant de fruits de mer,3.8,,,,"FQ3X+V2C Restaurant la voix de la mer, Beni Khiar",,https://www.google.com/maps/place/Restaurant+la+voix+de+la+mer/data=!4m7!3m6!1s0x130299e10cffb6e7:0x790704db6e132df5!8m2!3d36.4545358!4d10.797169!16s%2Fg%2F11tckp7_v4!19sChIJ57b_DOGZAhMR9S0TbtsEB3k?authuser=0&hl=fr&rclk=1
ChIJs2iqwVuZAhMRLCrYI4mIAvs,Jinen Beni Khiar,,False,3,,Jinen Beni Khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMu7EYYUyz09B4f4rzqPqwIoDbDq7xEOgRNI3ft=w408-h306-k-no,Chambre d'hotes,Chambre d'hotes,4.7,,,98 312 948,"FQ3G+6P3 Jinen Beni Khiar, Rue de, Beni Khiar 8060",,https://www.google.com/maps/place/Jinen+Beni+Khiar/data=!4m7!3m6!1s0x1302995bc1aa68b3:0xfb02888923d82a2c!8m2!3d36.453007!4d10.7768043!16s%2Fg%2F11j7g6ftv1!19sChIJs2iqwVuZAhMRLCrYI4mIAvs?authuser=0&hl=fr&rclk=1
