place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv6tmzkge4xIRTcxRjWdv8_g,Vieux Port De Bizerte,,False,551,,Vieux Port De Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjeNuBJpdKF_umsuYPcSc6GCXAtboabYv_ehGW=w408-h307-k-no,Port de plaisance,"Port de plaisance, Attraction touristique",4.5,Ouvert 24h/24,,,"7VGF+VR5 Vieux Port De Bizerte, Passerelle du Marsa de, Bizerte","espace, couleurs, histoire, cafe, anime, charme, poisson, griller, baklawa, hygiene",https://www.google.com/maps/place/Vieux+Port+De+Bizerte/data=!4m7!3m6!1s0x12e31e48ce66abbf:0xf8f36f678d51cc4d!8m2!3d37.2771396!4d9.8746004!16s%2Fg%2F11c56bjfx5!19sChIJv6tmzkge4xIRTcxRjWdv8_g?authuser=0&hl=fr&rclk=1
ChIJGfS0CEMe4xIRPx5kV1__Wlk,Best Voice,,False,317,https://www.facebook.com/Best-Voice-Restaurant-Salon-de-Th%25C3%25A9--639181012842978/,Best Voice (proprietaire),https://www.google.com/maps/contrib/116728282789609346448,https://lh5.googleusercontent.com/p/AF1QipPkQgj0e5Yz0LNBiSb8RuMC-wox-KFbLpGLtIgT=w408-h314-k-no,Restaurant servant le petit-dejeuner,"Restaurant servant le petit-dejeuner, Restaurant brunch, Cafe, Restaurant gastronomique, Restaurant, Salon de the",4.2,07:00-23:00,,,"Best Voice, Sidi salem route ain mariem, 7000","prix, brunch, serveurs, service, experience, musique, soupe, pates, pizza, poisson",https://www.google.com/maps/place/Best+Voice/data=!4m7!3m6!1s0x12e31e4308b4f419:0x595aff5f57641e3f!8m2!3d37.2863969!4d9.8706821!16s%2Fg%2F11c1l5cs4g!19sChIJGfS0CEMe4xIRPx5kV1__Wlk?authuser=0&hl=fr&rclk=1
ChIJSy8G-DUe4xIRugnpFsxjsPc,Restaurant Le Sport Nautique,,False,286,https://www.facebook.com/pages/Restaurant-Le-Sport-Nautique/139232646147524,Restaurant Le Sport Nautique (proprietaire),https://www.google.com/maps/contrib/104731619979713089987,https://lh5.googleusercontent.com/p/AF1QipPhgenX5gaji_wdUZ0MC2VHQuTfrwbLiHFhZlki=w408-h306-k-no,Restaurant,Restaurant,4,"12:00-15:00, 19:00-23:00",,72 432 262,"Restaurant Le Sport Nautique, Quai Tarak Ibn Ziad, Bizerte 7000","prix, serveurs, service, vue, fruits de mer, poissons, fumeurs, moyenne, entree, terrasse",https://www.google.com/maps/place/Restaurant+Le+Sport+Nautique/data=!4m7!3m6!1s0x12e31e35f8062f4b:0xf7b063cc16e909ba!8m2!3d37.272484!4d9.879922!16s%2Fg%2F1tj5t40n!19sChIJSy8G-DUe4xIRugnpFsxjsPc?authuser=0&hl=fr&rclk=1
ChIJQ84VG0ke4xIReoSO_bVH5qY,Restaurant Le Phenicien,,False,281,https://www.facebook.com/LePhenicienBizerte,Restaurant Le Phenicien (proprietaire),https://www.google.com/maps/contrib/115539737366222985430,https://lh5.googleusercontent.com/p/AF1QipN1LM8ct3zgJEs871cRjhtsPJSl-iCj3caHFUmg=w408-h544-k-no,Restaurant,Restaurant,3.7,12:00-02:00,,72 424 480,"Restaurant Le Phenicien, Vieux Port, Bizerte 7000","prix, fruits de mer, bateau, qualite, vue, table, couscous, serveurs, musique, atmosphere",https://www.google.com/maps/place/Restaurant+Le+Ph%C3%A9nicien/data=!4m7!3m6!1s0x12e31e491b15ce43:0xa6e647b5fd8e847a!8m2!3d37.2757261!4d9.8758829!16s%2Fg%2F12mj_s1bg!19sChIJQ84VG0ke4xIReoSO_bVH5qY?authuser=0&hl=fr&rclk=1
ChIJuQUoxW8e4xIR8e_AC3A042Q,Hotel Jalta,"Hotel a l'ambiance detendue proposant 2 restaurants, piscine exterieure et plage privee avec snack-bar.",False,210,,Hotel Jalta (proprietaire),https://www.google.com/maps/contrib/114049136984821597458,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGQJ94APueebncEqW7b5GtdaCUI_lZvpfWUFJayUyEW6ekEAce0ZV4lF1A3rVKQkxTQxmSLtcbVZEu65gMJDQ7SiXfwOuYdRhuOZHOacs_IHJCdxy0Q6kH9EMwB_DF5Y2quMLuvjY2JXr_4YTg1nkEmLQec34O_vbDo6zzn6o_F9rP8pehOGmcChw=w408-h306-k-no,Hotel,"Hotel, Cafe et restaurant de grillades, Restaurant",3.2,,,72 439 949,"Hotel Jalta, Route De La Corniche Bizerte, 7000","service, mer, piscine, prix, pizza, chambre, jardin, repas, table, cafe",https://www.google.com/maps/place/H%C3%B4tel+Jalta/data=!4m10!3m9!1s0x12e31e6fc52805b9:0x64e334700bc0eff1!5m2!4m1!1i2!8m2!3d37.2996461!4d9.8704321!16s%2Fg%2F1v27fynv!19sChIJuQUoxW8e4xIR8e_AC3A042Q?authuser=0&hl=fr&rclk=1
ChIJgX0jDsIf4xIR2EJMmV2k5_I,Restaurant lounge le Quai Bizerte,,False,180,https://www.facebook.com/leQuai.B/,Restaurant lounge le Quai Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNV5Ym1E_ibP4opNB4G4GIkvswVV3aSt89ao4vg=w408-h306-k-no,Restaurant,Restaurant,3,07:30-00:00,,72 438 888,"7VFJ+QWJ Restaurant lounge le Quai Bizerte, Marina, Bizerte 7000","prix, serveurs, vue, clim, cuisine, fruits de mer, pates, service, commande, agneau",https://www.google.com/maps/place/Restaurant+lounge+le+Quai+Bizerte/data=!4m7!3m6!1s0x12e31fc20e237d81:0xf2e7a45d994c42d8!8m2!3d37.2744698!4d9.882255!16s%2Fg%2F11fk1k4wcf!19sChIJgX0jDsIf4xIR2EJMmV2k5_I?authuser=0&hl=fr&rclk=1
ChIJcZGg60ge4xIRXvqx64xtVpk,Vieux Port,,False,148,,,,https://lh5.googleusercontent.com/p/AF1QipMwnVfHSNS3f6SRlby5EgXhsffFWft_D9uMsD4w=w408-h306-k-no,Point d'eau,Point d'eau,4.3,,,,"Vieux Port, Bizerte","cafes, coeur, mer, poissons, proprete",https://www.google.com/maps/place/Vieux+Port/data=!4m7!3m6!1s0x12e31e48eba09171:0x99566d8cebb1fa5e!8m2!3d37.2776374!4d9.8750249!16s%2Fg%2F12hr7hqx6!19sChIJcZGg60ge4xIRXvqx64xtVpk?authuser=0&hl=fr&rclk=1
ChIJ707mtlUU4xIRPIg0yuCjoQA,Plage Dar El Janna,,False,113,,Plage Dar El Janna (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMfTC2ILeBTwcKT4BobOz4VF6wdCTCsxLu_IN8=w408-h272-k-no,Hostellerie,Hostellerie,4.5,,,22 526 739,"7HXV+578 Plage Dar El Janna, Dawwar Dar Ramil",,https://www.google.com/maps/place/Plage+Dar+El+Janna/data=!4m7!3m6!1s0x12e31455b6e64eef:0xa1a3e0ca34883c!8m2!3d37.2979229!4d9.5932085!16s%2Fg%2F11b5yk8rxw!19sChIJ707mtlUU4xIRPIg0yuCjoQA?authuser=0&hl=fr&rclk=1
ChIJlfoBskke4xIRvYZay1TN0jw,LA PLAYA,,False,109,https://www.facebook.com/playa.bizerte/,LA PLAYA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPX3uJU9dFlfluY2pAauASghnkz06wX-J2o0d-Q=w408-h544-k-no,Restaurant,Restaurant,3.7,08:00-00:00,,22 187 879,"LA PLAYA, 9 Rue Bourguiba, Bizerte","cafe, prix, pizza, serveur",https://www.google.com/maps/place/LA+PLAYA/data=!4m7!3m6!1s0x12e31e49b201fa95:0x3cd2cd54cb5a86bd!8m2!3d37.274815!4d9.8759373!16s%2Fg%2F1tfwglnn!19sChIJlfoBskke4xIRvYZay1TN0jw?authuser=0&hl=fr&rclk=1
ChIJBSYL7Tcc4xIRrSL_8-8XU7Y,Restaurant Les Grottes,,False,100,,Restaurant Les Grottes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMj-DVse2tXcwg_kvLp2USH0jFOQ0pxfJPwXzN3=w426-h240-k-no,Restaurant,Restaurant,3.4,Ouvert 24h/24,,29 231 232,"Restaurant Les Grottes, Les Grottes 7035, Bizerte","prix, mer, vue, pizza",https://www.google.com/maps/place/Restaurant+Les+Grottes/data=!4m7!3m6!1s0x12e31c37ed0b2605:0xb65317eff3ff22ad!8m2!3d37.333036!4d9.846764!16s%2Fg%2F11cp9sqn6h!19sChIJBSYL7Tcc4xIRrSL_8-8XU7Y?authuser=0&hl=fr&rclk=1
