place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ3bmGLTtJ_RIRX40B6HlnUmc,Gare Hammam Lif,,False,36,,Gare Hammam Lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNfnxY_XgcVGh4gxx0g0xRE67lOaoeQFUnwmLA0=w426-h240-k-no,Gare,Gare,3.6,,,,"Gare Hammam Lif, Hammam-Lif",,https://www.google.com/maps/place/Gare+Hammam+Lif/data=!4m7!3m6!1s0x12fd493b2d86b9dd:0x67526779e8018d5f!8m2!3d36.7293916!4d10.3350717!16s%2Fg%2F1tf90ptm!19sChIJ3bmGLTtJ_RIRX40B6HlnUmc?authuser=0&hl=fr&rclk=1
ChIJr1GKtDxJ_RIRlyIWYTIMn80,Game Zone hammam-lif,,False,16,http://www.game-zone-hammamlif.com/,Game Zone hammam-lif (proprietaire),https://www.google.com/maps/contrib/106156027819133096663,https://lh5.googleusercontent.com/p/AF1QipOjy74SHoRN7vfZDnyIpPqtk63SDuK4smCgiHpR=w408-h306-k-no,Salle de jeux video,Salle de jeux video,4.6,09:00-22:00,,58 584 577,"Game Zone hammam-lif, Av. de la mer mediterannee, Hammam-Lif",,https://www.google.com/maps/place/Game+Zone+hammam-lif/data=!4m7!3m6!1s0x12fd493cb48a51af:0xcd9f0c3261162297!8m2!3d36.7296507!4d10.331959!16s%2Fg%2F11f40kypp6!19sChIJr1GKtDxJ_RIRlyIWYTIMn80?authuser=0&hl=fr&rclk=1
ChIJJe-FmDxJ_RIR86IoASJrilc,Cafe El Bey,,False,15,,Cafe El Bey (proprietaire),https://www.google.com/maps/contrib/105653737381789498150,https://lh5.googleusercontent.com/p/AF1QipP2JmoKrgh5psrajppeWqUg3s3oIG1VdKOpGpI=w426-h240-k-no,Cafe,Cafe,3.3,05:00-02:00,,,"Cafe El Bey, Av. de la mer mediterannee, Hammam-Lif 2050",,https://www.google.com/maps/place/Caf%C3%A9+El+Bey/data=!4m7!3m6!1s0x12fd493c9885ef25:0x578a6b220128a2f3!8m2!3d36.7307908!4d10.3324741!16s%2Fg%2F1hc8dlh82!19sChIJJe-FmDxJ_RIR86IoASJrilc?authuser=0&hl=fr&rclk=1
ChIJEx4ENRBJ_RIRhYgTNeC-4T4,Larym,,False,14,http://www.larym.tn/,Larym (proprietaire),https://www.google.com/maps/contrib/115308801350693304903,https://lh5.googleusercontent.com/p/AF1QipMsgnbY3fXalXybe1SjAZ_WBVQYUpWSzOM0U9cT=w408-h272-k-no,Institut de beaute,"Institut de beaute, Hammam, Spa",3.9,09:00-18:00,lundi,23 440 359,"Larym, 04 Avenue de la Republique, RN1, Hammam-Lif 2050",,https://www.google.com/maps/place/Larym/data=!4m7!3m6!1s0x12fd491035041e13:0x3ee1bee035138885!8m2!3d36.7333733!4d10.3177258!16s%2Fg%2F11b5phvq72!19sChIJEx4ENRBJ_RIRhYgTNeC-4T4?authuser=0&hl=fr&rclk=1
ChIJG7htGa5J_RIRmeLxyxpXCPk,Hammam lif,,False,13,,Hammam lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPX6OBE26ZbA4N9YgqGXMJqflGQNiwoNNny97mn=w426-h240-k-no,Marche,Marche,4.5,,,50 751 756,"P8FP+834 Hammam lif, Hammam-Lif",,https://www.google.com/maps/place/Hammam+lif/data=!4m7!3m6!1s0x12fd49ae196db81b:0xf908571acbf1e299!8m2!3d36.7232639!4d10.3352131!16s%2Fg%2F11ry6sz8zp!19sChIJG7htGa5J_RIRmeLxyxpXCPk?authuser=0&hl=fr&rclk=1
ChIJQzUU4DJJ_RIRDK_fkZGyP8Y,Hammam-Lif,,False,10,,,,https://lh5.googleusercontent.com/p/AF1QipN7Zypn0KvpBFI1eBF1YiA6T8mLmko5PPuJu7zp=w408-h306-k-no,Point d'eau,Point d'eau,3.6,,,,Hammam-Lif,,https://www.google.com/maps/place/Hammam-Lif/data=!4m7!3m6!1s0x12fd4932e0143543:0xc63fb29191dfaf0c!8m2!3d36.7313083!4d10.3490877!16s%2Fg%2F1z264q1qm!19sChIJQzUU4DJJ_RIRDK_fkZGyP8Y?authuser=0&hl=fr&rclk=1
ChIJo0_TljtJ_RIRyHNQk844aHQ,Electro Nabli,,False,8,,Electro Nabli (proprietaire),https://www.google.com/maps/contrib/115653460644497347365,https://lh5.googleusercontent.com/p/AF1QipNE_hONzPSdcJvkVkieC_U_sykJBa2XszTJGelT=w408-h725-k-no,Magasin d'ameublement et de decoration,Magasin d'ameublement et de decoration,3.9,08:30-19:30,,23 994 416,"Electro Nabli, Avenue de la mer, Rue de Mediterranee, Hammam-Lif 2050",,https://www.google.com/maps/place/Electro+Nabli/data=!4m7!3m6!1s0x12fd493b96d34fa3:0x746838ce935073c8!8m2!3d36.7326908!4d10.3339178!16s%2Fg%2F113f31cdw!19sChIJo0_TljtJ_RIRyHNQk844aHQ?authuser=0&hl=fr&rclk=1
ChIJl5zdjf1P_RIRcgQWcCKTi4U,Plage,,False,2,,Plage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNlV0HPBhunJGgZ3whCwyI3SVeuPPCYyzkvIJjx=w408-h862-k-no,Pavillon de plage,Pavillon de plage,4,,,,"P98P+V2V Plage, Hammam-Lif",,https://www.google.com/maps/place/Plage/data=!4m7!3m6!1s0x12fd4ffd8ddd9c97:0x858b932270160472!8m2!3d36.7172448!4d10.3850372!16s%2Fg%2F11v0lsdlqt!19sChIJl5zdjf1P_RIRcgQWcCKTi4U?authuser=0&hl=fr&rclk=1
ChIJe5Q8DftO_RIR-iqPE5gS390,Mer de Hammam Chatt,,False,1,,,,,Mer,Mer,3,,,,Mer de Hammam Chatt,,https://www.google.com/maps/place/Mer+de+Hammam+Chatt/data=!4m7!3m6!1s0x12fd4efb0d3c947b:0xdddf1298138f2afa!8m2!3d36.721577!4d10.3764593!16s%2Fg%2F12vsxfw53!19sChIJe5Q8DftO_RIR-iqPE5gS390?authuser=0&hl=fr&rclk=1
ChIJ_dRXsT9J_RIRqmLiKCeRQpg,Bet 216 H.lif,,False,1,,Bet 216 H.lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtXajtHQKaWosZRWxzs1DAnKzQ7wMTL1ptSpCt=w408-h725-k-no,Casino,Casino,5,,,24 462 903,"P8JM+R8C Bet 216 H.lif, Av. de la mer mediterannee, Hammam-Lif",,https://www.google.com/maps/place/Bet+216+H.lif/data=!4m7!3m6!1s0x12fd493fb157d4fd:0x9842912728e262aa!8m2!3d36.7321874!4d10.3333708!16s%2Fg%2F11tjccbhxs!19sChIJ_dRXsT9J_RIRqmLiKCeRQpg?authuser=0&hl=fr&rclk=1
