place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJw3NtiKkjAhMRHT4uUWU-VdI,Hotel Nour Palace Resort & Thalasso,"Complexe haut de gamme en bord de mer avec acces a la plage, piscines, green d'entrainement, courts de tennis et spa.",False,1597,http://nourpalace.tn/,Hotel Nour Palace Resort & Thalasso (proprietaire),https://www.google.com/maps/contrib/109655736588926880227,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGFZ5Uue5hQr1jlrX9h9y03Sl4bLHW7wY7cBp140DBpHaaLO5rbbXp_BARX4B0aV93v-MbrttTNjWoSUg_dRJn2T53CWslLc7J2mjyfY6-qHlwx0voI4CGb-GPa2uliUkh_mDSI7EwR7czW446ES3jBjUjY4hDbserDXKW8kUljZ4QFaFBp0zJH7Q=w411-h240-k-no,Hotel,"Hotel, Complexe hotelier",4,,,73 682 500,"B.P. 79, G2PJ+68F Hotel Nour Palace Resort & Thalasso, Zone Touristique Hiboune, Mahdia 5111","animation, etoiles, mer, all inclusive, toboggans, transats, loisirs, territoire, voilee, aquapark",https://www.google.com/maps/place/Hotel+Nour+Palace+Resort+%26+Thalasso/data=!4m10!3m9!1s0x130223a9886d73c3:0xd2553e65512e3e1d!5m2!4m1!1i2!8m2!3d35.5366718!4d11.031056!16s%2Fg%2F11bbt861wf!19sChIJw3NtiKkjAhMRHT4uUWU-VdI?authuser=0&hl=fr&rclk=1
ChIJazvAmwAjAhMRQImTWjL-5R8,Mahdia Palace Thalasso,"Hotel haut de gamme avec logements conviviaux, spa, espace plage prive, piscines interieure et exterieure.",False,1512,http://mahdiapalace.tn/,Mahdia Palace Thalasso (proprietaire),https://www.google.com/maps/contrib/117050322797071634880,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEDk7RbqNZIcoRgmckpRIxoFNaTCx7KtzlHMuH7oLH1p6PWmVMYsEpwj2u6d7BxfvGmhhCZ0HrueCgO-6tcIiuVmE_gFbSnxOOjGEwWfN_rdw-AMB2ghWFyNuMbUbBGMpALskmAfI_d8q6eRBcR_QNo_ekNopMfavNwu4nPdWNxseTT2Le6L1qA=w408-h253-k-no,Hotel,Hotel,4.2,,,73 683 777,"Mahdia Palace Thalasso, BP 134, Zone Touristique","plage, piscine, 5 etoiles, serveurs, spa, animation, all inclusive, qualite, pays, demi pension",https://www.google.com/maps/place/Mahdia+Palace+Thalasso/data=!4m10!3m9!1s0x130223009bc03b6b:0x1fe5fe325a938940!5m2!4m1!1i2!8m2!3d35.5396804!4d11.0316419!16s%2Fg%2F1tg58023!19sChIJazvAmwAjAhMRQImTWjL-5R8?authuser=0&hl=fr&rclk=1
ChIJM1P63q4jAhMRX0R36X3D5DQ,Mahdia Beach & Aqua Park,Chambres claires avec balcon dans hotel tout compris en bord de plage proposant piscine et 4 restaurants.,False,1447,http://www.mahdia-beach.com/,Mahdia Beach & Aqua Park (proprietaire),https://www.google.com/maps/contrib/100452772211000442264,https://lh5.googleusercontent.com/p/AF1QipMgOIUuIc5DBvZ9vRtSqTY4mvB6yRz2tgILmmi2=w426-h240-k-no,Hotel,"Hotel, Parc aquatique",3.7,,,98 744 300,"Mahdia Beach & Aqua Park, Zone touristique, Mahdia 5100","animation, aquapark, sale, toboggans, catastrophique, loisirs, massages, all inclusive, chats, piscine a vagues",https://www.google.com/maps/place/Mahdia+Beach+%26+Aqua+Park/data=!4m10!3m9!1s0x130223aedefa5333:0x34e4c37de977445f!5m2!4m1!1i2!8m2!3d35.53206!4d11.034672!16s%2Fg%2F1hc0zw1s8!19sChIJM1P63q4jAhMRX0R36X3D5DQ?authuser=0&hl=fr&rclk=1
ChIJtVH3HvUjAhMRzUVewDpB_dc,Thalassa Mahdia,"Hotel raffine avec plage privee, spa de jour, plusieurs piscines, 3 restaurants et cafe mauresque.",False,838,http://www.thalassa-hotels.com/site/fr/article.php%3Fid_article%3D32,Thalassa Mahdia (proprietaire),https://www.google.com/maps/contrib/118195535125038378937,https://lh5.googleusercontent.com/p/AF1QipNZfdvdF_LRYmP3ZOI3DbeqmPZSV_ddOg3eqBZO=w408-h270-k-no,Hotel,Hotel,3.4,,,73 682 333,"Thalassa Mahdia, 61 Zone Touristique Mahdia BP, Mahdia 5100","animation, all inclusive, animateurs, alcool, transat, queue, toboggans, discotheque, directeur, thalasso",https://www.google.com/maps/place/Thalassa+Mahdia/data=!4m10!3m9!1s0x130223f51ef751b5:0xd7fd413ac05e45cd!5m2!4m1!1i2!8m2!3d35.5294707!4d11.0358253!16s%2Fg%2F1tds3m9r!19sChIJtVH3HvUjAhMRzUVewDpB_dc?authuser=0&hl=fr&rclk=1
ChIJN4rEXAEjAhMRdD_u4_da0Qc,Caribbean World Mahdia,"Complexe balneaire anime tout compris avec restaurants, bars, piscines exterieures, sports et club enfants.",False,824,,Caribbean World Mahdia (proprietaire),https://www.google.com/maps/contrib/112447604070026361472,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGwUX4N6MKZuK8E2yrS8RMvdD1YUkTjyLiz5ZFgtlWf9c-AzQ1YGvo3S2lb0YJwZvPKjR8cIpwsa48gOZKrWBcPMzANSihAcy8kQoGthv6VBmwaTPdH2_joIBZvXkjjsyKckqtNgAjRLOliBr1x1nZg21eNldz5PQejFTb-ANCiWEWlIijCSIbogg=w408-h338-k-no,Hotel,Hotel,3.7,,,73 682 400,"Caribbean World Mahdia, BP 196, Zone Touristique Mahdia Mahdia Jdeida, 5110","plage, animation, piscine, catastrophique, loisir, all inclusive, femme de chambre, parc aquatique, humidite, territoire",https://www.google.com/maps/place/Caribbean+World+Mahdia/data=!4m10!3m9!1s0x130223015cc48a37:0x7d15af7e3ee3f74!5m2!4m1!1i2!8m2!3d35.5431746!4d11.030391!16s%2Fg%2F1trrxynz!19sChIJN4rEXAEjAhMRdD_u4_da0Qc?authuser=0&hl=fr&rclk=1
ChIJ2Z4XePcjAhMR7Zjrjf64Jb0,Medina of Mahdia,,False,242,,Medina of Mahdia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMu15uogS5UWdT34gZK1DWCkZyZPzQ2hDs-dPFG=w408-h612-k-no,Site historique,Site historique,4.4,Ouvert 24h/24,,,"G339+F8C Medina of Mahdia, C82, Mahdia","epices, vetements, commercants, marche, mosquee, cafes",https://www.google.com/maps/place/Medina+of+Mahdia/data=!4m7!3m6!1s0x130223f778179ed9:0xbd25b8fe8deb98ed!8m2!3d35.5036967!4d11.0682686!16s%2Fg%2F11c5b66zd5!19sChIJ2Z4XePcjAhMR7Zjrjf64Jb0?authuser=0&hl=fr&rclk=1
ChIJLXlv6fkjAhMRm8BvkpxmtfE,Le Lido,,False,219,,Le Lido (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMv5lTkxCa0onpJQmx3CvI1euQBkd65k1lInCnr=w408-h544-k-no,Restaurant,Restaurant,3.7,10:00-01:00,,73 681 339,"G328+VMW Le Lido, C82, Mahdia","prix, poisson, table, entree, accompagnement, vin, barbecue, choix, experience, tomates",https://www.google.com/maps/place/Le+Lido/data=!4m7!3m6!1s0x130223f9e96f792d:0xf1b5669c926fc09b!8m2!3d35.502242!4d11.0667!16s%2Fg%2F1q5bkqw1z!19sChIJLXlv6fkjAhMRm8BvkpxmtfE?authuser=0&hl=fr&rclk=1
ChIJGbCfCcAjAhMRzXtEbyHMaGI,Topkapi Beach Mahdia,"Chambres sobres dans hotel balneaire avec piscine exterieure, amphitheatre et restaurant.",False,187,http://www.topkapi-beach.com.tn/,Topkapi Beach Mahdia (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFGlkgiND-pAzNtG4GE_bCzGf-dPi21e9hBtaMy03tJNcTkuD-kSQkvESYAvyqkCPiT2zfbJTyfHs1y77aP8g1hEQN-DWHco0JjR33nen5Z60Eom-qztT6JhqGllI03-nLsfA5unFM0GrItSZuNo4umb3LaVzDwCRGeyBLHnps3aoM1OJq_NpE1=w408-h269-k-no,Hotel,Hotel,3.6,,,58 055 011,"G27W+VWW Topkapi Beach Mahdia, Mahdia","biere, salade, cafe",https://www.google.com/maps/place/Topkapi+Beach+Mahdia/data=!4m10!3m9!1s0x130223c0099fb019:0x6268cc216f447bcd!5m2!4m1!1i2!8m2!3d35.5147416!4d11.047316!16s%2Fg%2F1tgl63zv!19sChIJGbCfCcAjAhMRzXtEbyHMaGI?authuser=0&hl=fr&rclk=1
ChIJs1RVVdwjAhMRTxf_gsZFdBI,Restaurant Neptune,,False,186,https://best--restaurants.blogspot.com/,Restaurant Neptune (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPQMEtCn8ZG2rPP7osiASd3T6hdgbfFE9MERok=w408-h541-k-no,Restaurant,"Restaurant, Bar, Bar lounge, Restaurant mediterraneen, Restaurant de fruits de mer, Bar sportif",3.5,12:00-05:00,,23 163 153,"G347+6PR Restaurant Neptune, Intersection, Av. 14 Janvier, Mahdia 5100","prix, mer, poisson, vue, vin, serveur, arnaque, choix, tomate, experience",https://www.google.com/maps/place/Restaurant+Neptune/data=!4m7!3m6!1s0x130223dc555554b3:0x127445c682ff174f!8m2!3d35.5056143!4d11.064259!16s%2Fg%2F11bbrgnl9s!19sChIJs1RVVdwjAhMRTxf_gsZFdBI?authuser=0&hl=fr&rclk=1
ChIJA2GirL4jAhMRzDliCd-hmYM,Plage Mahdia,,False,146,,,,https://lh5.googleusercontent.com/p/AF1QipNWJs74QprIzSf-MXaWzpdk60D1O3VfeQu0aBLe=w426-h240-k-no,Plage,Plage,4.5,,,,"Plage Mahdia, Mahdia","plastique, nettoyage, cafe",https://www.google.com/maps/place/Plage+Mahdia/data=!4m7!3m6!1s0x130223beaca26103:0x8399a1df096239cc!8m2!3d35.5212596!4d11.0429767!16s%2Fg%2F11c1nzy_s0!19sChIJA2GirL4jAhMRzDliCd-hmYM?authuser=0&hl=fr&rclk=1
