place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJU_Re2OyJ_RIRJMqQ5RyU790,Port El-Kantaoui,,False,4401,http://www.portelkantaoui.com.tn/,Port El-Kantaoui (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNoFLdBbMaju0qiKcVmjNl3T0huiLT2jXCjjwE5=w408-h545-k-no,Port de plaisance,Port de plaisance,4.4,,,73 348 600,"Port El-Kantaoui, Route Touristique Port El Kantaoui, 4089","hotel, souvenirs, catamaran, commerces, fontaine, parc d'attraction, pirate, vendeur, zoo",https://www.google.com/maps/place/Port+El-Kantaoui/data=!4m7!3m6!1s0x12fd89ecd85ef453:0xddef941ce590ca24!8m2!3d35.8947174!4d10.5964325!16s%2Fg%2F12vt14l_v!19sChIJU_Re2OyJ_RIRJMqQ5RyU790?authuser=0&hl=fr&rclk=1
ChIJy5NJ5Yh1AhMRVS9qKGeOiW0,Hotel Marhaba Beach,"Complexe simple en front de mer avec piscines interieure/exterieures, restaurant buffet et terrains de sport.",False,1667,http://marhababeach.tn/,Hotel Marhaba Beach (proprietaire),https://www.google.com/maps/contrib/101024654895170047676,https://lh5.googleusercontent.com/p/AF1QipOFsnm6okb4g8i56Z7ce5OFHtzLidHCRmbW_6Cf=w408-h306-k-no,Hotel,Hotel,4.2,,,73 240 112,"Hotel Marhaba Beach, Bd du 14 Janvier, Sousse 4039","animation, all inclusive, divertir, jour ferie, pourboires, territoire, massage, hammam, animateurs, maitre nageur",https://www.google.com/maps/place/H%C3%B4tel+Marhaba+Beach/data=!4m10!3m9!1s0x13027588e54993cb:0x6d898e67286a2f55!5m2!4m1!1i2!8m2!3d35.8487989!4d10.6197962!16s%2Fg%2F1tg_090c!19sChIJy5NJ5Yh1AhMRVS9qKGeOiW0?authuser=0&hl=fr&rclk=1
ChIJWTNdXAuK_RIRipBo2X7DUk4,Mio Mondo Cafe,,False,967,,Mio Mondo Cafe (proprietaire),https://www.google.com/maps/contrib/118013217065311971170,https://lh5.googleusercontent.com/p/AF1QipMFUaDmucMZW4GKm8_D1Az5sjOnRig5ES8mdYJn=w426-h240-k-no,Cafe,"Cafe, Marchand de glaces, Patisserie, Pizzeria, Restaurant, Centre commercial, Salon de the",4.1,07:00-01:00,,73 243 273,"Mio Mondo Cafe, route touristique khezema 4057, Boulevard du 14 Janvier, Sousse 4057","chicha, serveurs, glace, famille, fumeurs, brunch, pizza, service, terrasse, pourboire",https://www.google.com/maps/place/Mio+Mondo+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a0b5c5d3359:0x4e52c37ed968908a!8m2!3d35.8585963!4d10.6146498!16s%2Fg%2F1tf5yh__!19sChIJWTNdXAuK_RIRipBo2X7DUk4?authuser=0&hl=fr&rclk=1
ChIJs4VmOe2J_RIRrjoAxpJuqVg,Restaurant Le Mediterranee,,False,554,http://www.lemediterranee.com.tn/,Restaurant Le Mediterranee (proprietaire),https://www.google.com/maps/contrib/116073928703766937640,https://lh5.googleusercontent.com/p/AF1QipM1bdx_xoCch9Ij92FB4OynS6ozUYcZnAibcgIU=w717-h240-k-no,Restaurant,"Restaurant, Restaurant mediterraneen",4.4,12:00-21:30,lundi,27 135 135,"Restaurant Le Mediterranee, BP 119 Port El Kantaoui 4089 Sousse, Hammam Sousse 4089","service, vins, port, vue, cuisine, plats, produits de la mer, fruits de mer, qualite, couscous",https://www.google.com/maps/place/Restaurant+Le+M%C3%A9diterran%C3%A9e/data=!4m7!3m6!1s0x12fd89ed396685b3:0x58a96e92c6003aae!8m2!3d35.8930353!4d10.5982664!16s%2Fg%2F1tf219fc!19sChIJs4VmOe2J_RIRrjoAxpJuqVg?authuser=0&hl=fr&rclk=1
ChIJgbfjdJSL_RIRUODv8ItCUeY,L'Aromate Restaurant - Pizzeria,,False,481,,L'Aromate Restaurant - Pizzeria (proprietaire),https://www.google.com/maps/contrib/116252056258632169416,https://lh5.googleusercontent.com/p/AF1QipMElWGEfbIsjX2W3RXi0U709BtvAKzoJ7fbubwh=w426-h240-k-no,Restaurant,Restaurant,4.3,,,23 732 731,"L'Aromate Restaurant - Pizzeria, Sousse","pates, pizza, assiette, qualite, penne, saumon, spaghetti, souriant, lasagnes, fruits de mer",https://www.google.com/maps/place/L%E2%80%99Aromate+Restaurant+-+Pizzeria/data=!4m7!3m6!1s0x12fd8b9474e3b781:0xe651428bf0efe050!8m2!3d35.8398929!4d10.6033261!16s%2Fg%2F11g1nrbxmn!19sChIJgbfjdJSL_RIRUODv8ItCUeY?authuser=0&hl=fr&rclk=1
ChIJaSUuhAyK_RIRR4HPaAtUU-E,Big Ben Cafe,,False,468,https://www.facebook.com/BigBenRestoCafe/,Big Ben Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjnHclFyigcBpjIVFOQSWCWfUmC-kdLGCBQxlp=w408-h306-k-no,Cafe,Cafe,4,07:00-02:00,,58 573 854,"VJ67+392 Big Ben Cafe, Sousse","prix, enfants, brunch, serveur, famille, pizza, hamburger, plats, chaises, omelette",https://www.google.com/maps/place/Big+Ben+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a0c842e2569:0xe153540b68cf8147!8m2!3d35.8601341!4d10.6133956!16s%2Fg%2F11g9r8syhh!19sChIJaSUuhAyK_RIRR4HPaAtUU-E?authuser=0&hl=fr&rclk=1
ChIJpVXFioN1AhMRYpVMxX0Bs_4,THE FIRST Coffee & Resto,,False,401,https://www.facebook.com/thefirstcofferesto/,THE FIRST Coffee & Resto (proprietaire),https://www.google.com/maps/contrib/111148972557885924736,https://lh5.googleusercontent.com/p/AF1QipOmTItjZmIO490u3Hytq-Qw7jxZaGtFwTBf5sXl=w408-h544-k-no,Restaurant,"Restaurant, Cafe",3.9,07:00-00:00,,29 825 000,"THE FIRST Coffee & Resto, Avenue Taieb Mhiri, Sousse","petit dejeuner, brunch, fumer, serveurs, enfants, qualite, plats, musique, cafe, experience",https://www.google.com/maps/place/THE+FIRST+Coffee+%26+Resto/data=!4m7!3m6!1s0x130275838ac555a5:0xfeb3017dc54c9562!8m2!3d35.8400125!4d10.6269737!16s%2Fg%2F11dzdbn9rj!19sChIJpVXFioN1AhMRYpVMxX0Bs_4?authuser=0&hl=fr&rclk=1
ChIJeaD99Q-K_RIRmkmcj0ZOFJE,Restaurant Le QG,,False,348,,Restaurant Le QG (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP7X2uusZmYlybH3Qe_27Kse3PscVgtRbaFTe7d=w408-h544-k-no,Restaurant,Restaurant,3.4,12:00-00:00,,58 932 000,"VJ95+8W9 Restaurant Le QG, Hammam Sousse","prix, plage, serveurs, experience, entree, table, vin, cadre, qualite, vue sur mer",https://www.google.com/maps/place/Restaurant+Le+QG/data=!4m7!3m6!1s0x12fd8a0ff5fda079:0x91144e468f9c499a!8m2!3d35.8682877!4d10.609872!16s%2Fg%2F11cnbg9mxv!19sChIJeaD99Q-K_RIRmkmcj0ZOFJE?authuser=0&hl=fr&rclk=1
ChIJMXlOBYZ1AhMRUP5Xh_6kRwU,Residence Le Monaco,"Suites sobres dans hotel de style decontracte avec 5 restaurants, spa, piscine et plage privee.",False,254,http://www.hotellemonaco.com/,Residence Le Monaco (proprietaire),https://www.google.com/maps/contrib/118379861397716401194,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE1CzrfwGKrv0LsazJdb554oZkv4_5dj4y21RvmKPoieuXAW2AE2JHiBWiFfKIFFO8C_5mE320sT7jp2XsbuVogXYaQYPRlWNOcj-pSrr4ethx9SpebPXjJkDqFgJ1dWd7HrlevxAQtD34t7VdnlglkRR-p6Ef56u1BEJ-0BVHEZRVb4lizW-2m=w408-h272-k-no,Hotel,Hotel,3.6,,,73 203 260,"Residence Le Monaco, Sousse","plage, piscine, prix, service, wifi, spa, bar, serviettes, cafe, appartement",https://www.google.com/maps/place/R%C3%A9sidence+Le+Monaco/data=!4m10!3m9!1s0x13027586054e7931:0x547a4fe8757fe50!5m2!4m1!1i2!8m2!3d35.845007!4d10.6245959!16s%2Fg%2F1tdv32mp!19sChIJMXlOBYZ1AhMRUP5Xh_6kRwU?authuser=0&hl=fr&rclk=1
ChIJ4_EWNO2J_RIRJfFugh7ROOw,Restaurant Les Emirs,,False,245,https://best--restaurants.blogspot.com/,Restaurant Les Emirs (proprietaire),https://www.google.com/maps/contrib/112892736308085867980,https://lh5.googleusercontent.com/p/AF1QipN9TuUqu0pUmHYyymO_zujifSh0fzVcvShOXAou=w408-h271-k-no,Restaurant,Restaurant,4.1,09:00-00:00,,73 348 700,"Restaurant Les Emirs, Hammam Sousse","poisson, prix, serveur, couscous, table, addition, entree, monnaie, organisation, mal",https://www.google.com/maps/place/Restaurant+Les+Emirs/data=!4m7!3m6!1s0x12fd89ed3416f1e3:0xec38d11e826ef125!8m2!3d35.8928141!4d10.5974926!16s%2Fg%2F1ptzjfhnq!19sChIJ4_EWNO2J_RIRJfFugh7ROOw?authuser=0&hl=fr&rclk=1
