place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVVVVVVG04hIRVMyqFGsRMfI,Marsa Corniche,,False,536,,Marsa Corniche (proprietaire),https://www.google.com/maps/contrib/106006054073176675993,https://lh5.googleusercontent.com/p/AF1QipN-HqQHhQbGkaLBE8SaDHM3jZJyFv_kBHN3zTo3=w408-h306-k-no,Attraction touristique,Attraction touristique,4.4,06:00-21:00,"mercredi, samedi, dimanche",,"Marsa Corniche, Marsa","plage, espace, cafes, beau, soir, prix, famille, l'atmosphere, anime, attention",https://www.google.com/maps/place/Marsa+Corniche/data=!4m7!3m6!1s0x12e2b45155555555:0xf231116b14aacc54!8m2!3d36.8848613!4d10.3315121!16s%2Fg%2F11f4ptr7_p!19sChIJVVVVVVG04hIRVMyqFGsRMfI?authuser=0&hl=fr&rclk=1
ChIJy9OgdY204hIR1DSgN5AvVCs,ICE PARK LA MARSA,,False,309,,ICE PARK LA MARSA (proprietaire),https://www.google.com/maps/contrib/102591381898713522428,https://lh5.googleusercontent.com/p/AF1QipOAPXEbiAigcm1petvPQg83U9x10M0Vc4M_pRQg=w426-h240-k-no,Patinoire,"Patinoire, Parc, Attraction touristique",4,"09:30-17:30, 20:30-23:00",,98 360 241,"ICE PARK LA MARSA, Marsa 2070","familles, espace, divertissement, plastic, cadre, prix, cafe, jeux",https://www.google.com/maps/place/ICE+PARK+LA+MARSA/data=!4m7!3m6!1s0x12e2b48d75a0d3cb:0x2b542f9037a034d4!8m2!3d36.8787769!4d10.3304023!16s%2Fg%2F1s05xj27s!19sChIJy9OgdY204hIR1DSgN5AvVCs?authuser=0&hl=fr&rclk=1
ChIJQ_Ivs5-04hIR41xBW35lK5w,Ennejma Ezzahra Palace,,False,283,,Ennejma Ezzahra Palace (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOoiSHod0QDpQx24JzkNObmAi8WeVPzKPCRp6wh=w408-h543-k-no,Site historique,Site historique,4.6,"09:00-13:00, 14:00-16:00","lundi, samedi",,"Ennejma Ezzahra Palace, Palais du Baron d' Erlanger, 25 Rue du Maroc, Site archeologique de Carthage","palais, instruments de musique, musee, jardins, architecture, meubles, baron, peintures, concert, artistiques",https://www.google.com/maps/place/Ennejma+Ezzahra+Palace/data=!4m7!3m6!1s0x12e2b49fb32ff243:0x9c2b657e5b415ce3!8m2!3d36.8691667!4d10.3477778!16s%2Fg%2F1q5bl7m7z!19sChIJQ_Ivs5-04hIR41xBW35lK5w?authuser=0&hl=fr&rclk=1
ChIJiVQfgPS14hIR-gQ83bof5R0,Site archeologique de Carthage,,False,236,http://www.commune-carthage.gov.tn/fr/index.php%3Fsrub%3D261%26rub%3D247,Site archeologique de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP1r4j8y1Ct19wjqieDA8ZaOhzAZQ9jg3fw0_dG=w426-h240-k-no,Attraction touristique,"Attraction touristique, Site historique",4.4,,,,"Site archeologique de Carthage, 88 Rte de La Goulette, Site archeologique de Carthage","histoire, ruines, musee, cathedrale, billet, tarif, informations, carte, hotel",https://www.google.com/maps/place/Site+arch%C3%A9ologique+de+Carthage/data=!4m7!3m6!1s0x12e2b5f4801f5489:0x1de51fbadd3c04fa!8m2!3d36.8529199!4d10.3217245!16s%2Fg%2F11g4clfbps!19sChIJiVQfgPS14hIR-gQ83bof5R0?authuser=0&hl=fr&rclk=1
ChIJq6oVMIsz_RIRNvhJ639n32Y,Monument Place de la Kasbah,,False,205,,Monument Place de la Kasbah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZW2NKRAaKDkBxHsxziTs3a-BhjMT8QeBl8-Qx=w408-h306-k-no,Site historique,Site historique,4.3,Ouvert 24h/24,,,"Q5X8+3MQ Monument Place de la Kasbah, Tunis","ministere, drapeau, symbole",https://www.google.com/maps/place/Monument+Place+de+la+Kasbah/data=!4m7!3m6!1s0x12fd338b3015aaab:0x66df677feb49f836!8m2!3d36.7977022!4d10.1667476!16s%2Fg%2F11dybdnm04!19sChIJq6oVMIsz_RIRNvhJ639n32Y?authuser=0&hl=fr&rclk=1
ChIJO60qPLm04hIRXdlFDw63bok,Basilique de Damous Karita,,False,50,,Basilique de Damous Karita (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNwGaCURntbEWRuaxNXUDOhvEuIIHrtF3vKSzMp=w408-h306-k-no,Site archeologique,"Site archeologique, Attraction touristique",4.6,Ouvert 24h/24,,,"V86J+MG3 Basilique de Damous Karita, Rte de La Goulette, Site archeologique de Carthage",,https://www.google.com/maps/place/Basilique+de+Damous+Karita/data=!4m7!3m6!1s0x12e2b4b93c2aad3b:0x896eb70e0f45d95d!8m2!3d36.8616498!4d10.3312832!16s%2Fg%2F121c51xf!19sChIJO60qPLm04hIRXdlFDw63bok?authuser=0&hl=fr&rclk=1
ChIJyTFKjvK04hIROQpV3Dmamq4,Palais Abdellia,,False,48,,Palais Abdellia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnryAeSKNRiKoDRVHlQLlFHWnuyqKh9EwPL2tb=w408-h725-k-no,Site historique,Site historique,4.1,08:00-17:00,dimanche,71 741 074,"V8JG+44G Palais Abdellia, Marsa","centre culturel, 1500, construction",https://www.google.com/maps/place/Palais+Abdellia/data=!4m7!3m6!1s0x12e2b4f28e4a31c9:0xae9a9a39dc550a39!8m2!3d36.8803016!4d10.3253198!16s%2Fg%2F11c60pdqtj!19sChIJyTFKjvK04hIROQpV3Dmamq4?authuser=0&hl=fr&rclk=1
ChIJB2o7aMi04hIRud1jv37Guk8,Edifice a colonnes,,False,40,,Edifice a colonnes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipObmL-E21LfsAybEroCvvYh9GlRlQ7GqDI_sarN=w408-h306-k-no,Site historique,"Site historique, Attraction touristique",4.4,Ouvert 24h/24,,,"Edifice a colonnes, 36deg51'23.9""N 10deg19'31., Rue du 2 mars 1934, Site archeologique de Carthage",,https://www.google.com/maps/place/Edifice+%C3%A0+colonnes/data=!4m7!3m6!1s0x12e2b4c8683b6a07:0x4fbac67ebf63ddb9!8m2!3d36.856643!4d10.325346!16s%2Fg%2F122z_pxc!19sChIJB2o7aMi04hIRud1jv37Guk8?authuser=0&hl=fr&rclk=1
ChIJefOvdX614hIR9-50gFesBVo,Palais Ahmed Bey de la Marsa,,False,3,,Palais Ahmed Bey de la Marsa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP9l4y9viD6vBJAP_h1z6BLLi9Lt7egjw3uEd60=w408-h544-k-no,Site historique,"Site historique, Chateau",5,,,,"V8MJ+892 Palais Ahmed Bey de la Marsa, Site archeologique de Carthage",,https://www.google.com/maps/place/Palais+Ahmed+Bey+de+la+Marsa/data=!4m7!3m6!1s0x12e2b57e75aff379:0x5a05ac578074eef7!8m2!3d36.8832746!4d10.3308945!16s%2Fg%2F11qppsjp7p!19sChIJefOvdX614hIR9-50gFesBVo?authuser=0&hl=fr&rclk=1
ChIJ1ZMtZFm14hIRVLGDmlUfuAE,Palais zarrouk,,False,3,,Palais zarrouk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpwc3X15BALWJspoHMSAvPnLvHM4JyIBX4rO-c=w408-h725-k-no,Site historique,Site historique,4,,,,"Palais zarrouk, 25 Avenue de la Republique, Site archeologique de Carthage",,https://www.google.com/maps/place/Palais+zarrouk/data=!4m7!3m6!1s0x12e2b559642d93d5:0x1b81f559a83b154!8m2!3d36.8519875!4d10.3324649!16s%2Fg%2F121dplyf!19sChIJ1ZMtZFm14hIRVLGDmlUfuAE?authuser=0&hl=fr&rclk=1
