place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJqYLkGmw0_RIRzEZg7el_gng,Tunis Clock Tower,,False,849,,Tunis Clock Tower (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMAWtQPdVtXBsnmNmJHEl2ViuyWnTm6XCRISNZH=w426-h240-k-no,Site historique,Site historique,4.3,Ouvert 24h/24,,,"R52P+3HV Tunis Clock Tower, Av. Habib Bourguiba, Tunis","capitale, nuit, symbole, president, fontaine, coeur, espace, statue, place, cafe",https://www.google.com/maps/place/Tunis+Clock+Tower/data=!4m7!3m6!1s0x12fd346c1ae482a9:0x78827fe9ed6046cc!8m2!3d36.8002396!4d10.1864206!16s%2Fg%2F11cs2gsvjr!19sChIJqYLkGmw0_RIRzEZg7el_gng?authuser=0&hl=fr&rclk=1
ChIJuzyYQr3M4hIRf0BHdLvgAao,Parc Urbain Ennahli,"Espace vert semi-sauvage sur une montagne boisee surplombant Cebalat, avec des sentiers pedestres et des aires de jeux.",False,340,,Parc Urbain Ennahli (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPU4hLNY-h569gxDp5AEy6qYOa1zLpjb6EC-FOP=w408-h306-k-no,Parc national,"Parc national, Parc, Attraction touristique",4,06:00-19:00,,,"V5M5+XHV Parc Urbain Ennahli, Sent. de randonnee pedestre, Cebalat Ben Ammar","la nature, sport, jeux, famille, espace vert, footing, cafe, foret, parcours de sante, pique nique",https://www.google.com/maps/place/Parc+Urbain+Ennahli/data=!4m7!3m6!1s0x12e2ccbd42983cbb:0xaa01e0bb7447407f!8m2!3d36.8824388!4d10.1570987!16s%2Fg%2F128dgx5t4!19sChIJuzyYQr3M4hIRf0BHdLvgAao?authuser=0&hl=fr&rclk=1
ChIJq6oVMIsz_RIRNvhJ639n32Y,Monument Place de la Kasbah,,False,205,,Monument Place de la Kasbah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZW2NKRAaKDkBxHsxziTs3a-BhjMT8QeBl8-Qx=w408-h306-k-no,Site historique,Site historique,4.3,Ouvert 24h/24,,,"Q5X8+3MQ Monument Place de la Kasbah, Tunis","ministere, drapeau, symbole",https://www.google.com/maps/place/Monument+Place+de+la+Kasbah/data=!4m7!3m6!1s0x12fd338b3015aaab:0x66df677feb49f836!8m2!3d36.7977022!4d10.1667476!16s%2Fg%2F11dybdnm04!19sChIJq6oVMIsz_RIRNvhJ639n32Y?authuser=0&hl=fr&rclk=1
ChIJqynCKIoz_RIRwPDU19dNZes,Dar Lasram,,False,95,http://www.commune-tunis.gov.tn/publish/content/article.asp%3FID%3D825,Dar Lasram (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM1x0iXRE3gsWHwgdbNhdrbkpryDOCS42i4jg2C=w408-h408-k-no,Site historique,"Site historique, Musee, Attraction touristique",4.4,08:00-16:00,"samedi, dimanche",71 560 896,"Dar Lasram, Rue Du Tribunal, Tunis","palais, l'architecture",https://www.google.com/maps/place/Dar+Lasram/data=!4m7!3m6!1s0x12fd338a28c229ab:0xeb654dd7d7d4f0c0!8m2!3d36.8016713!4d10.1682989!16s%2Fg%2F120zjdk0!19sChIJqynCKIoz_RIRwPDU19dNZes?authuser=0&hl=fr&rclk=1
ChIJVVWVVAo0_RIRUdAAFaw-89w,Tourbet El Bey: The Royal Mausoleum,,False,83,,Tourbet El Bey: The Royal Mausoleum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrmJxyQW0ewJYflHN4Vxvbcf9Dwb5YfqbBwTT1=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.3,08:30-15:30,dimanche,,"Tourbet El Bey: The Royal Mausoleum, 7 Rue du Chateau, Tunis","histoire, tombes, monument, pays",https://www.google.com/maps/place/Tourbet+El+Bey:+The+Royal+Mausoleum/data=!4m7!3m6!1s0x12fd340a54955555:0xdcf33eac1500d051!8m2!3d36.7936528!4d10.1730395!16s%2Fg%2F1228rr61!19sChIJVVWVVAo0_RIRUdAAFaw-89w?authuser=0&hl=fr&rclk=1
ChIJU1NuO4oz_RIRoU_g2ohs9j0,Palais Kheireddine - Musee de la ville de Tunis,,False,40,,Palais Kheireddine - Musee de la ville de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmIoHzDV3bo3gvj-WFs7LSupZyv4WR0YQEo7QA=w408-h271-k-no,Musee,"Musee, Attraction touristique",4.2,10:00-18:00,dimanche,71 571 198,"R529+JC3 Palais Kheireddine - Musee de la ville de Tunis, Rue Du Tribunal, Tunis",arts,https://www.google.com/maps/place/Palais+Kheireddine+-+Mus%C3%A9e+de+la+ville+de+Tunis/data=!4m7!3m6!1s0x12fd338a3b6e5353:0x3df66c88dae04fa1!8m2!3d36.801507!4d10.1685555!16s%2Fg%2F11c1g6gs19!19sChIJU1NuO4oz_RIRoU_g2ohs9j0?authuser=0&hl=fr&rclk=1
ChIJ1aW4YfUz_RIRLUVVRm7JswA,Dar El Haddad,,False,12,,Dar El Haddad (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMiqC8PCp98ofCJqny3HWOVKGwi7x-pD10agCp4=w408-h306-k-no,Site historique,"Site historique, Attraction touristique",4.4,,,,"Dar El Haddad, 3 Bd Bab Menara, Tunis",,https://www.google.com/maps/place/Dar+El+Haddad/data=!4m7!3m6!1s0x12fd33f561b8a5d5:0xb3c96e4655452d!8m2!3d36.7952187!4d10.1686659!16s%2Fg%2F12384nvq!19sChIJ1aW4YfUz_RIRLUVVRm7JswA?authuser=0&hl=fr&rclk=1
ChIJEcqYKooz_RIRgoQNAiBCH-c,Mausoleum of Sidi Brahim Riahi,,False,5,,Mausoleum of Sidi Brahim Riahi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZDOvYwGdbuwhEj7wytnsdpQcMRvRyRglNU5qR=w408-h260-k-no,Site historique,Site historique,4.8,,,,"R539+366 Mausoleum of Sidi Brahim Riahi, Rue Sidi Brahim, Tunis",,https://www.google.com/maps/place/Mausoleum+of+Sidi+Brahim+Riahi/data=!4m7!3m6!1s0x12fd338a2a98ca11:0xe71f4220020d8482!8m2!3d36.8026649!4d10.16802!16s%2Fg%2F11c6f3j7kt!19sChIJEcqYKooz_RIRgoQNAiBCH-c?authuser=0&hl=fr&rclk=1
ChIJCTfCzooz_RIRlp3MWkqKxtA,Tourbet Laz,,False,3,http://fr.wikipedia.org/wiki/Tourba_de_Mohammad_Laz,Tourbet Laz (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM5EVGsZdx8Oldq6PchwTAFr7jDRa-swHv2IV9A=w426-h240-k-no,Site historique,"Site historique, Attraction touristique",5,,,,"Q5W9+X99 Tourbet Laz, Tunis",,https://www.google.com/maps/place/Tourbet+Laz/data=!4m7!3m6!1s0x12fd338acec23709:0xd0c68a4a5acc9d96!8m2!3d36.7974002!4d10.1684961!16s%2Fg%2F11cn33nlj8!19sChIJCTfCzooz_RIRlp3MWkqKxtA?authuser=0&hl=fr&rclk=1
ChIJV1mwF94z_RIRyQDSA-hGepI,Roundabout Menzah 6,,False,2,,Roundabout Menzah 6 (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kHVfiUYlWfBn7SgFiaK14w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=177.86275&pitch=0&thumbfov=100,Fabricant de monuments,Fabricant de monuments,5,,,,"V53C+939 Roundabout Menzah 6, Ariana",,https://www.google.com/maps/place/Roundabout+Menzah+6/data=!4m7!3m6!1s0x12fd33de17b05957:0x927a46e803d200c9!8m2!3d36.8534094!4d10.1702235!16s%2Fg%2F11h6m2_rmx!19sChIJV1mwF94z_RIRyQDSA-hGepI?authuser=0&hl=fr&rclk=1
