place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ9V1P35z8ARMRqCO4L4AIbPU,El Jem Amphitheatre,"Ancien amphitheatre romain, parmi les mieux conserves, avec expositions d'objets rares et evenements.",False,6911,,El Jem Amphitheatre (proprietaire),https://www.google.com/maps/contrib/102714697755655577598,https://lh5.googleusercontent.com/p/AF1QipMUOfo2hPXN2rIuZLJb3aTsHmsqllqTZUSD84t3=w426-h240-k-no,Site historique,"Site historique, Amphitheatre, Attraction touristique",4.8,07:00-16:30,,73 630 093,"El Jem Amphitheatre, Route Mahdia, El Jem","gladiateur, conserve, romains, arena, sous-sol, mosaiques, architecture romaine, musique classique, symphonie, course de chars",https://www.google.com/maps/place/El+Jem+Amphitheatre/data=!4m7!3m6!1s0x1301fc9cdf4f5df5:0xf56c08802fb823a8!8m2!3d35.2964821!4d10.7069003!16s%2Fg%2F120rrdck!19sChIJ9V1P35z8ARMRqCO4L4AIbPU?authuser=0&hl=fr&rclk=1
ChIJNZpBhXN1AhMRwBmaKfis3fU,Ribat de Sousse,"Construit au VIIIe siecle et agrandi en 821, ce petit fort comprend une tour offrant une vue panoramique.",False,3223,,Ribat de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOWsD599a4gXTuYabBwmaeZRQEOSgsmG1W70nMR=w408-h306-k-no,Site historique,"Site historique, Lieu historique, Musee d'histoire locale, Monument, Attraction touristique",4.4,08:00-17:00,,,"RJHQ+3G7 Ribat de Sousse, Sousse","marche, mosquee, bazars, souvenirs, marchander, port, vendeur, viiie siecle, kasbah",https://www.google.com/maps/place/Ribat+de+Sousse/data=!4m7!3m6!1s0x1302757385419a35:0xf5ddacf8299a19c0!8m2!3d35.827671!4d10.6387949!16s%2Fg%2F121rcp8l!19sChIJNZpBhXN1AhMRwBmaKfis3fU?authuser=0&hl=fr&rclk=1
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJHzgEBTBtAhMRqyURTru9pFM,Ribat de Monastir,Immense fort cotier du VIIIe siecle bien conserve et abritant aujourd'hui le musee d'Art islamique.,False,2204,,Ribat de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZF3SFW5N_4PyjWhsF7iV8a55W4OH1rzx0bePe=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Musee, Attraction touristique",4.6,08:30-17:30,,42 223 476,"QRGM+F6M Ribat de Monastir, Rte de la Falaise, Monastir","tour, fortification, especes, mer, dinar, mosquee, musulmans, habib bourguiba, mausolee, viiie siecle",https://www.google.com/maps/place/Ribat+de+Monastir/data=!4m7!3m6!1s0x13026d300504381f:0x53a4bdbb4e1125ab!8m2!3d35.7762108!4d10.8330383!16s%2Fg%2F121djqp8!19sChIJHzgEBTBtAhMRqyURTru9pFM?authuser=0&hl=fr&rclk=1
ChIJ68eHwcyC_BIR722LjYThEzU,Dougga,"Ruines en pierre d'une cite du VIe siecle av. J.-C. qui comprend des tombes, des arcs et un theatre romain bien preserve.",False,1264,,Dougga (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOh8rVfNzbrXpcOXdfafmCzJNQBF8j3c1QKwFff=w408-h307-k-no,Preservation du patrimoine,"Preservation du patrimoine, Lieu historique, Ruines, Attraction touristique",4.8,08:30-17:30,,+33 1 45 68 43 78,"C6F9+5PH Dougga, Dougga, Delegation de, Teboursouk","site archeologique, ruines, temples, theatre, conserve, antique, civilisation, romains, mosaiques, voyage dans le temps",https://www.google.com/maps/place/Dougga/data=!4m7!3m6!1s0x12fc82ccc187c7eb:0x3513e1848d8b6def!8m2!3d36.4229381!4d9.2193482!16zL20vMDk3bjZ0!19sChIJ68eHwcyC_BIR722LjYThEzU?authuser=0&hl=fr&rclk=1
ChIJqYLkGmw0_RIRzEZg7el_gng,Tunis Clock Tower,,False,849,,Tunis Clock Tower (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMAWtQPdVtXBsnmNmJHEl2ViuyWnTm6XCRISNZH=w426-h240-k-no,Site historique,Site historique,4.3,Ouvert 24h/24,,,"R52P+3HV Tunis Clock Tower, Av. Habib Bourguiba, Tunis","capitale, nuit, symbole, president, fontaine, coeur, espace, statue, place, cafe",https://www.google.com/maps/place/Tunis+Clock+Tower/data=!4m7!3m6!1s0x12fd346c1ae482a9:0x78827fe9ed6046cc!8m2!3d36.8002396!4d10.1864206!16s%2Fg%2F11cs2gsvjr!19sChIJqYLkGmw0_RIRzEZg7el_gng?authuser=0&hl=fr&rclk=1
ChIJiVQfgPS14hIR-gQ83bof5R0,Site archeologique de Carthage,,False,236,http://www.commune-carthage.gov.tn/fr/index.php%3Fsrub%3D261%26rub%3D247,Site archeologique de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP1r4j8y1Ct19wjqieDA8ZaOhzAZQ9jg3fw0_dG=w426-h240-k-no,Attraction touristique,"Attraction touristique, Site historique",4.4,,,,"Site archeologique de Carthage, 88 Rte de La Goulette, Site archeologique de Carthage","histoire, ruines, musee, cathedrale, billet, tarif, informations, carte, hotel",https://www.google.com/maps/place/Site+arch%C3%A9ologique+de+Carthage/data=!4m7!3m6!1s0x12e2b5f4801f5489:0x1de51fbadd3c04fa!8m2!3d36.8529199!4d10.3217245!16s%2Fg%2F11g4clfbps!19sChIJiVQfgPS14hIR-gQ83bof5R0?authuser=0&hl=fr&rclk=1
ChIJ8ZUCJSnAVxIRwoArlzAPRj4,Medina de Tozeur,,False,204,,Medina de Tozeur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNnidti34syxlKFVXVmL6PQWHqlCD7AtlEpUghR=w408-h544-k-no,Site historique,"Site historique, Attraction touristique",4.5,Ouvert 24h/24,,,"W4CQ+7G Medina de Tozeur, Ouled El Hadef, Tozeur","briques, architecture, ruelles, desert, artisans, touristique, portes, dattes",https://www.google.com/maps/place/M%C3%A9dina+de+Tozeur/data=!4m7!3m6!1s0x1257c029250295f1:0x3e460f30972b80c2!8m2!3d33.9206525!4d8.1386141!16s%2Fg%2F11c30smfj4!19sChIJ8ZUCJSnAVxIRwoArlzAPRj4?authuser=0&hl=fr&rclk=1
ChIJ-XUe6Lm04hIRbKEH0P5CDDk,Kobba Bent el Rey,,False,170,,Kobba Bent el Rey (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPwAQYnsh5hGU857lPdZd6sLL9DIDvN6g_4_Thm=w408-h272-k-no,Site archeologique,"Site archeologique, Attraction touristique",4.5,09:00-17:00,,,"V84J+XJ6 Kobba Bent el Rey, Rte de La Goulette, Site archeologique de Carthage 7016","l'histoire, ruines, mosaiques, mer, villa romaine, musee",https://www.google.com/maps/place/Kobba+Bent+el+Rey/data=!4m7!3m6!1s0x12e2b4b9e81e75f9:0x390c42fed007a16c!8m2!3d36.8574024!4d10.331506!16s%2Fg%2F121kwm7v!19sChIJ-XUe6Lm04hIRbKEH0P5CDDk?authuser=0&hl=fr&rclk=1
ChIJqynCKIoz_RIRwPDU19dNZes,Dar Lasram,,False,95,http://www.commune-tunis.gov.tn/publish/content/article.asp%3FID%3D825,Dar Lasram (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM1x0iXRE3gsWHwgdbNhdrbkpryDOCS42i4jg2C=w408-h408-k-no,Site historique,"Site historique, Musee, Attraction touristique",4.4,08:00-16:00,"samedi, dimanche",71 560 896,"Dar Lasram, Rue Du Tribunal, Tunis","palais, l'architecture",https://www.google.com/maps/place/Dar+Lasram/data=!4m7!3m6!1s0x12fd338a28c229ab:0xeb654dd7d7d4f0c0!8m2!3d36.8016713!4d10.1682989!16s%2Fg%2F120zjdk0!19sChIJqynCKIoz_RIRwPDU19dNZes?authuser=0&hl=fr&rclk=1
