place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv6tmzkge4xIRTcxRjWdv8_g,Vieux Port De Bizerte,,False,551,,Vieux Port De Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjeNuBJpdKF_umsuYPcSc6GCXAtboabYv_ehGW=w408-h307-k-no,Port de plaisance,"Port de plaisance, Attraction touristique",4.5,Ouvert 24h/24,,,"7VGF+VR5 Vieux Port De Bizerte, Passerelle du Marsa de, Bizerte","espace, couleurs, histoire, cafe, anime, charme, poisson, griller, baklawa, hygiene",https://www.google.com/maps/place/Vieux+Port+De+Bizerte/data=!4m7!3m6!1s0x12e31e48ce66abbf:0xf8f36f678d51cc4d!8m2!3d37.2771396!4d9.8746004!16s%2Fg%2F11c56bjfx5!19sChIJv6tmzkge4xIRTcxRjWdv8_g?authuser=0&hl=fr&rclk=1
ChIJn3zZEpng4hIRgnPSF4JriUo,Foret du Rimel,,False,182,,Foret du Rimel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjRKk0W3YaSUGicMWJ-DDW_8J263MeRmxDmVc5=w408-h306-k-no,Foret nationale,"Foret nationale, Attraction touristique",4.4,,,21 460 224,"6XHJ+323 Foret du Rimel, Autoroute Tunis-Bizerte, Menzel Jemil","plage, espace, camping, sport",https://www.google.com/maps/place/For%C3%AAt+du+Rimel/data=!4m7!3m6!1s0x12e2e09912d97c9f:0x4a896b8217d27382!8m2!3d37.22763!4d9.9800438!16s%2Fg%2F1tgdwjwn!19sChIJn3zZEpng4hIRgnPSF4JriUo?authuser=0&hl=fr&rclk=1
ChIJVVWVVAo0_RIRUdAAFaw-89w,Tourbet El Bey: The Royal Mausoleum,,False,83,,Tourbet El Bey: The Royal Mausoleum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrmJxyQW0ewJYflHN4Vxvbcf9Dwb5YfqbBwTT1=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.3,08:30-15:30,dimanche,,"Tourbet El Bey: The Royal Mausoleum, 7 Rue du Chateau, Tunis","histoire, tombes, monument, pays",https://www.google.com/maps/place/Tourbet+El+Bey:+The+Royal+Mausoleum/data=!4m7!3m6!1s0x12fd340a54955555:0xdcf33eac1500d051!8m2!3d36.7936528!4d10.1730395!16s%2Fg%2F1228rr61!19sChIJVVWVVAo0_RIRUdAAFaw-89w?authuser=0&hl=fr&rclk=1
ChIJ71HpZtIf4xIRseVZI5E3D-A,Medina de Bizerte,,False,48,,Medina de Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcMjzt-g67PCAkZIz8hp5E2GhrZ2adUeXUXLo5=w408-h544-k-no,Site historique,Site historique,4.4,,,,"7VHG+H68 Medina de Bizerte, Bizerte","ruelles, touristes",https://www.google.com/maps/place/M%C3%A9dina+de+Bizerte/data=!4m7!3m6!1s0x12e31fd266e951ef:0xe00f37912359e5b1!8m2!3d37.2789201!4d9.8755657!16s%2Fg%2F11kxqw1y8d!19sChIJ71HpZtIf4xIRseVZI5E3D-A?authuser=0&hl=fr&rclk=1
ChIJW5hKl6wf4xIRhAN0RBoLbi4,Eglise Saint-Alexandre-Nevski de Bizerte,,False,37,,Eglise Saint-Alexandre-Nevski de Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP2kCF2_LLyHIwuOl9T6FBvNkDN55cfEt8J6Gr_=w408-h544-k-no,Eglise,"Eglise, Lieu historique, Eglise orthodoxe russe, Attraction touristique",4.3,,,,"7V97+2FG Eglise Saint-Alexandre-Nevski de Bizerte, Place Anastasia Manstein-Chirinsky, Bizerte 7000",monument,https://www.google.com/maps/place/%C3%89glise+Saint-Alexandre-Nevski+de+Bizerte/data=!4m7!3m6!1s0x12e31fac974a985b:0x2e6e0b1a44740384!8m2!3d37.2675744!4d9.8637049!16s%2Fg%2F120m0nxy!19sChIJW5hKl6wf4xIRhAN0RBoLbi4?authuser=0&hl=fr&rclk=1
ChIJI3eCCkUe4xIROc_I_FYtgJ4,Fort d'Espagne,,False,17,,Fort d'Espagne (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipORmqCJSdfZQj3ZBed39JtfF_uzg3eK5nmzDuEg=w408-h270-k-no,Site historique,"Site historique, Lieu historique, Musee, Attraction touristique",4.7,,,,"7VJC+79G Fort d'Espagne, Bizerte",,https://www.google.com/maps/place/Fort+d%27Espagne/data=!4m7!3m6!1s0x12e31e450a827723:0x9e802d56fcc8cf39!8m2!3d37.2806849!4d9.8709564!16s%2Fg%2F11c5_zjs64!19sChIJI3eCCkUe4xIROc_I_FYtgJ4?authuser=0&hl=fr&rclk=1
ChIJf9ElCr3B4hIRmqPjGrG4xL0,Borj El Loutani,,False,16,,Borj El Loutani (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPrarZaQG8vLE0Xb2zyQCxhTVMMh2cCrRHO-zw9=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Attraction touristique",4.3,,,,"559V+QQ4 Borj El Loutani, Ghar El Melh",,https://www.google.com/maps/place/Borj+El+Loutani/data=!4m7!3m6!1s0x12e2c1bd0a25d17f:0xbdc4b8b11ae3a39a!8m2!3d37.1693844!4d10.1944663!16s%2Fg%2F11dymjx3tl!19sChIJf9ElCr3B4hIRmqPjGrG4xL0?authuser=0&hl=fr&rclk=1
ChIJ-6p2yg3g4hIRheedyFr7Xv4,Menzel Jemil Sud,,False,14,,,,https://lh5.googleusercontent.com/p/AF1QipNkaGtn1BP4ueiiMBecT68MGWbVWu8NnleLjazi=w408-h306-k-no,Land mass,Land mass,4.1,,,,"Menzel Jemil Sud, Menzel Jemil",,https://www.google.com/maps/place/Menzel+Jemil+Sud/data=!4m7!3m6!1s0x12e2e00dca76aafb:0xfe5efb5ac89de785!8m2!3d37.2299388!4d9.9213641!16s%2Fg%2F1v9d4nxp!19sChIJ-6p2yg3g4hIRheedyFr7Xv4?authuser=0&hl=fr&rclk=1
ChIJid_lIGIf4xIR1iYN1VX-m_U,La Ksiba,,False,12,,La Ksiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOWu0e1AjreYiNUsS9_Td4PwHdFgQbMW_3oG1Ya=w426-h240-k-no,Lieu historique,"Lieu historique, Site historique",4.2,,,,"7VHG+9R4 La Ksiba, Blvd Habib Bougatfa, Bizerte",,https://www.google.com/maps/place/La+Ksiba/data=!4m7!3m6!1s0x12e31f6220e5df89:0xf59bfe55d50d26d6!8m2!3d37.2783948!4d9.8770838!16s%2Fg%2F11qq3drfct!19sChIJid_lIGIf4xIR1iYN1VX-m_U?authuser=0&hl=fr&rclk=1
ChIJI8DIy0ge4xIRS0IHKOnTdD8,Arc Bou Amoud,,False,9,,Arc Bou Amoud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO2dJi8feQsN8crn1-yBjuHmuFILwyI4bvecA0Z=w408-h306-k-no,Monument,Monument,4.1,,,,"7VGF+XM7 Arc Bou Amoud, Rue Arc Bou Amoud, Rue de la Regence, Bizerte",,https://www.google.com/maps/place/Arc+Bou+Amoud/data=!4m7!3m6!1s0x12e31e48cbc8c023:0x3f74d3e92807424b!8m2!3d37.277425!4d9.8741689!16s%2Fg%2F1hc27xvrs!19sChIJI8DIy0ge4xIRS0IHKOnTdD8?authuser=0&hl=fr&rclk=1
ChIJbdEL-Xjg4hIROmn_HEIvL1A,Starlight SARL,,False,2,,Starlight SARL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPq6Xb3uB7oM_s8UCAJaAu0iGULEuEUaH6yBxze=w408-h544-k-no,Fabricant de maroquinerie,Fabricant de maroquinerie,5,08:00-16:00,"samedi, dimanche",72 440 753,"6WFQ+38M Starlight SARL, Main Street, Menzel Jemil 7080",,https://www.google.com/maps/place/Starlight+SARL/data=!4m7!3m6!1s0x12e2e078f90bd16d:0x502f2f421cff693a!8m2!3d37.2227126!4d9.9383003!16s%2Fg%2F1hf3h2sn9!19sChIJbdEL-Xjg4hIROmn_HEIvL1A?authuser=0&hl=fr&rclk=1
