place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ68eHwcyC_BIR722LjYThEzU,Dougga,"Ruines en pierre d'une cite du VIe siecle av. J.-C. qui comprend des tombes, des arcs et un theatre romain bien preserve.",False,1264,,Dougga (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOh8rVfNzbrXpcOXdfafmCzJNQBF8j3c1QKwFff=w408-h307-k-no,Preservation du patrimoine,"Preservation du patrimoine, Lieu historique, Ruines, Attraction touristique",4.8,08:30-17:30,,+33 1 45 68 43 78,"C6F9+5PH Dougga, Dougga, Delegation de, Teboursouk","site archeologique, ruines, temples, theatre, conserve, antique, civilisation, romains, mosaiques, voyage dans le temps",https://www.google.com/maps/place/Dougga/data=!4m7!3m6!1s0x12fc82ccc187c7eb:0x3513e1848d8b6def!8m2!3d36.4229381!4d9.2193482!16zL20vMDk3bjZ0!19sChIJ68eHwcyC_BIR722LjYThEzU?authuser=0&hl=fr&rclk=1
ChIJCSjV1BVK-RIRbVzqHxV3FqQ,Site Archeologique de Sbeitla,,False,170,,Site Archeologique de Sbeitla (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPyiVrVCSa0LRobFQd7I1uzbayp3gwNjlwDG8P3=w408-h306-k-no,Site archeologique,Site archeologique,4.7,08:00-19:00,,,"64R9+J6Q Site Archeologique de Sbeitla, Sbeitla","temples, musee, touristique, ruines, histoire, cite romaine, mosaiques, ier siecle, amphitheatre, eglise",https://www.google.com/maps/place/Site+Arch%C3%A9ologique+de+Sbe%C3%AFtla/data=!4m7!3m6!1s0x12f94a15d4d52809:0xa41677151fea5c6d!8m2!3d35.2415902!4d9.118103!16s%2Fm%2F011lcndj!19sChIJCSjV1BVK-RIRbVzqHxV3FqQ?authuser=0&hl=fr&rclk=1
ChIJVVWVVAo0_RIRUdAAFaw-89w,Tourbet El Bey: The Royal Mausoleum,,False,83,,Tourbet El Bey: The Royal Mausoleum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrmJxyQW0ewJYflHN4Vxvbcf9Dwb5YfqbBwTT1=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.3,08:30-15:30,dimanche,,"Tourbet El Bey: The Royal Mausoleum, 7 Rue du Chateau, Tunis","histoire, tombes, monument, pays",https://www.google.com/maps/place/Tourbet+El+Bey:+The+Royal+Mausoleum/data=!4m7!3m6!1s0x12fd340a54955555:0xdcf33eac1500d051!8m2!3d36.7936528!4d10.1730395!16s%2Fg%2F1228rr61!19sChIJVVWVVAo0_RIRUdAAFaw-89w?authuser=0&hl=fr&rclk=1
ChIJdWBxyd2Z_BIR3uPK5IfXHyk,Site Archeologique de Thignica (Ain Tounga),,False,22,,Site Archeologique de Thignica (Ain Tounga) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPT0-3bz50QP77UKDD7a9DiNeBp7HDjwdvs8uq0=w408-h272-k-no,Site historique,Site historique,4.3,,,,"G9F6+G6P Site Archeologique de Thignica (Ain Tounga), Testour",,https://www.google.com/maps/place/Site+Arch%C3%A9ologique+de+Thignica+%28Ain+Tounga%29/data=!4m7!3m6!1s0x12fc99ddc9716075:0x291fd787e4cae3de!8m2!3d36.5238355!4d9.3605719!16s%2Fg%2F1230_59k!19sChIJdWBxyd2Z_BIR3uPK5IfXHyk?authuser=0&hl=fr&rclk=1
ChIJh5hwwi56_BIRML8SzSHUDV0,Zama Regia,,False,18,,Zama Regia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxR6-LRL6r5bcH1-oa95syumcNS6T5Kn-SRQUT=w408-h306-k-no,Site historique,Site historique,4.3,Ouvert 24h/24,,,"476P+Q5P Zama Regia, Al Jamah",,https://www.google.com/maps/place/Zama+Regia/data=!4m7!3m6!1s0x12fc7a2ec2709887:0x5d0dd421cd12bf30!8m2!3d36.1119507!4d9.2854612!16s%2Fg%2F11g71w6ccz!19sChIJh5hwwi56_BIRML8SzSHUDV0?authuser=0&hl=fr&rclk=1
ChIJnUuOj7B6_BIRkYBxVnsvfXE,Mosquee Fatima Zahra,,False,11,,Mosquee Fatima Zahra (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMyall7oyhiiCpGEDdMDV4MF-YXglQ3-4Kw2r7p=w408-h725-k-no,Mosquee,Mosquee,4.5,,,,"39M4+RR2 Mosquee Fatima Zahra, P4, Siliana",,https://www.google.com/maps/place/Mosqu%C3%A9e+Fatima+Zahra/data=!4m7!3m6!1s0x12fc7ab08f8e4b9d:0x717d2f7b56718091!8m2!3d36.0845138!4d9.3570049!16s%2Fg%2F11byp5wbr6!19sChIJnUuOj7B6_BIRkYBxVnsvfXE?authuser=0&hl=fr&rclk=1
ChIJxbsgAm9r_BIRPHejblNSBPY,Grotte ain Dhab,,False,11,,Grotte ain Dhab (proprietaire),https://www.google.com/maps/contrib/109505531340054680798,https://lh5.googleusercontent.com/p/AF1QipM4boAvbc11PKowcGxLcti-EBQFmMo_TAjc_Se-=w408-h304-k-no,Reserve naturelle,Reserve naturelle,4.4,Ouvert 24h/24,,,"Grotte ain Dhab, 6100, Sidi Ameur-djbel serj",experience,https://www.google.com/maps/place/Grotte+ain+Dhab/data=!4m7!3m6!1s0x12fc6b6f0220bbc5:0xf60452536ea3773c!8m2!3d35.902092!4d9.4813637!16s%2Fg%2F11j2ybk2hl!19sChIJxbsgAm9r_BIRPHejblNSBPY?authuser=0&hl=fr&rclk=1
ChIJ_____6iB-RIR2cAOBmqj_HM,The Archaeological Site of Haidra,,False,7,,The Archaeological Site of Haidra (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP22WGLC2ZvfvVqPhnJieDKtE5aQYrrS-UgFTGE=w408-h306-k-no,Site archeologique,Site archeologique,4.9,,,,"HF83+396 The Archaeological Site of Haidra, Haydrah",,https://www.google.com/maps/place/The+Archaeological+Site+of+Ha%C3%AFdra/data=!4m7!3m6!1s0x12f981a8ffffffff:0x73fca36a060ec0d9!8m2!3d35.5651629!4d8.4533941!16s%2Fg%2F11b5t_3y_v!19sChIJ_____6iB-RIR2cAOBmqj_HM?authuser=0&hl=fr&rclk=1
ChIJeUFbOAuD_BIR4DdcxSfoLQE,Temple de la Piete Auguste,,False,3,,Temple de la Piete Auguste (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNtRJEQ19PIamcJOnQ-abkzsjjBivztUlX-21HE=w408-h725-k-no,Site historique,Site historique,4.7,,,,"C6F9+6H6 Temple de la Piete Auguste, Dougga",,https://www.google.com/maps/place/Temple+de+la+Pi%C3%A9t%C3%A9+Auguste/data=!4m7!3m6!1s0x12fc830b385b4179:0x12de827c55c37e0!8m2!3d36.4230285!4d9.2188758!16s%2Fg%2F11f006gm2b!19sChIJeUFbOAuD_BIR4DdcxSfoLQE?authuser=0&hl=fr&rclk=1
ChIJnV9-nMZ3_BIR0dx7R0bI594,Gobr Klib,,False,3,,Gobr Klib (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPLcaEc8byFFQdvC8-Ms5LKjvCrFPtervX12NkN=w408-h251-k-no,Site historique,Site historique,4.3,,,,"2669+XFW Gobr Klib, Dashrat al Aouach",,https://www.google.com/maps/place/Gobr+Klib/data=!4m7!3m6!1s0x12fc77c69c7e5f9d:0xdee7c846477bdcd1!8m2!3d36.0124936!4d9.2186902!16s%2Fg%2F1239_7bp!19sChIJnV9-nMZ3_BIR0dx7R0bI594?authuser=0&hl=fr&rclk=1
