place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJNZpBhXN1AhMRwBmaKfis3fU,Ribat de Sousse,"Construit au VIIIe siecle et agrandi en 821, ce petit fort comprend une tour offrant une vue panoramique.",False,3223,,Ribat de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOWsD599a4gXTuYabBwmaeZRQEOSgsmG1W70nMR=w408-h306-k-no,Site historique,"Site historique, Lieu historique, Musee d'histoire locale, Monument, Attraction touristique",4.4,08:00-17:00,,,"RJHQ+3G7 Ribat de Sousse, Sousse","marche, mosquee, bazars, souvenirs, marchander, port, vendeur, viiie siecle, kasbah",https://www.google.com/maps/place/Ribat+de+Sousse/data=!4m7!3m6!1s0x1302757385419a35:0xf5ddacf8299a19c0!8m2!3d35.827671!4d10.6387949!16s%2Fg%2F121rcp8l!19sChIJNZpBhXN1AhMRwBmaKfis3fU?authuser=0&hl=fr&rclk=1
ChIJHzgEBTBtAhMRqyURTru9pFM,Ribat de Monastir,Immense fort cotier du VIIIe siecle bien conserve et abritant aujourd'hui le musee d'Art islamique.,False,2204,,Ribat de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZF3SFW5N_4PyjWhsF7iV8a55W4OH1rzx0bePe=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Musee, Attraction touristique",4.6,08:30-17:30,,42 223 476,"QRGM+F6M Ribat de Monastir, Rte de la Falaise, Monastir","tour, fortification, especes, mer, dinar, mosquee, musulmans, habib bourguiba, mausolee, viiie siecle",https://www.google.com/maps/place/Ribat+de+Monastir/data=!4m7!3m6!1s0x13026d300504381f:0x53a4bdbb4e1125ab!8m2!3d35.7762108!4d10.8330383!16s%2Fg%2F121djqp8!19sChIJHzgEBTBtAhMRqyURTru9pFM?authuser=0&hl=fr&rclk=1
ChIJGV2l9TNtAhMR1_ZRALvMa64,Mausolee Habib Bourguiba,"Mausolee opulent avec minarets et dome dore, ou repose le president Habib Bourguiba.",False,1132,,Mausolee Habib Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPSBGgo1_-ja_QNacG6VcaxjyJbS8aQ_nhdY1pv=w408-h306-k-no,Tombeau,"Tombeau, Lieu historique, Musee, Attraction touristique",4.6,09:00-16:30,,,"Mausolee Habib Bourguiba, 11 shr` lshhd, jml","president, architecture, histoire, pays, monument, espace, marbre, ribat, independance, objets",https://www.google.com/maps/place/Mausol%C3%A9e+Habib+Bourguiba/data=!4m7!3m6!1s0x13026d33f5a55d19:0xae6bccbb0051f6d7!8m2!3d35.7778246!4d10.8283824!16s%2Fg%2F1226g5hq!19sChIJGV2l9TNtAhMR1_ZRALvMa64?authuser=0&hl=fr&rclk=1
ChIJ8f7LIzNtAhMRPuqcw7Y6Y1A,Mosquee de Bourguiba,,False,398,,Mosquee de Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQWzEWsjnryhNRDxrQGb9BNX0-6U2c6D1ELNWR=w426-h240-k-no,Mosquee,"Mosquee, Attraction touristique",4.5,,,,"QRFJ+R86 Mosquee de Bourguiba, Monastir",,https://www.google.com/maps/place/Mosqu%C3%A9e+de+Bourguiba/data=!4m7!3m6!1s0x13026d3323cbfef1:0x50633ab6c39cea3e!8m2!3d35.7745369!4d10.8307731!16s%2Fg%2F122l893d!19sChIJ8f7LIzNtAhMRPuqcw7Y6Y1A?authuser=0&hl=fr&rclk=1
ChIJofj8XrNyAhMReB_1tnqU5ZY,Palais Presidentiel de Bourguiba,,False,277,,Palais Presidentiel de Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNrPAltitzWU6QErQHZpOzlfZ7Q-OMEJngBozdq=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.2,09:00-16:45,lundi,,"QQHM+MMC Palais Presidentiel de Bourguiba, Monastir","l'histoire, architecture, marbre, renover, jardins, vie",https://www.google.com/maps/place/Palais+Pr%C3%A9sidentiel+de+Bourguiba/data=!4m7!3m6!1s0x130272b35efcf8a1:0x96e5947ab6f51f78!8m2!3d35.7791806!4d10.7841401!16s%2Fg%2F1269mlfj8!19sChIJofj8XrNyAhMReB_1tnqU5ZY?authuser=0&hl=fr&rclk=1
ChIJK2O9QUwNAhMRoi6uRLlScss,Statue du president de la Republique Tunisienne Habib Bourguiba,,False,27,,Statue du president de la Republique Tunisienne Habib Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMbL6WqE6NXAYMUXQRVyNGoXWtDZq8DJBYNfjjc=w408-h544-k-no,Attraction touristique,Attraction touristique,4.4,,,,"QQFM+FR9 Statue du president de la Republique Tunisienne Habib Bourguiba, Monastir",,https://www.google.com/maps/place/Statue+du+pr%C3%A9sident+de+la+R%C3%A9publique+Tunisienne+Habib+Bourguiba/data=!4m7!3m6!1s0x13020d4c41bd632b:0xcb7252b944ae2ea2!8m2!3d35.7736588!4d10.7846166!16s%2Fg%2F11cp5vnrtl!19sChIJK2O9QUwNAhMRoi6uRLlScss?authuser=0&hl=fr&rclk=1
ChIJNaPOJ69zAhMRj9-w0gLldpU,Musee Habib Bourguiba,,False,26,https://www.facebook.com/Mus%25C3%25A9e-Leader-Habib-Bourguiba-1023833361037895/,Musee Habib Bourguiba (proprietaire),https://www.google.com/maps/contrib/100401933048320553855,https://lh5.googleusercontent.com/p/AF1QipMbFRmX-nOMD10WjWvAVJBNh2D4wjiZXUfDkGwd=w426-h240-k-no,Musee,Musee,4.4,09:00-17:00,lundi,73 529 555,"Musee Habib Bourguiba, Monastir","president, palais",https://www.google.com/maps/place/Mus%C3%A9e+Habib+Bourguiba/data=!4m7!3m6!1s0x130273af27cea335:0x9576e502d2b0df8f!8m2!3d35.7785007!4d10.7841242!16s%2Fg%2F11f9wnq9zr!19sChIJNaPOJ69zAhMRj9-w0gLldpU?authuser=0&hl=fr&rclk=1
ChIJWxph9TptAhMRSRB7LyzGJw4,Port,,False,12,,Port (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpTC7IKH9MdKPHGlgFluP5KpudJL3An-TrVw8X=w426-h240-k-no,Attraction touristique,Attraction touristique,4.8,,,,"QRHM+6CG Port, Monastir",,https://www.google.com/maps/place/Port/data=!4m7!3m6!1s0x13026d3af5611a5b:0xe27c62c2f7b1049!8m2!3d35.7780614!4d10.8335627!16s%2Fg%2F11kpdd5mh2!19sChIJWxph9TptAhMRSRB7LyzGJw4?authuser=0&hl=fr&rclk=1
ChIJyYAVXnVtAhMR2Nzq8MpVJfw,rbT sydy dhwyb,,False,2,,rbT sydy dhwyb (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPCWTwTdHFvEc3R7YZ_N5dtVHZk3HlHF9uH7ljM=w408-h242-k-no,Site historique,Site historique,5,,,,"QRFJ+WX9 rbT sydy dhwyb, Monastir",,https://www.google.com/maps/place/%D8%B1%D8%A8%D8%A7%D8%B7+%D8%B3%D9%8A%D8%AF%D9%8A+%D8%B0%D9%88%D9%8A%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x13026d755e1580c9:0xfc2555caf0eadcd8!8m2!3d35.7747901!4d10.8324934!16s%2Fg%2F11l5ntl0hh!19sChIJyYAVXnVtAhMR2Nzq8MpVJfw?authuser=0&hl=fr&rclk=1
ChIJ52F5doFtAhMRvNOug89xrd0,Phare de Monastir,,False,2,,Phare de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYGHhjAuODDhuzqiUKan1FFZqoOJg2y-iQk44e=w408-h272-k-no,Monument culturel,Monument culturel,4,,,,"QRHP+8W Phare de Monastir, Monastir",,https://www.google.com/maps/place/Phare+de+Monastir/data=!4m7!3m6!1s0x13026d81767961e7:0xddad71cf83aed3bc!8m2!3d35.7783467!4d10.8372516!16s%2Fg%2F11jzgtky6v!19sChIJ52F5doFtAhMRvNOug89xrd0?authuser=0&hl=fr&rclk=1
