place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJqYLkGmw0_RIRzEZg7el_gng,Tunis Clock Tower,,False,849,,Tunis Clock Tower (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMAWtQPdVtXBsnmNmJHEl2ViuyWnTm6XCRISNZH=w426-h240-k-no,Site historique,Site historique,4.3,Ouvert 24h/24,,,"R52P+3HV Tunis Clock Tower, Av. Habib Bourguiba, Tunis","capitale, nuit, symbole, president, fontaine, coeur, espace, statue, place, cafe",https://www.google.com/maps/place/Tunis+Clock+Tower/data=!4m7!3m6!1s0x12fd346c1ae482a9:0x78827fe9ed6046cc!8m2!3d36.8002396!4d10.1864206!16s%2Fg%2F11cs2gsvjr!19sChIJqYLkGmw0_RIRzEZg7el_gng?authuser=0&hl=fr&rclk=1
ChIJt8NLGmw0_RIRghMHZPK8Eak,14th January Square,,False,266,,14th January Square (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOqa1D-igfe0WebxYoQ9dfaRJjfXHMz5cw-WKst=w408-h544-k-no,Attraction touristique,Attraction touristique,4.2,Ouvert 24h/24,,,"R52P+3FP 14th January Square, Rte de La Goulette, Tunis","capitale, horloge, cafe",https://www.google.com/maps/place/14th+January+Square/data=!4m7!3m6!1s0x12fd346c1a4bc3b7:0xa911bcf264071382!8m2!3d36.8002216!4d10.186196!16s%2Fg%2F1tg8fyry!19sChIJt8NLGmw0_RIRghMHZPK8Eak?authuser=0&hl=fr&rclk=1
ChIJg6Mt1ds1_RIRIK4cBf0LPeE,nSb bn khldwn - Ibn Khaldun Statue,,False,215,,nSb bn khldwn - Ibn Khaldun Statue (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO_EghL3tle9U9j_Rw0yRYMyYberz2OQA-GNX7U=w408-h306-k-no,Sculpture,Sculpture,4.3,Ouvert 24h/24,,,"nSb bn khldwn - Ibn Khaldun Statue, 2 Pl. de l'Independance, Tunis 1000","sociologie, historien, memorial, civilisation, livre, capitale, cathedrale",https://www.google.com/maps/place/%D9%86%D8%B5%D8%A8+%D8%A7%D8%A8%D9%86+%D8%AE%D9%84%D8%AF%D9%88%D9%86+-+Ibn+Khaldun+Statue%E2%80%AD/data=!4m7!3m6!1s0x12fd35dbd52da383:0xe13d0bfd051cae20!8m2!3d36.7995075!4d10.179012!16s%2Fg%2F11j2z3z_yy!19sChIJg6Mt1ds1_RIRIK4cBf0LPeE?authuser=0&hl=fr&rclk=1
ChIJq6oVMIsz_RIRNvhJ639n32Y,Monument Place de la Kasbah,,False,205,,Monument Place de la Kasbah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZW2NKRAaKDkBxHsxziTs3a-BhjMT8QeBl8-Qx=w408-h306-k-no,Site historique,Site historique,4.3,Ouvert 24h/24,,,"Q5X8+3MQ Monument Place de la Kasbah, Tunis","ministere, drapeau, symbole",https://www.google.com/maps/place/Monument+Place+de+la+Kasbah/data=!4m7!3m6!1s0x12fd338b3015aaab:0x66df677feb49f836!8m2!3d36.7977022!4d10.1667476!16s%2Fg%2F11dybdnm04!19sChIJq6oVMIsz_RIRNvhJ639n32Y?authuser=0&hl=fr&rclk=1
ChIJqynCKIoz_RIRwPDU19dNZes,Dar Lasram,,False,95,http://www.commune-tunis.gov.tn/publish/content/article.asp%3FID%3D825,Dar Lasram (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM1x0iXRE3gsWHwgdbNhdrbkpryDOCS42i4jg2C=w408-h408-k-no,Site historique,"Site historique, Musee, Attraction touristique",4.4,08:00-16:00,"samedi, dimanche",71 560 896,"Dar Lasram, Rue Du Tribunal, Tunis","palais, l'architecture",https://www.google.com/maps/place/Dar+Lasram/data=!4m7!3m6!1s0x12fd338a28c229ab:0xeb654dd7d7d4f0c0!8m2!3d36.8016713!4d10.1682989!16s%2Fg%2F120zjdk0!19sChIJqynCKIoz_RIRwPDU19dNZes?authuser=0&hl=fr&rclk=1
ChIJVVWVVAo0_RIRUdAAFaw-89w,Tourbet El Bey: The Royal Mausoleum,,False,83,,Tourbet El Bey: The Royal Mausoleum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrmJxyQW0ewJYflHN4Vxvbcf9Dwb5YfqbBwTT1=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.3,08:30-15:30,dimanche,,"Tourbet El Bey: The Royal Mausoleum, 7 Rue du Chateau, Tunis","histoire, tombes, monument, pays",https://www.google.com/maps/place/Tourbet+El+Bey:+The+Royal+Mausoleum/data=!4m7!3m6!1s0x12fd340a54955555:0xdcf33eac1500d051!8m2!3d36.7936528!4d10.1730395!16s%2Fg%2F1228rr61!19sChIJVVWVVAo0_RIRUdAAFaw-89w?authuser=0&hl=fr&rclk=1
ChIJU1NuO4oz_RIRoU_g2ohs9j0,Palais Kheireddine - Musee de la ville de Tunis,,False,40,,Palais Kheireddine - Musee de la ville de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmIoHzDV3bo3gvj-WFs7LSupZyv4WR0YQEo7QA=w408-h271-k-no,Musee,"Musee, Attraction touristique",4.2,10:00-18:00,dimanche,71 571 198,"R529+JC3 Palais Kheireddine - Musee de la ville de Tunis, Rue Du Tribunal, Tunis",arts,https://www.google.com/maps/place/Palais+Kheireddine+-+Mus%C3%A9e+de+la+ville+de+Tunis/data=!4m7!3m6!1s0x12fd338a3b6e5353:0x3df66c88dae04fa1!8m2!3d36.801507!4d10.1685555!16s%2Fg%2F11c1g6gs19!19sChIJU1NuO4oz_RIRoU_g2ohs9j0?authuser=0&hl=fr&rclk=1
ChIJB2o7aMi04hIRud1jv37Guk8,Edifice a colonnes,,False,40,,Edifice a colonnes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipObmL-E21LfsAybEroCvvYh9GlRlQ7GqDI_sarN=w408-h306-k-no,Site historique,"Site historique, Attraction touristique",4.4,Ouvert 24h/24,,,"Edifice a colonnes, 36deg51'23.9""N 10deg19'31., Rue du 2 mars 1934, Site archeologique de Carthage",,https://www.google.com/maps/place/Edifice+%C3%A0+colonnes/data=!4m7!3m6!1s0x12e2b4c8683b6a07:0x4fbac67ebf63ddb9!8m2!3d36.856643!4d10.325346!16s%2Fg%2F122z_pxc!19sChIJB2o7aMi04hIRud1jv37Guk8?authuser=0&hl=fr&rclk=1
ChIJ1aW4YfUz_RIRLUVVRm7JswA,Dar El Haddad,,False,12,,Dar El Haddad (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMiqC8PCp98ofCJqny3HWOVKGwi7x-pD10agCp4=w408-h306-k-no,Site historique,"Site historique, Attraction touristique",4.4,,,,"Dar El Haddad, 3 Bd Bab Menara, Tunis",,https://www.google.com/maps/place/Dar+El+Haddad/data=!4m7!3m6!1s0x12fd33f561b8a5d5:0xb3c96e4655452d!8m2!3d36.7952187!4d10.1686659!16s%2Fg%2F12384nvq!19sChIJ1aW4YfUz_RIRLUVVRm7JswA?authuser=0&hl=fr&rclk=1
ChIJEcqYKooz_RIRgoQNAiBCH-c,Mausoleum of Sidi Brahim Riahi,,False,5,,Mausoleum of Sidi Brahim Riahi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZDOvYwGdbuwhEj7wytnsdpQcMRvRyRglNU5qR=w408-h260-k-no,Site historique,Site historique,4.8,,,,"R539+366 Mausoleum of Sidi Brahim Riahi, Rue Sidi Brahim, Tunis",,https://www.google.com/maps/place/Mausoleum+of+Sidi+Brahim+Riahi/data=!4m7!3m6!1s0x12fd338a2a98ca11:0xe71f4220020d8482!8m2!3d36.8026649!4d10.16802!16s%2Fg%2F11c6f3j7kt!19sChIJEcqYKooz_RIRgoQNAiBCH-c?authuser=0&hl=fr&rclk=1
