place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJHzgEBTBtAhMRqyURTru9pFM,Ribat de Monastir,Immense fort cotier du VIIIe siecle bien conserve et abritant aujourd'hui le musee d'Art islamique.,False,2204,,Ribat de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZF3SFW5N_4PyjWhsF7iV8a55W4OH1rzx0bePe=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Musee, Attraction touristique",4.6,08:30-17:30,,42 223 476,"QRGM+F6M Ribat de Monastir, Rte de la Falaise, Monastir","tour, fortification, especes, mer, dinar, mosquee, musulmans, habib bourguiba, mausolee, viiie siecle",https://www.google.com/maps/place/Ribat+de+Monastir/data=!4m7!3m6!1s0x13026d300504381f:0x53a4bdbb4e1125ab!8m2!3d35.7762108!4d10.8330383!16s%2Fg%2F121djqp8!19sChIJHzgEBTBtAhMRqyURTru9pFM?authuser=0&hl=fr&rclk=1
ChIJGV2l9TNtAhMR1_ZRALvMa64,Mausolee Habib Bourguiba,"Mausolee opulent avec minarets et dome dore, ou repose le president Habib Bourguiba.",False,1132,,Mausolee Habib Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPSBGgo1_-ja_QNacG6VcaxjyJbS8aQ_nhdY1pv=w408-h306-k-no,Tombeau,"Tombeau, Lieu historique, Musee, Attraction touristique",4.6,09:00-16:30,,,"Mausolee Habib Bourguiba, 11 shr` lshhd, jml","president, architecture, histoire, pays, monument, espace, marbre, ribat, independance, objets",https://www.google.com/maps/place/Mausol%C3%A9e+Habib+Bourguiba/data=!4m7!3m6!1s0x13026d33f5a55d19:0xae6bccbb0051f6d7!8m2!3d35.7778246!4d10.8283824!16s%2Fg%2F1226g5hq!19sChIJGV2l9TNtAhMR1_ZRALvMa64?authuser=0&hl=fr&rclk=1
ChIJQ5uiFG51AhMRn9KSibxecpU,Musee archeologique de Sousse,"Petit musee dans une casbah historique presentant des mosaiques, des reliques et des objets anciens.",False,816,,Musee archeologique de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5Em_pgGSxstPF-oHXg-TKSunyeEZ07gtgwPQy=w408-h272-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.6,09:00-17:00,lundi,73 219 011,"RJFP+644 Musee archeologique de Sousse, Rue Abou Kacem Echabi, Sousse","mosaiques, antique, prix, collection, statues, valeur, baptistere, dinar, jardin, poterie",https://www.google.com/maps/place/Mus%C3%A9e+arch%C3%A9ologique+de+Sousse/data=!4m7!3m6!1s0x1302756e14a29b43:0x95725ebc8992d29f!8m2!3d35.8230114!4d10.6353131!16s%2Fm%2F05b05cn!19sChIJQ5uiFG51AhMRn9KSibxecpU?authuser=0&hl=fr&rclk=1
ChIJ8f7LIzNtAhMRPuqcw7Y6Y1A,Mosquee de Bourguiba,,False,398,,Mosquee de Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQWzEWsjnryhNRDxrQGb9BNX0-6U2c6D1ELNWR=w426-h240-k-no,Mosquee,"Mosquee, Attraction touristique",4.5,,,,"QRFJ+R86 Mosquee de Bourguiba, Monastir",,https://www.google.com/maps/place/Mosqu%C3%A9e+de+Bourguiba/data=!4m7!3m6!1s0x13026d3323cbfef1:0x50633ab6c39cea3e!8m2!3d35.7745369!4d10.8307731!16s%2Fg%2F122l893d!19sChIJ8f7LIzNtAhMRPuqcw7Y6Y1A?authuser=0&hl=fr&rclk=1
ChIJ1TeVZnN1AhMRcCHowumDXZk,Musee magic eye 3D,,False,383,,Musee magic eye 3D (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM9WeVZfAhQh0UDPuNijaiyJr5RQpYJ-SJGrOuk=w408-h305-k-no,Musee,"Musee, Attraction touristique",4.3,09:00-19:00,,23 635 000,"RJHR+36J Musee magic eye 3D, Sousse","enfants, famille, photo, experience, prix, application, image, adultes, a telecharger, idee",https://www.google.com/maps/place/Mus%C3%A9e+magic+eye+3D/data=!4m7!3m6!1s0x13027573669537d5:0x995d83e9c2e82170!8m2!3d35.82771!4d10.6405059!16s%2Fg%2F11gdjprcvb!19sChIJ1TeVZnN1AhMRcCHowumDXZk?authuser=0&hl=fr&rclk=1
ChIJofj8XrNyAhMReB_1tnqU5ZY,Palais Presidentiel de Bourguiba,,False,277,,Palais Presidentiel de Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNrPAltitzWU6QErQHZpOzlfZ7Q-OMEJngBozdq=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.2,09:00-16:45,lundi,,"QQHM+MMC Palais Presidentiel de Bourguiba, Monastir","l'histoire, architecture, marbre, renover, jardins, vie",https://www.google.com/maps/place/Palais+Pr%C3%A9sidentiel+de+Bourguiba/data=!4m7!3m6!1s0x130272b35efcf8a1:0x96e5947ab6f51f78!8m2!3d35.7791806!4d10.7841401!16s%2Fg%2F1269mlfj8!19sChIJofj8XrNyAhMReB_1tnqU5ZY?authuser=0&hl=fr&rclk=1
ChIJ____KAkkAhMRMwew-7PpwV0,Borj el Kebir: Ottoman Fort,,False,225,,Borj el Kebir: Ottoman Fort (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJTxrjCPartHVVejmUIE0orYu3c4z2rjb7LqRs=w408-h306-k-no,Site historique,"Site historique, Attraction touristique",4.5,09:00-16:00,,,"G34G+3GF Borj el Kebir: Ottoman Fort, Mahdia","architecture, forteresse, angle",https://www.google.com/maps/place/Borj+el+Kebir:+Ottoman+Fort/data=!4m7!3m6!1s0x1302240928ffffff:0x5dc1e9b3fbb00733!8m2!3d35.5051974!4d11.0763029!16s%2Fg%2F11c1rsks78!19sChIJ____KAkkAhMRMwew-7PpwV0?authuser=0&hl=fr&rclk=1
ChIJM3ZhrHp1AhMRgZVi5NAE_Bg,Musee Dar Essid,"Art regional, objets anciens et expositions historiques sur la vie quotidienne dans un celebre palais.",False,216,,Musee Dar Essid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqU1jkLUlwl5-iR24tYTx25xUQ4xE92oDpLGYV=w408-h306-k-no,Musee d'art,"Musee d'art, Musee d'histoire locale, Musee, Attraction touristique",4.4,10:00-18:00,,73 220 529,"Musee Dar Essid, Boulevard Yahia Ibn Omar, 65 Rue des Remparts, Sousse","tour, demeure, vie quotidienne, langage, toits, vue, prix, porte, terrasse, interieur",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Essid/data=!4m7!3m6!1s0x1302757aac617633:0x18fc04d0e4629581!8m2!3d35.827142!4d10.6355029!16s%2Fg%2F12lnj4jw0!19sChIJM3ZhrHp1AhMRgZVi5NAE_Bg?authuser=0&hl=fr&rclk=1
ChIJ__8_R80SAhMRTb3_-cxXq3M,Palais Des Sciences De Monastir,,False,85,http://www.psm.rnu.tn/,Palais Des Sciences De Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOLpWkw9gXZk1xZYs39CYsIOf2fxQXHiQZ_3MHG=w408-h306-k-no,Musee scientifique,Musee scientifique,4.4,08:30-17:30,"samedi, dimanche",73 463 556,"QRCM+V2F Palais Des Sciences De Monastir, Monastir",salle de conference,https://www.google.com/maps/place/Palais+Des+Sciences+De+Monastir/data=!4m7!3m6!1s0x130212cd473fffff:0x73ab57ccf9ffbd4d!8m2!3d35.7721858!4d10.8325367!16s%2Fg%2F11c60pf_dp!19sChIJ__8_R80SAhMRTb3_-cxXq3M?authuser=0&hl=fr&rclk=1
ChIJh-3PSHJ1AhMRRyW5iQqNf9s,musee El Kobba,,False,81,,musee El Kobba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPMnl24APAVuhxmsOtdr-VlAuXiRiQLrutDhMgs=w408-h306-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.2,08:00-18:00,vendredi,,"RJGQ+27P musee El Kobba, Sousse",,https://www.google.com/maps/place/mus%C3%A9e+El+Kobba/data=!4m7!3m6!1s0x1302757248cfed87:0xdb7f8d0a89b92547!8m2!3d35.8250945!4d10.6381903!16s%2Fg%2F11f3n38bw7!19sChIJh-3PSHJ1AhMRRyW5iQqNf9s?authuser=0&hl=fr&rclk=1
