place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJb5J_E280_RIRgRyztXigv24,Musee de la Monnaie,,False,83,,Musee de la Monnaie (proprietaire),https://www.google.com/maps/contrib/104211581713052996306,https://lh5.googleusercontent.com/p/AF1QipOXml2FNO-uEHpPRKhHQysupFpB_NfvFyyTYMZf=w426-h240-k-no,Musee,"Musee, Attraction touristique",4.5,09:30-16:30,lundi,71 122 563,"Musee de la Monnaie, Ave Mohamed V, Tunis","l'histoire, collection, numismatique, pieces, billets",https://www.google.com/maps/place/Mus%C3%A9e+de+la+Monnaie/data=!4m7!3m6!1s0x12fd346f137f926f:0x6ebfa078b5b31c81!8m2!3d36.8046526!4d10.1853425!16s%2Fg%2F122cc12n!19sChIJb5J_E280_RIRgRyztXigv24?authuser=0&hl=fr&rclk=1
ChIJVVWVVAo0_RIRUdAAFaw-89w,Tourbet El Bey: The Royal Mausoleum,,False,83,,Tourbet El Bey: The Royal Mausoleum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrmJxyQW0ewJYflHN4Vxvbcf9Dwb5YfqbBwTT1=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.3,08:30-15:30,dimanche,,"Tourbet El Bey: The Royal Mausoleum, 7 Rue du Chateau, Tunis","histoire, tombes, monument, pays",https://www.google.com/maps/place/Tourbet+El+Bey:+The+Royal+Mausoleum/data=!4m7!3m6!1s0x12fd340a54955555:0xdcf33eac1500d051!8m2!3d36.7936528!4d10.1730395!16s%2Fg%2F1228rr61!19sChIJVVWVVAo0_RIRUdAAFaw-89w?authuser=0&hl=fr&rclk=1
ChIJIZjX6Ao0_RIRnZrs1ILXkM0,House of Ibn Khaldoun,,False,14,,House of Ibn Khaldoun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOU7kctGqEsvvJSdwC_iqdnmFbvZalVuDPthXQ1=w408-h306-k-no,Musee,Musee,4.4,09:00-17:00,"samedi, dimanche",,"Q5WC+2W2 House of Ibn Khaldoun, Rue Tourbet El Bey, Tunis",,https://www.google.com/maps/place/House+of+Ibn+Khaldoun/data=!4m7!3m6!1s0x12fd340ae8d79821:0xcd90d782d4ec9a9d!8m2!3d36.7950059!4d10.1722599!16s%2Fg%2F11cs16xp0w!19sChIJIZjX6Ao0_RIRnZrs1ILXkM0?authuser=0&hl=fr&rclk=1
ChIJSXxqdiE1_RIRoLF634KY8cg,Medina di Tunisi,,False,4,,Medina di Tunisi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPFpMy_MsPsVrLhWvAHAzlvD3xeS9BBq-DYVdL-=w408-h306-k-no,Musee en plein air,Musee en plein air,4.5,,,,"Q5XC+FC9 Medina di Tunisi, Souk El Nhes, Tunis",,https://www.google.com/maps/place/Medina+di+Tunisi/data=!4m7!3m6!1s0x12fd3521766a7c49:0xc8f19882df7ab1a0!8m2!3d36.7986742!4d10.1710941!16s%2Fg%2F11vj620j2n!19sChIJSXxqdiE1_RIRoLF634KY8cg?authuser=0&hl=fr&rclk=1
ChIJ31w8xVhJ_RIR-HzUA6Ll8vo,lqnTr@ lqdym@ llqTr fwq wdy mlyn,,False,2,,lqnTr@ lqdym@ llqTr fwq wdy mlyn (proprietaire),,,Musee,Musee,5,,,,"Q75R+6FR lqnTr@ lqdym@ llqTr fwq wdy mlyn, arret de bus, Rades",,https://www.google.com/maps/place/%D8%A7%D9%84%D9%82%D9%86%D8%B7%D8%B1%D8%A9+%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9+%D9%84%D9%84%D9%82%D8%B7%D8%A7%D8%B1+%D9%81%D9%88%D9%82+%D9%88%D8%A7%D8%AF%D9%8A+%D9%85%D9%84%D9%8A%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12fd4958c53c5cdf:0xfaf2e5a203d47cf8!8m2!3d36.7581012!4d10.2911418!16s%2Fg%2F11j1k77gbq!19sChIJ31w8xVhJ_RIR-HzUA6Ll8vo?authuser=0&hl=fr&rclk=1
ChIJZ5MrigU3_RIR19x59FGTJZE,Only for kings,,False,2,,Only for kings (proprietaire),,,Musee,Musee,5,,,,"P6WC+C2J Only for kings, Rue ksar hellal, Ben Arous",,https://www.google.com/maps/place/Only+for+kings/data=!4m7!3m6!1s0x12fd37058a2b9367:0x91259351f479dcd7!8m2!3d36.7460771!4d10.2200057!16s%2Fg%2F11pc54v8vz!19sChIJZ5MrigU3_RIR19x59FGTJZE?authuser=0&hl=fr&rclk=1
ChIJmTK91bFJ_RIRaaMhi2AomvU,Bunker de Rades rds lqzrn@,,False,1,,Bunker de Rades rds lqzrn@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPXK7YBvUg7S1FVwasaVoxiuYPdTBbzD1c3ipdW=w408-h306-k-no,Musee,Musee,4,,,,"Q769+5PH Bunker de Rades rds lqzrn@, L' ISET de Rades, Rades",,https://www.google.com/maps/place/Bunker+de+Rades+%D8%B1%D8%A7%D8%AF%D8%B3+%D8%A7%D9%84%D9%82%D8%A7%D8%B2%D8%B1%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd49b1d5bd3299:0xf59a28608b21a369!8m2!3d36.7602996!4d10.2686864!16s%2Fg%2F11tg1yyjvp!19sChIJmTK91bFJ_RIRaaMhi2AomvU?authuser=0&hl=fr&rclk=1
ChIJodZDt4I1_RIRedmuU7WL8oI,brj sydy `ly lrys,,False,1,,brj sydy `ly lrys (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rZmC4k7XNBxbtwHoTXeB8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.3608&pitch=0&thumbfov=100,Musee,Musee,5,,,,"R54J+HJV brj sydy `ly lrys, Tunis",,https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC+%D8%B3%D9%8A%D8%AF%D9%8A+%D8%B9%D9%84%D9%8A+%D8%A7%D9%84%D8%B1%D8%A7%D9%8A%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x12fd3582b743d6a1:0x82f28bb553aed979!8m2!3d36.8064948!4d10.1815316!16s%2Fg%2F11h5vk4hn5!19sChIJodZDt4I1_RIRedmuU7WL8oI?authuser=0&hl=fr&rclk=1
