place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJsalpd8m04hIRaduc5E7WRvk,Musee national de Carthage,Musee archeologique simple presentant des statues et des poteries decouvertes lors de fouilles dans la region.,False,581,https://carthagemagazine.com/carthage-national-museum/,Musee national de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxVDDk7o1OcIgbibckCmQ1FRYgF3AFjLqAJYW6=w408-h306-k-no,Musee d'histoire,Musee d'histoire,4.2,,,58 162 557,"V83F+7QR Musee national de Carthage, Site archeologique de Carthage","renovation, ruines, cathedrale, mosaiques, antique, site, 2026, monument, archeologiques, restauration",https://www.google.com/maps/place/Mus%C3%A9e+national+de+Carthage/data=!4m7!3m6!1s0x12e2b4c97769a9b1:0xf946d64ee49cdb69!8m2!3d36.8532268!4d10.3243991!16s%2Fm%2F05b11w2!19sChIJsalpd8m04hIRaduc5E7WRvk?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJtQdQXpSYAhMRoRO4cnDaw2c,Musee Neapolis,,False,58,,Musee Neapolis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNcykpjCK98U33XK0n2_BxWkvuOXCI5dyn0hltB=w408-h306-k-no,Musee archeologique,Musee archeologique,4.1,09:00-17:00,lundi,24 178 773,"FP2P+8G3 Musee Neapolis, Nabeul",mosaiques,https://www.google.com/maps/place/Mus%C3%A9e+N%C3%A9apolis/data=!4m7!3m6!1s0x130298945e5007b5:0x67c3da7072b813a1!8m2!3d36.4507529!4d10.736297!16s%2Fg%2F1hdyxvfnq!19sChIJtQdQXpSYAhMRoRO4cnDaw2c?authuser=0&hl=fr&rclk=1
ChIJ14UeZg6ZAhMRyywSW9xqJuY,Rond point les orangers,,False,11,,Rond point les orangers (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPm3h-cJ1jeSWrbLXv08CEQMYE8FzVdv80wSqQG=w408-h503-k-no,Musee historique,Musee historique,4.8,Ouvert 24h/24,,,"FP3J+3JF Rond point les orangers, Unnamed Road,, Nabeul",,https://www.google.com/maps/place/Rond+point+les+orangers/data=!4m7!3m6!1s0x1302990e661e85d7:0xe6266adc5b122ccb!8m2!3d36.4526991!4d10.7315461!16s%2Fg%2F11h0yksxl3!19sChIJ14UeZg6ZAhMRyywSW9xqJuY?authuser=0&hl=fr&rclk=1
ChIJn7o0OfRj_RIR8P1xJ6af8jU,Musee Dar khadija Hammamet,,False,6,,Musee Dar khadija Hammamet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPdQXT1TbNsvE_bzQEf3rzVPSKSHuR_QhetmOYq=w408-h544-k-no,Musee,Musee,4,08:00-18:00,,,"9JV7+H7Q Musee Dar khadija Hammamet, Hammamet",,https://www.google.com/maps/place/Mus%C3%A9e+Dar+khadija+Hammamet/data=!4m7!3m6!1s0x12fd63f43934ba9f:0x35f29fa62771fdf0!8m2!3d36.3939243!4d10.6132682!16s%2Fg%2F11gf97r59n!19sChIJn7o0OfRj_RIR8P1xJ6af8jU?authuser=0&hl=fr&rclk=1
ChIJb_MzTpSYAhMRRZxEZEsXiH4,Nabeul Museum,,False,5,,Nabeul Museum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO2pSrt8ZObsfFuZHbkiH7WgI7CdQnPoRjZrWxD=w408-h306-k-no,Musee archeologique,"Musee archeologique, Musee",4.6,,,,"FP2P+7HC Nabeul Museum, Nabeul",,https://www.google.com/maps/place/Nabeul+Museum/data=!4m7!3m6!1s0x130298944e33f36f:0x7e88174b64449c45!8m2!3d36.4506915!4d10.7363967!16s%2Fm%2F0130pvlb!19sChIJb_MzTpSYAhMRRZxEZEsXiH4?authuser=0&hl=fr&rclk=1
ChIJe5x6O3GZAhMREWK081dvazI,Memoire Judeo-Nabeulienne,,False,3,http://archive.diarna.org/site/detail/public/424/,Memoire Judeo-Nabeulienne (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMAC0zpcAUH7xagL16ZoXrAQehPUZsumdHj7VIN=w408-h306-k-no,Musee,Musee,5,,,,"FP4P+MJH Memoire Judeo-Nabeulienne, Nabeul",,https://www.google.com/maps/place/M%C3%A9moire+Judeo-Nabeulienne/data=!4m7!3m6!1s0x130299713b7a9c7b:0x326b6f57f3b46211!8m2!3d36.4566816!4d10.7366277!16s%2Fg%2F11qym3_35g!19sChIJe5x6O3GZAhMREWK081dvazI?authuser=0&hl=fr&rclk=1
ChIJuSC0cpSYAhMR41mEb6llJkE,Statue Ibn Khaldoun,,False,2,,Statue Ibn Khaldoun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMl17omn3vejwORY_gU3pIJdOkc37XgXMPZbvoC=w408-h614-k-no,Musee,Musee,4,08:30-18:00,,,"FP2P+MWP Statue Ibn Khaldoun, Nabeul",,https://www.google.com/maps/place/Statue+Ibn+Khaldoun/data=!4m7!3m6!1s0x1302989472b420b9:0x412665a96f8459e3!8m2!3d36.4517242!4d10.7373387!16s%2Fg%2F11g72lr9mq!19sChIJuSC0cpSYAhMR41mEb6llJkE?authuser=0&hl=fr&rclk=1
ChIJJZ2b6cWZAhMRbk4FJ0Tk6oo,mtHf tHf 'hl lzmn fy dr zmn,,False,1,,mtHf tHf 'hl lzmn fy dr zmn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNqOhTzwpskZzrt5AB-61oLYw2n9k5etylAtlD2=w408-h612-k-no,Musee,Musee,5,,,,"FP3P+VQR mtHf tHf 'hl lzmn fy dr zmn, Nabeul",,https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D8%AA%D8%AD%D8%A7%D9%81+%D8%A3%D9%87%D9%84+%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%86+%D9%81%D9%8A+%D8%AF%D8%A7%D8%B1+%D8%B2%D9%85%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x130299c5e99b9d25:0x8aeae44427054e6e!8m2!3d36.4547415!4d10.7368767!16s%2Fg%2F11fkqjnhd3!19sChIJJZ2b6cWZAhMRbk4FJ0Tk6oo?authuser=0&hl=fr&rclk=1
