place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJ6xCYZxa5qhMRpXwJba8Cw5A,Musee de Guellala,"Inspire d'une maison tunisienne, ce musee explore l'artisanat et le folklore local avec des statues de cire.",False,2117,,Musee de Guellala (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOn0eaILMJo9HWebtDiDjE8aG_ZJ-yHDj_AH50Q=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.4,08:00-18:00,,75 761 114,"PVM8+26Q Musee de Guellala, Guellala 4155","traditions, ile, coutumes, mariage, patrimoine, mise en scene, folklore, mannequins, vie quotidienne, calligraphie",https://www.google.com/maps/place/Mus%C3%A9e+de+Guellala/data=!4m7!3m6!1s0x13aab916679810eb:0x90c302af6d097ca5!8m2!3d33.7325783!4d10.8656196!16s%2Fg%2F11hbgb2596!19sChIJ6xCYZxa5qhMRpXwJba8Cw5A?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJt7k0QinAVxIRGamtcwUVeOE,Musee Dar Cherait,"Musee dans manoir restaure avec expos d'objets anciens, d'oeuvres d'art et de costumes tunisiens traditionnels.",False,442,https://m.facebook.com/darcheraittozeur/,Musee Dar Cherait (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPTM0dZvBGucoaNf6tngFBAiBGkHTcghFFoNekO=w408-h723-k-no,Musee,"Musee, Attraction touristique",4.2,08:00-22:00,,76 452 100,"W47C+769 Musee Dar Cherait, Rte Touristique, Tozeur","histoire de la tunisie, culturel, enfants, tradition, touristique, reve, prix, evolution, decor, langues",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Chera%C3%AFt/data=!4m7!3m6!1s0x1257c0294234b9b7:0xe178150573ada919!8m2!3d33.9131625!4d8.1206094!16s%2Fg%2F1223q96c!19sChIJt7k0QinAVxIRGamtcwUVeOE?authuser=0&hl=fr&rclk=1
ChIJM3ZhrHp1AhMRgZVi5NAE_Bg,Musee Dar Essid,"Art regional, objets anciens et expositions historiques sur la vie quotidienne dans un celebre palais.",False,216,,Musee Dar Essid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqU1jkLUlwl5-iR24tYTx25xUQ4xE92oDpLGYV=w408-h306-k-no,Musee d'art,"Musee d'art, Musee d'histoire locale, Musee, Attraction touristique",4.4,10:00-18:00,,73 220 529,"Musee Dar Essid, Boulevard Yahia Ibn Omar, 65 Rue des Remparts, Sousse","tour, demeure, vie quotidienne, langage, toits, vue, prix, porte, terrasse, interieur",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Essid/data=!4m7!3m6!1s0x1302757aac617633:0x18fc04d0e4629581!8m2!3d35.827142!4d10.6355029!16s%2Fg%2F12lnj4jw0!19sChIJM3ZhrHp1AhMRgZVi5NAE_Bg?authuser=0&hl=fr&rclk=1
ChIJ4fRNA2mXqhMR5D6yj9oBrcg,Musee Lalla Hadria,,False,203,,Musee Lalla Hadria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCa_tbRLfogovi7NkUVr8Uu4NtWcnNxrnFNcDS=w408-h274-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.6,09:00-17:00,lundi,,"R29W+W22 Musee Lalla Hadria, Djerba Midun","musulmans, culture, bijoux, vetements, l'art, parc",https://www.google.com/maps/place/Mus%C3%A9e+Lalla+Hadria/data=!4m7!3m6!1s0x13aa9769034df4e1:0xc8ad01da8fb23ee4!8m2!3d33.8197621!4d11.045031!16s%2Fg%2F11f3n36w40!19sChIJ4fRNA2mXqhMR5D6yj9oBrcg?authuser=0&hl=fr&rclk=1
ChIJh_qKKOykqhMRgtcSmS5gTIM,Musee du patrimoine traditionnel de Djerba,,False,143,http://www.djerbamuseum.tn/,Musee du patrimoine traditionnel de Djerba (proprietaire),https://www.google.com/maps/contrib/113241660387296752351,https://lh5.googleusercontent.com/p/AF1QipP7FjgAuGh073eUOR221NVSfQHkPOMQC0tkugp0=w408-h306-k-no,Musee,Musee,4.4,09:30-16:30,vendredi,75 650 540,"Musee du patrimoine traditionnel de Djerba, 4180 Ave Habib Thameur, Houmt Souk","ile, histoire, riche, tisser, maquettes, vie, poterie, organise",https://www.google.com/maps/place/Mus%C3%A9e+du+patrimoine+traditionnel+de+Djerba/data=!4m7!3m6!1s0x13aaa4ec288afa87:0x834c602e9912d782!8m2!3d33.8798298!4d10.8623621!16s%2Fg%2F1tht3mmq!19sChIJh_qKKOykqhMRgtcSmS5gTIM?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJb5J_E280_RIRgRyztXigv24,Musee de la Monnaie,,False,83,,Musee de la Monnaie (proprietaire),https://www.google.com/maps/contrib/104211581713052996306,https://lh5.googleusercontent.com/p/AF1QipOXml2FNO-uEHpPRKhHQysupFpB_NfvFyyTYMZf=w426-h240-k-no,Musee,"Musee, Attraction touristique",4.5,09:30-16:30,lundi,71 122 563,"Musee de la Monnaie, Ave Mohamed V, Tunis","l'histoire, collection, numismatique, pieces, billets",https://www.google.com/maps/place/Mus%C3%A9e+de+la+Monnaie/data=!4m7!3m6!1s0x12fd346f137f926f:0x6ebfa078b5b31c81!8m2!3d36.8046526!4d10.1853425!16s%2Fg%2F122cc12n!19sChIJb5J_E280_RIRgRyztXigv24?authuser=0&hl=fr&rclk=1
ChIJ3di_yywtABMRU5OXy8etjoU,Musee Dar Jellouli,,False,53,,Musee Dar Jellouli (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOB8UoBnHylFbNUgDKucHUBnWQ6uIuZEr2Q4GuF=w408-h557-k-no,Musee d'art,"Musee d'art, Attraction, Lieu historique, Musee, Attraction touristique",4.4,,,,"PQP7+P2H Musee Dar Jellouli, Rue Sidi Ali Ennouri, Sfax 3047",traditions,https://www.google.com/maps/place/Mus%C3%A9e+Dar+Jellouli/data=!4m7!3m6!1s0x13002d2ccbbfd8dd:0x858eadc7cb979353!8m2!3d34.7368173!4d10.7626226!16s%2Fg%2F1227jzsm!19sChIJ3di_yywtABMRU5OXy8etjoU?authuser=0&hl=fr&rclk=1
