place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ2ax937C04hIRKzz1js1TpyE,Baths of Antoninus,Vaste complexe de thermes romains construit au IIe siecle qui fait aujourd'hui partie d'un parc archeologique.,False,3517,,Baths of Antoninus (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMDrWcTj6zGPOsnMiwFX1cfEyRjKLW_KY2Mzk5P=w408-h240-k-no,Site historique,"Site historique, Thermes, Attraction touristique",4.6,08:00-17:00,,94 703 100,"V83M+MXX Baths of Antoninus, Impasse des Thermes d'Antonin, Site archeologique de Carthage 2016","ruines, romains, colonne, explication, imaginer, fouilles, conserve, sublime, antiquite classique, antonin le pieux",https://www.google.com/maps/place/Baths+of+Antoninus/data=!4m7!3m6!1s0x12e2b4b0df7dacd9:0x21a753cd8ef53c2b!8m2!3d36.8542301!4d10.3349701!16s%2Fg%2F121pw5fw!19sChIJ2ax937C04hIRKzz1js1TpyE?authuser=0&hl=fr&rclk=1
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJsalpd8m04hIRaduc5E7WRvk,Musee national de Carthage,Musee archeologique simple presentant des statues et des poteries decouvertes lors de fouilles dans la region.,False,581,https://carthagemagazine.com/carthage-national-museum/,Musee national de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxVDDk7o1OcIgbibckCmQ1FRYgF3AFjLqAJYW6=w408-h306-k-no,Musee d'histoire,Musee d'histoire,4.2,,,58 162 557,"V83F+7QR Musee national de Carthage, Site archeologique de Carthage","renovation, ruines, cathedrale, mosaiques, antique, site, 2026, monument, archeologiques, restauration",https://www.google.com/maps/place/Mus%C3%A9e+national+de+Carthage/data=!4m7!3m6!1s0x12e2b4c97769a9b1:0xf946d64ee49cdb69!8m2!3d36.8532268!4d10.3243991!16s%2Fm%2F05b11w2!19sChIJsalpd8m04hIRaduc5E7WRvk?authuser=0&hl=fr&rclk=1
ChIJ_WPn3rk0_RIRkMqMTJNjotw,Tunis Science City,"Musee scientifique anime avec un planetarium, proposant des expositions interactives permanentes et temporaires.",False,527,http://www.cst.rnu.tn/,Tunis Science City (proprietaire),https://www.google.com/maps/contrib/103671301845435033444,https://lh5.googleusercontent.com/p/AF1QipP0k4vGhfj395j1WXl37xx_fw8r3_3oAMhkTEGC=w426-h240-k-no,Musee scientifique,"Musee scientifique, Espace Internet, Attraction touristique",4.2,09:00-17:00,lundi,71 766 000,"Tunis Science City, Rue La Cite des Sciences a Tunis, Tunis 1082","enfants, scientifiques, culture, espace, astronomie, divertir, adultes, maintenance, eclipse lunaire, bibliotheque",https://www.google.com/maps/place/Tunis+Science+City/data=!4m7!3m6!1s0x12fd34b9dee763fd:0xdca263934c8cca90!8m2!3d36.8495842!4d10.1885171!16s%2Fg%2F122r2qb7!19sChIJ_WPn3rk0_RIRkMqMTJNjotw?authuser=0&hl=fr&rclk=1
ChIJ9XSAvzVL_RIRDQxtkSXRWE0,Musee oceanographique Dar El Hout,Centre de recherche marine et musee historique comprenant des aquariums et proposant des expositions d'histoire naturelle.,False,268,http://www.instm.agrinet.tn/,Musee oceanographique Dar El Hout (proprietaire),https://www.google.com/maps/contrib/115354436011996267714,https://lh5.googleusercontent.com/p/AF1QipOxDrsIPDI5Uo1hf7ENxo3_okcUWlUAhbC_-xNN=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.1,10:00-18:00,lundi,71 730 420,"Musee oceanographique Dar El Hout, Salammbo","poissons, enfants, 1924, especes, riche, 20eme siecle, je, lundi, batiment, adultes",https://www.google.com/maps/place/Mus%C3%A9e+oc%C3%A9anographique+Dar+El+Hout/data=!4m7!3m6!1s0x12fd4b35bf8074f5:0x4d58d125916d0c0d!8m2!3d36.8433091!4d10.3258019!16s%2Fg%2F12156bjs!19sChIJ9XSAvzVL_RIRDQxtkSXRWE0?authuser=0&hl=fr&rclk=1
ChIJ-XUe6Lm04hIRbKEH0P5CDDk,Kobba Bent el Rey,,False,170,,Kobba Bent el Rey (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPwAQYnsh5hGU857lPdZd6sLL9DIDvN6g_4_Thm=w408-h272-k-no,Site archeologique,"Site archeologique, Attraction touristique",4.5,09:00-17:00,,,"V84J+XJ6 Kobba Bent el Rey, Rte de La Goulette, Site archeologique de Carthage 7016","l'histoire, ruines, mosaiques, mer, villa romaine, musee",https://www.google.com/maps/place/Kobba+Bent+el+Rey/data=!4m7!3m6!1s0x12e2b4b9e81e75f9:0x390c42fed007a16c!8m2!3d36.8574024!4d10.331506!16s%2Fg%2F121kwm7v!19sChIJ-XUe6Lm04hIRbKEH0P5CDDk?authuser=0&hl=fr&rclk=1
ChIJeZP8AK4z_RIRZ9wpLKMYf_Q,Palais Ksar Said,,False,138,,Palais Ksar Said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMGHgm5vVyVTBsMwokPDUSiSRTOnhhZK9qisM08=w408-h544-k-no,Musee d'histoire,"Musee d'histoire, Musee, Attraction touristique",4.1,10:00-18:00,"mardi, samedi, dimanche",71 507 351,"Palais Ksar Said, Rue de I'Evacuation",,https://www.google.com/maps/place/Palais+Ksar+Sa%C3%AFd/data=!4m7!3m6!1s0x12fd33ae00fc9379:0xf47f18a32c29dc67!8m2!3d36.8110152!4d10.1312743!16s%2Fg%2F12nvp2vkl!19sChIJeZP8AK4z_RIRZ9wpLKMYf_Q?authuser=0&hl=fr&rclk=1
ChIJqynCKIoz_RIRwPDU19dNZes,Dar Lasram,,False,95,http://www.commune-tunis.gov.tn/publish/content/article.asp%3FID%3D825,Dar Lasram (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM1x0iXRE3gsWHwgdbNhdrbkpryDOCS42i4jg2C=w408-h408-k-no,Site historique,"Site historique, Musee, Attraction touristique",4.4,08:00-16:00,"samedi, dimanche",71 560 896,"Dar Lasram, Rue Du Tribunal, Tunis","palais, l'architecture",https://www.google.com/maps/place/Dar+Lasram/data=!4m7!3m6!1s0x12fd338a28c229ab:0xeb654dd7d7d4f0c0!8m2!3d36.8016713!4d10.1682989!16s%2Fg%2F120zjdk0!19sChIJqynCKIoz_RIRwPDU19dNZes?authuser=0&hl=fr&rclk=1
ChIJS4YYWb3a4hIRbVc_J5rfTwk,Musee Utique,,False,41,http://www.inp.rnrt.tn/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D105%26Itemid%3D39%26lang%3Dfr,Musee Utique (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOabY9f1TL8Mh7myXdz_5Q0xo8xca9Zyvchj0_L=w408-h544-k-no,Musee,Musee,4.2,08:30-16:00,,71 561 622,"Musee Utique, C69",,https://www.google.com/maps/place/Mus%C3%A9e+Utique/data=!4m7!3m6!1s0x12e2dabd5918864b:0x94fdf9a273f576d!8m2!3d37.0509179!4d10.0573367!16s%2Fg%2F1ymw1hx3c!19sChIJS4YYWb3a4hIRbVc_J5rfTwk?authuser=0&hl=fr&rclk=1
ChIJU1NuO4oz_RIRoU_g2ohs9j0,Palais Kheireddine - Musee de la ville de Tunis,,False,40,,Palais Kheireddine - Musee de la ville de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmIoHzDV3bo3gvj-WFs7LSupZyv4WR0YQEo7QA=w408-h271-k-no,Musee,"Musee, Attraction touristique",4.2,10:00-18:00,dimanche,71 571 198,"R529+JC3 Palais Kheireddine - Musee de la ville de Tunis, Rue Du Tribunal, Tunis",arts,https://www.google.com/maps/place/Palais+Kheireddine+-+Mus%C3%A9e+de+la+ville+de+Tunis/data=!4m7!3m6!1s0x12fd338a3b6e5353:0x3df66c88dae04fa1!8m2!3d36.801507!4d10.1685555!16s%2Fg%2F11c1g6gs19!19sChIJU1NuO4oz_RIRoU_g2ohs9j0?authuser=0&hl=fr&rclk=1
