place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ6xCYZxa5qhMRpXwJba8Cw5A,Musee de Guellala,"Inspire d'une maison tunisienne, ce musee explore l'artisanat et le folklore local avec des statues de cire.",False,2117,,Musee de Guellala (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOn0eaILMJo9HWebtDiDjE8aG_ZJ-yHDj_AH50Q=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.4,08:00-18:00,,75 761 114,"PVM8+26Q Musee de Guellala, Guellala 4155","traditions, ile, coutumes, mariage, patrimoine, mise en scene, folklore, mannequins, vie quotidienne, calligraphie",https://www.google.com/maps/place/Mus%C3%A9e+de+Guellala/data=!4m7!3m6!1s0x13aab916679810eb:0x90c302af6d097ca5!8m2!3d33.7325783!4d10.8656196!16s%2Fg%2F11hbgb2596!19sChIJ6xCYZxa5qhMRpXwJba8Cw5A?authuser=0&hl=fr&rclk=1
ChIJ4fRNA2mXqhMR5D6yj9oBrcg,Musee Lalla Hadria,,False,203,,Musee Lalla Hadria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCa_tbRLfogovi7NkUVr8Uu4NtWcnNxrnFNcDS=w408-h274-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.6,09:00-17:00,lundi,,"R29W+W22 Musee Lalla Hadria, Djerba Midun","musulmans, culture, bijoux, vetements, l'art, parc",https://www.google.com/maps/place/Mus%C3%A9e+Lalla+Hadria/data=!4m7!3m6!1s0x13aa9769034df4e1:0xc8ad01da8fb23ee4!8m2!3d33.8197621!4d11.045031!16s%2Fg%2F11f3n36w40!19sChIJ4fRNA2mXqhMR5D6yj9oBrcg?authuser=0&hl=fr&rclk=1
ChIJ_VsTjAudVRIRvDAzYGCM4Vs,Hammam Chanchou,,False,141,,Hammam Chanchou (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN2N7jly2basNDAjwe6XaCg9fTjIde5eVmf2OWe=w408-h544-k-no,Hammam,Hammam,4,05:00-20:30,,98 549 738,"VVWG+243 Hammam Chanchou, Chanchou, El Hamma","jacuzzi, chambre, gommage, nettoyage, prix, mineraux, priere, vetements",https://www.google.com/maps/place/Hammam+Chanchou/data=!4m7!3m6!1s0x12559d0b8c135bfd:0x5be18c60603330bc!8m2!3d33.8950089!4d9.8752841!16s%2Fg%2F11bzwp2xl9!19sChIJ_VsTjAudVRIRvDAzYGCM4Vs?authuser=0&hl=fr&rclk=1
ChIJcaQnky6oVRIR-azCP0fLa4s,Diar Amor,,False,68,,Diar Amor (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN7L9NZTbFL-qPchdrsE0yFHRkt-P1TqzBhghFt=w408-h544-k-no,Musee,Musee,4.1,00:00-23:30,,25 420 509,"Diar Amor, C104",,https://www.google.com/maps/place/Diar+Amor/data=!4m7!3m6!1s0x1255a82e9327a471:0x8b6bcb473fc2acf9!8m2!3d33.5419641!4d9.8947303!16s%2Fg%2F11fwwt80n0!19sChIJcaQnky6oVRIR-azCP0fLa4s?authuser=0&hl=fr&rclk=1
ChIJkdTEUBKpVRIRSTNQgDkMN90,Musee Berbere de Tamezret,,False,25,https://www.facebook.com/museetamezret,Musee Berbere de Tamezret (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOPaQS6oIxNK8VoU7owNIoXzZ6aHQ_EBFYXhTZD=w408-h306-k-no,Musee,Musee,5,"08:00-12:00, 13:00-18:00",,98 567 266,"GVP7+QR6 Musee Berbere de Tamezret, Tamezret",la culture,https://www.google.com/maps/place/Mus%C3%A9e+Berb%C3%A8re+de+Tamezret/data=!4m7!3m6!1s0x1255a91250c4d491:0xdd370c3980503349!8m2!3d33.5369031!4d9.8645081!16s%2Fg%2F11n67x8wjh!19sChIJkdTEUBKpVRIRSTNQgDkMN90?authuser=0&hl=fr&rclk=1
ChIJcc1Ru716VRIRz2i8ZOOdMUE,jm` lhdy@ blkdw@,,False,6,,jm` lhdy@ blkdw@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMI82tRejyVlUXKm8PR05B-aXc3YnT3qdPRssb6=w408-h532-k-no,Musee,Musee,4,,,28 082 365,"W3M6+824 jm` lhdy@ blkdw@, Rue Habib bourguba, Ghannouch",,https://www.google.com/maps/place/%D8%AC%D8%A7%D9%85%D8%B9+%D8%A7%D9%84%D9%87%D8%AF%D8%A7%D9%8A%D8%A9+%D8%A8%D8%A7%D9%84%D9%83%D8%AF%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12557abdbb51cd71:0x41319de364bc68cf!8m2!3d33.9332531!4d10.0600885!16s%2Fg%2F11b7jgbh7f!19sChIJcc1Ru716VRIRz2i8ZOOdMUE?authuser=0&hl=fr&rclk=1
ChIJvxR-pbh6VRIR1tgw-ATVrck,sydy blHsn,,False,4,,sydy blHsn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO7sMZ9XpXy5W0-Rdn9m_lDURaUh-Uzb7_JVNFo=w408-h306-k-no,Musee,Musee,4.8,,,,"sydy blHsn, Ghannouch",,https://www.google.com/maps/place/%D8%B3%D9%8A%D8%AF%D9%8A+%D8%A8%D9%84%D8%AD%D8%B3%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12557ab8a57e14bf:0xc9add504f830d8d6!8m2!3d33.9399255!4d10.0646621!16s%2Fg%2F11xh732wz!19sChIJvxR-pbh6VRIR1tgw-ATVrck?authuser=0&hl=fr&rclk=1
ChIJ6-8yXnWbVRIRqH2Ifau4IMo,Hammem Sidi Abdelkader,,False,2,,Hammem Sidi Abdelkader (proprietaire),,,Hammam,Hammam,4.5,,,,"VQMV+RHW Hammem Sidi Abdelkader, El Hamma",,https://www.google.com/maps/place/Hammem+Sidi+Abdelkader/data=!4m7!3m6!1s0x12559b755e32efeb:0xca20b8ab7d887da8!8m2!3d33.8846235!4d9.7939394!16s%2Fg%2F11lh334d5n!19sChIJ6-8yXnWbVRIRqH2Ifau4IMo?authuser=0&hl=fr&rclk=1
ChIJOXuWQAB7VRIRjNn73KgMN54,Dar abdelkrim rhaima,,False,1,,Dar abdelkrim rhaima (proprietaire),,,Musee,Musee,5,,,,"Dar abdelkrim rhaima, Ghanouch Ouest",,https://www.google.com/maps/place/Dar+abdelkrim+rhaima/data=!4m7!3m6!1s0x12557b0040967b39:0x9e370ca8dcfbd98c!8m2!3d33.9434553!4d10.0482983!16s%2Fg%2F11lckshhc9!19sChIJOXuWQAB7VRIRjNn73KgMN54?authuser=0&hl=fr&rclk=1
ChIJiRMs1nV7VRIRqzzo3szSelo,Abdelkrim rhaima,,False,1,,Abdelkrim rhaima (proprietaire),,,Musee,Musee,5,Ouvert 24h/24,,98 719 750,"W3Q7+XFW Abdelkrim rhaima, Ghannouch",,https://www.google.com/maps/place/Abdelkrim+rhaima/data=!4m7!3m6!1s0x12557b75d62c1389:0x5a7ad2ccdee83cab!8m2!3d33.9399782!4d10.0637154!16s%2Fg%2F11fj1k4tyd!19sChIJiRMs1nV7VRIRqzzo3szSelo?authuser=0&hl=fr&rclk=1
