place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJeamvwCstABMRY3t23f16Q1Y,La Kasbah de Sfax,,False,83,,La Kasbah de Sfax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRKGZ4H3_-tVrJBzqcWGWCVNLCoJz66v0oXOqW=w408-h306-k-no,Musee,"Musee, Lieu historique, Attraction touristique",4.3,,,,"PQM5+9GM La Kasbah de Sfax, Beb El Kasba, Boulevard Farhat Hached","tour, l'histoire",https://www.google.com/maps/place/La+Kasbah+de+Sfax/data=!4m7!3m6!1s0x13002d2bc0afa979:0x56437afddd767b63!8m2!3d34.7334505!4d10.7587963!16s%2Fg%2F120z_1p3!19sChIJeamvwCstABMRY3t23f16Q1Y?authuser=0&hl=fr&rclk=1
ChIJ3di_yywtABMRU5OXy8etjoU,Musee Dar Jellouli,,False,53,,Musee Dar Jellouli (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOB8UoBnHylFbNUgDKucHUBnWQ6uIuZEr2Q4GuF=w408-h557-k-no,Musee d'art,"Musee d'art, Attraction, Lieu historique, Musee, Attraction touristique",4.4,,,,"PQP7+P2H Musee Dar Jellouli, Rue Sidi Ali Ennouri, Sfax 3047",traditions,https://www.google.com/maps/place/Mus%C3%A9e+Dar+Jellouli/data=!4m7!3m6!1s0x13002d2ccbbfd8dd:0x858eadc7cb979353!8m2!3d34.7368173!4d10.7626226!16s%2Fg%2F1227jzsm!19sChIJ3di_yywtABMRU5OXy8etjoU?authuser=0&hl=fr&rclk=1
ChIJzWDSWNTSARMRi6klzzwNDq4,Musee de Sfax,Musee archeologique a l'interieur d'un batiment municipal avec objets et oeuvres d'art de differentes epoques.,False,26,,Musee de Sfax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipON_KFmMK9R2qNjcznRiZCE3hZYj2Jq1ltajTkU=w408-h306-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.1,,,,"Musee de Sfax, 9 Av. Habib Bourguiba, Sfax 3000",,https://www.google.com/maps/place/Mus%C3%A9e+de+Sfax/data=!4m7!3m6!1s0x1301d2d458d260cd:0xae0e0d3ccf25a98b!8m2!3d34.7332768!4d10.7651983!16s%2Fm%2F05b1b5r!19sChIJzWDSWNTSARMRi6klzzwNDq4?authuser=0&hl=fr&rclk=1
ChIJH4qP4UPTARMRmQaqtoynR-4,Borj KAMOUN,,False,5,,Borj KAMOUN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOPr-_9S1HP0SqDmxu9rpGvgAnidtUTHBRaJOsS=w408-h306-k-no,Musee d'histoire,Musee d'histoire,5,,,,"QP5G+4PC Borj KAMOUN, Sfax",,https://www.google.com/maps/place/Borj+KAMOUN/data=!4m7!3m6!1s0x1301d343e18f8a1f:0xee47a78cb6aa0699!8m2!3d34.7578115!4d10.7267664!16s%2Fg%2F1vgl54wh!19sChIJH4qP4UPTARMRmQaqtoynR-4?authuser=0&hl=fr&rclk=1
ChIJBVHKairTARMRCA-mBa48wXQ,ArTanit,,False,4,,ArTanit (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMfukSQJnFf2kfrOgPwn7j49d2SpWN-qLY0gQWw=w408-h271-k-no,Galerie d'art,Galerie d'art,5,16:00-20:00,lundi,,"ArTanit, 19 Rue Pluton, 3000, Rue Majida Boulila, Sfax",,https://www.google.com/maps/place/ArTanit/data=!4m7!3m6!1s0x1301d32a6aca5105:0x74c13cae05a60f08!8m2!3d34.7452096!4d10.7585138!16s%2Fg%2F11ddwzjjys!19sChIJBVHKairTARMRCA-mBa48wXQ?authuser=0&hl=fr&rclk=1
ChIJ6WytYfLTARMRWPRPhsl6lg4,Villa Errayhan,,False,2,,Villa Errayhan (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOMbBh_2RCfcd-nwX9SGeMfMx_fouTdKbmWL-3J=w408-h906-k-no,Musee,Musee,4,08:46-18:15,dimanche,74 657 135,"Villa Errayhan, 3012, Sfax 3012",,https://www.google.com/maps/place/Villa+Errayhan/data=!4m7!3m6!1s0x1301d3f261ad6ce9:0xe967ac9864ff458!8m2!3d34.8094284!4d10.7198302!16s%2Fg%2F11b_04lnrr!19sChIJ6WytYfLTARMRWPRPhsl6lg4?authuser=0&hl=fr&rclk=1
ChIJGUIEQ2PVARMRAbGT8zXBtOw,Cimetiere Sidi 5lifa El Tayari,,False,2,,Cimetiere Sidi 5lifa El Tayari (proprietaire),,,Musee,Musee,4,,,,"QM5M+9X7 Cimetiere Sidi 5lifa El Tayari, Unnamed Road, Sfax",,https://www.google.com/maps/place/Cimeti%C3%A8re+Sidi+5lifa+El+Tayari/data=!4m7!3m6!1s0x1301d56343044219:0xecb4c135f393b101!8m2!3d34.7584179!4d10.6849347!16s%2Fg%2F11h3thtr1w!19sChIJGUIEQ2PVARMRAbGT8zXBtOw?authuser=0&hl=fr&rclk=1
ChIJW5fA6cktABMRmbg-fqcbdWs,I LOVE SFAX,,False,1,,I LOVE SFAX (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNEuQTgvdqZUqgSZ6UO5ua7yg4T56g7MtIDZavi=w408-h306-k-no,Musee,Musee,5,Ouvert 24h/24,,,"PQM6+25X I LOVE SFAX, Av. Habib Achour, Sfax",,https://www.google.com/maps/place/I+LOVE+SFAX/data=!4m7!3m6!1s0x13002dc9e9c0975b:0x6b751ba77e3eb899!8m2!3d34.7326044!4d10.7604963!16s%2Fg%2F11j0bhxyn4!19sChIJW5fA6cktABMRmbg-fqcbdWs?authuser=0&hl=fr&rclk=1
ChIJ0eGxfuUtABMRea9Fo1bvXCg,Hamza optice,,False,1,,Hamza optice (proprietaire),,,Musee,Musee,5,09:00-18:30,dimanche,74 221 618,"Hamza optice, 6 bis Avenu Taib Mhiri 3000, Sfax",,https://www.google.com/maps/place/Hamza+optice/data=!4m7!3m6!1s0x13002de57eb1e1d1:0x285cef56a345af79!8m2!3d34.7318221!4d10.7612557!16s%2Fg%2F11kfb679nq!19sChIJ0eGxfuUtABMRea9Fo1bvXCg?authuser=0&hl=fr&rclk=1
ChIJD1dH5dEtABMRDHMB-5NFCt0,nhj lshykh ltyjny av cheikh tijan,,False,1,,nhj lshykh ltyjny av cheikh tijan (proprietaire),,,Musee national,Musee national,5,,,,"PQP5+7GW nhj lshykh ltyjny av cheikh tijan, Rue Cheikh Tijani, Sfax",,https://www.google.com/maps/place/%D9%86%D9%87%D8%AC+%D8%A7%D9%84%D8%B4%D9%8A%D8%AE+%D8%A7%D9%84%D8%AA%D9%8A%D8%AC%D8%A7%D9%86%D9%8A+av+cheikh+tijan%E2%80%AD/data=!4m7!3m6!1s0x13002dd1e547570f:0xdd0a4593fb01730c!8m2!3d34.7357433!4d10.7588315!16s%2Fg%2F11h6dsbl6c!19sChIJD1dH5dEtABMRDHMB-5NFCt0?authuser=0&hl=fr&rclk=1
