place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ45cjaD_F_RIRHrojZwgOIYk,Mosquee Okba Ibn Nafaa,"Celebre mosquee datant du VIIe siecle avec murs imposants, minaret carre et ornements architecturaux.",False,2209,,Mosquee Okba Ibn Nafaa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNEL5TfujiOvcePKvWqK5nPcjo2E41qK7BFskET=w408-h306-k-no,Mosquee,"Mosquee, Lieu historique, Attraction touristique",4.6,08:00-14:00,,76 489 133,"M4J3+GMV Mosquee Okba Ibn Nafaa, Rue De La Kasbah, Kairouan","histoire, monument, colonnes, minaret, oqba ibn nafi al-fihri, civilisation islamique, marbre, edifice, cadran solaire, djellaba",https://www.google.com/maps/place/Mosqu%C3%A9e+Okba+Ibn+Nafaa/data=!4m7!3m6!1s0x12fdc53f682397e3:0x89210e086723ba1e!8m2!3d35.6813693!4d10.1041651!16zL20vMGYyNmZz!19sChIJ45cjaD_F_RIRHrojZwgOIYk?authuser=0&hl=fr&rclk=1
ChIJQzwiL__F_RIREwWMZlwcYb4,Kairouan Grand Mosque,,False,620,,Kairouan Grand Mosque (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMraZM7Ym8643qzQf7RCc5O5DjeeL2t4l9pGbie=w408-h306-k-no,Musee d'histoire locale,Musee d'histoire locale,4.5,08:00-14:00,,,"M4J3+RFG Kairouan Grand Mosque, Kairouan","musulman, priere, architecture, tapis, monument, genou, epaules, colonnes, boutique de souvenirs, femme",https://www.google.com/maps/place/Kairouan+Grand+Mosque/data=!4m7!3m6!1s0x12fdc5ff2f223c43:0xbe611c5c668c0513!8m2!3d35.6820625!4d10.1036875!16s%2Fg%2F11jbnwjpjx!19sChIJQzwiL__F_RIREwWMZlwcYb4?authuser=0&hl=fr&rclk=1
ChIJOWjha2rF_RIRRqLXG1-5anQ,Bassins des Aghlabides,,False,480,,Bassins des Aghlabides (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPy_tb4qyhSmZKvreOpGr_lR2_9u2nYB_ETcyhT=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Attraction touristique",4.1,Ouvert 24h/24,,,"M3PW+R5V Bassins des Aghlabides, Av. de la Republique, Kairouan","tourisme, ixe siecle, monument historique, civilisation islamique, lac de barrage, aqueduc, pluie, ouvrage hydraulique, parcs, alimentation en eau potable",https://www.google.com/maps/place/Bassins+des+Aghlabides/data=!4m7!3m6!1s0x12fdc56a6be16839:0x746ab95f1bd7a246!8m2!3d35.6871107!4d10.0954229!16s%2Fg%2F121zpg5t!19sChIJOWjha2rF_RIRRqLXG1-5anQ?authuser=0&hl=fr&rclk=1
ChIJbbGJmlzF_RIRSE8EhcDda4M,Mausolee du Barbier,,False,353,,Mausolee du Barbier (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRaOis4u_uBdkzIEFRHVtofiJVLxuO_tJgK5Xk=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.5,08:00-19:00,,77 231 897,"Mausolee du Barbier, Mosquee du Barbier, Av. de la Republique, Kairouan 3100","mosquee, histoire, architecture, sahaba, musulmans, mosaiques, carreaux, circoncision, tombeau, espace",https://www.google.com/maps/place/Mausol%C3%A9e+du+Barbier/data=!4m7!3m6!1s0x12fdc55c9a89b16d:0x836bddc085044f48!8m2!3d35.682061!4d10.090226!16s%2Fg%2F1tgldk1j!19sChIJbbGJmlzF_RIRSE8EhcDda4M?authuser=0&hl=fr&rclk=1
ChIJxVV9l1zF_RIRlG-WtJiLFCs,Mosquee du Barbier jm` by zm`@ lblwy,,False,315,,Mosquee du Barbier jm` by zm`@ lblwy (proprietaire),https://www.google.com/maps/contrib/110502506598131397397,https://lh5.googleusercontent.com/p/AF1QipPOFhSqYE7WLJwhqDqVjtRY5ZFTtV1Ro_c9XtN7=w426-h240-k-no,Monastere,"Monastere, Attraction touristique",4.6,07:00-20:00,,77 288 258,"Mosquee du Barbier jm` by zm`@ lblwy, Mosquee du Barbier, Av. de la Republique, Kairouan 3100",,https://www.google.com/maps/place/Mosqu%C3%A9e+du+Barbier+%D8%AC%D8%A7%D9%85%D8%B9+%D8%A7%D8%A8%D9%8A+%D8%B2%D9%85%D8%B9%D8%A9+%D8%A7%D9%84%D8%A8%D9%84%D9%88%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fdc55c977d55c5:0x2b148b98b4966f94!8m2!3d35.6821!4d10.0899!16s%2Fg%2F121lmgkq!19sChIJxVV9l1zF_RIRlG-WtJiLFCs?authuser=0&hl=fr&rclk=1
ChIJ7QWtsL7F_RIRRBU5mnWPtBU,Sidi Ghariani,,False,14,,Sidi Ghariani (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNMIL6w3IkxxrXacin3ncNIAjfDoO_IQo7RCeHJ=w408-h306-k-no,Lieu historique,"Lieu historique, Musee, Tombeau",4.4,,,,"M4F2+WG7 Sidi Ghariani, Kairouan",mausolee,https://www.google.com/maps/place/Sidi+Ghariani/data=!4m7!3m6!1s0x12fdc5beb0ad05ed:0x15b48f759a391544!8m2!3d35.6751601!4d10.1015943!16s%2Fg%2F11sdsqqnrz!19sChIJ7QWtsL7F_RIRRBU5mnWPtBU?authuser=0&hl=fr&rclk=1
ChIJU2XdhCrF_RIR8rv8qPueXg0,Musee du tapis,,False,13,,Musee du tapis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMFuQNhRLhvnxoJ4Erx-kA0KEDIWdv-AQKtwf0j=w408-h541-k-no,Musee,Musee,4.5,,,,"M3CX+XPP Musee du tapis, Kairouan",,https://www.google.com/maps/place/Mus%C3%A9e+du+tapis/data=!4m7!3m6!1s0x12fdc52a84dd6553:0xd5e9efba8fcbbf2!8m2!3d35.672459!4d10.0993201!16s%2Fg%2F11h0_1x78l!19sChIJU2XdhCrF_RIR8rv8qPueXg0?authuser=0&hl=fr&rclk=1
ChIJvb9PBMbQ_RIRfcUI3dnlEjc,Musee des Arts Islamiques de Rakkada,,False,11,,Musee des Arts Islamiques de Rakkada (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYZzt8OrFLQKeuh2wY64NbyZl-P2gHuWAIlROQ=w408-h306-k-no,Musee,Musee,4.5,09:00-16:00,lundi,,"H3V3+67H Musee des Arts Islamiques de Rakkada, Reggada",,https://www.google.com/maps/place/Mus%C3%A9e+des+Arts+Islamiques+de+Rakkada/data=!4m7!3m6!1s0x12fdd0c6044fbfbd:0x3712e5d9dd08c57d!8m2!3d35.5930574!4d10.0532248!16s%2Fg%2F11cs2576cw!19sChIJvb9PBMbQ_RIRfcUI3dnlEjc?authuser=0&hl=fr&rclk=1
ChIJdenaoUnF_RIRjor9R5xneLw,Musee national d'art islamique de Raqqada,,False,10,https://www.tunisiepatrimoine.tn/musees/musee-national-dart-islamique-de-raqqada/apercu/,Musee national d'art islamique de Raqqada (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN7ShNm82bUDM6GYLJx-Y3xmFzw2EPkHxS0sPX6=w408-h306-k-no,Musee,Musee,4.7,09:00-16:00,lundi,,"H3V3+249 Musee national d'art islamique de Raqqada, Kairouan",,https://www.google.com/maps/place/Mus%C3%A9e+national+d%27art+islamique+de+Raqqada/data=!4m7!3m6!1s0x12fdc549a1dae975:0xbc78679c47fd8a8e!8m2!3d35.5925359!4d10.0528505!16s%2Fg%2F11r_pfh97!19sChIJdenaoUnF_RIRjor9R5xneLw?authuser=0&hl=fr&rclk=1
ChIJdZo9cDfF_RIR-K5zpl-CGY4,mtHf lzrby@,,False,6,,mtHf lzrby@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNlyn3kY-gugovdWLJ8ILA54rmyx4aqvslwXIEI=w408-h306-k-no,Musee,Musee,4.3,,,,"M3FX+2PV mtHf lzrby@, Av. Ali Zouaoui, Kairouan",,https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B2%D8%B1%D8%A8%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fdc537703d9a75:0x8e19825fa673aef8!8m2!3d35.6726192!4d10.0993076!16s%2Fg%2F11fskb9_fk!19sChIJdZo9cDfF_RIR-K5zpl-CGY4?authuser=0&hl=fr&rclk=1
