place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJw5rkkygyHRMR97pYtmu5VoI,Cap-Bon Kelibia Beach Hotel & Spa,"Hotel balneaire haut de gamme avec chambres/suites chaleureuses, spa et 3 restaurants raffines.",False,562,https://kelibiabeachhotel.com/,Cap-Bon Kelibia Beach Hotel & Spa (proprietaire),https://www.google.com/maps/contrib/100289006971291855197,https://lh5.googleusercontent.com/p/AF1QipP7pkHqbuP_9YohabHNsSicTFDSdbtOcEZ8mfWn=w408-h272-k-no,Hotel,"Hotel, Restaurant, Spa, Piscine",4.1,,,72 277 770,"Cap-Bon Kelibia Beach Hotel & Spa, Plage El Mansourah, Kelibia 8090","animation, sable, italienne, massage, fils, village vacances, juillet, tout compris, cristallin, spectacle vivant",https://www.google.com/maps/place/Cap-Bon+Kelibia+Beach+Hotel+%26+Spa/data=!4m10!3m9!1s0x131d322893e49ac3:0x8256b96bb658baf7!5m2!4m1!1i2!8m2!3d36.8565201!4d11.1260907!16s%2Fg%2F1hdz2z1nq!19sChIJw5rkkygyHRMR97pYtmu5VoI?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJsVSgN7UzHRMRjWOM_4Wo31k,Fort de Kelibia,,False,460,,Fort de Kelibia (proprietaire),https://www.google.com/maps/contrib/115446203906555475854,https://lh5.googleusercontent.com/p/AF1QipNBjLXSMOYZZLZl3clhCWXPAOJ2kWDwUCkIt5g5=w408-h306-k-no,Forteresse,Forteresse,4.4,09:00-18:00,,,"Fort de Kelibia, Kelibia","vue, mer, l'histoire, beau, port, chateau, monument, batiment, enfants, touristes",https://www.google.com/maps/place/Fort+de+K%C3%A9libia/data=!4m7!3m6!1s0x131d33b537a054b1:0x59dfa885ff8c638d!8m2!3d36.8379089!4d11.1158275!16s%2Fm%2F0j9m4xx!19sChIJsVSgN7UzHRMRjWOM_4Wo31k?authuser=0&hl=fr&rclk=1
ChIJ8w7HxUM_HRMRFYwvW4bfMuU,Grottes El Haouaria khwf lhwry@,,False,395,,Grottes El Haouaria khwf lhwry@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNslg3Q2mc8u42Jx0a4fj5wRHvRbEBhjV_OzjjT=w408-h306-k-no,Site historique,"Site historique, Attraction touristique",4.3,Ouvert 24h/24,,72 273 074,"3X5W+QM7 Grottes El Haouaria khwf lhwry@, Al Huwariyah","vue sur la mer, paysage, plage, prix, risque, main",https://www.google.com/maps/place/Grottes+El+Haouaria+%D9%83%D9%87%D9%88%D9%81+%D8%A7%D9%84%D9%87%D9%88%D8%A7%D8%B1%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x131d3f43c5c70ef3:0xe532df865b2f8c15!8m2!3d37.0594022!4d10.9966791!16s%2Fg%2F11c1nc90zm!19sChIJ8w7HxUM_HRMRFYwvW4bfMuU?authuser=0&hl=fr&rclk=1
ChIJtWOBHp4wHRMRWuy_0HaNcUE,Musee archeologique de Kerkouane,,False,117,,Musee archeologique de Kerkouane (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOT5NQzZJb6HpGXXT-2kKomfX9EMp4b-xJFU9Ht=w408-h306-k-no,Musee archeologique,"Musee archeologique, Musee, Attraction touristique",4.4,09:00-16:00,,,"W3XX+4G6 Musee archeologique de Kerkouane, Kerkouane","site archeologique, ruines, vie",https://www.google.com/maps/place/Mus%C3%A9e+arch%C3%A9ologique+de+Kerkouane/data=!4m7!3m6!1s0x131d309e1e8163b5:0x41718d76d0bfec5a!8m2!3d36.9477853!4d11.0987567!16s%2Fm%2F05b5n_k!19sChIJtWOBHp4wHRMRWuy_0HaNcUE?authuser=0&hl=fr&rclk=1
ChIJtQdQXpSYAhMRoRO4cnDaw2c,Musee Neapolis,,False,58,,Musee Neapolis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNcykpjCK98U33XK0n2_BxWkvuOXCI5dyn0hltB=w408-h306-k-no,Musee archeologique,Musee archeologique,4.1,09:00-17:00,lundi,24 178 773,"FP2P+8G3 Musee Neapolis, Nabeul",mosaiques,https://www.google.com/maps/place/Mus%C3%A9e+N%C3%A9apolis/data=!4m7!3m6!1s0x130298945e5007b5:0x67c3da7072b813a1!8m2!3d36.4507529!4d10.736297!16s%2Fg%2F1hdyxvfnq!19sChIJtQdQXpSYAhMRoRO4cnDaw2c?authuser=0&hl=fr&rclk=1
ChIJaxi1cC0zHRMR-XFjZlXesgs,Plage kelibia,,False,37,,Plage kelibia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdpRPVODd_7hGo8Nv3sySrA9oITDMv6DCxjvuq=w408-h306-k-no,Attraction touristique,Attraction touristique,4.6,,,,"R4RC+GJC Plage kelibia, Unnamed Road, Kelibia",,https://www.google.com/maps/place/Plage+kelibia/data=!4m7!3m6!1s0x131d332d70b5186b:0xbb2de55666371f9!8m2!3d36.8413206!4d11.1215222!16s%2Fg%2F11rxry1d71!19sChIJaxi1cC0zHRMR-XFjZlXesgs?authuser=0&hl=fr&rclk=1
ChIJqeTY314xHRMRq6CCndL-ayc,Site archeologique de Kerkouane,,False,26,,Site archeologique de Kerkouane (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNLwDBKhEGnuMjGI8JJQ0lhH1lybJiElKYXiu_l=w408-h544-k-no,Site historique,Site historique,4.6,,,,"W3WX+HQ6 Site archeologique de Kerkouane, Kerkouane",ruines,https://www.google.com/maps/place/Site+arch%C3%A9ologique+de+Kerkouane/data=!4m7!3m6!1s0x131d315edfd8e4a9:0x276bfed29d82a0ab!8m2!3d36.9464107!4d11.0993788!16s%2Fg%2F11fhr7dwbc!19sChIJqeTY314xHRMRq6CCndL-ayc?authuser=0&hl=fr&rclk=1
ChIJf2F7IRA0HRMRZ5T1FCrHsgo,Institut superieur des etudes technologiques de Kelibia,,False,14,http://www.isetkl.rnu.tn/,Institut superieur des etudes technologiques de Kelibia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOOK5Ct-_CzZO92omJ98Q3FuaJZtYu03vWHDClf=w408-h306-k-no,Institut de technologie,Institut de technologie,4.4,,,72 277 090,"V336+525 Institut superieur des etudes technologiques de Kelibia, Route Oued El Khatf, Kelibia 8090",,https://www.google.com/maps/place/Institut+sup%C3%A9rieur+des+%C3%A9tudes+technologiques+de+K%C3%A9libia/data=!4m7!3m6!1s0x131d3410217b617f:0xab2c72a14f59467!8m2!3d36.8528767!4d11.0601168!16s%2Fg%2F11clwm8233!19sChIJf2F7IRA0HRMRZ5T1FCrHsgo?authuser=0&hl=fr&rclk=1
ChIJ8U8U4B8zHRMRQEkhhhqNHxI,Kelibia,,False,6,,Kelibia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM6hirSJ44NZGOIjSXY16ouapBXJlsPLujcNQ22=w408-h544-k-no,Service de location de velo,Service de location de velo,4.2,11:00-19:00,,54 905 461,"R3VW+R9X Kelibia, Av. de Martyrs, Kelibia 8090",,https://www.google.com/maps/place/K%C3%A9libia/data=!4m7!3m6!1s0x131d331fe0144ff1:0x121f8d1a86214940!8m2!3d36.8446083!4d11.0959741!16s%2Fg%2F11thnk22cb!19sChIJ8U8U4B8zHRMRQEkhhhqNHxI?authuser=0&hl=fr&rclk=1
