place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJY_l1I5_8ARMRxV1SBbx3ptw,Musee Archeologique d'El Djem,Musee archeologique installe dans batiment de style villa romaine avec objets locaux et ruines a proximite.,False,1137,,Musee Archeologique d'El Djem (proprietaire),https://www.google.com/maps/contrib/108474809483360220938,https://lh5.googleusercontent.com/p/AF1QipMp3pFdmdoKGFHRcdutLwveHUv1LPRw-AGaPHRT=w408-h306-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.7,08:00-18:30,,,"Musee Archeologique d'El Djem, Al-jamm","mosaiques, amphitheatre, ruines, villa romaine, maison, marche, billet, sol, riche, oeuvres",https://www.google.com/maps/place/Mus%C3%A9e+Arch%C3%A9ologique+d%27El+Djem/data=!4m7!3m6!1s0x1301fc9f2375f963:0xdca677bc05525dc5!8m2!3d35.2896015!4d10.7055818!16s%2Fm%2F05b3xh5!19sChIJY_l1I5_8ARMRxV1SBbx3ptw?authuser=0&hl=fr&rclk=1
ChIJsalpd8m04hIRaduc5E7WRvk,Musee national de Carthage,Musee archeologique simple presentant des statues et des poteries decouvertes lors de fouilles dans la region.,False,581,https://carthagemagazine.com/carthage-national-museum/,Musee national de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxVDDk7o1OcIgbibckCmQ1FRYgF3AFjLqAJYW6=w408-h306-k-no,Musee d'histoire,Musee d'histoire,4.2,,,58 162 557,"V83F+7QR Musee national de Carthage, Site archeologique de Carthage","renovation, ruines, cathedrale, mosaiques, antique, site, 2026, monument, archeologiques, restauration",https://www.google.com/maps/place/Mus%C3%A9e+national+de+Carthage/data=!4m7!3m6!1s0x12e2b4c97769a9b1:0xf946d64ee49cdb69!8m2!3d36.8532268!4d10.3243991!16s%2Fm%2F05b11w2!19sChIJsalpd8m04hIRaduc5E7WRvk?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJM3ZhrHp1AhMRgZVi5NAE_Bg,Musee Dar Essid,"Art regional, objets anciens et expositions historiques sur la vie quotidienne dans un celebre palais.",False,216,,Musee Dar Essid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqU1jkLUlwl5-iR24tYTx25xUQ4xE92oDpLGYV=w408-h306-k-no,Musee d'art,"Musee d'art, Musee d'histoire locale, Musee, Attraction touristique",4.4,10:00-18:00,,73 220 529,"Musee Dar Essid, Boulevard Yahia Ibn Omar, 65 Rue des Remparts, Sousse","tour, demeure, vie quotidienne, langage, toits, vue, prix, porte, terrasse, interieur",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Essid/data=!4m7!3m6!1s0x1302757aac617633:0x18fc04d0e4629581!8m2!3d35.827142!4d10.6355029!16s%2Fg%2F12lnj4jw0!19sChIJM3ZhrHp1AhMRgZVi5NAE_Bg?authuser=0&hl=fr&rclk=1
ChIJ4fRNA2mXqhMR5D6yj9oBrcg,Musee Lalla Hadria,,False,203,,Musee Lalla Hadria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCa_tbRLfogovi7NkUVr8Uu4NtWcnNxrnFNcDS=w408-h274-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.6,09:00-17:00,lundi,,"R29W+W22 Musee Lalla Hadria, Djerba Midun","musulmans, culture, bijoux, vetements, l'art, parc",https://www.google.com/maps/place/Mus%C3%A9e+Lalla+Hadria/data=!4m7!3m6!1s0x13aa9769034df4e1:0xc8ad01da8fb23ee4!8m2!3d33.8197621!4d11.045031!16s%2Fg%2F11f3n36w40!19sChIJ4fRNA2mXqhMR5D6yj9oBrcg?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJ51rHYOzA_BIR-vfAFPUW4MY,Medjez-el-Bab War Cemetery,,False,10,http://www.cwgc.org/find-a-cemetery/cemetery/2054200/MEDJEZ-EL-BAB%2520MEMORIAL,Medjez-el-Bab War Cemetery (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMpQFvAjfiO2ckgHbKuAOq3_qnXikczfNtfzH03=w513-h240-k-no,Cimetiere militaire,Cimetiere militaire,4.9,,,,"JHGC+M5F Medjez-el-Bab War Cemetery, Majaz Al Bab",,https://www.google.com/maps/place/Medjez-el-Bab+War+Cemetery/data=!4m7!3m6!1s0x12fcc0ec60c75ae7:0xc6e016f514c0f7fa!8m2!3d36.6266783!4d9.5704154!16s%2Fm%2F0zwlsgm!19sChIJ51rHYOzA_BIR-vfAFPUW4MY?authuser=0&hl=fr&rclk=1
ChIJ9WZNRc3B_BIRvkVzT1JHR7Q,Medjez el Bab,,False,2,,Medjez el Bab (proprietaire),,,Temple parsi,Temple parsi,5,,,,"JJX8+282 Medjez el Bab, Rue Union du Grand Maghreb, Majaz Al Bab",,https://www.google.com/maps/place/Medjez+el+Bab/data=!4m7!3m6!1s0x12fcc1cd454d66f5:0xb44747524f7345be!8m2!3d36.6475125!4d9.6157656!16s%2Fg%2F11t2tdh_73!19sChIJ9WZNRc3B_BIRvkVzT1JHR7Q?authuser=0&hl=fr&rclk=1
ChIJIYw18DHB_BIR_yHjFdeEN74,maison de culture medjez el beb,,False,1,,maison de culture medjez el beb (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPBppsNd9N7VyXAOQismMFJbwhlUjLukPucUBkJ=w426-h240-k-no,Centre culturel,Centre culturel,5,,,,"JJW2+FJP maison de culture medjez el beb, Majaz Al Bab",,https://www.google.com/maps/place/maison+de+culture+medjez+el+beb/data=!4m7!3m6!1s0x12fcc131f0358c21:0xbe3784d715e321ff!8m2!3d36.646211!4d9.6015894!16s%2Fg%2F11hcxwvqt4!19sChIJIYw18DHB_BIR_yHjFdeEN74?authuser=0&hl=fr&rclk=1
ChIJZSCMuGaz_BIR0nhqyk6kdOk,Monument operation Ochsenkopf,,False,1,,Monument operation Ochsenkopf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPKDA9h_z1PklK5dUnHU8vfD2CUkfYBRj1bjeIn=w408-h544-k-no,Musee d'art,Musee d'art,5,Ouvert 24h/24,,26 447 688,"Monument operation Ochsenkopf, C64",,https://www.google.com/maps/place/Monument+op%C3%A9ration+Ochsenkopf/data=!4m7!3m6!1s0x12fcb366b88c2065:0xe974a44eca6a78d2!8m2!3d36.8940755!4d9.4439183!16s%2Fg%2F11srs1jgnw!19sChIJZSCMuGaz_BIR0nhqyk6kdOk?authuser=0&hl=fr&rclk=1
ChIJqafFxqml-xIRgfXDblXjy90,Circuit culturel et touristique de la medina du kef - Museum Lab,,False,1,https://museumlab.tn/,Circuit culturel et touristique de la medina du kef - Museum Lab (proprietaire),https://www.google.com/maps/contrib/111859237642939519626,https://lh5.googleusercontent.com/p/AF1QipM7G2KQvS3gKoAswp--W67xMNoZo5_l4k7t0tkF=w408-h306-k-no,Attraction touristique,Attraction touristique,5,09:00-17:00,"samedi, dimanche",20 276 643,"Circuit culturel et touristique de la medina du kef - Museum Lab, P17, Le Kef",,https://www.google.com/maps/place/Circuit+culturel+et+touristique+de+la+m%C3%A9dina+du+kef+-+Museum+Lab/data=!4m7!3m6!1s0x12fba5a9c6c5a7a9:0xddcbe3556ec3f581!8m2!3d36.181303!4d8.7197247!16s%2Fg%2F11sh082zwh!19sChIJqafFxqml-xIRgfXDblXjy90?authuser=0&hl=fr&rclk=1
