place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJsalpd8m04hIRaduc5E7WRvk,Musee national de Carthage,Musee archeologique simple presentant des statues et des poteries decouvertes lors de fouilles dans la region.,False,581,https://carthagemagazine.com/carthage-national-museum/,Musee national de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxVDDk7o1OcIgbibckCmQ1FRYgF3AFjLqAJYW6=w408-h306-k-no,Musee d'histoire,Musee d'histoire,4.2,,,58 162 557,"V83F+7QR Musee national de Carthage, Site archeologique de Carthage","renovation, ruines, cathedrale, mosaiques, antique, site, 2026, monument, archeologiques, restauration",https://www.google.com/maps/place/Mus%C3%A9e+national+de+Carthage/data=!4m7!3m6!1s0x12e2b4c97769a9b1:0xf946d64ee49cdb69!8m2!3d36.8532268!4d10.3243991!16s%2Fm%2F05b11w2!19sChIJsalpd8m04hIRaduc5E7WRvk?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJtQdQXpSYAhMRoRO4cnDaw2c,Musee Neapolis,,False,58,,Musee Neapolis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNcykpjCK98U33XK0n2_BxWkvuOXCI5dyn0hltB=w408-h306-k-no,Musee archeologique,Musee archeologique,4.1,09:00-17:00,lundi,24 178 773,"FP2P+8G3 Musee Neapolis, Nabeul",mosaiques,https://www.google.com/maps/place/Mus%C3%A9e+N%C3%A9apolis/data=!4m7!3m6!1s0x130298945e5007b5:0x67c3da7072b813a1!8m2!3d36.4507529!4d10.736297!16s%2Fg%2F1hdyxvfnq!19sChIJtQdQXpSYAhMRoRO4cnDaw2c?authuser=0&hl=fr&rclk=1
ChIJp9ipRS1Y_RIRmtF0yiYMZQA,Musee du Marabout Sidi-Jedidi,,False,12,,Musee du Marabout Sidi-Jedidi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNHDag8fWjsNYW1n97bJ921FCF9p4uKXyDrYtef=w408-h726-k-no,Musee,Musee,4.3,,,,"JHVG+V5X Musee du Marabout Sidi-Jedidi, Zaouiet Djedidi",,https://www.google.com/maps/place/Mus%C3%A9e+du+Marabout+Sidi-Jedidi/data=!4m7!3m6!1s0x12fd582d45a9d8a7:0x650c26ca74d19a!8m2!3d36.6447476!4d10.5754797!16s%2Fg%2F1w4nnlh4!19sChIJp9ipRS1Y_RIRmtF0yiYMZQA?authuser=0&hl=fr&rclk=1
ChIJyzewgl1R_RIRtJq_yw_04AE,dar el conte,,False,5,,dar el conte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMiyqMpoZJQmrEsQRTqFE_MzBf3FiS-oRxxN20A=w408-h306-k-no,Musee,Musee,4,,,,"PFRP+25Q dar el conte, Sulayman",,https://www.google.com/maps/place/dar+el+conte/data=!4m7!3m6!1s0x12fd515d82b037cb:0x1e0f40fcbbf9ab4!8m2!3d36.7400841!4d10.4854729!16s%2Fg%2F11f9ytljsl!19sChIJyzewgl1R_RIRtJq_yw_04AE?authuser=0&hl=fr&rclk=1
ChIJb_MzTpSYAhMRRZxEZEsXiH4,Nabeul Museum,,False,5,,Nabeul Museum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO2pSrt8ZObsfFuZHbkiH7WgI7CdQnPoRjZrWxD=w408-h306-k-no,Musee archeologique,"Musee archeologique, Musee",4.6,,,,"FP2P+7HC Nabeul Museum, Nabeul",,https://www.google.com/maps/place/Nabeul+Museum/data=!4m7!3m6!1s0x130298944e33f36f:0x7e88174b64449c45!8m2!3d36.4506915!4d10.7363967!16s%2Fm%2F0130pvlb!19sChIJb_MzTpSYAhMRRZxEZEsXiH4?authuser=0&hl=fr&rclk=1
ChIJO6gKexhb_RIRNe6yVJEpxmU,Friedhof Grombalia,,False,2,,Friedhof Grombalia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMEewfRy69EH06jx5MZNCopnNnuKPZ5vOJIKmzP=w408-h305-k-no,Musee,Musee,5,,,,"HFXR+F3M Friedhof Grombalia, Grombalia",,https://www.google.com/maps/place/Friedhof+Grombalia/data=!4m7!3m6!1s0x12fd5b187b0aa83b:0x65c6299154b2ee35!8m2!3d36.5987224!4d10.4901749!16s%2Fg%2F11fjhbhcfw!19sChIJO6gKexhb_RIRNe6yVJEpxmU?authuser=0&hl=fr&rclk=1
ChIJH7vjdGtX_RIRp2U0ZTI-euM,m`Sr@ lbzyly,,False,1,,m`Sr@ lbzyly (proprietaire),,,Musee,Musee,5,,,,"PG4J+5J4 m`Sr@ lbzyly, Shrifat",,https://www.google.com/maps/place/%D9%85%D8%B9%D8%B5%D8%B1%D8%A9+%D8%A7%D9%84%D8%A8%D8%A7%D8%B2%D9%8A%D9%84%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fd576b74e3bb1f:0xe37a3e32653465a7!8m2!3d36.7053825!4d10.5315915!16s%2Fg%2F11fm19tjlq!19sChIJH7vjdGtX_RIRp2U0ZTI-euM?authuser=0&hl=fr&rclk=1
ChIJabLGsZBc_RIRRsQ-UWuXLqY,Mosquee Radhwen El Karmia,,False,1,,Mosquee Radhwen El Karmia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPc2gY2dDJuslf5ZoZWgK4qF3aT1929YmhTLeVa=w408-h544-k-no,Musee,Musee,5,,,,"HF89+W86 Mosquee Radhwen El Karmia, Ain Tobournok",,https://www.google.com/maps/place/Mosqu%C3%A9e+Radhwen+El+Karmia/data=!4m7!3m6!1s0x12fd5c90b1c6b269:0xa62e976b513ec446!8m2!3d36.5672882!4d10.4682576!16s%2Fg%2F11gfb4n9pp!19sChIJabLGsZBc_RIRRsQ-UWuXLqY?authuser=0&hl=fr&rclk=1
