place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-QCaR2iXqhMR7qBwoBfwAh8,Ferme aux Crocodiles,"Grand zoo avec crocodiles, nourrissages publics, autres reptiles divers et musee historique.",False,3072,http://djerbaexplore.com/,Ferme aux Crocodiles (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPNnucVXzFuykY5GVVzdGS8nA8Yu0FeN4Dw15Cj=w408-h541-k-no,Zoo,"Zoo, Attraction touristique",4.6,09:00-18:00,lundi,75 745 277,"R29V+P5X Ferme aux Crocodiles, Unnamed Road, Djerba Midun","tortues, reptiles, iguanes, village, crocodile du nil, spectacle, ile, musee en plein air, musee local",https://www.google.com/maps/place/Ferme+aux+Crocodiles/data=!4m7!3m6!1s0x13aa9768479a00f9:0x1f02f017a070a0ee!8m2!3d33.8193539!4d11.0429871!16s%2Fm%2F0n8jg6x!19sChIJ-QCaR2iXqhMR7qBwoBfwAh8?authuser=0&hl=fr&rclk=1
ChIJU6a4Nxq7qhMRxMlTUd_iMWA,Djerbahood,Village entier orne d'oeuvres de rue realisees par des artistes originaires de plus de 30 pays.,False,2921,http://djerbahood.com/,Djerbahood (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNZESc51wM25kBDLPIgBPHwZS-d_VvzkpsFb_Dk=w408-h306-k-no,Musee en plein air,"Musee en plein air, Attraction touristique",4.6,Ouvert 24h/24,,,"RVC3+GP4 Djerbahood, Hara Sghira Er Riadh","village, street art, artistes, ruelles, fresques, ile, quartier, ballade, bougainvillea, synagogue",https://www.google.com/maps/place/Djerbahood/data=!4m7!3m6!1s0x13aabb1a37b8a653:0x6031e2df5153c9c4!8m2!3d33.82127!4d10.8543415!16s%2Fg%2F11b6rkdl_f!19sChIJU6a4Nxq7qhMRxMlTUd_iMWA?authuser=0&hl=fr&rclk=1
ChIJ6xCYZxa5qhMRpXwJba8Cw5A,Musee de Guellala,"Inspire d'une maison tunisienne, ce musee explore l'artisanat et le folklore local avec des statues de cire.",False,2117,,Musee de Guellala (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOn0eaILMJo9HWebtDiDjE8aG_ZJ-yHDj_AH50Q=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.4,08:00-18:00,,75 761 114,"PVM8+26Q Musee de Guellala, Guellala 4155","traditions, ile, coutumes, mariage, patrimoine, mise en scene, folklore, mannequins, vie quotidienne, calligraphie",https://www.google.com/maps/place/Mus%C3%A9e+de+Guellala/data=!4m7!3m6!1s0x13aab916679810eb:0x90c302af6d097ca5!8m2!3d33.7325783!4d10.8656196!16s%2Fg%2F11hbgb2596!19sChIJ6xCYZxa5qhMRpXwJba8Cw5A?authuser=0&hl=fr&rclk=1
ChIJFaTmRmiXqhMRa-wcXuYdBgc,Crocodile parc,,False,880,https://www.djerbaexplore.com/les-crocodiles/,Crocodile parc (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPswLC1dWcM3xfjCeardFz9i1aOzPS7mB8dbhth=w426-h240-k-no,Musee,Musee,4.6,08:00-17:00,lundi,,"R2CW+8QF Crocodile parc, Djerba Midun","reptiles, tortues, bebe, experience, prix, famille, adultes, iguanes, spectacle, fermes",https://www.google.com/maps/place/Crocodile+parc/data=!4m7!3m6!1s0x13aa976846e6a415:0x7061de65e1cec6b!8m2!3d33.8208192!4d11.0469323!16s%2Fg%2F11ggs93hcs!19sChIJFaTmRmiXqhMRa-wcXuYdBgc?authuser=0&hl=fr&rclk=1
ChIJGYHI1WCjqhMRC_dxoqMBEuU,Dar Jilani,,False,209,,Dar Jilani (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPeLx2G8Bx-bhuxGTLEb-AyJNI4P5siqp5yLctI=w408-h544-k-no,Galerie d'art,"Galerie d'art, Art",4.6,,,,"VVCW+Q7J Dar Jilani, Fatou","artiste, souvenirs, musee, image",https://www.google.com/maps/place/Dar+Jilani/data=!4m7!3m6!1s0x13aaa360d5c88119:0xe51201a3a271f70b!8m2!3d33.8719641!4d10.8956542!16s%2Fg%2F12hk51hz6!19sChIJGYHI1WCjqhMRC_dxoqMBEuU?authuser=0&hl=fr&rclk=1
ChIJ4fRNA2mXqhMR5D6yj9oBrcg,Musee Lalla Hadria,,False,203,,Musee Lalla Hadria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCa_tbRLfogovi7NkUVr8Uu4NtWcnNxrnFNcDS=w408-h274-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.6,09:00-17:00,lundi,,"R29W+W22 Musee Lalla Hadria, Djerba Midun","musulmans, culture, bijoux, vetements, l'art, parc",https://www.google.com/maps/place/Mus%C3%A9e+Lalla+Hadria/data=!4m7!3m6!1s0x13aa9769034df4e1:0xc8ad01da8fb23ee4!8m2!3d33.8197621!4d11.045031!16s%2Fg%2F11f3n36w40!19sChIJ4fRNA2mXqhMR5D6yj9oBrcg?authuser=0&hl=fr&rclk=1
ChIJh_qKKOykqhMRgtcSmS5gTIM,Musee du patrimoine traditionnel de Djerba,,False,143,http://www.djerbamuseum.tn/,Musee du patrimoine traditionnel de Djerba (proprietaire),https://www.google.com/maps/contrib/113241660387296752351,https://lh5.googleusercontent.com/p/AF1QipP7FjgAuGh073eUOR221NVSfQHkPOMQC0tkugp0=w408-h306-k-no,Musee,Musee,4.4,09:30-16:30,vendredi,75 650 540,"Musee du patrimoine traditionnel de Djerba, 4180 Ave Habib Thameur, Houmt Souk","ile, histoire, riche, tisser, maquettes, vie, poterie, organise",https://www.google.com/maps/place/Mus%C3%A9e+du+patrimoine+traditionnel+de+Djerba/data=!4m7!3m6!1s0x13aaa4ec288afa87:0x834c602e9912d782!8m2!3d33.8798298!4d10.8623621!16s%2Fg%2F1tht3mmq!19sChIJh_qKKOykqhMRgtcSmS5gTIM?authuser=0&hl=fr&rclk=1
ChIJITERPv64qhMRKq3cbTy8V0o,jm` yty,,False,121,,jm` yty (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPVtyo58fYQ-4wkdveKRlMu0fzMsJ6wG8LLUY_j=w408-h251-k-no,Mosquee,"Mosquee, Lieu historique",4.5,Ouvert 24h/24,,,"PV46+PPR jm` yty, Guellala","coucher de soleil, l'architecture, mer",https://www.google.com/maps/place/%D8%AC%D8%A7%D9%85%D8%B9+%D9%8A%D8%A7%D8%AA%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x13aab8fe3e113121:0x4a57bc3c6ddcad2a!8m2!3d33.7068523!4d10.8617533!16s%2Fg%2F12ht6ygg6!19sChIJITERPv64qhMRKq3cbTy8V0o?authuser=0&hl=fr&rclk=1
ChIJR1qXP2mXqhMRlGbja3NVx44,Djerba Explore Village,,False,31,https://www.djerbaexplore.com/les-crocodiles/,Djerba Explore Village (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN_EP-0Qfb4vI8dXfJki0GKimL26AcxQqkb0ePK=w408-h306-k-no,Musee du patrimoine,Musee du patrimoine,4.5,,,,"R29V+GMM Djerba Explore Village, Djerba Midun",,https://www.google.com/maps/place/Djerba+Explore+Village/data=!4m7!3m6!1s0x13aa97693f975a47:0x8ec755736be36694!8m2!3d33.8188293!4d11.0441763!16s%2Fg%2F11d_t22m77!19sChIJR1qXP2mXqhMRlGbja3NVx44?authuser=0&hl=fr&rclk=1
ChIJZ_svtZS5qhMRDC4c4hfzn68,Biggest jar in the world,,False,8,https://djerbaguide.blogspot.com/,Biggest jar in the world (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6WSoxtIfDP3XxTEcP0ToV3OduQLWCMha4lI6q=w408-h544-k-no,Attraction touristique,Attraction touristique,4.5,,,24 325 323,"PVH4+9H8 Biggest jar in the world, Guellala",,https://www.google.com/maps/place/Biggest+jar+in+the+world/data=!4m7!3m6!1s0x13aab994b52ffb67:0xaf9ff317e21c2e0c!8m2!3d33.7284202!4d10.8564458!16s%2Fg%2F11nckvd5ch!19sChIJZ_svtZS5qhMRDC4c4hfzn68?authuser=0&hl=fr&rclk=1
