place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJb5J_E280_RIRgRyztXigv24,Musee de la Monnaie,,False,83,,Musee de la Monnaie (proprietaire),https://www.google.com/maps/contrib/104211581713052996306,https://lh5.googleusercontent.com/p/AF1QipOXml2FNO-uEHpPRKhHQysupFpB_NfvFyyTYMZf=w426-h240-k-no,Musee,"Musee, Attraction touristique",4.5,09:30-16:30,lundi,71 122 563,"Musee de la Monnaie, Ave Mohamed V, Tunis","l'histoire, collection, numismatique, pieces, billets",https://www.google.com/maps/place/Mus%C3%A9e+de+la+Monnaie/data=!4m7!3m6!1s0x12fd346f137f926f:0x6ebfa078b5b31c81!8m2!3d36.8046526!4d10.1853425!16s%2Fg%2F122cc12n!19sChIJb5J_E280_RIRgRyztXigv24?authuser=0&hl=fr&rclk=1
ChIJVVWVVAo0_RIRUdAAFaw-89w,Tourbet El Bey: The Royal Mausoleum,,False,83,,Tourbet El Bey: The Royal Mausoleum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrmJxyQW0ewJYflHN4Vxvbcf9Dwb5YfqbBwTT1=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.3,08:30-15:30,dimanche,,"Tourbet El Bey: The Royal Mausoleum, 7 Rue du Chateau, Tunis","histoire, tombes, monument, pays",https://www.google.com/maps/place/Tourbet+El+Bey:+The+Royal+Mausoleum/data=!4m7!3m6!1s0x12fd340a54955555:0xdcf33eac1500d051!8m2!3d36.7936528!4d10.1730395!16s%2Fg%2F1228rr61!19sChIJVVWVVAo0_RIRUdAAFaw-89w?authuser=0&hl=fr&rclk=1
ChIJU1NuO4oz_RIRoU_g2ohs9j0,Palais Kheireddine - Musee de la ville de Tunis,,False,40,,Palais Kheireddine - Musee de la ville de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmIoHzDV3bo3gvj-WFs7LSupZyv4WR0YQEo7QA=w408-h271-k-no,Musee,"Musee, Attraction touristique",4.2,10:00-18:00,dimanche,71 571 198,"R529+JC3 Palais Kheireddine - Musee de la ville de Tunis, Rue Du Tribunal, Tunis",arts,https://www.google.com/maps/place/Palais+Kheireddine+-+Mus%C3%A9e+de+la+ville+de+Tunis/data=!4m7!3m6!1s0x12fd338a3b6e5353:0x3df66c88dae04fa1!8m2!3d36.801507!4d10.1685555!16s%2Fg%2F11c1g6gs19!19sChIJU1NuO4oz_RIRoU_g2ohs9j0?authuser=0&hl=fr&rclk=1
ChIJDSFcO4oz_RIRi18clIm5cWg,Musee de la Ville de Tunis - mtHf mdyn@ twns,,False,18,http://www.commune-tunis.gov.tn/,Musee de la Ville de Tunis - mtHf mdyn@ twns (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM-UG1Wepz_xrsYbskV9BSfl14Vbv7415sMmfV6=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.1,,,71 561 780,"R529+JC3 Musee de la Ville de Tunis - mtHf mdyn@ twns, Tunis",,https://www.google.com/maps/place/Mus%C3%A9e+de+la+Ville+de+Tunis+-+%D9%85%D8%AA%D8%AD%D9%81+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%AA%D9%88%D9%86%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x12fd338a3b5c210d:0x6871b989941c5f8b!8m2!3d36.8015119!4d10.1685574!16s%2Fg%2F11hz_zbb9g!19sChIJDSFcO4oz_RIRi18clIm5cWg?authuser=0&hl=fr&rclk=1
ChIJXQ2rUfMz_RIRAfWPRl1n7Jc,Musee national de l'Education,,False,14,,Musee national de l'Education (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP4WaTy0OtSeous0hsbEW0rlQ_XH9QHDWTCdfkN=w408-h544-k-no,Musee,"Musee, Attraction touristique",4.1,09:00-17:00,dimanche,71 573 149,"Musee national de l'Education, 130, 1006, 130 Bd du 9 Avril 1938, Tunis",informations,https://www.google.com/maps/place/Mus%C3%A9e+national+de+l%27%C3%89ducation/data=!4m7!3m6!1s0x12fd33f351ab0d5d:0x97ec675d468ff501!8m2!3d36.8011861!4d10.1643557!16s%2Fg%2F11f3n1xlj5!19sChIJXQ2rUfMz_RIRAfWPRl1n7Jc?authuser=0&hl=fr&rclk=1
ChIJIZjX6Ao0_RIRnZrs1ILXkM0,House of Ibn Khaldoun,,False,14,,House of Ibn Khaldoun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOU7kctGqEsvvJSdwC_iqdnmFbvZalVuDPthXQ1=w408-h306-k-no,Musee,Musee,4.4,09:00-17:00,"samedi, dimanche",,"Q5WC+2W2 House of Ibn Khaldoun, Rue Tourbet El Bey, Tunis",,https://www.google.com/maps/place/House+of+Ibn+Khaldoun/data=!4m7!3m6!1s0x12fd340ae8d79821:0xcd90d782d4ec9a9d!8m2!3d36.7950059!4d10.1722599!16s%2Fg%2F11cs16xp0w!19sChIJIZjX6Ao0_RIRnZrs1ILXkM0?authuser=0&hl=fr&rclk=1
ChIJkZDJBBIz_RIR1vhP8KA85VU,Talan Expo,,False,8,,Talan Expo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOKSjCJxj8b2mIeAbpaExMTeU8eM4tuP81UZ8D4=w426-h240-k-no,Musee,Musee,4.9,,,,"Talan Expo, Residence BASMA, P5, Denden 2011",,https://www.google.com/maps/place/Talan+Expo/data=!4m7!3m6!1s0x12fd331204c99091:0x55e53ca0f04ff8d6!8m2!3d36.7998005!4d10.1153918!16s%2Fg%2F11vdvs69b_!19sChIJkZDJBBIz_RIR1vhP8KA85VU?authuser=0&hl=fr&rclk=1
ChIJPYXrlvMz_RIR_H9dbXrvWe4,National Center for Artistic Ceramics,,False,8,,National Center for Artistic Ceramics (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNhW8P6zKY0Qm7PA0FgfIKt4nTqzRCCNLN2Qzfx=w408-h277-k-no,Musee,Musee,4.1,,,,"Q5V7+GCG National Center for Artistic Ceramics, Bab Mnara, twns,, Tunis",,https://www.google.com/maps/place/National+Center+for+Artistic+Ceramics/data=!4m7!3m6!1s0x12fd33f396eb853d:0xee59ef7a6d5d7ffc!8m2!3d36.7938141!4d10.1635659!16s%2Fg%2F11bc58wmw1!19sChIJPYXrlvMz_RIR_H9dbXrvWe4?authuser=0&hl=fr&rclk=1
