place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJY_l1I5_8ARMRxV1SBbx3ptw,Musee Archeologique d'El Djem,Musee archeologique installe dans batiment de style villa romaine avec objets locaux et ruines a proximite.,False,1137,,Musee Archeologique d'El Djem (proprietaire),https://www.google.com/maps/contrib/108474809483360220938,https://lh5.googleusercontent.com/p/AF1QipMp3pFdmdoKGFHRcdutLwveHUv1LPRw-AGaPHRT=w408-h306-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.7,08:00-18:30,,,"Musee Archeologique d'El Djem, Al-jamm","mosaiques, amphitheatre, ruines, villa romaine, maison, marche, billet, sol, riche, oeuvres",https://www.google.com/maps/place/Mus%C3%A9e+Arch%C3%A9ologique+d%27El+Djem/data=!4m7!3m6!1s0x1301fc9f2375f963:0xdca677bc05525dc5!8m2!3d35.2896015!4d10.7055818!16s%2Fm%2F05b3xh5!19sChIJY_l1I5_8ARMRxV1SBbx3ptw?authuser=0&hl=fr&rclk=1
ChIJM3ZhrHp1AhMRgZVi5NAE_Bg,Musee Dar Essid,"Art regional, objets anciens et expositions historiques sur la vie quotidienne dans un celebre palais.",False,216,,Musee Dar Essid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqU1jkLUlwl5-iR24tYTx25xUQ4xE92oDpLGYV=w408-h306-k-no,Musee d'art,"Musee d'art, Musee d'histoire locale, Musee, Attraction touristique",4.4,10:00-18:00,,73 220 529,"Musee Dar Essid, Boulevard Yahia Ibn Omar, 65 Rue des Remparts, Sousse","tour, demeure, vie quotidienne, langage, toits, vue, prix, porte, terrasse, interieur",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Essid/data=!4m7!3m6!1s0x1302757aac617633:0x18fc04d0e4629581!8m2!3d35.827142!4d10.6355029!16s%2Fg%2F12lnj4jw0!19sChIJM3ZhrHp1AhMRgZVi5NAE_Bg?authuser=0&hl=fr&rclk=1
ChIJHRoMTBRK-RIRPkSOUQsP91w,Forum of Sufetula,,False,131,,Forum of Sufetula (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcv1hEB_tCDFueUa3Bl1H29OuxUPeslURhOhY9=w427-h240-k-no,Site historique,"Site historique, Attraction touristique",4.7,Ouvert 24h/24,,27 793 519,"64R9+5VG Forum of Sufetula, Sbeitla","ruines, site archeologique, touristique, temple, antiques",https://www.google.com/maps/place/Forum+of+Sufetula/data=!4m7!3m6!1s0x12f94a144c0c1a1d:0x5cf70f0b518e443e!8m2!3d35.2404449!4d9.1197011!16s%2Fg%2F11bzwnkhxt!19sChIJHRoMTBRK-RIRPkSOUQsP91w?authuser=0&hl=fr&rclk=1
ChIJj1Ym40ek-xIRNGpBQERSIwo,Musee des arts et traditions populaires du Kef,,False,62,,Musee des arts et traditions populaires du Kef (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPB9ro6mJjHF7-XyLqO2pm6ZDmVPYDrE3ZOvFLo=w408-h272-k-no,Musee,"Musee, Attraction touristique",4.6,,,,"5PM8+43C Musee des arts et traditions populaires du Kef, Rue de la Kasbah, Le Kef",vie,https://www.google.com/maps/place/Mus%C3%A9e+des+arts+et+traditions+populaires+du+Kef/data=!4m7!3m6!1s0x12fba447e326568f:0xa23524440416a34!8m2!3d36.1828035!4d8.7151304!16s%2Fg%2F11bxjdjz7c!19sChIJj1Ym40ek-xIRNGpBQERSIwo?authuser=0&hl=fr&rclk=1
ChIJrzw2LAMU-xIRG4RqGWXdhv8,Baths of Julia Memmia,,False,34,,Baths of Julia Memmia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPB3pqlcjqyErXesX6eL7fo8YTFYSAa1YvJphB4=w408-h306-k-no,Site historique,"Site historique, Musee, Attraction touristique",4.4,08:30-17:30,,21 944 773,"Baths of Julia Memmia, C 59",site archeologique,https://www.google.com/maps/place/Baths+of+Julia+Memmia/data=!4m7!3m6!1s0x12fb14032c363caf:0xff86dd65196a841b!8m2!3d36.5576728!4d8.7541254!16s%2Fm%2F05b5_01!19sChIJrzw2LAMU-xIRG4RqGWXdhv8?authuser=0&hl=fr&rclk=1
ChIJ_3AN_WUK_BIRpAMLSYZh21A,Musee Makthar,,False,31,,Musee Makthar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMhMHoHYrPfJgkuInGQV6OaJ41vdADCZwxY6x-p=w408-h544-k-no,Musee,"Musee, Attraction touristique",4.1,08:00-18:30,lundi,,"V644+CH3 Musee Makthar, Maktar",site archeologique,https://www.google.com/maps/place/Mus%C3%A9e+Makthar/data=!4m7!3m6!1s0x12fc0a65fd0d70ff:0x50db6186490b03a4!8m2!3d35.8560005!4d9.2064249!16s%2Fg%2F121xkdr3!19sChIJ_3AN_WUK_BIRpAMLSYZh21A?authuser=0&hl=fr&rclk=1
ChIJNaBkKfojAhMRlB1EQxQS6h8,Musee de Mahdia,,False,27,,Musee de Mahdia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnpj2b90YZkZQkvNbUlgJdqPQRzYWnPwNHIF-M=w408-h317-k-no,Musee,"Musee, Lieu historique",4.4,,,73 690 535,"G339+FCP Musee de Mahdia, Mtir, rue Sidi Jaber, Mahdia","archeologique, mosaiques",https://www.google.com/maps/place/Muse%C3%A9+de+Mahdia/data=!4m7!3m6!1s0x130223fa2964a035:0x1fea121443441d94!8m2!3d35.5037125!4d11.0685781!16s%2Fm%2F0130qfpq!19sChIJNaBkKfojAhMRlB1EQxQS6h8?authuser=0&hl=fr&rclk=1
ChIJ7QDQnrud_RIRJN5T0_BY7Ig,Enfidha Archaeological Museum,,False,23,http://houssembazmi.blogspot.fr/,Enfidha Archaeological Museum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZunmJ1OCmoJrKR_stDs-h-hhK4hIJGv_V9WsW=w408-h306-k-no,Musee archeologique,Musee archeologique,4.1,09:00-17:00,dimanche,,"49PH+3WR Enfidha Archaeological Museum, Enfidha",mosaiques,https://www.google.com/maps/place/Enfidha+Archaeological+Museum/data=!4m7!3m6!1s0x12fd9dbb9ed000ed:0x88ec58f0d353de24!8m2!3d36.1352417!4d10.3797662!16s%2Fg%2F12353mwp!19sChIJ7QDQnrud_RIRJN5T0_BY7Ig?authuser=0&hl=fr&rclk=1
ChIJxy_JdRNK-RIRNfBM2RCGGOk,Sbeitla Archaeological Museum,,False,20,,Sbeitla Archaeological Museum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNdQNsLXwm3BVpjfwsIp6XpmsPighdauVUXz5cK=w408-h544-k-no,Musee archeologique,Musee archeologique,4.5,,,,"64PC+P96 Sbeitla Archaeological Museum, Subaytilah",,https://www.google.com/maps/place/Sbeitla+Archaeological+Museum/data=!4m7!3m6!1s0x12f94a1375c92fc7:0xe9188610d94cf035!8m2!3d35.2367948!4d9.1208925!16s%2Fg%2F11btx0lt8f!19sChIJxy_JdRNK-RIRNfBM2RCGGOk?authuser=0&hl=fr&rclk=1
ChIJmTJQ3tSl-xIRN_YuOFroAOk,Kasbah Le Kef,,False,18,,Kasbah Le Kef (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPUMNrTkGPqJWJL7Defhe1XwyoyYU8O5qwgD1od=w408-h543-k-no,Musee,"Musee, Forteresse, Lieu historique",4.8,,,,"Kasbah Le Kef, La Kasbah, Le Kef",,https://www.google.com/maps/place/Kasbah+Le+Kef/data=!4m7!3m6!1s0x12fba5d4de503299:0xe900e85a382ef637!8m2!3d36.1821297!4d8.7127609!16s%2Fg%2F11tm_5wbbr!19sChIJmTJQ3tSl-xIRN_YuOFroAOk?authuser=0&hl=fr&rclk=1
