place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJNZpBhXN1AhMRwBmaKfis3fU,Ribat de Sousse,"Construit au VIIIe siecle et agrandi en 821, ce petit fort comprend une tour offrant une vue panoramique.",False,3223,,Ribat de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOWsD599a4gXTuYabBwmaeZRQEOSgsmG1W70nMR=w408-h306-k-no,Site historique,"Site historique, Lieu historique, Musee d'histoire locale, Monument, Attraction touristique",4.4,08:00-17:00,,,"RJHQ+3G7 Ribat de Sousse, Sousse","marche, mosquee, bazars, souvenirs, marchander, port, vendeur, viiie siecle, kasbah",https://www.google.com/maps/place/Ribat+de+Sousse/data=!4m7!3m6!1s0x1302757385419a35:0xf5ddacf8299a19c0!8m2!3d35.827671!4d10.6387949!16s%2Fg%2F121rcp8l!19sChIJNZpBhXN1AhMRwBmaKfis3fU?authuser=0&hl=fr&rclk=1
ChIJHzgEBTBtAhMRqyURTru9pFM,Ribat de Monastir,Immense fort cotier du VIIIe siecle bien conserve et abritant aujourd'hui le musee d'Art islamique.,False,2204,,Ribat de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZF3SFW5N_4PyjWhsF7iV8a55W4OH1rzx0bePe=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Musee, Attraction touristique",4.6,08:30-17:30,,42 223 476,"QRGM+F6M Ribat de Monastir, Rte de la Falaise, Monastir","tour, fortification, especes, mer, dinar, mosquee, musulmans, habib bourguiba, mausolee, viiie siecle",https://www.google.com/maps/place/Ribat+de+Monastir/data=!4m7!3m6!1s0x13026d300504381f:0x53a4bdbb4e1125ab!8m2!3d35.7762108!4d10.8330383!16s%2Fg%2F121djqp8!19sChIJHzgEBTBtAhMRqyURTru9pFM?authuser=0&hl=fr&rclk=1
ChIJY_l1I5_8ARMRxV1SBbx3ptw,Musee Archeologique d'El Djem,Musee archeologique installe dans batiment de style villa romaine avec objets locaux et ruines a proximite.,False,1137,,Musee Archeologique d'El Djem (proprietaire),https://www.google.com/maps/contrib/108474809483360220938,https://lh5.googleusercontent.com/p/AF1QipMp3pFdmdoKGFHRcdutLwveHUv1LPRw-AGaPHRT=w408-h306-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.7,08:00-18:30,,,"Musee Archeologique d'El Djem, Al-jamm","mosaiques, amphitheatre, ruines, villa romaine, maison, marche, billet, sol, riche, oeuvres",https://www.google.com/maps/place/Mus%C3%A9e+Arch%C3%A9ologique+d%27El+Djem/data=!4m7!3m6!1s0x1301fc9f2375f963:0xdca677bc05525dc5!8m2!3d35.2896015!4d10.7055818!16s%2Fm%2F05b3xh5!19sChIJY_l1I5_8ARMRxV1SBbx3ptw?authuser=0&hl=fr&rclk=1
ChIJGV2l9TNtAhMR1_ZRALvMa64,Mausolee Habib Bourguiba,"Mausolee opulent avec minarets et dome dore, ou repose le president Habib Bourguiba.",False,1132,,Mausolee Habib Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPSBGgo1_-ja_QNacG6VcaxjyJbS8aQ_nhdY1pv=w408-h306-k-no,Tombeau,"Tombeau, Lieu historique, Musee, Attraction touristique",4.6,09:00-16:30,,,"Mausolee Habib Bourguiba, 11 shr` lshhd, jml","president, architecture, histoire, pays, monument, espace, marbre, ribat, independance, objets",https://www.google.com/maps/place/Mausol%C3%A9e+Habib+Bourguiba/data=!4m7!3m6!1s0x13026d33f5a55d19:0xae6bccbb0051f6d7!8m2!3d35.7778246!4d10.8283824!16s%2Fg%2F1226g5hq!19sChIJGV2l9TNtAhMR1_ZRALvMa64?authuser=0&hl=fr&rclk=1
ChIJQ5uiFG51AhMRn9KSibxecpU,Musee archeologique de Sousse,"Petit musee dans une casbah historique presentant des mosaiques, des reliques et des objets anciens.",False,816,,Musee archeologique de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5Em_pgGSxstPF-oHXg-TKSunyeEZ07gtgwPQy=w408-h272-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.6,09:00-17:00,lundi,73 219 011,"RJFP+644 Musee archeologique de Sousse, Rue Abou Kacem Echabi, Sousse","mosaiques, antique, prix, collection, statues, valeur, baptistere, dinar, jardin, poterie",https://www.google.com/maps/place/Mus%C3%A9e+arch%C3%A9ologique+de+Sousse/data=!4m7!3m6!1s0x1302756e14a29b43:0x95725ebc8992d29f!8m2!3d35.8230114!4d10.6353131!16s%2Fm%2F05b05cn!19sChIJQ5uiFG51AhMRn9KSibxecpU?authuser=0&hl=fr&rclk=1
ChIJ1TeVZnN1AhMRcCHowumDXZk,Musee magic eye 3D,,False,383,,Musee magic eye 3D (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM9WeVZfAhQh0UDPuNijaiyJr5RQpYJ-SJGrOuk=w408-h305-k-no,Musee,"Musee, Attraction touristique",4.3,09:00-19:00,,23 635 000,"RJHR+36J Musee magic eye 3D, Sousse","enfants, famille, photo, experience, prix, application, image, adultes, a telecharger, idee",https://www.google.com/maps/place/Mus%C3%A9e+magic+eye+3D/data=!4m7!3m6!1s0x13027573669537d5:0x995d83e9c2e82170!8m2!3d35.82771!4d10.6405059!16s%2Fg%2F11gdjprcvb!19sChIJ1TeVZnN1AhMRcCHowumDXZk?authuser=0&hl=fr&rclk=1
ChIJofj8XrNyAhMReB_1tnqU5ZY,Palais Presidentiel de Bourguiba,,False,277,,Palais Presidentiel de Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNrPAltitzWU6QErQHZpOzlfZ7Q-OMEJngBozdq=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.2,09:00-16:45,lundi,,"QQHM+MMC Palais Presidentiel de Bourguiba, Monastir","l'histoire, architecture, marbre, renover, jardins, vie",https://www.google.com/maps/place/Palais+Pr%C3%A9sidentiel+de+Bourguiba/data=!4m7!3m6!1s0x130272b35efcf8a1:0x96e5947ab6f51f78!8m2!3d35.7791806!4d10.7841401!16s%2Fg%2F1269mlfj8!19sChIJofj8XrNyAhMReB_1tnqU5ZY?authuser=0&hl=fr&rclk=1
ChIJM3ZhrHp1AhMRgZVi5NAE_Bg,Musee Dar Essid,"Art regional, objets anciens et expositions historiques sur la vie quotidienne dans un celebre palais.",False,216,,Musee Dar Essid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqU1jkLUlwl5-iR24tYTx25xUQ4xE92oDpLGYV=w408-h306-k-no,Musee d'art,"Musee d'art, Musee d'histoire locale, Musee, Attraction touristique",4.4,10:00-18:00,,73 220 529,"Musee Dar Essid, Boulevard Yahia Ibn Omar, 65 Rue des Remparts, Sousse","tour, demeure, vie quotidienne, langage, toits, vue, prix, porte, terrasse, interieur",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Essid/data=!4m7!3m6!1s0x1302757aac617633:0x18fc04d0e4629581!8m2!3d35.827142!4d10.6355029!16s%2Fg%2F12lnj4jw0!19sChIJM3ZhrHp1AhMRgZVi5NAE_Bg?authuser=0&hl=fr&rclk=1
ChIJ__8_R80SAhMRTb3_-cxXq3M,Palais Des Sciences De Monastir,,False,85,http://www.psm.rnu.tn/,Palais Des Sciences De Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOLpWkw9gXZk1xZYs39CYsIOf2fxQXHiQZ_3MHG=w408-h306-k-no,Musee scientifique,Musee scientifique,4.4,08:30-17:30,"samedi, dimanche",73 463 556,"QRCM+V2F Palais Des Sciences De Monastir, Monastir",salle de conference,https://www.google.com/maps/place/Palais+Des+Sciences+De+Monastir/data=!4m7!3m6!1s0x130212cd473fffff:0x73ab57ccf9ffbd4d!8m2!3d35.7721858!4d10.8325367!16s%2Fg%2F11c60pf_dp!19sChIJ__8_R80SAhMRTb3_-cxXq3M?authuser=0&hl=fr&rclk=1
ChIJh-3PSHJ1AhMRRyW5iQqNf9s,musee El Kobba,,False,81,,musee El Kobba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPMnl24APAVuhxmsOtdr-VlAuXiRiQLrutDhMgs=w408-h306-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.2,08:00-18:00,vendredi,,"RJGQ+27P musee El Kobba, Sousse",,https://www.google.com/maps/place/mus%C3%A9e+El+Kobba/data=!4m7!3m6!1s0x1302757248cfed87:0xdb7f8d0a89b92547!8m2!3d35.8250945!4d10.6381903!16s%2Fg%2F11f3n38bw7!19sChIJh-3PSHJ1AhMRRyW5iQqNf9s?authuser=0&hl=fr&rclk=1
