place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJY_l1I5_8ARMRxV1SBbx3ptw,Musee Archeologique d'El Djem,Musee archeologique installe dans batiment de style villa romaine avec objets locaux et ruines a proximite.,False,1137,,Musee Archeologique d'El Djem (proprietaire),https://www.google.com/maps/contrib/108474809483360220938,https://lh5.googleusercontent.com/p/AF1QipMp3pFdmdoKGFHRcdutLwveHUv1LPRw-AGaPHRT=w408-h306-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.7,08:00-18:30,,,"Musee Archeologique d'El Djem, Al-jamm","mosaiques, amphitheatre, ruines, villa romaine, maison, marche, billet, sol, riche, oeuvres",https://www.google.com/maps/place/Mus%C3%A9e+Arch%C3%A9ologique+d%27El+Djem/data=!4m7!3m6!1s0x1301fc9f2375f963:0xdca677bc05525dc5!8m2!3d35.2896015!4d10.7055818!16s%2Fm%2F05b3xh5!19sChIJY_l1I5_8ARMRxV1SBbx3ptw?authuser=0&hl=fr&rclk=1
ChIJQ5uiFG51AhMRn9KSibxecpU,Musee archeologique de Sousse,"Petit musee dans une casbah historique presentant des mosaiques, des reliques et des objets anciens.",False,816,,Musee archeologique de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5Em_pgGSxstPF-oHXg-TKSunyeEZ07gtgwPQy=w408-h272-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.6,09:00-17:00,lundi,73 219 011,"RJFP+644 Musee archeologique de Sousse, Rue Abou Kacem Echabi, Sousse","mosaiques, antique, prix, collection, statues, valeur, baptistere, dinar, jardin, poterie",https://www.google.com/maps/place/Mus%C3%A9e+arch%C3%A9ologique+de+Sousse/data=!4m7!3m6!1s0x1302756e14a29b43:0x95725ebc8992d29f!8m2!3d35.8230114!4d10.6353131!16s%2Fm%2F05b05cn!19sChIJQ5uiFG51AhMRn9KSibxecpU?authuser=0&hl=fr&rclk=1
ChIJsalpd8m04hIRaduc5E7WRvk,Musee national de Carthage,Musee archeologique simple presentant des statues et des poteries decouvertes lors de fouilles dans la region.,False,581,https://carthagemagazine.com/carthage-national-museum/,Musee national de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxVDDk7o1OcIgbibckCmQ1FRYgF3AFjLqAJYW6=w408-h306-k-no,Musee d'histoire,Musee d'histoire,4.2,,,58 162 557,"V83F+7QR Musee national de Carthage, Site archeologique de Carthage","renovation, ruines, cathedrale, mosaiques, antique, site, 2026, monument, archeologiques, restauration",https://www.google.com/maps/place/Mus%C3%A9e+national+de+Carthage/data=!4m7!3m6!1s0x12e2b4c97769a9b1:0xf946d64ee49cdb69!8m2!3d36.8532268!4d10.3243991!16s%2Fm%2F05b11w2!19sChIJsalpd8m04hIRaduc5E7WRvk?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJt7k0QinAVxIRGamtcwUVeOE,Musee Dar Cherait,"Musee dans manoir restaure avec expos d'objets anciens, d'oeuvres d'art et de costumes tunisiens traditionnels.",False,442,https://m.facebook.com/darcheraittozeur/,Musee Dar Cherait (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPTM0dZvBGucoaNf6tngFBAiBGkHTcghFFoNekO=w408-h723-k-no,Musee,"Musee, Attraction touristique",4.2,08:00-22:00,,76 452 100,"W47C+769 Musee Dar Cherait, Rte Touristique, Tozeur","histoire de la tunisie, culturel, enfants, tradition, touristique, reve, prix, evolution, decor, langues",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Chera%C3%AFt/data=!4m7!3m6!1s0x1257c0294234b9b7:0xe178150573ada919!8m2!3d33.9131625!4d8.1206094!16s%2Fg%2F1223q96c!19sChIJt7k0QinAVxIRGamtcwUVeOE?authuser=0&hl=fr&rclk=1
ChIJ1TeVZnN1AhMRcCHowumDXZk,Musee magic eye 3D,,False,383,,Musee magic eye 3D (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM9WeVZfAhQh0UDPuNijaiyJr5RQpYJ-SJGrOuk=w408-h305-k-no,Musee,"Musee, Attraction touristique",4.3,09:00-19:00,,23 635 000,"RJHR+36J Musee magic eye 3D, Sousse","enfants, famille, photo, experience, prix, application, image, adultes, a telecharger, idee",https://www.google.com/maps/place/Mus%C3%A9e+magic+eye+3D/data=!4m7!3m6!1s0x13027573669537d5:0x995d83e9c2e82170!8m2!3d35.82771!4d10.6405059!16s%2Fg%2F11gdjprcvb!19sChIJ1TeVZnN1AhMRcCHowumDXZk?authuser=0&hl=fr&rclk=1
ChIJM3ZhrHp1AhMRgZVi5NAE_Bg,Musee Dar Essid,"Art regional, objets anciens et expositions historiques sur la vie quotidienne dans un celebre palais.",False,216,,Musee Dar Essid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqU1jkLUlwl5-iR24tYTx25xUQ4xE92oDpLGYV=w408-h306-k-no,Musee d'art,"Musee d'art, Musee d'histoire locale, Musee, Attraction touristique",4.4,10:00-18:00,,73 220 529,"Musee Dar Essid, Boulevard Yahia Ibn Omar, 65 Rue des Remparts, Sousse","tour, demeure, vie quotidienne, langage, toits, vue, prix, porte, terrasse, interieur",https://www.google.com/maps/place/Mus%C3%A9e+Dar+Essid/data=!4m7!3m6!1s0x1302757aac617633:0x18fc04d0e4629581!8m2!3d35.827142!4d10.6355029!16s%2Fg%2F12lnj4jw0!19sChIJM3ZhrHp1AhMRgZVi5NAE_Bg?authuser=0&hl=fr&rclk=1
ChIJ4fRNA2mXqhMR5D6yj9oBrcg,Musee Lalla Hadria,,False,203,,Musee Lalla Hadria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCa_tbRLfogovi7NkUVr8Uu4NtWcnNxrnFNcDS=w408-h274-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.6,09:00-17:00,lundi,,"R29W+W22 Musee Lalla Hadria, Djerba Midun","musulmans, culture, bijoux, vetements, l'art, parc",https://www.google.com/maps/place/Mus%C3%A9e+Lalla+Hadria/data=!4m7!3m6!1s0x13aa9769034df4e1:0xc8ad01da8fb23ee4!8m2!3d33.8197621!4d11.045031!16s%2Fg%2F11f3n36w40!19sChIJ4fRNA2mXqhMR5D6yj9oBrcg?authuser=0&hl=fr&rclk=1
ChIJh_qKKOykqhMRgtcSmS5gTIM,Musee du patrimoine traditionnel de Djerba,,False,143,http://www.djerbamuseum.tn/,Musee du patrimoine traditionnel de Djerba (proprietaire),https://www.google.com/maps/contrib/113241660387296752351,https://lh5.googleusercontent.com/p/AF1QipP7FjgAuGh073eUOR221NVSfQHkPOMQC0tkugp0=w408-h306-k-no,Musee,Musee,4.4,09:30-16:30,vendredi,75 650 540,"Musee du patrimoine traditionnel de Djerba, 4180 Ave Habib Thameur, Houmt Souk","ile, histoire, riche, tisser, maquettes, vie, poterie, organise",https://www.google.com/maps/place/Mus%C3%A9e+du+patrimoine+traditionnel+de+Djerba/data=!4m7!3m6!1s0x13aaa4ec288afa87:0x834c602e9912d782!8m2!3d33.8798298!4d10.8623621!16s%2Fg%2F1tht3mmq!19sChIJh_qKKOykqhMRgtcSmS5gTIM?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJj1Ym40ek-xIRNGpBQERSIwo,Musee des arts et traditions populaires du Kef,,False,62,,Musee des arts et traditions populaires du Kef (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPB9ro6mJjHF7-XyLqO2pm6ZDmVPYDrE3ZOvFLo=w408-h272-k-no,Musee,"Musee, Attraction touristique",4.6,,,,"5PM8+43C Musee des arts et traditions populaires du Kef, Rue de la Kasbah, Le Kef",vie,https://www.google.com/maps/place/Mus%C3%A9e+des+arts+et+traditions+populaires+du+Kef/data=!4m7!3m6!1s0x12fba447e326568f:0xa23524440416a34!8m2!3d36.1828035!4d8.7151304!16s%2Fg%2F11bxjdjz7c!19sChIJj1Ym40ek-xIRNGpBQERSIwo?authuser=0&hl=fr&rclk=1
ChIJWxApkXLM-xIRYrJAvWcIghM,Ta'D'Art,,False,11,,Ta'D'Art (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOn7mgISf_8KeYK68rhngfsKyyoCPmfATblcw0j=w408-h306-k-no,Parc,Parc,4.5,08:00-00:00,,26 241 040,"VG6X+P9J Ta'D'Art, Tajerouine",,https://www.google.com/maps/place/Ta%27D%27Art/data=!4m7!3m6!1s0x12fbcc729129105b:0x13820867bd40b262!8m2!3d35.8618419!4d8.5483829!16s%2Fg%2F11dy_mn1hf!19sChIJWxApkXLM-xIRYrJAvWcIghM?authuser=0&hl=fr&rclk=1
ChIJ9Q63QADP-xIRrz2DNlQp50g,lmtHf ljywlwjy wlmnjmy bljryS@,,False,1,,lmtHf ljywlwjy wlmnjmy bljryS@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM5LRvrnkLKZ_s5Mu0ZZDwaHZp8fO7B9ulg_-TT=w408-h723-k-no,Musee,Musee,4,,,,"RJQM+WPM lmtHf ljywlwjy wlmnjmy bljryS@, Al-Jarissah",,https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%AC%D9%8A%D9%88%D9%84%D9%88%D8%AC%D9%8A+%D9%88%D8%A7%D9%84%D9%85%D9%86%D8%AC%D9%85%D9%8A+%D8%A8%D8%A7%D9%84%D8%AC%D8%B1%D9%8A%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fbcf0040b70ef5:0x48e7295436833daf!8m2!3d35.8398334!4d8.6342913!16s%2Fg%2F11ld64cj8r!19sChIJ9Q63QADP-xIRrz2DNlQp50g?authuser=0&hl=fr&rclk=1
ChIJqafFxqml-xIRgfXDblXjy90,Circuit culturel et touristique de la medina du kef - Museum Lab,,False,1,https://museumlab.tn/,Circuit culturel et touristique de la medina du kef - Museum Lab (proprietaire),https://www.google.com/maps/contrib/111859237642939519626,https://lh5.googleusercontent.com/p/AF1QipM7G2KQvS3gKoAswp--W67xMNoZo5_l4k7t0tkF=w408-h306-k-no,Attraction touristique,Attraction touristique,5,09:00-17:00,"samedi, dimanche",20 276 643,"Circuit culturel et touristique de la medina du kef - Museum Lab, P17, Le Kef",,https://www.google.com/maps/place/Circuit+culturel+et+touristique+de+la+m%C3%A9dina+du+kef+-+Museum+Lab/data=!4m7!3m6!1s0x12fba5a9c6c5a7a9:0xddcbe3556ec3f581!8m2!3d36.181303!4d8.7197247!16s%2Fg%2F11sh082zwh!19sChIJqafFxqml-xIRgfXDblXjy90?authuser=0&hl=fr&rclk=1
