place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJsalpd8m04hIRaduc5E7WRvk,Musee national de Carthage,Musee archeologique simple presentant des statues et des poteries decouvertes lors de fouilles dans la region.,False,581,https://carthagemagazine.com/carthage-national-museum/,Musee national de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxVDDk7o1OcIgbibckCmQ1FRYgF3AFjLqAJYW6=w408-h306-k-no,Musee d'histoire,Musee d'histoire,4.2,,,58 162 557,"V83F+7QR Musee national de Carthage, Site archeologique de Carthage","renovation, ruines, cathedrale, mosaiques, antique, site, 2026, monument, archeologiques, restauration",https://www.google.com/maps/place/Mus%C3%A9e+national+de+Carthage/data=!4m7!3m6!1s0x12e2b4c97769a9b1:0xf946d64ee49cdb69!8m2!3d36.8532268!4d10.3243991!16s%2Fm%2F05b11w2!19sChIJsalpd8m04hIRaduc5E7WRvk?authuser=0&hl=fr&rclk=1
ChIJ9XSAvzVL_RIRDQxtkSXRWE0,Musee oceanographique Dar El Hout,Centre de recherche marine et musee historique comprenant des aquariums et proposant des expositions d'histoire naturelle.,False,268,http://www.instm.agrinet.tn/,Musee oceanographique Dar El Hout (proprietaire),https://www.google.com/maps/contrib/115354436011996267714,https://lh5.googleusercontent.com/p/AF1QipOxDrsIPDI5Uo1hf7ENxo3_okcUWlUAhbC_-xNN=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.1,10:00-18:00,lundi,71 730 420,"Musee oceanographique Dar El Hout, Salammbo","poissons, enfants, 1924, especes, riche, 20eme siecle, je, lundi, batiment, adultes",https://www.google.com/maps/place/Mus%C3%A9e+oc%C3%A9anographique+Dar+El+Hout/data=!4m7!3m6!1s0x12fd4b35bf8074f5:0x4d58d125916d0c0d!8m2!3d36.8433091!4d10.3258019!16s%2Fg%2F12156bjs!19sChIJ9XSAvzVL_RIRDQxtkSXRWE0?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJb5J_E280_RIRgRyztXigv24,Musee de la Monnaie,,False,83,,Musee de la Monnaie (proprietaire),https://www.google.com/maps/contrib/104211581713052996306,https://lh5.googleusercontent.com/p/AF1QipOXml2FNO-uEHpPRKhHQysupFpB_NfvFyyTYMZf=w426-h240-k-no,Musee,"Musee, Attraction touristique",4.5,09:30-16:30,lundi,71 122 563,"Musee de la Monnaie, Ave Mohamed V, Tunis","l'histoire, collection, numismatique, pieces, billets",https://www.google.com/maps/place/Mus%C3%A9e+de+la+Monnaie/data=!4m7!3m6!1s0x12fd346f137f926f:0x6ebfa078b5b31c81!8m2!3d36.8046526!4d10.1853425!16s%2Fg%2F122cc12n!19sChIJb5J_E280_RIRgRyztXigv24?authuser=0&hl=fr&rclk=1
ChIJe48BnGGz4hIR-AY8TmXlTp4,Dar Alaia,,False,15,,Dar Alaia (proprietaire),https://www.google.com/maps/contrib/106811247939451223609,https://lh5.googleusercontent.com/p/AF1QipNL07lpZgXTc8eZU8aHcyykkm8w3l_quVU_cX4O=w408-h725-k-no,Musee d'art moderne,"Musee d'art moderne, Galerie d'art",4.5,11:00-17:00,lundi,21 495 939,"Dar Alaia, Rue Hedi Zarrouk, Sidi bou said 2026",,https://www.google.com/maps/place/Dar+Ala%C3%AFa/data=!4m7!3m6!1s0x12e2b3619c018f7b:0x9e4ee5654e3c06f8!8m2!3d36.8701936!4d10.3525189!16s%2Fg%2F11hbn6635w!19sChIJe48BnGGz4hIR-AY8TmXlTp4?authuser=0&hl=fr&rclk=1
ChIJp9ipRS1Y_RIRmtF0yiYMZQA,Musee du Marabout Sidi-Jedidi,,False,12,,Musee du Marabout Sidi-Jedidi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNHDag8fWjsNYW1n97bJ921FCF9p4uKXyDrYtef=w408-h726-k-no,Musee,Musee,4.3,,,,"JHVG+V5X Musee du Marabout Sidi-Jedidi, Zaouiet Djedidi",,https://www.google.com/maps/place/Mus%C3%A9e+du+Marabout+Sidi-Jedidi/data=!4m7!3m6!1s0x12fd582d45a9d8a7:0x650c26ca74d19a!8m2!3d36.6447476!4d10.5754797!16s%2Fg%2F1w4nnlh4!19sChIJp9ipRS1Y_RIRmtF0yiYMZQA?authuser=0&hl=fr&rclk=1
ChIJyzewgl1R_RIRtJq_yw_04AE,dar el conte,,False,5,,dar el conte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMiyqMpoZJQmrEsQRTqFE_MzBf3FiS-oRxxN20A=w408-h306-k-no,Musee,Musee,4,,,,"PFRP+25Q dar el conte, Sulayman",,https://www.google.com/maps/place/dar+el+conte/data=!4m7!3m6!1s0x12fd515d82b037cb:0x1e0f40fcbbf9ab4!8m2!3d36.7400841!4d10.4854729!16s%2Fg%2F11f9ytljsl!19sChIJyzewgl1R_RIRtJq_yw_04AE?authuser=0&hl=fr&rclk=1
ChIJZ5F9RB1P_RIRXnVRZp-ZdiY,Memorial Aux Victimes D'Octobre 1985,,False,3,,Memorial Aux Victimes D'Octobre 1985 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPPPxQm_3yG7s7XCNaiIKcX0-0wNb4NjYVrCvbn=w408-h544-k-no,Musee,Musee,5,,,,"P98C+R4H Memorial Aux Victimes D'Octobre 1985, shr` shhd Gr@ 'ktwbr1985,, Hammam-Lif",,https://www.google.com/maps/place/M%C3%A9morial+Aux+Victimes+D%27Octobre+1985/data=!4m7!3m6!1s0x12fd4f1d447d9167:0x2676999f6651755e!8m2!3d36.7170674!4d10.3703548!16s%2Fg%2F11h51c7jv8!19sChIJZ5F9RB1P_RIRXnVRZp-ZdiY?authuser=0&hl=fr&rclk=1
ChIJseg00yWxAhMRtQusiHnMsFY,Oum Dhouil Al Zaouia,,False,3,,Oum Dhouil Al Zaouia (proprietaire),,,Musee,Musee,4.3,,,,"PR7H+5V6 Oum Dhouil Al Zaouia, Qum Dhouil",,https://www.google.com/maps/place/Oum+Dhouil+Al+Zaouia/data=!4m7!3m6!1s0x1302b125d334e8b1:0x56b0cc7988ac0bb5!8m2!3d36.7129039!4d10.8296269!16s%2Fg%2F11h_d2trsx!19sChIJseg00yWxAhMRtQusiHnMsFY?authuser=0&hl=fr&rclk=1
