place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJQ5uiFG51AhMRn9KSibxecpU,Musee archeologique de Sousse,"Petit musee dans une casbah historique presentant des mosaiques, des reliques et des objets anciens.",False,816,,Musee archeologique de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5Em_pgGSxstPF-oHXg-TKSunyeEZ07gtgwPQy=w408-h272-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.6,09:00-17:00,lundi,73 219 011,"RJFP+644 Musee archeologique de Sousse, Rue Abou Kacem Echabi, Sousse","mosaiques, antique, prix, collection, statues, valeur, baptistere, dinar, jardin, poterie",https://www.google.com/maps/place/Mus%C3%A9e+arch%C3%A9ologique+de+Sousse/data=!4m7!3m6!1s0x1302756e14a29b43:0x95725ebc8992d29f!8m2!3d35.8230114!4d10.6353131!16s%2Fm%2F05b05cn!19sChIJQ5uiFG51AhMRn9KSibxecpU?authuser=0&hl=fr&rclk=1
ChIJz0MXd5604hIRtr7S4vP3MJ0,Dar El Annabi,,False,538,,Dar El Annabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjvlhCuH3NyyQOfT9DRkmkuTbBhQFJaYCfql1J=w408-h306-k-no,Site historique,"Site historique, Musee du patrimoine",4.7,09:00-18:00,,27 913 088,"Dar El Annabi, 48 Rue Hedi Zarrouk, Site archeologique de Carthage","terrasses, prix, famille, dinar, architecture, vie, maison-musee, passe, jardin, culturelle",https://www.google.com/maps/place/Dar+El+Annabi/data=!4m7!3m6!1s0x12e2b49e771743cf:0x9d30f7f3e2d2beb6!8m2!3d36.8709673!4d10.3474229!16s%2Fg%2F11f3w6l6p1!19sChIJz0MXd5604hIRtr7S4vP3MJ0?authuser=0&hl=fr&rclk=1
ChIJ_WPn3rk0_RIRkMqMTJNjotw,Tunis Science City,"Musee scientifique anime avec un planetarium, proposant des expositions interactives permanentes et temporaires.",False,527,http://www.cst.rnu.tn/,Tunis Science City (proprietaire),https://www.google.com/maps/contrib/103671301845435033444,https://lh5.googleusercontent.com/p/AF1QipP0k4vGhfj395j1WXl37xx_fw8r3_3oAMhkTEGC=w426-h240-k-no,Musee scientifique,"Musee scientifique, Espace Internet, Attraction touristique",4.2,09:00-17:00,lundi,71 766 000,"Tunis Science City, Rue La Cite des Sciences a Tunis, Tunis 1082","enfants, scientifiques, culture, espace, astronomie, divertir, adultes, maintenance, eclipse lunaire, bibliotheque",https://www.google.com/maps/place/Tunis+Science+City/data=!4m7!3m6!1s0x12fd34b9dee763fd:0xdca263934c8cca90!8m2!3d36.8495842!4d10.1885171!16s%2Fg%2F122r2qb7!19sChIJ_WPn3rk0_RIRkMqMTJNjotw?authuser=0&hl=fr&rclk=1
ChIJ9XSAvzVL_RIRDQxtkSXRWE0,Musee oceanographique Dar El Hout,Centre de recherche marine et musee historique comprenant des aquariums et proposant des expositions d'histoire naturelle.,False,268,http://www.instm.agrinet.tn/,Musee oceanographique Dar El Hout (proprietaire),https://www.google.com/maps/contrib/115354436011996267714,https://lh5.googleusercontent.com/p/AF1QipOxDrsIPDI5Uo1hf7ENxo3_okcUWlUAhbC_-xNN=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.1,10:00-18:00,lundi,71 730 420,"Musee oceanographique Dar El Hout, Salammbo","poissons, enfants, 1924, especes, riche, 20eme siecle, je, lundi, batiment, adultes",https://www.google.com/maps/place/Mus%C3%A9e+oc%C3%A9anographique+Dar+El+Hout/data=!4m7!3m6!1s0x12fd4b35bf8074f5:0x4d58d125916d0c0d!8m2!3d36.8433091!4d10.3258019!16s%2Fg%2F12156bjs!19sChIJ9XSAvzVL_RIRDQxtkSXRWE0?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJb5J_E280_RIRgRyztXigv24,Musee de la Monnaie,,False,83,,Musee de la Monnaie (proprietaire),https://www.google.com/maps/contrib/104211581713052996306,https://lh5.googleusercontent.com/p/AF1QipOXml2FNO-uEHpPRKhHQysupFpB_NfvFyyTYMZf=w426-h240-k-no,Musee,"Musee, Attraction touristique",4.5,09:30-16:30,lundi,71 122 563,"Musee de la Monnaie, Ave Mohamed V, Tunis","l'histoire, collection, numismatique, pieces, billets",https://www.google.com/maps/place/Mus%C3%A9e+de+la+Monnaie/data=!4m7!3m6!1s0x12fd346f137f926f:0x6ebfa078b5b31c81!8m2!3d36.8046526!4d10.1853425!16s%2Fg%2F122cc12n!19sChIJb5J_E280_RIRgRyztXigv24?authuser=0&hl=fr&rclk=1
ChIJrzw2LAMU-xIRG4RqGWXdhv8,Baths of Julia Memmia,,False,34,,Baths of Julia Memmia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPB3pqlcjqyErXesX6eL7fo8YTFYSAa1YvJphB4=w408-h306-k-no,Site historique,"Site historique, Musee, Attraction touristique",4.4,08:30-17:30,,21 944 773,"Baths of Julia Memmia, C 59",site archeologique,https://www.google.com/maps/place/Baths+of+Julia+Memmia/data=!4m7!3m6!1s0x12fb14032c363caf:0xff86dd65196a841b!8m2!3d36.5576728!4d8.7541254!16s%2Fm%2F05b5_01!19sChIJrzw2LAMU-xIRG4RqGWXdhv8?authuser=0&hl=fr&rclk=1
ChIJNaBkKfojAhMRlB1EQxQS6h8,Musee de Mahdia,,False,27,,Musee de Mahdia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnpj2b90YZkZQkvNbUlgJdqPQRzYWnPwNHIF-M=w408-h317-k-no,Musee,"Musee, Lieu historique",4.4,,,73 690 535,"G339+FCP Musee de Mahdia, Mtir, rue Sidi Jaber, Mahdia","archeologique, mosaiques",https://www.google.com/maps/place/Muse%C3%A9+de+Mahdia/data=!4m7!3m6!1s0x130223fa2964a035:0x1fea121443441d94!8m2!3d35.5037125!4d11.0685781!16s%2Fm%2F0130qfpq!19sChIJNaBkKfojAhMRlB1EQxQS6h8?authuser=0&hl=fr&rclk=1
ChIJkdTEUBKpVRIRSTNQgDkMN90,Musee Berbere de Tamezret,,False,25,https://www.facebook.com/museetamezret,Musee Berbere de Tamezret (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOPaQS6oIxNK8VoU7owNIoXzZ6aHQ_EBFYXhTZD=w408-h306-k-no,Musee,Musee,5,"08:00-12:00, 13:00-18:00",,98 567 266,"GVP7+QR6 Musee Berbere de Tamezret, Tamezret",la culture,https://www.google.com/maps/place/Mus%C3%A9e+Berb%C3%A8re+de+Tamezret/data=!4m7!3m6!1s0x1255a91250c4d491:0xdd370c3980503349!8m2!3d33.5369031!4d9.8645081!16s%2Fg%2F11n67x8wjh!19sChIJkdTEUBKpVRIRSTNQgDkMN90?authuser=0&hl=fr&rclk=1
