place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJIx92you04hIReGeKxMpkF9k,La Marsa plage,,False,658,,,,https://lh5.googleusercontent.com/p/AF1QipNwH70pwQ8bzlZkN4Mu8i2Z982zZpRGZ-6t6RTA=w426-h240-k-no,Plage,Plage,4.1,,,,"La Marsa plage, Marsa","touristique, hiver, cafes, chaises, beau, atmosphere, pieds, ete, poubelles, pittoresque",https://www.google.com/maps/place/La+Marsa+plage/data=!4m7!3m6!1s0x12e2b48bca761f23:0xd91764cac48a6778!8m2!3d36.8866832!4d10.3316545!16s%2Fg%2F11b63343sw!19sChIJIx92you04hIReGeKxMpkF9k?authuser=0&hl=fr&rclk=1
ChIJVVVVVVG04hIRVMyqFGsRMfI,Marsa Corniche,,False,536,,Marsa Corniche (proprietaire),https://www.google.com/maps/contrib/106006054073176675993,https://lh5.googleusercontent.com/p/AF1QipN-HqQHhQbGkaLBE8SaDHM3jZJyFv_kBHN3zTo3=w408-h306-k-no,Attraction touristique,Attraction touristique,4.4,06:00-21:00,"mercredi, samedi, dimanche",,"Marsa Corniche, Marsa","plage, espace, cafes, beau, soir, prix, famille, l'atmosphere, anime, attention",https://www.google.com/maps/place/Marsa+Corniche/data=!4m7!3m6!1s0x12e2b45155555555:0xf231116b14aacc54!8m2!3d36.8848613!4d10.3315121!16s%2Fg%2F11f4ptr7_p!19sChIJVVVVVVG04hIRVMyqFGsRMfI?authuser=0&hl=fr&rclk=1
ChIJy9OgdY204hIR1DSgN5AvVCs,ICE PARK LA MARSA,,False,309,,ICE PARK LA MARSA (proprietaire),https://www.google.com/maps/contrib/102591381898713522428,https://lh5.googleusercontent.com/p/AF1QipOAPXEbiAigcm1petvPQg83U9x10M0Vc4M_pRQg=w426-h240-k-no,Patinoire,"Patinoire, Parc, Attraction touristique",4,"09:30-17:30, 20:30-23:00",,98 360 241,"ICE PARK LA MARSA, Marsa 2070","familles, espace, divertissement, plastic, cadre, prix, cafe, jeux",https://www.google.com/maps/place/ICE+PARK+LA+MARSA/data=!4m7!3m6!1s0x12e2b48d75a0d3cb:0x2b542f9037a034d4!8m2!3d36.8787769!4d10.3304023!16s%2Fg%2F1s05xj27s!19sChIJy9OgdY204hIR1DSgN5AvVCs?authuser=0&hl=fr&rclk=1
ChIJF_B6DaO04hIR4QXf6YCq_Nw,Amilcar Beach,,False,87,,,,https://lh5.googleusercontent.com/p/AF1QipN5XRAHSOGTJcGf8JnupQjHYsUmM3K79gXAeQud=w408-h272-k-no,Plage,Plage,3.7,,,,"Amilcar Beach, Rue de l'Union, Carthage","sale, chaises",https://www.google.com/maps/place/Amilcar+Beach/data=!4m7!3m6!1s0x12e2b4a30d7af017:0xdcfcaa80e9df05e1!8m2!3d36.86337!4d10.3407033!16s%2Fg%2F11c0r4yvnf!19sChIJF_B6DaO04hIR4QXf6YCq_Nw?authuser=0&hl=fr&rclk=1
ChIJdzVfska14hIRG8w4T5IsuQA,Parc Essaada,,False,85,,Parc Essaada (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcv0JyxWm1HBfuyz_YWqwHCTXnUCILA3zI83ok=w408-h306-k-no,Circuit de randonnee,Circuit de randonnee,4.5,08:00-18:00,,,"V8HH+VCJ Parc Essaada, Rue Essaada, Marsa","picnic, jeux, famille, velo, boissons",https://www.google.com/maps/place/Parc+Essaada/data=!4m7!3m6!1s0x12e2b546b25f3577:0xb92c924f38cc1b!8m2!3d36.8797043!4d10.3285056!16s%2Fg%2F11h6mnncrr!19sChIJdzVfska14hIRG8w4T5IsuQA?authuser=0&hl=fr&rclk=1
ChIJu_8qqYq04hIRCIgYTGP7uW8,Plage Publique de La Marsa,Plage de sable ideale pour le bronzage et la baignade.,False,52,,,,https://lh5.googleusercontent.com/p/AF1QipNm7HD8XDig0cYyYI1F_bDGJJYYzwtfgaD8RCrX=w408-h302-k-no,Plage,Plage,4,,,,Plage Publique de La Marsa,,https://www.google.com/maps/place/Plage+Publique+de+La+Marsa/data=!4m7!3m6!1s0x12e2b48aa92affbb:0x6fb9fb634c188808!8m2!3d36.8891732!4d10.3275122!16s%2Fg%2F1xpt12p1!19sChIJu_8qqYq04hIRCIgYTGP7uW8?authuser=0&hl=fr&rclk=1
ChIJf3WGw4q04hIR01F0f0ly3kw,Dar Marsa-Cubes,"Hotel raffine comprenant chambres elegantes et suites de luxe, piscine exterieure et salle a manger chic.",False,36,https://www.dar-marsa-cubes.com/,Dar Marsa-Cubes (proprietaire),https://www.google.com/maps/contrib/116218878270613646869,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFxiMkmL-P2Pk3QDySJ4ViEFUwc0jeh1hXyeTJqZ7Xi6eo8lBHhq_pu7t9lKWFwHojwm-QjwSjsGwvCSZnd6CvEsmHPDBh8jQmBEoo96wxKrW8Tzf-1Z8ZJihuraty3_c1RA1_ZY0i47hdI0DIFFFaouo3-voc7W8r1jEkYFjir6Uy-sHB8kuAViA=w408-h306-k-no,Lieu historique,"Lieu historique, Hotel",4.2,,,55 160 000,"Dar Marsa-Cubes, Rue Sidi Salah, La Marsa 2070",petit dejeuner,https://www.google.com/maps/place/Dar+Marsa-Cubes/data=!4m10!3m9!1s0x12e2b48ac386757f:0x4cde72497f7451d3!5m2!4m1!1i2!8m2!3d36.8882304!4d10.3272216!16s%2Fg%2F11b637tj6x!19sChIJf3WGw4q04hIR01F0f0ly3kw?authuser=0&hl=fr&rclk=1
ChIJ03A1mVO04hIRWL9DP6Fu-G8,Jebel el Khaoui,,False,7,,,,https://lh5.googleusercontent.com/p/AF1QipM5SoY44Wg_P0_O56cjTGtjA57jRjU6Ysi6-zXp=w426-h240-k-no,Sommet montagneux,Sommet montagneux,4.3,,,,"Jebel el Khaoui, Marsa",,https://www.google.com/maps/place/Jebel+el+Khaoui/data=!4m7!3m6!1s0x12e2b453993570d3:0x6ff86ea13f43bf58!8m2!3d36.8977778!4d10.3080556!16s%2Fg%2F1tgld77p!19sChIJ03A1mVO04hIRWL9DP6Fu-G8?authuser=0&hl=fr&rclk=1
ChIJLUADc0G14hIRFQW3FjHLM_o,Marsa cube (plage),,False,5,,Marsa cube (plage) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPtHca3MFLszt7GVpva8tRlyRVxUPFGgB5m6wys=w408-h544-k-no,Environnement et ressources naturelles renouvelables,Environnement et ressources naturelles renouvelables,4.4,,,,"V8PJ+W75 Marsa cube (plage), Imp. Zouhair Essafi 4, Marsa",,https://www.google.com/maps/place/Marsa+cube+%28plage%29/data=!4m7!3m6!1s0x12e2b5417303402d:0xfa33cb3116b70515!8m2!3d36.8872727!4d10.3307195!16s%2Fg%2F11j0yvwp94!19sChIJLUADc0G14hIRFQW3FjHLM_o?authuser=0&hl=fr&rclk=1
ChIJZ1fmrIm04hIRYReTtHYdDcs,Marsa,,False,4,,,,https://lh5.googleusercontent.com/p/AF1QipMhQwnvJICPpN8PvX7RnAGlQGsR7e9taRX9CAfe=w408-h306-k-no,Point d'eau,Point d'eau,4.3,,,,Marsa,,https://www.google.com/maps/place/Marsa/data=!4m7!3m6!1s0x12e2b489ace65767:0xcb0d1d76b4931761!8m2!3d36.8874974!4d10.3371592!16s%2Fg%2F1hf3mbx49!19sChIJZ1fmrIm04hIRYReTtHYdDcs?authuser=0&hl=fr&rclk=1
