place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv6tmzkge4xIRTcxRjWdv8_g,Vieux Port De Bizerte,,False,551,,Vieux Port De Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjeNuBJpdKF_umsuYPcSc6GCXAtboabYv_ehGW=w408-h307-k-no,Port de plaisance,"Port de plaisance, Attraction touristique",4.5,Ouvert 24h/24,,,"7VGF+VR5 Vieux Port De Bizerte, Passerelle du Marsa de, Bizerte","espace, couleurs, histoire, cafe, anime, charme, poisson, griller, baklawa, hygiene",https://www.google.com/maps/place/Vieux+Port+De+Bizerte/data=!4m7!3m6!1s0x12e31e48ce66abbf:0xf8f36f678d51cc4d!8m2!3d37.2771396!4d9.8746004!16s%2Fg%2F11c56bjfx5!19sChIJv6tmzkge4xIRTcxRjWdv8_g?authuser=0&hl=fr&rclk=1
ChIJf6I7nkce4xIRGwc1DDhL1yQ,Parc Aladin ( manege sidi selam ),,False,252,https://www.facebook.com/Parc.Aladin.bizerte/,Parc Aladin ( manege sidi selam ) (proprietaire),https://www.google.com/maps/contrib/106166167203652061413,https://lh5.googleusercontent.com/p/AF1QipOoqmL1y_m26D-VL_IfzueMC6jVWYHRhWEUbis6=w428-h240-k-no,Parc d'attractions,"Parc d'attractions, Salle de jeux pour enfants, Pizzeria, Salon de the, Attraction touristique",3.7,"13:00-18:00, 20:00-00:00",,53 519 315,"Parc Aladin ( manege sidi selam ), Manege sidi selem, Bizerte 7000","enfants, jeux, famille",https://www.google.com/maps/place/Parc+Aladin+%28+man%C3%A8ge+sidi+selam+%29/data=!4m7!3m6!1s0x12e31e479e3ba27f:0x24d74b380c35071b!8m2!3d37.2812066!4d9.8783628!16s%2Fg%2F1vf_2tkk!19sChIJf6I7nkce4xIRGwc1DDhL1yQ?authuser=0&hl=fr&rclk=1
ChIJV5LXvGoh4xIR3sdtM4HufSE,Parc national d'Ichkel,"Grande reserve ornithologique et naturelle autour du lac Ichkeul, randonnee et observation de la faune/flore.",False,212,,Parc national d'Ichkel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMZhhjy2hXEC6-kZMLuURrIKzS1UDh9I8PUolc1=w426-h240-k-no,Parc national,"Parc national, Attraction touristique",4,Ouvert 24h/24,,,"Parc national d'Ichkel, 13 P11, Menzel Bourguiba","oiseaux, paysage, reserve naturelle, randonnee, musee, famille, ministere, agriculture, patrimoine mondial, parc naturel",https://www.google.com/maps/place/Parc+national+d%27Ichkel/data=!4m7!3m6!1s0x12e3216abcd79257:0x217dee81336dc7de!8m2!3d37.1475861!4d9.6675486!16s%2Fg%2F1ygjd28xs!19sChIJV5LXvGoh4xIR3sdtM4HufSE?authuser=0&hl=fr&rclk=1
ChIJcZGg60ge4xIRXvqx64xtVpk,Vieux Port,,False,148,,,,https://lh5.googleusercontent.com/p/AF1QipMwnVfHSNS3f6SRlby5EgXhsffFWft_D9uMsD4w=w408-h306-k-no,Point d'eau,Point d'eau,4.3,,,,"Vieux Port, Bizerte","cafes, coeur, mer, poissons, proprete",https://www.google.com/maps/place/Vieux+Port/data=!4m7!3m6!1s0x12e31e48eba09171:0x99566d8cebb1fa5e!8m2!3d37.2776374!4d9.8750249!16s%2Fg%2F12hr7hqx6!19sChIJcZGg60ge4xIRXvqx64xtVpk?authuser=0&hl=fr&rclk=1
ChIJA8XffEge4xIR340TcRFy6PY,Musee oceanographique,,False,91,,Musee oceanographique (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNfySJkIAebJzg9u5WRVSIetIHvB81elpo0BbY4=w408-h306-k-no,Musee,"Musee, Attraction touristique",3.7,"09:30-12:30, 14:30-18:00",lundi,,"7VHG+7PJ Musee oceanographique, Bizerte","aquarium, animaux",https://www.google.com/maps/place/Mus%C3%A9e+oc%C3%A9anographique/data=!4m7!3m6!1s0x12e31e487cdfc503:0xf6e8721171138ddf!8m2!3d37.2782213!4d9.8767559!16s%2Fg%2F11gf97mrr9!19sChIJA8XffEge4xIR340TcRFy6PY?authuser=0&hl=fr&rclk=1
ChIJ71HpZtIf4xIRseVZI5E3D-A,Medina de Bizerte,,False,48,,Medina de Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcMjzt-g67PCAkZIz8hp5E2GhrZ2adUeXUXLo5=w408-h544-k-no,Site historique,Site historique,4.4,,,,"7VHG+H68 Medina de Bizerte, Bizerte","ruelles, touristes",https://www.google.com/maps/place/M%C3%A9dina+de+Bizerte/data=!4m7!3m6!1s0x12e31fd266e951ef:0xe00f37912359e5b1!8m2!3d37.2789201!4d9.8755657!16s%2Fg%2F11kxqw1y8d!19sChIJ71HpZtIf4xIRseVZI5E3D-A?authuser=0&hl=fr&rclk=1
ChIJT-bcm3ce4xIRKdZfIrR-f3U,Corniche,,False,18,,,,https://lh5.googleusercontent.com/p/AF1QipMZ4I165o4HSbwyG84khqN_ec2FPDy4MJJqqo51=w518-h240-k-no,Point d'eau,Point d'eau,4.3,,,,Corniche,,https://www.google.com/maps/place/Corniche/data=!4m7!3m6!1s0x12e31e779bdce64f:0x757f7eb4225fd629!8m2!3d37.3052059!4d9.8690052!16s%2Fg%2F1hc34ltr9!19sChIJT-bcm3ce4xIRKdZfIrR-f3U?authuser=0&hl=fr&rclk=1
ChIJR2hDNKkY4xIRY16KFR9E-Uc,Lac de Bizerte,,False,16,,,,https://lh5.googleusercontent.com/p/AF1QipO_wqb6hb1CLn7nOAbef4_SsAV6gWO8n3crOXZs=w408-h302-k-no,Lac,Lac,4.4,,,,Lac de Bizerte,,https://www.google.com/maps/place/Lac+de+Bizerte/data=!4m7!3m6!1s0x12e318a934436847:0x47f9441f158a5e63!8m2!3d37.1946281!4d9.8683073!16s%2Fg%2F121qg2wc!19sChIJR2hDNKkY4xIRY16KFR9E-Uc?authuser=0&hl=fr&rclk=1
ChIJ_SB8d8sd4xIR4xMAM9aRKbU,Cap Bizerte,,False,16,,,,https://lh5.googleusercontent.com/p/AF1QipN29FUZEvkmZzRubxK7NOV20MIagEYr-Vft-n8x=w408-h306-k-no,Land mass,Land mass,4.1,,,,Cap Bizerte,,https://www.google.com/maps/place/Cap+Bizerte/data=!4m7!3m6!1s0x12e31dcb777c20fd:0xb52991d6330013e3!8m2!3d37.3290153!4d9.8613286!16s%2Fg%2F12215ghc!19sChIJ_SB8d8sd4xIR4xMAM9aRKbU?authuser=0&hl=fr&rclk=1
ChIJV6wKj0oe4xIRV3RTw_qTlFc,Canal de bizerte,,False,12,,,,https://lh5.googleusercontent.com/p/AF1QipPaIas6PBByLX6Shj65DuBpVckjccr-F3MqGDls=w426-h240-k-no,Point d'eau,Point d'eau,4.4,,,,Canal de bizerte,,https://www.google.com/maps/place/Canal+de+bizerte/data=!4m7!3m6!1s0x12e31e4a8f0aac57:0x579493fac3537457!8m2!3d37.2699549!4d9.8787765!16s%2Fg%2F1tfnjr2n!19sChIJV6wKj0oe4xIRV3RTw_qTlFc?authuser=0&hl=fr&rclk=1
