place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ2ax937C04hIRKzz1js1TpyE,Baths of Antoninus,Vaste complexe de thermes romains construit au IIe siecle qui fait aujourd'hui partie d'un parc archeologique.,False,3517,,Baths of Antoninus (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMDrWcTj6zGPOsnMiwFX1cfEyRjKLW_KY2Mzk5P=w408-h240-k-no,Site historique,"Site historique, Thermes, Attraction touristique",4.6,08:00-17:00,,94 703 100,"V83M+MXX Baths of Antoninus, Impasse des Thermes d'Antonin, Site archeologique de Carthage 2016","ruines, romains, colonne, explication, imaginer, fouilles, conserve, sublime, antiquite classique, antonin le pieux",https://www.google.com/maps/place/Baths+of+Antoninus/data=!4m7!3m6!1s0x12e2b4b0df7dacd9:0x21a753cd8ef53c2b!8m2!3d36.8542301!4d10.3349701!16s%2Fg%2F121pw5fw!19sChIJ2ax937C04hIRKzz1js1TpyE?authuser=0&hl=fr&rclk=1
ChIJIx92you04hIReGeKxMpkF9k,La Marsa plage,,False,658,,,,https://lh5.googleusercontent.com/p/AF1QipNwH70pwQ8bzlZkN4Mu8i2Z982zZpRGZ-6t6RTA=w426-h240-k-no,Plage,Plage,4.1,,,,"La Marsa plage, Marsa","touristique, hiver, cafes, chaises, beau, atmosphere, pieds, ete, poubelles, pittoresque",https://www.google.com/maps/place/La+Marsa+plage/data=!4m7!3m6!1s0x12e2b48bca761f23:0xd91764cac48a6778!8m2!3d36.8866832!4d10.3316545!16s%2Fg%2F11b63343sw!19sChIJIx92you04hIReGeKxMpkF9k?authuser=0&hl=fr&rclk=1
ChIJsalpd8m04hIRaduc5E7WRvk,Musee national de Carthage,Musee archeologique simple presentant des statues et des poteries decouvertes lors de fouilles dans la region.,False,581,https://carthagemagazine.com/carthage-national-museum/,Musee national de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxVDDk7o1OcIgbibckCmQ1FRYgF3AFjLqAJYW6=w408-h306-k-no,Musee d'histoire,Musee d'histoire,4.2,,,58 162 557,"V83F+7QR Musee national de Carthage, Site archeologique de Carthage","renovation, ruines, cathedrale, mosaiques, antique, site, 2026, monument, archeologiques, restauration",https://www.google.com/maps/place/Mus%C3%A9e+national+de+Carthage/data=!4m7!3m6!1s0x12e2b4c97769a9b1:0xf946d64ee49cdb69!8m2!3d36.8532268!4d10.3243991!16s%2Fm%2F05b11w2!19sChIJsalpd8m04hIRaduc5E7WRvk?authuser=0&hl=fr&rclk=1
ChIJ-4ToDjVL_RIRfQtmabKWMMw,Port Punique de Carthage,,False,561,,Port Punique de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMoVzegdgXQcEI7QPkuJcHY7lBDmCVDwIL17q0V=w480-h240-k-no,Site historique,"Site historique, Attraction touristique",4.4,08:30-17:00,,,"R8WG+258 Port Punique de Carthage, Rue du 2 mars 1934, Site archeologique de Carthage","calme, empire, site archeologique, la nature, navires, beau, mal, rectangulaire, raison, forces armees",https://www.google.com/maps/place/Port+Punique+de+Carthage/data=!4m7!3m6!1s0x12fd4b350ee884fb:0xcc3096b269660b7d!8m2!3d36.845036!4d10.3254533!16s%2Fg%2F122fjlw2!19sChIJ-4ToDjVL_RIRfQtmabKWMMw?authuser=0&hl=fr&rclk=1
ChIJv-zubbq14hIR_irCo8ZhXZo,Les Ruines de Carthage,,False,329,https://blog-tunez.com/ciudades-de-tunez/cartago/,Les Ruines de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOw6JjRBODcFDy-AAI6s7rMmwsuOPv-m53uZbk=w408-h543-k-no,Site historique,Site historique,4.7,Ouvert 24h/24,,,"V84J+2RW Les Ruines de Carthage, Impasse des Thermes d'Antonin, Site archeologique de Carthage","ruines, antique, archeologique, touristes, ticket, experience",https://www.google.com/maps/place/Les+Ruines+de+Carthage/data=!4m7!3m6!1s0x12e2b5ba6deeecbf:0x9a5d61c6a3c22afe!8m2!3d36.8551087!4d10.3320773!16s%2Fg%2F11fkq_85n0!19sChIJv-zubbq14hIR_irCo8ZhXZo?authuser=0&hl=fr&rclk=1
ChIJ8XkwzNG04hIRgLCLHCdcSG8,Amphitheatre de Carthage,,False,329,,Amphitheatre de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPpkyM6kL4mSv_2U8u4mPBjnPB_goLNU8Xb_AtL=w408-h306-k-no,Site historique,"Site historique, Attraction touristique",4.3,08:00-17:00,lundi,,"V847+CXG Amphitheatre de Carthage, Site archeologique de Carthage","sites, ruines, marche, conserve, archeologiques, billet, experience",https://www.google.com/maps/place/Amphith%C3%A9%C3%A2tre+de+Carthage/data=!4m7!3m6!1s0x12e2b4d1cc3079f1:0x6f485c271c8bb080!8m2!3d36.856068!4d10.314953!16s%2Fm%2F0129lgn9!19sChIJ8XkwzNG04hIRgLCLHCdcSG8?authuser=0&hl=fr&rclk=1
ChIJiVQfgPS14hIR-gQ83bof5R0,Site archeologique de Carthage,,False,236,http://www.commune-carthage.gov.tn/fr/index.php%3Fsrub%3D261%26rub%3D247,Site archeologique de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP1r4j8y1Ct19wjqieDA8ZaOhzAZQ9jg3fw0_dG=w426-h240-k-no,Attraction touristique,"Attraction touristique, Site historique",4.4,,,,"Site archeologique de Carthage, 88 Rte de La Goulette, Site archeologique de Carthage","histoire, ruines, musee, cathedrale, billet, tarif, informations, carte, hotel",https://www.google.com/maps/place/Site+arch%C3%A9ologique+de+Carthage/data=!4m7!3m6!1s0x12e2b5f4801f5489:0x1de51fbadd3c04fa!8m2!3d36.8529199!4d10.3217245!16s%2Fg%2F11g4clfbps!19sChIJiVQfgPS14hIR-gQ83bof5R0?authuser=0&hl=fr&rclk=1
ChIJ-XUe6Lm04hIRbKEH0P5CDDk,Kobba Bent el Rey,,False,170,,Kobba Bent el Rey (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPwAQYnsh5hGU857lPdZd6sLL9DIDvN6g_4_Thm=w408-h272-k-no,Site archeologique,"Site archeologique, Attraction touristique",4.5,09:00-17:00,,,"V84J+XJ6 Kobba Bent el Rey, Rte de La Goulette, Site archeologique de Carthage 7016","l'histoire, ruines, mosaiques, mer, villa romaine, musee",https://www.google.com/maps/place/Kobba+Bent+el+Rey/data=!4m7!3m6!1s0x12e2b4b9e81e75f9:0x390c42fed007a16c!8m2!3d36.8574024!4d10.331506!16s%2Fg%2F121kwm7v!19sChIJ-XUe6Lm04hIRbKEH0P5CDDk?authuser=0&hl=fr&rclk=1
ChIJ_yrMRca04hIRDwArHW6g6jU,Parc Montazah de Carthage,,False,95,,Parc Montazah de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOlXEG6t1XNhRKmvr60RNjuoXaw0w-rSkx-ykMW=w408-h306-k-no,Parc domanial,"Parc domanial, Attraction touristique",4.2,Ouvert 24h/24,,52 788 208,"V85F+W95 Parc Montazah de Carthage, Site archeologique de Carthage","famille, sante",https://www.google.com/maps/place/Parc+Montazah+de+Carthage/data=!4m7!3m6!1s0x12e2b4c645cc2aff:0x35eaa06e1d2b000f!8m2!3d36.8597539!4d10.3234783!16s%2Fg%2F1jkxw3673!19sChIJ_yrMRca04hIRDwArHW6g6jU?authuser=0&hl=fr&rclk=1
ChIJF_B6DaO04hIR4QXf6YCq_Nw,Amilcar Beach,,False,87,,,,https://lh5.googleusercontent.com/p/AF1QipN5XRAHSOGTJcGf8JnupQjHYsUmM3K79gXAeQud=w408-h272-k-no,Plage,Plage,3.7,,,,"Amilcar Beach, Rue de l'Union, Carthage","sale, chaises",https://www.google.com/maps/place/Amilcar+Beach/data=!4m7!3m6!1s0x12e2b4a30d7af017:0xdcfcaa80e9df05e1!8m2!3d36.86337!4d10.3407033!16s%2Fg%2F11c0r4yvnf!19sChIJF_B6DaO04hIR4QXf6YCq_Nw?authuser=0&hl=fr&rclk=1
ChIJu_8qqYq04hIRCIgYTGP7uW8,Plage Publique de La Marsa,Plage de sable ideale pour le bronzage et la baignade.,False,52,,,,https://lh5.googleusercontent.com/p/AF1QipNm7HD8XDig0cYyYI1F_bDGJJYYzwtfgaD8RCrX=w408-h302-k-no,Plage,Plage,4,,,,Plage Publique de La Marsa,,https://www.google.com/maps/place/Plage+Publique+de+La+Marsa/data=!4m7!3m6!1s0x12e2b48aa92affbb:0x6fb9fb634c188808!8m2!3d36.8891732!4d10.3275122!16s%2Fg%2F1xpt12p1!19sChIJu_8qqYq04hIRCIgYTGP7uW8?authuser=0&hl=fr&rclk=1
ChIJVbmaRGCz4hIRKYVny_m5ChY,Port of Sidi Bou Said,,False,31,,,,https://lh5.googleusercontent.com/p/AF1QipP2X7DPD_pQIRyc0atTYS5clZh6I4Edn-51GHXm=w408-h271-k-no,Port,Port,4.3,,,,"Port of Sidi Bou Said, Site archeologique de Carthage",vue,https://www.google.com/maps/place/Port+of+Sidi+Bou+Said/data=!4m7!3m6!1s0x12e2b360449ab955:0x160ab9f9cb678529!8m2!3d36.8673351!4d10.3516476!16s%2Fg%2F119wjlk1j!19sChIJVbmaRGCz4hIRKYVny_m5ChY?authuser=0&hl=fr&rclk=1
ChIJA7bNkUpL_RIRXehnVluaEGc,Carthage,,False,25,,,,https://lh5.googleusercontent.com/p/AF1QipMlKeOBfzyrPVgphDOa5Uo6j7n3vUFH9HZAJu_y=w408-h839-k-no,Point d'eau,Point d'eau,4.6,,,,Carthage,antiquite,https://www.google.com/maps/place/Carthage/data=!4m7!3m6!1s0x12fd4b4a91cdb603:0x67109a5b5667e85d!8m2!3d36.8454058!4d10.3315463!16s%2Fg%2F1q5blwmtx!19sChIJA7bNkUpL_RIRXehnVluaEGc?authuser=0&hl=fr&rclk=1
ChIJ-1yaWK-04hIRMS1e9s2UOd0,Carthage Presidence,,False,7,,,,https://lh5.googleusercontent.com/p/AF1QipNAUEUsgOCfY7O39vCxnYNyaPWKPK9OEFiqyQNs=w408-h723-k-no,Point d'eau,Point d'eau,4.6,,,,Carthage Presidence,,https://www.google.com/maps/place/Carthage+Pr%C3%A9sidence/data=!4m7!3m6!1s0x12e2b4af589a5cfb:0xdd3994cdf65e2d31!8m2!3d36.8550711!4d10.3427724!16s%2Fg%2F1hdzynvxs!19sChIJ-1yaWK-04hIRMS1e9s2UOd0?authuser=0&hl=fr&rclk=1
ChIJZ1fmrIm04hIRYReTtHYdDcs,Marsa,,False,4,,,,https://lh5.googleusercontent.com/p/AF1QipMhQwnvJICPpN8PvX7RnAGlQGsR7e9taRX9CAfe=w408-h306-k-no,Point d'eau,Point d'eau,4.3,,,,Marsa,,https://www.google.com/maps/place/Marsa/data=!4m7!3m6!1s0x12e2b489ace65767:0xcb0d1d76b4931761!8m2!3d36.8874974!4d10.3371592!16s%2Fg%2F1hf3mbx49!19sChIJZ1fmrIm04hIRYReTtHYdDcs?authuser=0&hl=fr&rclk=1
ChIJtVr_naO04hIRfuqoLTmtUh8,shT qrTj,,False,1,,,,https://lh5.googleusercontent.com/p/AF1QipN-kzeaUjo7OyWSbMcXl9nDGnvv8Mp-ijstP7l_=w408-h306-k-no,Point d'eau,Point d'eau,5,,,,shT qrTj,,https://www.google.com/maps/place/%D8%B4%D8%B7+%D9%82%D8%B1%D8%B7%D8%A7%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x12e2b4a39dff5ab5:0x1f52ad392da8ea7e!8m2!3d36.8629371!4d10.3412814!16s%2Fg%2F1tnpbn34!19sChIJtVr_naO04hIRfuqoLTmtUh8?authuser=0&hl=fr&rclk=1
