place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJUQD5AoZj_RIR_gJk79MLspA,Carthage Land Hammamet,"Parc a theme sur la Carthage antique, grande variete de maneges et spectacles, et aire de jeux aquatique.",False,4833,https://www.carthageland.com/,Carthage Land Hammamet (proprietaire),https://www.google.com/maps/contrib/115401316530994464365,https://lh5.googleusercontent.com/p/AF1QipP_P47KXldCez5CXgZeyZm0u7Yedmwokm6IExun=w408-h306-k-no,Parc d'attractions,"Parc d'attractions, Attraction touristique",4.1,11:00-18:00,"lundi, mardi, mercredi, jeudi, vendredi",72 240 111,"Carthage Land Hammamet, Yasmine Hammamet","hotel, animaux, maneges, aqualand, dinar, decor, king kong, cages, souk, marchandage",https://www.google.com/maps/place/Carthage+Land+Hammamet/data=!4m7!3m6!1s0x12fd638602f90051:0x90b20bd3ef6402fe!8m2!3d36.368982!4d10.5351043!16s%2Fm%2F0k5yyg0!19sChIJUQD5AoZj_RIR_gJk79MLspA?authuser=0&hl=fr&rclk=1
ChIJY-LdNBe9AhMRJyU1WfGrabc,Daroufa Beach,,False,118,,,,https://lh5.googleusercontent.com/p/AF1QipPivAaoQRXF2HahE41E2WVphp0uVQ04TMN_roBC=w408-h306-k-no,Plage,Plage,4.3,,,20 964 911,Daroufa Beach,attention,https://www.google.com/maps/place/Daroufa+Beach/data=!4m7!3m6!1s0x1302bd1734dde263:0xb769abf159352527!8m2!3d36.4914042!4d10.8281314!16s%2Fg%2F12j6919n2!19sChIJY-LdNBe9AhMRJyU1WfGrabc?authuser=0&hl=fr&rclk=1
ChIJ72iTPROYAhMR6-BWut0Kt3I,Plage Beni khiar,,False,57,,,,https://lh5.googleusercontent.com/p/AF1QipO5sxbqmKuhHO4y3wncHboRBcdhLjAZnZ1Sk5VZ=w408-h306-k-no,Plage,Plage,4.1,,,,"Plage Beni khiar, Beni Khiar",,https://www.google.com/maps/place/Plage+Beni+khiar/data=!4m7!3m6!1s0x130298133d9368ef:0x72b70addba56e0eb!8m2!3d36.451221!4d10.7785374!16s%2Fg%2F12hnfyj4w!19sChIJ72iTPROYAhMR6-BWut0Kt3I?authuser=0&hl=fr&rclk=1
ChIJh98mESFd_RIRYU9OW7s_4c4,Ain Tebournouk,,False,11,,,,https://lh5.googleusercontent.com/p/AF1QipMnXb2WDhShMUMT03C3yi5uCyS_2lVAngVZcjEp=w408-h544-k-no,Source d'eau,Source d'eau,3.7,,,,Ain Tebournouk,,https://www.google.com/maps/place/Ain+Tebournouk/data=!4m7!3m6!1s0x12fd5d211126df87:0xcee13fbb5b4e4f61!8m2!3d36.5333333!4d10.4583333!16s%2Fg%2F11bc8cxl0p!19sChIJh98mESFd_RIRYU9OW7s_4c4?authuser=0&hl=fr&rclk=1
ChIJz5IcOYKYAhMRmQ5ovEC8yqo,Grande Mosquee de Dar Chaabane,,False,6,,Grande Mosquee de Dar Chaabane (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOeWQzItETu8Brs_F2KQnvkKO_e0P1xujGTrBpm=w408-h544-k-no,Mosquee,Mosquee,4.7,,,,"FP8X+G6R Grande Mosquee de Dar Chaabane, Dar Chaabane Al Fehri 8011",,https://www.google.com/maps/place/Grande+Mosqu%C3%A9e+de+Dar+Chaabane/data=!4m7!3m6!1s0x13029882391c92cf:0xaacabc40bc680e99!8m2!3d36.4663649!4d10.7480299!16s%2Fg%2F1vntxs3y!19sChIJz5IcOYKYAhMRmQ5ovEC8yqo?authuser=0&hl=fr&rclk=1
ChIJZxEYQ1RX_RIRbrG-Jel5SrI,Boucharray,,False,3,,,,,Woods,Woods,4.7,,,,Boucharray,,https://www.google.com/maps/place/Boucharray/data=!4m7!3m6!1s0x12fd575443181167:0xb24a79e925beb16e!8m2!3d36.6623244!4d10.5338303!16s%2Fg%2F1hjh2t65f!19sChIJZxEYQ1RX_RIRbrG-Jel5SrI?authuser=0&hl=fr&rclk=1
ChIJG66zEIRD_RIRLbaFOpGXk1I,Ain ed Dib,,False,1,,,,https://lh5.googleusercontent.com/p/AF1QipN1-D4QU9jEURC51Z0eGlXOo9_VGBOJiICD6jdW=w426-h240-k-no,Source d'eau,Source d'eau,5,,,,Ain ed Dib,,https://www.google.com/maps/place/Ain+ed+Dib/data=!4m7!3m6!1s0x12fd438410b3ae1b:0x529397913a85b62d!8m2!3d36.5797222!4d10.3880556!16s%2Fg%2F11byl90ynm!19sChIJG66zEIRD_RIRLbaFOpGXk1I?authuser=0&hl=fr&rclk=1
ChIJDaxjU4Q-_RIRtTq9S2NyS-c,Ain el Kerma,,False,1,,,,,Source d'eau,Source d'eau,3,,,,Ain el Kerma,,https://www.google.com/maps/place/Ain+el+Kerma/data=!4m7!3m6!1s0x12fd3e845363ac0d:0xe74b72634bbd3ab5!8m2!3d36.5688889!4d10.1786111!16s%2Fg%2F11byl2pbhg!19sChIJDaxjU4Q-_RIRtTq9S2NyS-c?authuser=0&hl=fr&rclk=1
ChIJ188brgFP_RIRY4mPdHexdmk,Foret Bir Bey,,False,1,,,,,Woods,Woods,4,,,,Foret Bir Bey,,https://www.google.com/maps/place/Foret+Bir+Bey/data=!4m7!3m6!1s0x12fd4f01ae1bcfd7:0x6976b177748f8963!8m2!3d36.7108878!4d10.3919033!16s%2Fg%2F12vqv2pfq!19sChIJ188brgFP_RIRY4mPdHexdmk?authuser=0&hl=fr&rclk=1
ChIJXbWIq01v_RIRvdfyzGkmaEw,Jebel Mennzel Moussa,,False,1,,,,,Ridge,Ridge,4,,,,Jebel Mennzel Moussa,,https://www.google.com/maps/place/Jebel+Mennzel+Moussa/data=!4m7!3m6!1s0x12fd6f4dab88b55d:0x4c682669ccf2d7bd!8m2!3d36.4083333!4d10.4258333!16s%2Fg%2F1tf04k_z!19sChIJXbWIq01v_RIRvdfyzGkmaEw?authuser=0&hl=fr&rclk=1
