place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJj6sIGGmXqhMRzELxbkXmJJ0,Djerba Explore Park,"Parc avec ferme aux crocodiles, musee et reconstitutions d'une maison, d'un moulin et d'un atelier de poterie.",False,3127,http://www.djerbaexplore.com/,Djerba Explore Park (proprietaire),https://www.google.com/maps/contrib/103898578435381342533,https://lh5.googleusercontent.com/p/AF1QipNckFUfZbAnkAZCneAF6EoOVu8kOs60uDQk-xUa=w408-h267-k-no,Parc a theme,"Parc a theme, Residence hoteliere, Boutique de cadeaux, Restaurant",4.6,,,75 745 277,"Djerba Explore Park, Midoun, Djerba Midun","crocodiliens, reptiles, tortues, ferme, iguanes, musee en plein air, heritage, chameaux",https://www.google.com/maps/place/Djerba+Explore+Park/data=!4m10!3m9!1s0x13aa97691808ab8f:0x9d24e6456ef142cc!5m2!4m1!1i2!8m2!3d33.8187713!4d11.0432121!16s%2Fg%2F1v2dh410!19sChIJj6sIGGmXqhMRzELxbkXmJJ0?authuser=0&hl=fr&rclk=1
ChIJ-QCaR2iXqhMR7qBwoBfwAh8,Ferme aux Crocodiles,"Grand zoo avec crocodiles, nourrissages publics, autres reptiles divers et musee historique.",False,3072,http://djerbaexplore.com/,Ferme aux Crocodiles (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPNnucVXzFuykY5GVVzdGS8nA8Yu0FeN4Dw15Cj=w408-h541-k-no,Zoo,"Zoo, Attraction touristique",4.6,09:00-18:00,lundi,75 745 277,"R29V+P5X Ferme aux Crocodiles, Unnamed Road, Djerba Midun","tortues, reptiles, iguanes, village, crocodile du nil, spectacle, ile, musee en plein air, musee local",https://www.google.com/maps/place/Ferme+aux+Crocodiles/data=!4m7!3m6!1s0x13aa9768479a00f9:0x1f02f017a070a0ee!8m2!3d33.8193539!4d11.0429871!16s%2Fm%2F0n8jg6x!19sChIJ-QCaR2iXqhMR7qBwoBfwAh8?authuser=0&hl=fr&rclk=1
ChIJv3GhmoE0_RIRXZKqJ74zpXc,Belvedere Park,"Vaste parc avec sentiers pour marcheurs et cyclistes, ainsi que terrains de sport et zoo.",False,1093,http://www.commune-tunis.gov.tn/publish/content/article.asp%3Fid%3D765,Belvedere Park (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMeDEy8qiJX7KCIx6ODIBohAVtWW2HQeqrIsS-m=w408-h337-k-no,Jardin,"Jardin, Attraction touristique",3.9,09:00-17:00,lundi,58 418 535,"R5CC+QMX Belvedere Park, Avenue Taieb Mhiri, Tunis","espace, famille, beau, capitale, lions, arbres, lac, crocodile, casino, oiseaux",https://www.google.com/maps/place/Belvedere+Park/data=!4m7!3m6!1s0x12fd34819aa171bf:0x77a533be27aa925d!8m2!3d36.8219921!4d10.1717264!16s%2Fg%2F122drxjc!19sChIJv3GhmoE0_RIRXZKqJ74zpXc?authuser=0&hl=fr&rclk=1
ChIJ7ebdwfQ0_RIRvkTfRRT4MxU,The Japanese Garden of Tunis,,False,370,,The Japanese Garden of Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkdUa4WPRubLUcD22FF17pFq0tCYtr3sJO898=w408-h306-k-no,Jardin botanique,"Jardin botanique, Attraction touristique",4.2,07:00-19:00,dimanche,,"R59V+WG3 The Japanese Garden of Tunis, Tunis","pique-nique, famille, nettoyage, marche, espace vert, velo, nature, autoroute, 2006, pour enfants",https://www.google.com/maps/place/The+Japanese+Garden+of+Tunis/data=!4m7!3m6!1s0x12fd34f4c1dde6ed:0x1533f81445df44be!8m2!3d36.8197579!4d10.1937897!16s%2Fg%2F1td0_wd4!19sChIJ7ebdwfQ0_RIRvkTfRRT4MxU?authuser=0&hl=fr&rclk=1
ChIJc9dk_eyJ_RIR74FfAfKQ8fE,Port El Kantaoui,"Quartier pour touristes avec port de plaisance, esplanades en front de mer, magasins, restaurants et cafes.",False,354,http://www.portelkantaoui.com.tn/,Port El Kantaoui (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM2tN-PJjxR0Pa_BnJBoUMIZbDxhMy6ezZLjT2s=w408-h272-k-no,Port maritime,Port maritime,4.4,,,73 348 600,"Port El Kantaoui, Hammam Sousse","touristique, cafes, yachts, catamaran, parc d'attraction, plage, prix, boutiques, souvenirs, anime",https://www.google.com/maps/place/Port+El+Kantaoui/data=!4m7!3m6!1s0x12fd89ecfd64d773:0xf1f190f2015f81ef!8m2!3d35.8924975!4d10.5998394!16zL20vMDR4aDJx!19sChIJc9dk_eyJ_RIR74FfAfKQ8fE?authuser=0&hl=fr&rclk=1
ChIJS1M8rItF_RIRm9xmLFzTM2o,Parc National Boukornine,"Zone protegee autour du djebel Boukornine, avec sentiers de randonnee, orchidees, chacals et chats sauvages.",False,239,,Parc National Boukornine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQx6TqcIIEMjUIcOsBmzgBgKi3hz1_q9Uf0fZm=w408-h306-k-no,Parc national,"Parc national, Attraction touristique",4.1,,,58 905 502,"M96M+99H Parc National Boukornine, A1, Hammam-Lif","nature, montagne, mammiferes, fevrier, 1987",https://www.google.com/maps/place/Parc+National+Boukornine/data=!4m7!3m6!1s0x12fd458bac3c534b:0x6a33d35c2c66dc9b!8m2!3d36.6609432!4d10.383479!16s%2Fm%2F012w469s!19sChIJS1M8rItF_RIRm9xmLFzTM2o?authuser=0&hl=fr&rclk=1
ChIJV5LXvGoh4xIR3sdtM4HufSE,Parc national d'Ichkel,"Grande reserve ornithologique et naturelle autour du lac Ichkeul, randonnee et observation de la faune/flore.",False,212,,Parc national d'Ichkel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMZhhjy2hXEC6-kZMLuURrIKzS1UDh9I8PUolc1=w426-h240-k-no,Parc national,"Parc national, Attraction touristique",4,Ouvert 24h/24,,,"Parc national d'Ichkel, 13 P11, Menzel Bourguiba","oiseaux, paysage, reserve naturelle, randonnee, musee, famille, ministere, agriculture, patrimoine mondial, parc naturel",https://www.google.com/maps/place/Parc+national+d%27Ichkel/data=!4m7!3m6!1s0x12e3216abcd79257:0x217dee81336dc7de!8m2!3d37.1475861!4d9.6675486!16s%2Fg%2F1ygjd28xs!19sChIJV5LXvGoh4xIR3sdtM4HufSE?authuser=0&hl=fr&rclk=1
ChIJhxGc46n6-hIRpJuFnlDJSGs,Park National El Feija,,False,93,https://whc.unesco.org/en/tentativelists/5383/,Park National El Feija (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPOQZW5DIZFzwpFTu_GNXuyrSqnry6DaCTYQM4u=w426-h240-k-no,Parc national,Parc national,4.7,,,,"F8P5+FMJ Park National El Feija, Unnamed Road, Al Mawajin",la nature,https://www.google.com/maps/place/Park+National+El+Feija/data=!4m7!3m6!1s0x12fafaa9e39c1187:0x6b48c9509e859ba4!8m2!3d36.4862021!4d8.3091261!16s%2Fg%2F120zjqm1!19sChIJhxGc46n6-hIRpJuFnlDJSGs?authuser=0&hl=fr&rclk=1
ChIJBd2Gf5iXqhMRhhNRvcDUhhs,Ranch Adada Djerba,,False,55,http://ranchadada.e-monsite.com/pages/ac.html,Ranch Adada Djerba (proprietaire),https://www.google.com/maps/contrib/102669227140289257230,https://lh5.googleusercontent.com/p/AF1QipMr48UDETKoEQe__1pXDc2VY7f-qqJAbtejzWqf=w408-h306-k-no,Loueur de chevaux,Loueur de chevaux,4.4,08:00-20:00,,20 296 461,"8F5FVHJ6+Q8 Ranch Adada Djerba, Aghir","lagune, coucher de soleil, equipe, ballade, enfants, eau, prix",https://www.google.com/maps/place/Ranch+Adada+Djerba/data=!4m7!3m6!1s0x13aa97987f86dd05:0x1b86d4c0bd511386!8m2!3d33.7670187!4d11.0200462!16s%2Fg%2F11gm9kp8lw!19sChIJBd2Gf5iXqhMRhhNRvcDUhhs?authuser=0&hl=fr&rclk=1
ChIJw45OCo0N-RIRUjjlb3xWR7s,Djebel Chambi National Park,,False,54,,Djebel Chambi National Park (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN6vHS4cNV8NsZZxNrEgNYAxzut_GyFjj-3kBgE=w480-h240-k-no,Parc national,"Parc national, Attraction touristique",4.2,,,,"5JJG+JR8 Djebel Chambi National Park, Dashrat Zawiyat Sidi Salis","espace, naturel",https://www.google.com/maps/place/Djebel+Chambi+National+Park/data=!4m7!3m6!1s0x12f90d8d0a4e8ec3:0xbb47567c6fe53852!8m2!3d35.1815436!4d8.6270628!16s%2Fm%2F012z74ww!19sChIJw45OCo0N-RIRUjjlb3xWR7s?authuser=0&hl=fr&rclk=1
