place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJS1M8rItF_RIRm9xmLFzTM2o,Parc National Boukornine,"Zone protegee autour du djebel Boukornine, avec sentiers de randonnee, orchidees, chacals et chats sauvages.",False,239,,Parc National Boukornine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQx6TqcIIEMjUIcOsBmzgBgKi3hz1_q9Uf0fZm=w408-h306-k-no,Parc national,"Parc national, Attraction touristique",4.1,,,58 905 502,"M96M+99H Parc National Boukornine, A1, Hammam-Lif","nature, montagne, mammiferes, fevrier, 1987",https://www.google.com/maps/place/Parc+National+Boukornine/data=!4m7!3m6!1s0x12fd458bac3c534b:0x6a33d35c2c66dc9b!8m2!3d36.6609432!4d10.383479!16s%2Fm%2F012w469s!19sChIJS1M8rItF_RIRm9xmLFzTM2o?authuser=0&hl=fr&rclk=1
ChIJF_B6DaO04hIR4QXf6YCq_Nw,Amilcar Beach,,False,87,,,,https://lh5.googleusercontent.com/p/AF1QipN5XRAHSOGTJcGf8JnupQjHYsUmM3K79gXAeQud=w408-h272-k-no,Plage,Plage,3.7,,,,"Amilcar Beach, Rue de l'Union, Carthage","sale, chaises",https://www.google.com/maps/place/Amilcar+Beach/data=!4m7!3m6!1s0x12e2b4a30d7af017:0xdcfcaa80e9df05e1!8m2!3d36.86337!4d10.3407033!16s%2Fg%2F11c0r4yvnf!19sChIJF_B6DaO04hIR4QXf6YCq_Nw?authuser=0&hl=fr&rclk=1
ChIJ3bmGLTtJ_RIRX40B6HlnUmc,Gare Hammam Lif,,False,36,,Gare Hammam Lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNfnxY_XgcVGh4gxx0g0xRE67lOaoeQFUnwmLA0=w426-h240-k-no,Gare,Gare,3.6,,,,"Gare Hammam Lif, Hammam-Lif",,https://www.google.com/maps/place/Gare+Hammam+Lif/data=!4m7!3m6!1s0x12fd493b2d86b9dd:0x67526779e8018d5f!8m2!3d36.7293916!4d10.3350717!16s%2Fg%2F1tf90ptm!19sChIJ3bmGLTtJ_RIRX40B6HlnUmc?authuser=0&hl=fr&rclk=1
ChIJKaI0Hb614hIR8iiHkRIUusg,Beauty & Spa Women Natur'elle,,False,30,,Beauty & Spa Women Natur'elle (proprietaire),https://www.google.com/maps/contrib/110401700264431034778,https://lh5.googleusercontent.com/p/AF1QipPY-diX38-magtuJCSB9iDUvYluFyJ3Z5GkYdV2=w408-h305-k-no,Institut de beaute,Institut de beaute,4.1,10:00-19:30,,51 808 002,"Beauty & Spa Women Natur'elle, C LES PALMIERS, 01 RUE BOLBOL, 2045",,https://www.google.com/maps/place/Beauty+%26+Spa+Women+Natur%E2%80%99elle/data=!4m7!3m6!1s0x12e2b5be1d34a229:0xc8ba1412918728f2!8m2!3d36.8595549!4d10.2657137!16s%2Fg%2F11kw3qns6m!19sChIJKaI0Hb614hIR8iiHkRIUusg?authuser=0&hl=fr&rclk=1
ChIJX-cowYU5_RIRz8B8E63aI78,kshshm@ bHyr@,,False,29,,kshshm@ bHyr@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOgiuQT7vtFxBeFSIoxtgOaTWTvymYoztt451ef=w408-h544-k-no,Lac ouvert a la baignade,Lac ouvert a la baignade,4.4,,,,"J6G9+PM7 kshshm@ bHyr@, Mornag",,https://www.google.com/maps/place/%D9%83%D8%B4%D8%A7%D8%B4%D9%85%D8%A9+%D8%A8%D8%AD%D9%8A%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd3985c128e75f:0xbf23daad137cc0cf!8m2!3d36.626789!4d10.219182!16s%2Fg%2F11fvhc2n8d!19sChIJX-cowYU5_RIRz8B8E63aI78?authuser=0&hl=fr&rclk=1
ChIJ574Fiq1J_RIRTLlz61rOJ_A,Mariem Onglerie et beaute,,False,17,https://www.facebook.com/profile.php%3Fid%3D100057127132882,Mariem Onglerie et beaute (proprietaire),https://www.google.com/maps/contrib/107408637800092229450,https://lh5.googleusercontent.com/p/AF1QipPsBbXasSqe_dGBIZzqqEqh49kIkCsiW_ype986=w408-h544-k-no,Salon de manucure,Salon de manucure,4.8,09:00-21:00,lundi,23 600 071,"Mariem Onglerie et beaute, Av. Habib Bourguiba, Hammam-Lif",travail,https://www.google.com/maps/place/Mariem+Onglerie+et+beaut%C3%A9/data=!4m7!3m6!1s0x12fd49ad8a05bee7:0xf027ce5aeb73b94c!8m2!3d36.7318231!4d10.3368249!16s%2Fg%2F11fsk1khq4!19sChIJ574Fiq1J_RIRTLlz61rOJ_A?authuser=0&hl=fr&rclk=1
ChIJG7htGa5J_RIRmeLxyxpXCPk,Hammam lif,,False,13,,Hammam lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPX6OBE26ZbA4N9YgqGXMJqflGQNiwoNNny97mn=w426-h240-k-no,Marche,Marche,4.5,,,50 751 756,"P8FP+834 Hammam lif, Hammam-Lif",,https://www.google.com/maps/place/Hammam+lif/data=!4m7!3m6!1s0x12fd49ae196db81b:0xf908571acbf1e299!8m2!3d36.7232639!4d10.3352131!16s%2Fg%2F11ry6sz8zp!19sChIJG7htGa5J_RIRmeLxyxpXCPk?authuser=0&hl=fr&rclk=1
ChIJQzUU4DJJ_RIRDK_fkZGyP8Y,Hammam-Lif,,False,10,,,,https://lh5.googleusercontent.com/p/AF1QipN7Zypn0KvpBFI1eBF1YiA6T8mLmko5PPuJu7zp=w408-h306-k-no,Point d'eau,Point d'eau,3.6,,,,Hammam-Lif,,https://www.google.com/maps/place/Hammam-Lif/data=!4m7!3m6!1s0x12fd4932e0143543:0xc63fb29191dfaf0c!8m2!3d36.7313083!4d10.3490877!16s%2Fg%2F1z264q1qm!19sChIJQzUU4DJJ_RIRDK_fkZGyP8Y?authuser=0&hl=fr&rclk=1
ChIJCSaa0TpJ_RIRM3zdMTwIn5g,Promedical,,False,2,,Promedical (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9e7VRfITBfaytZ0nGd4URmBWzDN1BU_2JDLf-=w408-h376-k-no,Kinesitherapeute,Kinesitherapeute,3,08:30-18:30,dimanche,71 210 702,"P8HP+QGQ Promedical, Rue Ali Ben Ayed, Hammam-Lif",,https://www.google.com/maps/place/Prom%C3%A9dical/data=!4m7!3m6!1s0x12fd493ad19a2609:0x989f083c31dd7c33!8m2!3d36.7294671!4d10.3363677!16s%2Fg%2F1yg4d_n8t!19sChIJCSaa0TpJ_RIRM3zdMTwIn5g?authuser=0&hl=fr&rclk=1
ChIJvWv-HG43_RIRCfZHtqwK3nE,BioEclat naturel,,False,2,,BioEclat naturel (proprietaire),https://www.google.com/maps/contrib/103893683644723979606,https://lh5.googleusercontent.com/p/AF1QipOtWxlNC8rpbh73B5eOsYNAGex-OzInOSsdBQgN=w408-h543-k-no,Magasin de produits de beaute,Magasin de produits de beaute,5,09:00-17:00,"samedi, dimanche",56 721 938,"BioEclat naturel, bloc << c >>, Residence el zouhour app13, Ben Arous 2074",,https://www.google.com/maps/place/BioEclat+naturel/data=!4m7!3m6!1s0x12fd376e1cfe6bbd:0x71de0aacb647f609!8m2!3d36.7103663!4d10.2076019!16s%2Fg%2F11lcdz1d6l!19sChIJvWv-HG43_RIRCfZHtqwK3nE?authuser=0&hl=fr&rclk=1
ChIJ4SczIR5P_RIRgLMUb9KatP0,Bir el Bey,,False,1,,,,,Drinking water,Drinking water,5,,,,Bir el Bey,,https://www.google.com/maps/place/Bir+el+Bey/data=!4m7!3m6!1s0x12fd4f1e213327e1:0xfdb49ad26f14b380!8m2!3d36.7147222!4d10.3761111!16s%2Fg%2F1tjcrkwm!19sChIJ4SczIR5P_RIRgLMUb9KatP0?authuser=0&hl=fr&rclk=1
ChIJe5Q8DftO_RIR-iqPE5gS390,Mer de Hammam Chatt,,False,1,,,,,Mer,Mer,3,,,,Mer de Hammam Chatt,,https://www.google.com/maps/place/Mer+de+Hammam+Chatt/data=!4m7!3m6!1s0x12fd4efb0d3c947b:0xdddf1298138f2afa!8m2!3d36.721577!4d10.3764593!16s%2Fg%2F12vsxfw53!19sChIJe5Q8DftO_RIR-iqPE5gS390?authuser=0&hl=fr&rclk=1
ChIJWdSvGqxJ_RIReAYRHuu_SJI,ljbl l'khDr ltqTyr lnbtt,,False,1,,ljbl l'khDr ltqTyr lnbtt (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8cEUTnq26eUCyPL1ODvCnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=209.2888&pitch=0&thumbfov=100,Magasin d'alimentation naturelle,Magasin d'alimentation naturelle,5,09:00-18:00,,23 809 349,"P8GV+39F ljbl l'khDr ltqTyr lnbtt, Hammam-Lif",,https://www.google.com/maps/place/%D8%A7%D9%84%D8%AC%D8%A8%D9%84+%D8%A7%D9%84%D8%A3%D8%AE%D8%B6%D8%B1+%D9%84%D8%AA%D9%82%D8%B7%D9%8A%D8%B1+%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x12fd49ac1aafd459:0x9248bfeb1e110678!8m2!3d36.7251753!4d10.3434265!16s%2Fg%2F11fn22s6s6!19sChIJWdSvGqxJ_RIReAYRHuu_SJI?authuser=0&hl=fr&rclk=1
ChIJ188brgFP_RIRY4mPdHexdmk,Foret Bir Bey,,False,1,,,,,Woods,Woods,4,,,,Foret Bir Bey,,https://www.google.com/maps/place/Foret+Bir+Bey/data=!4m7!3m6!1s0x12fd4f01ae1bcfd7:0x6976b177748f8963!8m2!3d36.7108878!4d10.3919033!16s%2Fg%2F12vqv2pfq!19sChIJ188brgFP_RIRY4mPdHexdmk?authuser=0&hl=fr&rclk=1
ChIJwTWnPDyMMUIRPSJ77fiXls8,Nutrinat,,False,1,http://nutrinat.tn/,Nutrinat (proprietaire),https://www.google.com/maps/contrib/101868819198888725701,https://lh5.googleusercontent.com/p/AF1QipOyCKpu_4AD570uWzg_dAx6TENbyZFH90HmyTBk=w408-h408-k-no,Magasin de produits de beaute,"Magasin de produits de beaute, Service establishment, Magasin bio",5,Ouvert 24h/24,dimanche,29 972 732,,,https://www.google.com/maps/place/Nutrinat/data=!4m7!3m6!1s0x42318c3c3ca735c1:0xcf9697f8ed7b223d!8m2!3d33.985867!4d9.560764!16s%2Fg%2F11p17gkk2_!19sChIJwTWnPDyMMUIRPSJ77fiXls8?authuser=0&hl=fr&rclk=1
ChIJA0_WZZVP_RIRNKXPR-ErUbQ,Ferme,,False,1,,,,,Vegetation,Vegetation,2,,,,"Ferme, Cite Seltenne",,https://www.google.com/maps/place/Ferme/data=!4m7!3m6!1s0x12fd4f9565d64f03:0xb4512be147cfa534!8m2!3d36.6896648!4d10.4152498!16s%2Fg%2F12hkm30bv!19sChIJA0_WZZVP_RIRNKXPR-ErUbQ?authuser=0&hl=fr&rclk=1
ChIJxzqApCQ3_RIR-V5OrrAKPiQ,For Family Natural Concept,,False,1,,For Family Natural Concept (proprietaire),https://www.google.com/maps/contrib/106658694944209684586,https://lh5.googleusercontent.com/p/AF1QipOEXKwrCG6HmIhNUYAxE9xBJf72MHotypfqDdHI=w426-h240-k-no,Epicerie fine,Epicerie fine,4,09:00-19:30,,29 990 036,"For Family Natural Concept, 5 Av. 13 Aout, Ben Arous 2096",,https://www.google.com/maps/place/For+Family+Natural+Concept/data=!4m7!3m6!1s0x12fd3724a4803ac7:0x243e0ab0ae4e5ef9!8m2!3d36.7407466!4d10.2370016!16s%2Fg%2F11rfsvpwt9!19sChIJxzqApCQ3_RIR-V5OrrAKPiQ?authuser=0&hl=fr&rclk=1
ChIJqXNsqao3_RIR55UfBkjWKpY,Palmiland,,False,1,https://palmiland.tn/,Palmiland (proprietaire),https://www.google.com/maps/contrib/100265449917442545885,https://lh5.googleusercontent.com/p/AF1QipNlD1zFf-5cx9rvPmivDk9rU3BE7RsleDbYRJVI=w408-h408-k-no,Magasin bio,Magasin bio,5,Ouvert 24h/24,,99 066 010,"Palmiland, Av. Farhat Hached Megrine Sidi rezig, Ben Arous 2033",,https://www.google.com/maps/place/Palmiland/data=!4m7!3m6!1s0x12fd37aaa96c73a9:0x962ad648061f95e7!8m2!3d36.7616443!4d10.247726!16s%2Fg%2F11tg8l7vl_!19sChIJqXNsqao3_RIR55UfBkjWKpY?authuser=0&hl=fr&rclk=1
ChIJpTQ46o5J_RIR-CMXova_TBw,Oued Meliane,,False,1,,,,,Point d'eau,Point d'eau,5,,,,Oued Meliane,,https://www.google.com/maps/place/Oued+Meliane/data=!4m7!3m6!1s0x12fd498eea3834a5:0x1c4cbff6a21723f8!8m2!3d36.7584446!4d10.2911262!16s%2Fg%2F1hc37tc0r!19sChIJpTQ46o5J_RIR-CMXova_TBw?authuser=0&hl=fr&rclk=1
