place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJNZpBhXN1AhMRwBmaKfis3fU,Ribat de Sousse,"Construit au VIIIe siecle et agrandi en 821, ce petit fort comprend une tour offrant une vue panoramique.",False,3223,,Ribat de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOWsD599a4gXTuYabBwmaeZRQEOSgsmG1W70nMR=w408-h306-k-no,Site historique,"Site historique, Lieu historique, Musee d'histoire locale, Monument, Attraction touristique",4.4,08:00-17:00,,,"RJHQ+3G7 Ribat de Sousse, Sousse","marche, mosquee, bazars, souvenirs, marchander, port, vendeur, viiie siecle, kasbah",https://www.google.com/maps/place/Ribat+de+Sousse/data=!4m7!3m6!1s0x1302757385419a35:0xf5ddacf8299a19c0!8m2!3d35.827671!4d10.6387949!16s%2Fg%2F121rcp8l!19sChIJNZpBhXN1AhMRwBmaKfis3fU?authuser=0&hl=fr&rclk=1
ChIJQ5uiFG51AhMRn9KSibxecpU,Musee archeologique de Sousse,"Petit musee dans une casbah historique presentant des mosaiques, des reliques et des objets anciens.",False,816,,Musee archeologique de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5Em_pgGSxstPF-oHXg-TKSunyeEZ07gtgwPQy=w408-h272-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.6,09:00-17:00,lundi,73 219 011,"RJFP+644 Musee archeologique de Sousse, Rue Abou Kacem Echabi, Sousse","mosaiques, antique, prix, collection, statues, valeur, baptistere, dinar, jardin, poterie",https://www.google.com/maps/place/Mus%C3%A9e+arch%C3%A9ologique+de+Sousse/data=!4m7!3m6!1s0x1302756e14a29b43:0x95725ebc8992d29f!8m2!3d35.8230114!4d10.6353131!16s%2Fm%2F05b05cn!19sChIJQ5uiFG51AhMRn9KSibxecpU?authuser=0&hl=fr&rclk=1
ChIJMTOqTqGJ_RIR6uR4M3ToksQ,Shopping Center Ali Baba,,False,761,,Shopping Center Ali Baba (proprietaire),https://www.google.com/maps/contrib/109218209106605647554,https://lh5.googleusercontent.com/p/AF1QipMhzUo-JMeGuS1hZ5yVr2UmQwNCiicnsxr3otLd=w408-h306-k-no,Centre commercial,Centre commercial,4.4,08:30-17:00,,55 643 281,"Shopping Center Ali Baba, Hammam Sousse","souvenirs, touriste, bien materiel, cosmetiques, friandises, creme, marchander, cuir, epices",https://www.google.com/maps/place/Shopping+Center+Ali+Baba/data=!4m7!3m6!1s0x12fd89a14eaa3331:0xc492e8743378e4ea!8m2!3d35.9086946!4d10.5792134!16s%2Fg%2F11c502zdz4!19sChIJMTOqTqGJ_RIR6uR4M3ToksQ?authuser=0&hl=fr&rclk=1
ChIJYaPGqo2J_RIRmsDHRYtAI0c,Acqua Palace,"Complexe aquatique avec piscine a vagues, toboggans abrupts et en spirale, ainsi que restaurant.",False,649,https://www.acquapalace.com/,Acqua Palace (proprietaire),https://www.google.com/maps/contrib/117695827539811351864,https://lh5.googleusercontent.com/p/AF1QipPJG5nQrvIqC13ej9cY1-jD5MLp-3Gs9Y59EI5p=w408-h519-k-no,Parc aquatique,"Parc aquatique, Parc de loisirs, Attraction touristique",4,,,73 348 855,"Acqua Palace, Rue des Palmiers, BP 171, Port, Hammam Sousse 4089","toboggans, prix, piscine a vague, securite, je, vagues, vestiaire, restauration, bouee, site",https://www.google.com/maps/place/Acqua+Palace/data=!4m7!3m6!1s0x12fd898daac6a361:0x4723408b45c7c09a!8m2!3d35.8884698!4d10.5930942!16s%2Fg%2F1tzfvbg9!19sChIJYaPGqo2J_RIRmsDHRYtAI0c?authuser=0&hl=fr&rclk=1
ChIJv-eWgp51AhMRtWRVhqtAgqo,Bou Jaafar Beach,,False,355,,,,https://lh5.googleusercontent.com/p/AF1QipMVl_vdT4mGyjq3XTrxUN9JQTZBaJ_vDDlpc1Oq=w408-h544-k-no,Plage,Plage,4,,,,"Bou Jaafar Beach, Sousse","espace, beau, hotel, creme glacee",https://www.google.com/maps/place/Bou+Jaafar+Beach/data=!4m7!3m6!1s0x1302759e8296e7bf:0xaa8240ab865564b5!8m2!3d35.8359302!4d10.6381321!16s%2Fg%2F1tf20ps2!19sChIJv-eWgp51AhMRtWRVhqtAgqo?authuser=0&hl=fr&rclk=1
ChIJV8pcyWd1AhMRC07q6dXiHtM,Anti-Stress Hammam,,False,211,https://www.facebook.com/HammamAntiStress/,Anti-Stress Hammam (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNIsIBE6XGf_V-xI3Z4-zaUAFvQ1S782VL8BLS6=w408-h544-k-no,Spa de jour,Spa de jour,4.6,07:00-23:00,,25 250 103,"RJ8H+3P9 Anti-Stress Hammam, Rue El Imam Ibnou Arafa, Sousse","gold, hotel, gommage, masseuses, hamman, masque, equipe, famille, droit de propriete, musique",https://www.google.com/maps/place/Anti-Stress+Hammam/data=!4m7!3m6!1s0x13027567c95cca57:0xd31ee2d5e9ea4e0b!8m2!3d35.8151704!4d10.6293726!16s%2Fg%2F11b6dn4p0_!19sChIJV8pcyWd1AhMRC07q6dXiHtM?authuser=0&hl=fr&rclk=1
ChIJRVO8dBeK_RIR1DK8bT-U8kA,Parc de loisirs Hadhood,,False,189,http://www.hadhood.com.tn/,Parc de loisirs Hadhood (proprietaire),https://www.google.com/maps/contrib/112113333003918748923,https://lh5.googleusercontent.com/p/AF1QipOaC2j3fNpjUjjJjB_cP0oKoIJath5QbZO4zjDo=w408-h306-k-no,Parc de loisirs,Parc de loisirs,4,20:00-00:00,"lundi, mardi",52 188 999,"Parc de loisirs Hadhood, Rue El Bhaier, Hammam Sousse 4011","enfants, securite, prix, famille, parents, cafe, climatise, service, toilettes, apres-midi",https://www.google.com/maps/place/Parc+de+loisirs+Hadhood/data=!4m7!3m6!1s0x12fd8a1774bc5345:0x40f2943f6dbc32d4!8m2!3d35.8675097!4d10.5992942!16s%2Fg%2F11c0vl_phd!19sChIJRVO8dBeK_RIR1DK8bT-U8kA?authuser=0&hl=fr&rclk=1
ChIJz37gvIp1AhMRqipX4dXU9GM,Las Vegas Beach,,False,47,,,,https://lh5.googleusercontent.com/p/AF1QipPxGiDDzc4zAvnzzxLlms78BrUviQSmsRZueQbX=w426-h240-k-no,Plage,Plage,4.1,,,,"Las Vegas Beach, Sousse",,https://www.google.com/maps/place/Las+Vegas+Beach/data=!4m7!3m6!1s0x1302758abce07ecf:0x63f4d4d5e1572aaa!8m2!3d35.8522291!4d10.6215908!16s%2Fg%2F1trrxyn_!19sChIJz37gvIp1AhMRqipX4dXU9GM?authuser=0&hl=fr&rclk=1
ChIJOcAGLapyAhMRm1WUndhl57M,Plage Sqanes,"Crique de sable ideale pour la baignade, jouxtant une voie pietonne avec commerces et discotheque a proximite.",False,34,,,,https://lh5.googleusercontent.com/p/AF1QipNKoUjuNRhfi8BFHTfUgTgHjsqcEkc3wcaDrkKI=w408-h306-k-no,Plage,Plage,3.9,,,,"Plage Sqanes, Monastir",,https://www.google.com/maps/place/Plage+Sqanes/data=!4m7!3m6!1s0x130272aa2d06c039:0xb3e765d89d94559b!8m2!3d35.7799282!4d10.7982422!16s%2Fg%2F11b6_zvths!19sChIJOcAGLapyAhMRm1WUndhl57M?authuser=0&hl=fr&rclk=1
ChIJU4Dou9-L_RIRH-22bNuaggo,Mini Market Artemis,,False,14,,Mini Market Artemis (proprietaire),https://www.google.com/maps/contrib/106878992291988373660,https://lh5.googleusercontent.com/p/AF1QipOxNCSGQQlshEP48biL-w0zOmjz7D7rGxHjWRwN=w408-h306-k-no,Magasin d'alimentation naturelle,Magasin d'alimentation naturelle,5,Ouvert 24h/24,,48 082 524,"Mini Market Artemis, Rue Pakistan, Sousse",,https://www.google.com/maps/place/Mini+Market+Artemis/data=!4m7!3m6!1s0x12fd8bdfbbe88053:0xa829adb6cb6ed1f!8m2!3d35.8387856!4d10.5933009!16s%2Fg%2F11vwgp9qlg!19sChIJU4Dou9-L_RIRH-22bNuaggo?authuser=0&hl=fr&rclk=1
