place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJL01n3PGkqhMRwiUZ9W3cRVc,Fort Ghazi Mustapha,,False,486,,Fort Ghazi Mustapha (proprietaire),https://www.google.com/maps/contrib/107523545098704283226,https://lh5.googleusercontent.com/p/AF1QipP3ZgNaKvz0frgUs54Kyyz-As4hbbWuhV0B51Uw=w408-h544-k-no,Site historique,"Site historique, Lieu historique",4.4,09:30-16:30,vendredi,75 653 786,"Fort Ghazi Mustapha, Houmt Souk","forteresse, fortification, ile, prix, espace, especes, port, archeologique, 1560, main courante",https://www.google.com/maps/place/Fort+Ghazi+Mustapha/data=!4m7!3m6!1s0x13aaa4f1dc674d2f:0x5745dc6df51925c2!8m2!3d33.883964!4d10.8606904!16s%2Fg%2F1vb9g70w!19sChIJL01n3PGkqhMRwiUZ9W3cRVc?authuser=0&hl=fr&rclk=1
ChIJJ3LhWeikqhMRSH0HUqM9L_U,Marche Central Houmt Souk,,False,468,,Marche Central Houmt Souk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMpFjgPznnUNAaTbEbW9wYrSxeZ_ppmHMj1zyd4=w408-h544-k-no,Marche,Marche,4,08:00-18:00,,,"VVG5+2CM Marche Central Houmt Souk, Houmt Souk","touristes, vendeurs, negocier, boutiques, souvenirs, attention, pittoresque, ruelles, marchander, epices",https://www.google.com/maps/place/March%C3%A9+Central+Houmt+Souk/data=!4m7!3m6!1s0x13aaa4e859e17227:0xf52f3da352077d48!8m2!3d33.875078!4d10.858539!16s%2Fg%2F11g8_ch98y!19sChIJJ3LhWeikqhMRSH0HUqM9L_U?authuser=0&hl=fr&rclk=1
ChIJ35ahcvqkqhMR53AGt4bv3g8,Bateau Pirate,,False,229,,Bateau Pirate (proprietaire),https://www.google.com/maps/contrib/111367169972589124631,https://lh5.googleusercontent.com/p/AF1QipPuq4oRVE--GyB6wZCWkiLoefOUaak6D8gn2PxI=w427-h240-k-no,Agence d'excursions en bateau,Agence d'excursions en bateau,4,08:00-20:00,,20 020 022,"Bateau Pirate, marina houmt souk, Hwm@ lswq 4180","repas, couscous, quads, parasol, chevaux, animation, transat, pirates, spectacle, flamants roses",https://www.google.com/maps/place/Bateau+Pirate/data=!4m7!3m6!1s0x13aaa4fa72a196df:0xfdeef86b70670e7!8m2!3d33.8888445!4d10.8553076!16s%2Fg%2F119wcggjs!19sChIJ35ahcvqkqhMR53AGt4bv3g8?authuser=0&hl=fr&rclk=1
ChIJvX8l-9-lqhMRbJt-v5-kZCc,Marina djerba,,False,179,,Marina djerba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNLkYpsq6u9bXQ2daOHH7xzMi2SvinUuTI-uJdx=w426-h240-k-no,Attraction touristique,Attraction touristique,4.1,,,,"VVP4+2CW Marina djerba, Houmt Souk","pirates, bateau, cafes, espace",https://www.google.com/maps/place/Marina+djerba/data=!4m7!3m6!1s0x13aaa5dffb257fbd:0x2764a49fbf7e9b6c!8m2!3d33.8850045!4d10.8562078!16s%2Fg%2F11kk5bv53h!19sChIJvX8l-9-lqhMRbJt-v5-kZCc?authuser=0&hl=fr&rclk=1
ChIJ6fHJpcKjqhMRIZwGxq-HWio,Ile aux Flamants Roses,,False,144,,Ile aux Flamants Roses (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6OeivtS3aRMYTl3vh2tP4e2KAsfzE8IhiOFAr=w408-h306-k-no,Attraction touristique,Attraction touristique,3.9,Ouvert 24h/24,,,"WW53+Q4 Ile aux Flamants Roses, Houmt Souk","bateau, transat, quads, chevaux, repas, mer, algues, caleche, harcelement, triste",https://www.google.com/maps/place/Ile+aux+Flamants+Roses/data=!4m7!3m6!1s0x13aaa3c2a5c9f1e9:0x2a5a87afc6069c21!8m2!3d33.909485!4d10.9028675!16s%2Fg%2F11sb51s88r!19sChIJ6fHJpcKjqhMRIZwGxq-HWio?authuser=0&hl=fr&rclk=1
ChIJh_qKKOykqhMRgtcSmS5gTIM,Musee du patrimoine traditionnel de Djerba,,False,143,http://www.djerbamuseum.tn/,Musee du patrimoine traditionnel de Djerba (proprietaire),https://www.google.com/maps/contrib/113241660387296752351,https://lh5.googleusercontent.com/p/AF1QipP7FjgAuGh073eUOR221NVSfQHkPOMQC0tkugp0=w408-h306-k-no,Musee,Musee,4.4,09:30-16:30,vendredi,75 650 540,"Musee du patrimoine traditionnel de Djerba, 4180 Ave Habib Thameur, Houmt Souk","ile, histoire, riche, tisser, maquettes, vie, poterie, organise",https://www.google.com/maps/place/Mus%C3%A9e+du+patrimoine+traditionnel+de+Djerba/data=!4m7!3m6!1s0x13aaa4ec288afa87:0x834c602e9912d782!8m2!3d33.8798298!4d10.8623621!16s%2Fg%2F1tht3mmq!19sChIJh_qKKOykqhMRgtcSmS5gTIM?authuser=0&hl=fr&rclk=1
ChIJYZM5Ku-kqhMRlqFf9XX6uyc,Mosquee des Turcs,,False,120,,Mosquee des Turcs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOkgEJ7EOrNiJQjt13Ms8fIEMKEyKLVzXPBiX4J=w408-h272-k-no,Mosquee,"Mosquee, Attraction touristique",4.5,,,,"Mosquee des Turcs, 32 Rue 2 Mars 1934, Houmt Souk","histoire, architecture, eglise",https://www.google.com/maps/place/Mosqu%C3%A9e+des+Turcs/data=!4m7!3m6!1s0x13aaa4ef2a399361:0x27bbfa75f55fa196!8m2!3d33.8781407!4d10.8591697!16s%2Fg%2F121v2cl4!19sChIJYZM5Ku-kqhMRlqFf9XX6uyc?authuser=0&hl=fr&rclk=1
ChIJ4452UcmlqhMRTx4VMltCrKs,Souk El Rbaa,,False,72,,Souk El Rbaa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMoZibrNE-TWJswXQpru5WxXWRy9FLe0GsUhjrG=w408-h544-k-no,Bazar,Bazar,4.3,08:00-20:00,,,"VVG5+976 Souk El Rbaa, Houmt Souk","artisans, prix",https://www.google.com/maps/place/Souk+El+Rbaa/data=!4m7!3m6!1s0x13aaa5c951768ee3:0xabac425b32151e4f!8m2!3d33.8759188!4d10.8581519!16s%2Fg%2F11fb0k3ysr!19sChIJ4452UcmlqhMRTx4VMltCrKs?authuser=0&hl=fr&rclk=1
ChIJxcUB6eikqhMRWObyRDSRDiQ,Bazaar Houmt Souk,,False,70,,Bazaar Houmt Souk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMod5WePOFqz9Z8RYpsszSZCMkXBBfdxLDnmdJP=w408-h306-k-no,Bazar,Bazar,3.8,Ouvert 24h/24,,,"VVG5+J8H Bazaar Houmt Souk, Houmt Souk","touristique, prix, vendeurs",https://www.google.com/maps/place/Bazaar+Houmt+Souk/data=!4m7!3m6!1s0x13aaa4e8e901c5c5:0x240e913444f2e658!8m2!3d33.8765608!4d10.858372!16s%2Fg%2F11dymcccwt!19sChIJxcUB6eikqhMRWObyRDSRDiQ?authuser=0&hl=fr&rclk=1
ChIJS0G2XA6lqhMR-l_p5trZC8I,Houmt souk djerba,,False,40,,Houmt souk djerba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOKLxiB-r9uUi6mkhVl_PM4yAh0G2Te88jc5LT_=w408-h725-k-no,Attraction touristique,Attraction touristique,4.5,,,,"VVG5+RG6 Houmt souk djerba, Houmt Souk",,https://www.google.com/maps/place/Houmt+souk+djerba/data=!4m7!3m6!1s0x13aaa50e5cb6414b:0xc20bd9dae6e95ffa!8m2!3d33.8770499!4d10.8587556!16s%2Fg%2F11krs4f6_p!19sChIJS0G2XA6lqhMR-l_p5trZC8I?authuser=0&hl=fr&rclk=1
