place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJS1M8rItF_RIRm9xmLFzTM2o,Parc National Boukornine,"Zone protegee autour du djebel Boukornine, avec sentiers de randonnee, orchidees, chacals et chats sauvages.",False,239,,Parc National Boukornine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQx6TqcIIEMjUIcOsBmzgBgKi3hz1_q9Uf0fZm=w408-h306-k-no,Parc national,"Parc national, Attraction touristique",4.1,,,58 905 502,"M96M+99H Parc National Boukornine, A1, Hammam-Lif","nature, montagne, mammiferes, fevrier, 1987",https://www.google.com/maps/place/Parc+National+Boukornine/data=!4m7!3m6!1s0x12fd458bac3c534b:0x6a33d35c2c66dc9b!8m2!3d36.6609432!4d10.383479!16s%2Fm%2F012w469s!19sChIJS1M8rItF_RIRm9xmLFzTM2o?authuser=0&hl=fr&rclk=1
ChIJcRoCKis8_RIRGfrNrYXxkWc,Ain Fouara,,False,3,,,,,Source d'eau,Source d'eau,4,,,,Ain Fouara,,https://www.google.com/maps/place/Ain+Fouara/data=!4m7!3m6!1s0x12fd3c2b2a021a71:0x6791f185adcdfa19!8m2!3d36.5625!4d10.1675!16s%2Fg%2F11byl4ncfb!19sChIJcRoCKis8_RIRGfrNrYXxkWc?authuser=0&hl=fr&rclk=1
ChIJd9yc_yc8_RIRTRezDeD_MwQ,Ain Tagtag,,False,2,,,,https://lh5.googleusercontent.com/p/AF1QipO1S-D3xwuUx50j7NS_MMiLKaQXIsu3NtEPdhsT=w426-h240-k-no,Source d'eau,Source d'eau,3.5,,,,Ain Tagtag,,https://www.google.com/maps/place/Ain+Tagtag/data=!4m7!3m6!1s0x12fd3c27ff9cdc77:0x433ffe00db3174d!8m2!3d36.5727778!4d10.1702778!16s%2Fg%2F11byl3y_hj!19sChIJd9yc_yc8_RIRTRezDeD_MwQ?authuser=0&hl=fr&rclk=1
ChIJRWa2wHEg_RIRrgKkgulL1Lc,Jebel el Ahmar,,False,2,,,,,Sommet montagneux,Sommet montagneux,4,,,,Jebel el Ahmar,,https://www.google.com/maps/place/Jebel+el+Ahmar/data=!4m7!3m6!1s0x12fd2071c0b66645:0xb7d44be982a402ae!8m2!3d36.5694444!4d9.9116667!16s%2Fg%2F1td55vlg!19sChIJRWa2wHEg_RIRrgKkgulL1Lc?authuser=0&hl=fr&rclk=1
ChIJkanAszU5_RIR9Orr5bsHawo,Ain Deboubia,,False,1,,,,https://lh5.googleusercontent.com/p/AF1QipP-Nq98Z-MFi-CfB9iOmZH7xZ7j_HLjY6BnnInH=w408-h725-k-no,Source d'eau,Source d'eau,5,,,,Ain Deboubia,,https://www.google.com/maps/place/Ain+Deboubia/data=!4m7!3m6!1s0x12fd3935b3c0a991:0xa6b07bbe5ebeaf4!8m2!3d36.6061111!4d10.1952778!16s%2Fg%2F11bc8cr0ct!19sChIJkanAszU5_RIR9Orr5bsHawo?authuser=0&hl=fr&rclk=1
ChIJgRHdVQA__RIRJkc93gNMj7M,bHyr@,,False,1,,bHyr@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTjnU8xREWIrQ_2lRF_eaPY2gnrZVCQpv9J7Ay=w426-h240-k-no,Circuit de randonnee,Circuit de randonnee,5,,,,"H5WG+FF bHyr@, Mohammedia",,https://www.google.com/maps/place/%D8%A8%D8%AD%D9%8A%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd3f0055dd1181:0xb38f4c03de3d4726!8m2!3d36.5961597!4d10.1761702!16s%2Fg%2F11y3mwgfgb!19sChIJgRHdVQA__RIRJkc93gNMj7M?authuser=0&hl=fr&rclk=1
ChIJm9t4IpE7_RIRUoGM5U_mIK4,Palais de la Mohamedia,,False,1,,Palais de la Mohamedia (proprietaire),https://www.google.com/maps/contrib/102884484054478365792,,Chateau,"Chateau, Musee historique",3,,,,"Palais de la Mohamedia, Mohammedia",,https://www.google.com/maps/place/Palais+de+la+Mohamedia/data=!4m7!3m6!1s0x12fd3b912278db9b:0xae20e64fe58c8152!8m2!3d36.6775089!4d10.1535338!16s%2Fg%2F1239vd4q!19sChIJm9t4IpE7_RIRUoGM5U_mIK4?authuser=0&hl=fr&rclk=1
ChIJrQHYZ6U-_RIRDs30G_lHSPM,Ain el Hallalif,,False,1,,,,,Source d'eau,Source d'eau,4,,,,Ain el Hallalif,,https://www.google.com/maps/place/Ain+el+Hallalif/data=!4m7!3m6!1s0x12fd3ea567d801ad:0xf34847f91bf4cd0e!8m2!3d36.5925!4d10.18!16s%2Fg%2F11bylc70t4!19sChIJrQHYZ6U-_RIRDs30G_lHSPM?authuser=0&hl=fr&rclk=1
ChIJ-89G07U-_RIR-AkbMdNZE9o,Ain el Kahola,,False,1,,,,,Source d'eau,Source d'eau,3,,,,Ain el Kahola,,https://www.google.com/maps/place/Ain+el+Kahola/data=!4m7!3m6!1s0x12fd3eb5d346cffb:0xda1359d3311b09f8!8m2!3d36.5980556!4d10.19!16s%2Fg%2F11bc8d0x1y!19sChIJ-89G07U-_RIR-AkbMdNZE9o?authuser=0&hl=fr&rclk=1
ChIJT_j4UGc-_RIRvQGSwICW2tU,Ain el Amari,,False,1,,,,,Source d'eau,Source d'eau,2,,,,Ain el Amari,,https://www.google.com/maps/place/Ain+el+Amari/data=!4m7!3m6!1s0x12fd3e6750f8f84f:0xd5da9680c09201bd!8m2!3d36.5541667!4d10.1922222!16s%2Fg%2F11byl2ylmk!19sChIJT_j4UGc-_RIRvQGSwICW2tU?authuser=0&hl=fr&rclk=1
