place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJX-cowYU5_RIRz8B8E63aI78,kshshm@ bHyr@,,False,29,,kshshm@ bHyr@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOgiuQT7vtFxBeFSIoxtgOaTWTvymYoztt451ef=w408-h544-k-no,Lac ouvert a la baignade,Lac ouvert a la baignade,4.4,,,,"J6G9+PM7 kshshm@ bHyr@, Mornag",,https://www.google.com/maps/place/%D9%83%D8%B4%D8%A7%D8%B4%D9%85%D8%A9+%D8%A8%D8%AD%D9%8A%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd3985c128e75f:0xbf23daad137cc0cf!8m2!3d36.626789!4d10.219182!16s%2Fg%2F11fvhc2n8d!19sChIJX-cowYU5_RIRz8B8E63aI78?authuser=0&hl=fr&rclk=1
ChIJ6UHeHSJI_RIRjlCM6XB5wSk,Mornag Eco Farm,,False,17,https://www.facebook.com/pages/Mornag-Eco-Farm/556454417727821%3Ffref%3Dts,Mornag Eco Farm (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNi3pprip5te1Cs10p3J8m6I1djeCTlwzFBYA_a=w408-h306-k-no,Jardin botanique,"Jardin botanique, Divertissements",4,,,,"Mornag Eco Farm, C35",,https://www.google.com/maps/place/Mornag+Eco+Farm/data=!4m7!3m6!1s0x12fd48221dde41e9:0x29c17970e98c508e!8m2!3d36.7041967!4d10.2656802!16s%2Fg%2F1pp2vlpqz!19sChIJ6UHeHSJI_RIRjlCM6XB5wSk?authuser=0&hl=fr&rclk=1
ChIJ10wsP3AY_RIRKiBlSBroCIQ,Jebel Oust,,False,10,,,,https://lh5.googleusercontent.com/p/AF1QipPQcgJNof_uSKnw1Jxr-Ll4JHdjCJ1aP-oG4g7L=w408-h306-k-no,Sommet montagneux,Sommet montagneux,3.2,,,,Jebel Oust,,https://www.google.com/maps/place/Jebel+Oust/data=!4m7!3m6!1s0x12fd18703f2c4cd7:0x8408e81a4865202a!8m2!3d36.52!4d10.0488889!16s%2Fg%2F1tfsw8mb!19sChIJ10wsP3AY_RIRKiBlSBroCIQ?authuser=0&hl=fr&rclk=1
ChIJNcGJYlVJ_RIRJaJ-hJJZhm0,Miel Chammakhi - Bio,,False,3,https://www.facebook.com/MielBioChammakhi/,Miel Chammakhi - Bio (proprietaire),,,Epicerie,Epicerie,3.7,08:00-19:00,dimanche,98 831 263,"M7JR+475 Miel Chammakhi - Bio, Mornag",,https://www.google.com/maps/place/Miel+Chammakhi+-+Bio/data=!4m7!3m6!1s0x12fd49556289c135:0x6d865992847ea225!8m2!3d36.6802748!4d10.2907359!16s%2Fg%2F11h64q19x9!19sChIJNcGJYlVJ_RIRJaJ-hJJZhm0?authuser=0&hl=fr&rclk=1
ChIJcRoCKis8_RIRGfrNrYXxkWc,Ain Fouara,,False,3,,,,,Source d'eau,Source d'eau,4,,,,Ain Fouara,,https://www.google.com/maps/place/Ain+Fouara/data=!4m7!3m6!1s0x12fd3c2b2a021a71:0x6791f185adcdfa19!8m2!3d36.5625!4d10.1675!16s%2Fg%2F11byl4ncfb!19sChIJcRoCKis8_RIRGfrNrYXxkWc?authuser=0&hl=fr&rclk=1
ChIJpRFBHp1J_RIR9dMStwjogwM,Coins de beaute,,False,2,,Coins de beaute (proprietaire),https://www.google.com/maps/contrib/102866052564091010657,https://lh5.googleusercontent.com/p/AF1QipPXAtZkFkT3z5hzgq3hA7qSaOtouNWqvJZiXuFO=w426-h240-k-no,Salon de manucure,Salon de manucure,5,09:00-18:00,lundi,55 530 305,"Coins de beaute, C35, Mornag 2090",,https://www.google.com/maps/place/Coins+de+beaut%C3%A9/data=!4m7!3m6!1s0x12fd499d1e4111a5:0x383e808b712d3f5!8m2!3d36.6818759!4d10.287804!16s%2Fg%2F11j9360v8b!19sChIJpRFBHp1J_RIR9dMStwjogwM?authuser=0&hl=fr&rclk=1
ChIJU9FQJuk9_RIRt_RaVXvact4,Ain Safsaf,,False,2,,,,,Source d'eau,Source d'eau,4,,,,Ain Safsaf,,https://www.google.com/maps/place/Ain+Safsaf/data=!4m7!3m6!1s0x12fd3de92650d153:0xde72da7b555af4b7!8m2!3d36.5372222!4d10.1561111!16s%2Fg%2F11bc8d5rrf!19sChIJU9FQJuk9_RIRt_RaVXvact4?authuser=0&hl=fr&rclk=1
ChIJ-89G07U-_RIR-AkbMdNZE9o,Ain el Kahola,,False,1,,,,,Source d'eau,Source d'eau,3,,,,Ain el Kahola,,https://www.google.com/maps/place/Ain+el+Kahola/data=!4m7!3m6!1s0x12fd3eb5d346cffb:0xda1359d3311b09f8!8m2!3d36.5980556!4d10.19!16s%2Fg%2F11bc8d0x1y!19sChIJ-89G07U-_RIR-AkbMdNZE9o?authuser=0&hl=fr&rclk=1
ChIJkanAszU5_RIR9Orr5bsHawo,Ain Deboubia,,False,1,,,,https://lh5.googleusercontent.com/p/AF1QipP-Nq98Z-MFi-CfB9iOmZH7xZ7j_HLjY6BnnInH=w408-h725-k-no,Source d'eau,Source d'eau,5,,,,Ain Deboubia,,https://www.google.com/maps/place/Ain+Deboubia/data=!4m7!3m6!1s0x12fd3935b3c0a991:0xa6b07bbe5ebeaf4!8m2!3d36.6061111!4d10.1952778!16s%2Fg%2F11bc8cr0ct!19sChIJkanAszU5_RIR9Orr5bsHawo?authuser=0&hl=fr&rclk=1
ChIJG66zEIRD_RIRLbaFOpGXk1I,Ain ed Dib,,False,1,,,,https://lh5.googleusercontent.com/p/AF1QipN1-D4QU9jEURC51Z0eGlXOo9_VGBOJiICD6jdW=w426-h240-k-no,Source d'eau,Source d'eau,5,,,,Ain ed Dib,,https://www.google.com/maps/place/Ain+ed+Dib/data=!4m7!3m6!1s0x12fd438410b3ae1b:0x529397913a85b62d!8m2!3d36.5797222!4d10.3880556!16s%2Fg%2F11byl90ynm!19sChIJG66zEIRD_RIRLbaFOpGXk1I?authuser=0&hl=fr&rclk=1
