place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAa41xHo1_RIRZtUyJsfRCYA,Lac de Tunis,,False,436,,,,https://lh5.googleusercontent.com/p/AF1QipNmltVlxpfuacjeq29ioIWlQ_07p6KYDy0JUYPn=w408-h272-k-no,Lac,Lac,4.3,,,,Lac de Tunis,"beau, touristique, cafes",https://www.google.com/maps/place/Lac+de+Tunis/data=!4m7!3m6!1s0x12fd357ac435ae01:0x8009d1c72632d566!8m2!3d36.809406!4d10.2095525!16zL20vMGJyNWY2!19sChIJAa41xHo1_RIRZtUyJsfRCYA?authuser=0&hl=fr&rclk=1
ChIJ6Qpez2gy_RIRIV9o2O6-lnY,Musee National Militaire,,False,140,,Musee National Militaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8lpgkip-Ogx_HwKXtqKRk4KskhD6l49FgtqpZ=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.6,09:00-16:00,lundi,70 604 018,"Musee National Militaire, 53 Ave Habib Bourguiba, Manouba","histoire militaire, armes, palais, ministere, architecture, guide culturel, guerres, histoire de la tunisie, 1989, 1984",https://www.google.com/maps/place/Mus%C3%A9e+National+Militaire/data=!4m7!3m6!1s0x12fd3268cf5e0ae9:0x7696beeed8685f21!8m2!3d36.8113948!4d10.0984958!16s%2Fg%2F120jr3v2!19sChIJ6Qpez2gy_RIRIV9o2O6-lnY?authuser=0&hl=fr&rclk=1
ChIJT5I0ntst_RIRWCHOkR1AgDk,Best For Pets,,False,23,https://www.facebook.com/hamdi.riahi1,Best For Pets (proprietaire),https://www.google.com/maps/contrib/102731816724831982169,https://lh5.googleusercontent.com/p/AF1QipNf0ja9CFIvGQa0vfN6wy4HaDEvLXVhby6UKHFX=w408-h306-k-no,Aquarium,"Aquarium, Animalerie",4.9,"10:00-13:00, 17:00-20:00",,27 737 442,"Best For Pets, wdy llyl, shr` lHdy'q, nhj lysmyn `dd 9, Oued Ellil 2021",,https://www.google.com/maps/place/Best+For+Pets/data=!4m7!3m6!1s0x12fd2ddb9e34924f:0x3980401d91ce2158!8m2!3d36.8346165!4d10.0446865!16s%2Fg%2F11rxqhl2p6!19sChIJT5I0ntst_RIRWCHOkR1AgDk?authuser=0&hl=fr&rclk=1
ChIJ2zhHtjpL_RIRTQcNKKk8mMU,Ecovillage Natural Beauty - Tunisia Mall,,False,16,http://www.ecovillage.com.tn/,Ecovillage Natural Beauty - Tunisia Mall (proprietaire),https://www.google.com/maps/contrib/106868360333542650853,https://lh5.googleusercontent.com/p/AF1QipOyX7rVZrQMDSgzMcC2FGQCZo0R34BDj5-RfHAC=w408-h502-k-no,Magasin de produits de beaute,Magasin de produits de beaute,4.4,09:00-21:00,,29 766 146,"Ecovillage Natural Beauty - Tunisia Mall, Tunisia mall, Tunis",,https://www.google.com/maps/place/Ecovillage+Natural+Beauty+-+Tunisia+Mall/data=!4m7!3m6!1s0x12fd4b3ab64738db:0xc5983ca9280d074d!8m2!3d36.8452435!4d10.2725561!16s%2Fg%2F11h4238yj3!19sChIJ2zhHtjpL_RIRTQcNKKk8mMU?authuser=0&hl=fr&rclk=1
ChIJQyhHAXIy_RIR9y-z44W2f18,Mosquee de Manouba,,False,10,,Mosquee de Manouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNSTKTElOWRhKfaH23lnD5Pq5Fkd6_Jp7osoqDp=w426-h240-k-no,Mosquee,Mosquee,4.8,04:00-21:30,,,"Mosquee de Manouba, jm` mnwb@ lm`mwr, Manouba 2010",,https://www.google.com/maps/place/Mosqu%C3%A9e+de+Manouba/data=!4m7!3m6!1s0x12fd327201472843:0x5f7fb685e3b32ff7!8m2!3d36.808589!4d10.0916236!16s%2Fg%2F11fy4tkk37!19sChIJQyhHAXIy_RIR9y-z44W2f18?authuser=0&hl=fr&rclk=1
ChIJ8WWB_LXS4hIRfkBjX9MBBPE,Jebel Amar,,False,9,,,,https://lh5.googleusercontent.com/p/AF1QipO0EvXnScpwQqm871YlmbLmhnXVHCLh4qwHmN3V=w408-h306-k-no,Sommet montagneux,Sommet montagneux,3.7,,,,Jebel Amar,,https://www.google.com/maps/place/Jebel+Amar/data=!4m7!3m6!1s0x12e2d2b5fc8165f1:0xf10401d35f63407e!8m2!3d36.8752778!4d10.0588889!16s%2Fg%2F121bw152!19sChIJ8WWB_LXS4hIRfkBjX9MBBPE?authuser=0&hl=fr&rclk=1
ChIJDawdN2oy_RIRFmgns8BiIEk,wd qryn@,,False,6,,,,https://lh5.googleusercontent.com/p/AF1QipOjaBd1MUmrRLrGVOdE9TWMQt8r8FG0oboaMzTO=w408-h274-k-no,Channel,Channel,3.7,,,,wd qryn@,,https://www.google.com/maps/place/%D9%88%D8%A7%D8%AF+%D9%82%D8%B1%D9%8A%D8%A7%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd326a371dac0d:0x492062c0b3276816!8m2!3d36.8037247!4d10.0976533!16s%2Fg%2F11bw87qn9c!19sChIJDawdN2oy_RIRFmgns8BiIEk?authuser=0&hl=fr&rclk=1
ChIJXcsrVkcx_RIRi-nxPMxdyew,Sebkhet Sijoumi,,False,6,,,,https://lh5.googleusercontent.com/p/AF1QipO0qFg0HO4PrhhnSe16lWjiGwIGMidWxhRXtNUZ=w426-h240-k-no,Marecage,Marecage,4.2,,,,Sebkhet Sijoumi,,https://www.google.com/maps/place/Sebkhet+Sijoumi/data=!4m7!3m6!1s0x12fd3147562bcb5d:0xecc95dcc3cf1e98b!8m2!3d36.7677023!4d10.1367166!16s%2Fg%2F1v7hx7zg!19sChIJXcsrVkcx_RIRi-nxPMxdyew?authuser=0&hl=fr&rclk=1
ChIJ_wx9iPUt_RIRC7t6Wll9beQ,Manouba,,False,2,,Manouba (proprietaire),,,Terrain de football,Terrain de football,4,,,,"R32J+F63 Manouba, Terrain, Manouba 1091",,https://www.google.com/maps/place/Manouba/data=!4m7!3m6!1s0x12fd2df5887d0cff:0xe46d7d595a7abb0b!8m2!3d36.8011258!4d10.080561!16s%2Fg%2F11cs3tzhds!19sChIJ_wx9iPUt_RIRC7t6Wll9beQ?authuser=0&hl=fr&rclk=1
ChIJudeMNl0y_RIROK7MemIJ2e8,Terre Agricole,,False,1,,,,,Agricultural,Agricultural,5,,,,"Terre Agricole, Manouba",,https://www.google.com/maps/place/Terre+Agricole/data=!4m7!3m6!1s0x12fd325d368cd7b9:0xefd909627accae38!8m2!3d36.8134071!4d10.1048697!16s%2Fg%2F11g_jklxv!19sChIJudeMNl0y_RIROK7MemIJ2e8?authuser=0&hl=fr&rclk=1
