place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJkZluBAm8qhMRZso5GjDVMGg,Djerba,"Ile pittoresque connue pour ses plages, ses villages desertiques blanchis a la chaux, ses marches et sa forteresse du XVIe siecle.",False,4477,,,,https://lh5.googleusercontent.com/p/AF1QipMR58GMWOVJbYNK5qhXC5tB6ax1RCQmL0cV_mkJ=w408-h408-k-no,Ile,Ile,4.5,,,,Djerba,"reves, hotel, desert, climat, chameau, poterie, artisanat, architecture, flamands roses, abandon de detritus",https://www.google.com/maps/place/Djerba/data=!4m7!3m6!1s0x13aabc09046e9991:0x6830d5301a39ca66!8m2!3d33.8075978!4d10.8451467!16zL20vMDI3a3R0!19sChIJkZluBAm8qhMRZso5GjDVMGg?authuser=0&hl=fr&rclk=1
ChIJj6sIGGmXqhMRzELxbkXmJJ0,Djerba Explore Park,"Parc avec ferme aux crocodiles, musee et reconstitutions d'une maison, d'un moulin et d'un atelier de poterie.",False,3127,http://www.djerbaexplore.com/,Djerba Explore Park (proprietaire),https://www.google.com/maps/contrib/103898578435381342533,https://lh5.googleusercontent.com/p/AF1QipNckFUfZbAnkAZCneAF6EoOVu8kOs60uDQk-xUa=w408-h267-k-no,Parc a theme,"Parc a theme, Residence hoteliere, Boutique de cadeaux, Restaurant",4.6,,,75 745 277,"Djerba Explore Park, Midoun, Djerba Midun","crocodiliens, reptiles, tortues, ferme, iguanes, musee en plein air, heritage, chameaux",https://www.google.com/maps/place/Djerba+Explore+Park/data=!4m10!3m9!1s0x13aa97691808ab8f:0x9d24e6456ef142cc!5m2!4m1!1i2!8m2!3d33.8187713!4d11.0432121!16s%2Fg%2F1v2dh410!19sChIJj6sIGGmXqhMRzELxbkXmJJ0?authuser=0&hl=fr&rclk=1
ChIJ-QCaR2iXqhMR7qBwoBfwAh8,Ferme aux Crocodiles,"Grand zoo avec crocodiles, nourrissages publics, autres reptiles divers et musee historique.",False,3072,http://djerbaexplore.com/,Ferme aux Crocodiles (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPNnucVXzFuykY5GVVzdGS8nA8Yu0FeN4Dw15Cj=w408-h541-k-no,Zoo,"Zoo, Attraction touristique",4.6,09:00-18:00,lundi,75 745 277,"R29V+P5X Ferme aux Crocodiles, Unnamed Road, Djerba Midun","tortues, reptiles, iguanes, village, crocodile du nil, spectacle, ile, musee en plein air, musee local",https://www.google.com/maps/place/Ferme+aux+Crocodiles/data=!4m7!3m6!1s0x13aa9768479a00f9:0x1f02f017a070a0ee!8m2!3d33.8193539!4d11.0429871!16s%2Fm%2F0n8jg6x!19sChIJ-QCaR2iXqhMR7qBwoBfwAh8?authuser=0&hl=fr&rclk=1
ChIJU6a4Nxq7qhMRxMlTUd_iMWA,Djerbahood,Village entier orne d'oeuvres de rue realisees par des artistes originaires de plus de 30 pays.,False,2921,http://djerbahood.com/,Djerbahood (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNZESc51wM25kBDLPIgBPHwZS-d_VvzkpsFb_Dk=w408-h306-k-no,Musee en plein air,"Musee en plein air, Attraction touristique",4.6,Ouvert 24h/24,,,"RVC3+GP4 Djerbahood, Hara Sghira Er Riadh","village, street art, artistes, ruelles, fresques, ile, quartier, ballade, bougainvillea, synagogue",https://www.google.com/maps/place/Djerbahood/data=!4m7!3m6!1s0x13aabb1a37b8a653:0x6031e2df5153c9c4!8m2!3d33.82127!4d10.8543415!16s%2Fg%2F11b6rkdl_f!19sChIJU6a4Nxq7qhMRxMlTUd_iMWA?authuser=0&hl=fr&rclk=1
ChIJp0m8JoqXqhMRfCwP5eKd_ug,Aqua Park Le Pirate,,False,530,https://www.facebook.com/aquaparklepirate/,Aqua Park Le Pirate (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOsmuzcKU2aN2e-qznGAd2zkhrD9O5WreppJFjw=w408-h306-k-no,Parc aquatique,"Parc aquatique, Attraction touristique",3.5,10:00-18:00,,23 388 225,"R2P5+4FM Aqua Park Le Pirate, Djerba Midun","bouee, entree, catastrophique, restauration, sale, dinar, bouteille d'eau, attractions, serveur, sandwich",https://www.google.com/maps/place/Aqua+Park+Le+Pirate/data=!4m7!3m6!1s0x13aa978a26bc49a7:0xe8fe9de2e50f2c7c!8m2!3d33.8353282!4d11.0086715!16s%2Fg%2F11d_7ttg7z!19sChIJp0m8JoqXqhMRfCwP5eKd_ug?authuser=0&hl=fr&rclk=1
ChIJ7zPaW46XqhMRE5mml0NCwBQ,Djerba Golf Club,,False,324,http://www.djerbagolf.com.tn/,Djerba Golf Club (proprietaire),https://www.google.com/maps/contrib/109401260818067586116,https://lh5.googleusercontent.com/p/AF1QipOmf6xuiW80zrk-LuMLYXRtG6agiwPXLEFMJ9Q7=w408-h271-k-no,Club de golf,"Club de golf, Attraction touristique",4.3,07:00-19:00,,75 745 055,"Djerba Golf Club, BP 360, Zone Touristique, Midoun, Djerba, 4116","prix, hotel, service, mer, petit dej, palmiers, securite, terrasse, ile",https://www.google.com/maps/place/Djerba+Golf+Club/data=!4m7!3m6!1s0x13aa978e5bda33ef:0x14c0424397a69913!8m2!3d33.826184!4d11.011304!16s%2Fg%2F121pkqg6!19sChIJ7zPaW46XqhMRE5mml0NCwBQ?authuser=0&hl=fr&rclk=1
ChIJQ6IQt6aXqhMRWRumYqrn2z8,Souk Midoun,,False,309,,Souk Midoun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNrRGuir6P7VQe2mFDrI_6JQAypXiYgEfYYZuhT=w408-h306-k-no,Marche,Marche,3.9,,,,"RX5R+5R4 Souk Midoun, Djerba Midun","prix, touristes, boutiques, epices, marchander, vendeurs, attention, negocier, souvenirs, arnaque",https://www.google.com/maps/place/Souk+Midoun/data=!4m7!3m6!1s0x13aa97a6b710a243:0x3fdbe7aa62a61b59!8m2!3d33.8078892!4d10.9920627!16s%2Fg%2F11n04lyl1g!19sChIJQ6IQt6aXqhMRWRumYqrn2z8?authuser=0&hl=fr&rclk=1
ChIJ4fRNA2mXqhMR5D6yj9oBrcg,Musee Lalla Hadria,,False,203,,Musee Lalla Hadria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCa_tbRLfogovi7NkUVr8Uu4NtWcnNxrnFNcDS=w408-h274-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.6,09:00-17:00,lundi,,"R29W+W22 Musee Lalla Hadria, Djerba Midun","musulmans, culture, bijoux, vetements, l'art, parc",https://www.google.com/maps/place/Mus%C3%A9e+Lalla+Hadria/data=!4m7!3m6!1s0x13aa9769034df4e1:0xc8ad01da8fb23ee4!8m2!3d33.8197621!4d11.045031!16s%2Fg%2F11f3n36w40!19sChIJ4fRNA2mXqhMR5D6yj9oBrcg?authuser=0&hl=fr&rclk=1
ChIJ45cdrBmYqhMRDgZ9m_9ms-0,Plage de Sidi Mahrez,"Plage decontractee en bord de mer, avec eaux limpides, balades a cheval/chameau, acces a d'autres equipements.",False,151,,,,https://lh5.googleusercontent.com/p/AF1QipPp5mSYRAN9pU_trIQqcY6EdNrGfXdwTmkm2M_I=w408-h267-k-no,Plage,Plage,4.2,,,,Plage de Sidi Mahrez,"chevaux, algues, hotels",https://www.google.com/maps/place/Plage+de+Sidi+Mahrez/data=!4m7!3m6!1s0x13aa9819ac1d97e3:0xedb366ff9b7d060e!8m2!3d33.8375384!4d11.0079047!16s%2Fg%2F12hk2hf01!19sChIJ45cdrBmYqhMRDgZ9m_9ms-0?authuser=0&hl=fr&rclk=1
ChIJA460l9mWqhMRNDL_KQPSeqQ,Plage De Seguia Djerba,,False,94,,,,https://lh5.googleusercontent.com/p/AF1QipPTX4dNwSa1JNsOhPcRI9w7nevqD6whG1ZfL8LY=w408-h306-k-no,Plage,Plage,4.5,,,,Plage De Seguia Djerba,,https://www.google.com/maps/place/Plage+De+Seguia+Djerba/data=!4m7!3m6!1s0x13aa96d997b48e03:0xa47ad20329ff3234!8m2!3d33.7843256!4d11.0579089!16s%2Fg%2F11c1mj36gm!19sChIJA460l9mWqhMRNDL_KQPSeqQ?authuser=0&hl=fr&rclk=1
ChIJSygLetiWqhMRmy_fhJNoOx4,Plage de la Seguia,,False,88,,,,https://lh5.googleusercontent.com/p/AF1QipMT0qtPsl0-iRLwCIMWInFvgOceQjBinD2YIG7X=w408-h306-k-no,Plage,Plage,4.4,,,,Plage de la Seguia,"ile, prix",https://www.google.com/maps/place/Plage+de+la+Seguia/data=!4m7!3m6!1s0x13aa96d87a0b284b:0x1e3b689384df2f9b!8m2!3d33.7873055!4d11.0578167!16s%2Fg%2F12hmcf__l!19sChIJSygLetiWqhMRmy_fhJNoOx4?authuser=0&hl=fr&rclk=1
ChIJrbFwcYqWqhMRM37jQp0Gffo,Plage d'Aghir,Plage de sable blanc bordee de palmiers et prisee pour ses eaux turquoise calmes.,False,58,,,,https://lh5.googleusercontent.com/p/AF1QipPCaVNnFwO6VoM1QEqMdUZZvWaZFTD4XAqcWjPS=w408-h544-k-no,Plage,Plage,3.9,,,,"Plage d'Aghir, Aghir",,https://www.google.com/maps/place/Plage+d%27Aghir/data=!4m7!3m6!1s0x13aa968a7170b1ad:0xfa7d069d42e37e33!8m2!3d33.7647947!4d11.0256796!16s%2Fg%2F12hmy9m0n!19sChIJrbFwcYqWqhMRM37jQp0Gffo?authuser=0&hl=fr&rclk=1
