place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv3GhmoE0_RIRXZKqJ74zpXc,Belvedere Park,"Vaste parc avec sentiers pour marcheurs et cyclistes, ainsi que terrains de sport et zoo.",False,1093,http://www.commune-tunis.gov.tn/publish/content/article.asp%3Fid%3D765,Belvedere Park (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMeDEy8qiJX7KCIx6ODIBohAVtWW2HQeqrIsS-m=w408-h337-k-no,Jardin,"Jardin, Attraction touristique",3.9,09:00-17:00,lundi,58 418 535,"R5CC+QMX Belvedere Park, Avenue Taieb Mhiri, Tunis","espace, famille, beau, capitale, lions, arbres, lac, crocodile, casino, oiseaux",https://www.google.com/maps/place/Belvedere+Park/data=!4m7!3m6!1s0x12fd34819aa171bf:0x77a533be27aa925d!8m2!3d36.8219921!4d10.1717264!16s%2Fg%2F122drxjc!19sChIJv3GhmoE0_RIRXZKqJ74zpXc?authuser=0&hl=fr&rclk=1
ChIJpdylfoA0_RIRlvi99vZ6-NQ,Belvedere Zoo,,False,810,http://www.commune-tunis.gov.tn/,Belvedere Zoo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMOqXwmCrwQzcXaRNzMSfaeKq6OebmPxTNGattB=w408-h306-k-no,Zoo,"Zoo, Attraction touristique",3.2,09:00-18:30,lundi,71 897 716,"Belvedere Zoo, 22 Av. Des Etats Unis, Tunis 1002","espace, lions, mal, laisse, souffrance, depression, capitale, les visiteurs, faim, blesse",https://www.google.com/maps/place/Belvedere+Zoo/data=!4m7!3m6!1s0x12fd34807ea5dca5:0xd4f87af6f6bdf896!8m2!3d36.8167065!4d10.1752144!16s%2Fg%2F1pxyrzn45!19sChIJpdylfoA0_RIRlvi99vZ6-NQ?authuser=0&hl=fr&rclk=1
ChIJAa41xHo1_RIRZtUyJsfRCYA,Lac de Tunis,,False,436,,,,https://lh5.googleusercontent.com/p/AF1QipNmltVlxpfuacjeq29ioIWlQ_07p6KYDy0JUYPn=w408-h272-k-no,Lac,Lac,4.3,,,,Lac de Tunis,"beau, touristique, cafes",https://www.google.com/maps/place/Lac+de+Tunis/data=!4m7!3m6!1s0x12fd357ac435ae01:0x8009d1c72632d566!8m2!3d36.809406!4d10.2095525!16zL20vMGJyNWY2!19sChIJAa41xHo1_RIRZtUyJsfRCYA?authuser=0&hl=fr&rclk=1
ChIJ7ebdwfQ0_RIRvkTfRRT4MxU,The Japanese Garden of Tunis,,False,370,,The Japanese Garden of Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkdUa4WPRubLUcD22FF17pFq0tCYtr3sJO898=w408-h306-k-no,Jardin botanique,"Jardin botanique, Attraction touristique",4.2,07:00-19:00,dimanche,,"R59V+WG3 The Japanese Garden of Tunis, Tunis","pique-nique, famille, nettoyage, marche, espace vert, velo, nature, autoroute, 2006, pour enfants",https://www.google.com/maps/place/The+Japanese+Garden+of+Tunis/data=!4m7!3m6!1s0x12fd34f4c1dde6ed:0x1533f81445df44be!8m2!3d36.8197579!4d10.1937897!16s%2Fg%2F1td0_wd4!19sChIJ7ebdwfQ0_RIRvkTfRRT4MxU?authuser=0&hl=fr&rclk=1
ChIJKaI0Hb614hIR8iiHkRIUusg,Beauty & Spa Women Natur'elle,,False,30,,Beauty & Spa Women Natur'elle (proprietaire),https://www.google.com/maps/contrib/110401700264431034778,https://lh5.googleusercontent.com/p/AF1QipPY-diX38-magtuJCSB9iDUvYluFyJ3Z5GkYdV2=w408-h305-k-no,Institut de beaute,Institut de beaute,4.1,10:00-19:30,,51 808 002,"Beauty & Spa Women Natur'elle, C LES PALMIERS, 01 RUE BOLBOL, 2045",,https://www.google.com/maps/place/Beauty+%26+Spa+Women+Natur%E2%80%99elle/data=!4m7!3m6!1s0x12e2b5be1d34a229:0xc8ba1412918728f2!8m2!3d36.8595549!4d10.2657137!16s%2Fg%2F11kw3qns6m!19sChIJKaI0Hb614hIR8iiHkRIUusg?authuser=0&hl=fr&rclk=1
ChIJWdJ8MWgx_RIRIG6Rs0MAUBU,Sebkha Sejoumi,,False,26,,,,https://lh5.googleusercontent.com/p/AF1QipMtAeLd4p_WJUVXavqaKU3d2vq_xevQ8GUfgWij=w426-h240-k-no,Lac,Lac,3.5,,,,Sebkha Sejoumi,,https://www.google.com/maps/place/Sebkha+S%C3%A9joumi/data=!4m7!3m6!1s0x12fd3168317cd259:0x15500043b3916e20!8m2!3d36.7645!4d10.147!16s%2Fg%2F1229ck_f!19sChIJWdJ8MWgx_RIRIG6Rs0MAUBU?authuser=0&hl=fr&rclk=1
ChIJT5I0ntst_RIRWCHOkR1AgDk,Best For Pets,,False,23,https://www.facebook.com/hamdi.riahi1,Best For Pets (proprietaire),https://www.google.com/maps/contrib/102731816724831982169,https://lh5.googleusercontent.com/p/AF1QipNf0ja9CFIvGQa0vfN6wy4HaDEvLXVhby6UKHFX=w408-h306-k-no,Aquarium,"Aquarium, Animalerie",4.9,"10:00-13:00, 17:00-20:00",,27 737 442,"Best For Pets, wdy llyl, shr` lHdy'q, nhj lysmyn `dd 9, Oued Ellil 2021",,https://www.google.com/maps/place/Best+For+Pets/data=!4m7!3m6!1s0x12fd2ddb9e34924f:0x3980401d91ce2158!8m2!3d36.8346165!4d10.0446865!16s%2Fg%2F11rxqhl2p6!19sChIJT5I0ntst_RIRWCHOkR1AgDk?authuser=0&hl=fr&rclk=1
ChIJLYiZeETK4hIRvN7ggcfDHBk,Sebkha Ariana,,False,13,,,,https://lh5.googleusercontent.com/p/AF1QipPRbi2Zrj81sRnVsz_N_TcTVUzdDbvkcOaG4Cuj=w408-h725-k-no,Lac saisonnier,Lac saisonnier,3.4,,,,Sebkha Ariana,,https://www.google.com/maps/place/Sebkha+Ariana/data=!4m7!3m6!1s0x12e2ca447899882d:0x191cc3c781e0debc!8m2!3d36.9071746!4d10.2487967!16s%2Fg%2F121_5bhr!19sChIJLYiZeETK4hIRvN7ggcfDHBk?authuser=0&hl=fr&rclk=1
ChIJe-ub1Vst_RIR81mORw4xZBE,Parc wed ellil,,False,9,,Parc wed ellil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMW5_tFoqeXOtY7TTJQSpX1ws5OFdk7NWMayCMb=w408-h306-k-no,Parc,Parc,4.4,,,54 868 022,"R2RV+745 Parc wed ellil, Oued Ellil",,https://www.google.com/maps/place/Parc+wed+ellil/data=!4m7!3m6!1s0x12fd2d5bd59beb7b:0x1164310e478e59f3!8m2!3d36.8406431!4d10.0428579!16s%2Fg%2F11t82rbz_j!19sChIJe-ub1Vst_RIR81mORw4xZBE?authuser=0&hl=fr&rclk=1
ChIJ8WWB_LXS4hIRfkBjX9MBBPE,Jebel Amar,,False,9,,,,https://lh5.googleusercontent.com/p/AF1QipO0EvXnScpwQqm871YlmbLmhnXVHCLh4qwHmN3V=w408-h306-k-no,Sommet montagneux,Sommet montagneux,3.7,,,,Jebel Amar,,https://www.google.com/maps/place/Jebel+Amar/data=!4m7!3m6!1s0x12e2d2b5fc8165f1:0xf10401d35f63407e!8m2!3d36.8752778!4d10.0588889!16s%2Fg%2F121bw152!19sChIJ8WWB_LXS4hIRfkBjX9MBBPE?authuser=0&hl=fr&rclk=1
