place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv3GhmoE0_RIRXZKqJ74zpXc,Belvedere Park,"Vaste parc avec sentiers pour marcheurs et cyclistes, ainsi que terrains de sport et zoo.",False,1093,http://www.commune-tunis.gov.tn/publish/content/article.asp%3Fid%3D765,Belvedere Park (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMeDEy8qiJX7KCIx6ODIBohAVtWW2HQeqrIsS-m=w408-h337-k-no,Jardin,"Jardin, Attraction touristique",3.9,09:00-17:00,lundi,58 418 535,"R5CC+QMX Belvedere Park, Avenue Taieb Mhiri, Tunis","espace, famille, beau, capitale, lions, arbres, lac, crocodile, casino, oiseaux",https://www.google.com/maps/place/Belvedere+Park/data=!4m7!3m6!1s0x12fd34819aa171bf:0x77a533be27aa925d!8m2!3d36.8219921!4d10.1717264!16s%2Fg%2F122drxjc!19sChIJv3GhmoE0_RIRXZKqJ74zpXc?authuser=0&hl=fr&rclk=1
ChIJAa41xHo1_RIRZtUyJsfRCYA,Lac de Tunis,,False,436,,,,https://lh5.googleusercontent.com/p/AF1QipNmltVlxpfuacjeq29ioIWlQ_07p6KYDy0JUYPn=w408-h272-k-no,Lac,Lac,4.3,,,,Lac de Tunis,"beau, touristique, cafes",https://www.google.com/maps/place/Lac+de+Tunis/data=!4m7!3m6!1s0x12fd357ac435ae01:0x8009d1c72632d566!8m2!3d36.809406!4d10.2095525!16zL20vMGJyNWY2!19sChIJAa41xHo1_RIRZtUyJsfRCYA?authuser=0&hl=fr&rclk=1
ChIJDw6HuuJJ_RIRYZOlNVJY818,Foret de Rades,,False,92,,Foret de Rades (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM07tg7-bYZWk6_y2_IIsg5Y9a5Rq9BNIUaJ1ee=w408-h306-k-no,Parc,Parc,4,Ouvert 24h/24,,,"Q737+M48 Foret de Rades, Rades",sport,https://www.google.com/maps/place/For%C3%AAt+de+Rad%C3%A8s/data=!4m7!3m6!1s0x12fd49e2ba870e0f:0x5ff3585235a59361!8m2!3d36.754158!4d10.2628167!16s%2Fg%2F1thlq56b!19sChIJDw6HuuJJ_RIRYZOlNVJY818?authuser=0&hl=fr&rclk=1
ChIJT3i6W5lL_RIRDLSY-NK-yLI,Rades plage,,False,60,,Rades plage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwHXDwDVNkerSggdcyZIDzRBQVzRUyaW23wvaY=w408-h305-k-no,Pavillon de plage,Pavillon de plage,3.6,Ouvert 24h/24,dimanche,,"Q7HQ+J84 Rades plage, plage, Rades",,https://www.google.com/maps/place/Rades+plage/data=!4m7!3m6!1s0x12fd4b995bba784f:0xb2c8bed2f898b40c!8m2!3d36.7790236!4d10.2883235!16s%2Fg%2F11fv74_g8h!19sChIJT3i6W5lL_RIRDLSY-NK-yLI?authuser=0&hl=fr&rclk=1
ChIJh3j5e8RI_RIRpGx9DuH6Qqc,Djebel Boukornine,,False,45,,,,https://lh5.googleusercontent.com/p/AF1QipNMt5aiQUMWaGo5NkaXva_xL3cByVmcFWSi6FAx=w480-h240-k-no,Sommet montagneux,Sommet montagneux,4.5,,,,Djebel Boukornine,,https://www.google.com/maps/place/Djebel+Boukornine/data=!4m7!3m6!1s0x12fd48c47bf97887:0xa742fae10e7d6ca4!8m2!3d36.705!4d10.333333!16s%2Fm%2F0c42f3f!19sChIJh3j5e8RI_RIRpGx9DuH6Qqc?authuser=0&hl=fr&rclk=1
ChIJ430NTUVK_RIRWuEchFvT_gw,"Port de Rades, Zone Petroliere",,False,30,,,,https://lh5.googleusercontent.com/p/AF1QipMMsastd4b38wKg629NZO73tFlW_gondNq-_-S_=w408-h306-k-no,Mer,Mer,3.4,,,,"Port de Rades, Zone Petroliere",,"https://www.google.com/maps/place/Port+de+Rades,+Zone+P%C3%A9troli%C3%A8re/data=!4m7!3m6!1s0x12fd4a454d0d7de3:0xcfed35b841ce15a!8m2!3d36.7992001!4d10.2964735!16s%2Fg%2F11r9x8zgl!19sChIJ430NTUVK_RIRWuEchFvT_gw?authuser=0&hl=fr&rclk=1"
ChIJWz9MCM1L_RIRJgCtlFZ8OLA,Rades,,False,19,,,,https://lh5.googleusercontent.com/p/AF1QipMDTTU5-l688bsf1GFbpJEEqjqJmGuUdUy06wc=w408-h272-k-no,Mer,Mer,4.1,,,,Rades,,https://www.google.com/maps/place/Rades/data=!4m7!3m6!1s0x12fd4bcd084c3f5b:0xb0387c5694ad0026!8m2!3d36.7667356!4d10.3020843!16s%2Fg%2F1q5bksjt4!19sChIJWz9MCM1L_RIRJgCtlFZ8OLA?authuser=0&hl=fr&rclk=1
ChIJf5xi-Jk1_RIR7L14qSzb4lU,Lac Sud de Tunis,,False,19,,,,https://lh5.googleusercontent.com/p/AF1QipOYv-epNr2qkNQApjuXFYMa7Et6X-XS9GIf0tY=w426-h240-k-no,Point d'eau,Point d'eau,4.3,,,,Lac Sud de Tunis,,https://www.google.com/maps/place/Lac+Sud+de+Tunis/data=!4m7!3m6!1s0x12fd3599f8629c7f:0x55e2db2ca978bdec!8m2!3d36.8081789!4d10.2698275!16s%2Fg%2F11g_7kqxr!19sChIJf5xi-Jk1_RIR7L14qSzb4lU?authuser=0&hl=fr&rclk=1
ChIJ7zDWjl1O_RIRf21kECD5w_Q,Sidi Jehmi,,False,17,,,,https://lh5.googleusercontent.com/p/AF1QipOSA7165-utuzsheYSowteUVSYjNjYPgM3-Qwc=w408-h725-k-no,Mer,Mer,4.5,,,,Sidi Jehmi,,https://www.google.com/maps/place/Sidi+Jehmi/data=!4m7!3m6!1s0x12fd4e5d8ed630ef:0xf4c3f92010646d7f!8m2!3d36.7288114!4d10.4003284!16s%2Fg%2F11r8cfk3x!19sChIJ7zDWjl1O_RIRf21kECD5w_Q?authuser=0&hl=fr&rclk=1
ChIJ64O0WB01_RIRPsrIX0_T9Jo,Charab Chifa,,False,11,http://www.charab-chifa.com/,Charab Chifa (proprietaire),https://www.google.com/maps/contrib/110826512608127405825,https://lh5.googleusercontent.com/p/AF1QipN4WfmArSSF0-PE18Gl7YqZkpY8qtLcer1MdFn4=w408-h561-k-no,Magasin d'alimentation naturelle,Magasin d'alimentation naturelle,4.5,08:00-20:00,,71 295 886,"Charab Chifa, 71 RUE DE LA REPUBLIQUE MEGRINE BEN AROUS, 2033",miel,https://www.google.com/maps/place/Charab+Chifa/data=!4m7!3m6!1s0x12fd351d58b483eb:0x9af4d34f5fc8ca3e!8m2!3d36.7701497!4d10.2438184!16s%2Fg%2F11j2w6n5h8!19sChIJ64O0WB01_RIRPsrIX0_T9Jo?authuser=0&hl=fr&rclk=1
