place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJDb6E-s0sABMRpeigTKtZU4k,Jardins Publics de Touta,,False,366,,Jardins Publics de Touta (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrMnC0Nd3HR2vCYw7dcNR31SxF00BB2yt7qggm=w408-h306-k-no,Zoo,"Zoo, Parc, Attraction touristique",3.5,Ouvert 24h/24,"mardi, mercredi, jeudi, dimanche",,"PPPV+29F Jardins Publics de Touta, Route de l'Aeroport/, Rte de la Soukra, Sfax","espace, lion, mal, travail, jeux, ordures, association, jardin public, sport, beau",https://www.google.com/maps/place/Jardins+Publics+de+Touta/data=!4m7!3m6!1s0x13002ccdfa84be0d:0x895359ab4ca0e8a5!8m2!3d34.7342148!4d10.7428865!16s%2Fg%2F1tcx470f!19sChIJDb6E-s0sABMRpeigTKtZU4k?authuser=0&hl=fr&rclk=1
ChIJdeYz9CwtABMRr-xXovvdC9Q,Beb El Diwen,,False,174,,Beb El Diwen (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNdGlQwebblkEqVX9SPR49bIxIEdzuvAmoq3nGi=w426-h240-k-no,Site historique,"Site historique, Attraction touristique",4.4,07:00-19:00,lundi,,"PQM6+VVX Beb El Diwen, Sfax",porte,https://www.google.com/maps/place/Beb+El+Diw%C3%A9n/data=!4m7!3m6!1s0x13002d2cf433e675:0xd40bddfba257ecaf!8m2!3d34.7347387!4d10.7622207!16s%2Fg%2F11gdq14zkv!19sChIJdeYz9CwtABMRr-xXovvdC9Q?authuser=0&hl=fr&rclk=1
ChIJZw7SIEktABMRlYpM7QAV9A8,plage casino sfax,,False,101,,,,https://lh5.googleusercontent.com/p/AF1QipPSsWYeHqEqJLMgeyY34PASvZILOLI8a1-Aj7tI=w408-h544-k-no,Plage,Plage,3.7,,,44 115 000,"plage casino sfax, Ctre, Sfax",,https://www.google.com/maps/place/plage+casino+sfax/data=!4m7!3m6!1s0x13002d4920d20e67:0xff41500ed4c8a95!8m2!3d34.7274494!4d10.7820068!16s%2Fg%2F11bztr94td!19sChIJZw7SIEktABMRlYpM7QAV9A8?authuser=0&hl=fr&rclk=1
ChIJeamvwCstABMRY3t23f16Q1Y,La Kasbah de Sfax,,False,83,,La Kasbah de Sfax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRKGZ4H3_-tVrJBzqcWGWCVNLCoJz66v0oXOqW=w408-h306-k-no,Musee,"Musee, Lieu historique, Attraction touristique",4.3,,,,"PQM5+9GM La Kasbah de Sfax, Beb El Kasba, Boulevard Farhat Hached","tour, l'histoire",https://www.google.com/maps/place/La+Kasbah+de+Sfax/data=!4m7!3m6!1s0x13002d2bc0afa979:0x56437afddd767b63!8m2!3d34.7334505!4d10.7587963!16s%2Fg%2F120z_1p3!19sChIJeamvwCstABMRY3t23f16Q1Y?authuser=0&hl=fr&rclk=1
ChIJlQ1RjeQtABMR_P1ZGmMGjyo,ATLAS World,,False,80,https://www.atlasworldsfax.com/,ATLAS World (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO7vzHBdOzxHwDHecEEGuEdSj-4CjZdbNQGQxwm=w408-h306-k-no,Parc de loisirs,Parc de loisirs,3.6,Ouvert 24h/24,,23 003 004,"ATLAS World, km4 Rte de Gabes, Sfax","enfants, systeme, climatisation, service, familles, prix",https://www.google.com/maps/place/ATLAS+World/data=!4m7!3m6!1s0x13002de48d510d95:0x2a8f06631a59fdfc!8m2!3d34.7108076!4d10.7252567!16s%2Fg%2F11kxqgv_b7!19sChIJlQ1RjeQtABMR_P1ZGmMGjyo?authuser=0&hl=fr&rclk=1
ChIJ3di_yywtABMRU5OXy8etjoU,Musee Dar Jellouli,,False,53,,Musee Dar Jellouli (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOB8UoBnHylFbNUgDKucHUBnWQ6uIuZEr2Q4GuF=w408-h557-k-no,Musee d'art,"Musee d'art, Attraction, Lieu historique, Musee, Attraction touristique",4.4,,,,"PQP7+P2H Musee Dar Jellouli, Rue Sidi Ali Ennouri, Sfax 3047",traditions,https://www.google.com/maps/place/Mus%C3%A9e+Dar+Jellouli/data=!4m7!3m6!1s0x13002d2ccbbfd8dd:0x858eadc7cb979353!8m2!3d34.7368173!4d10.7626226!16s%2Fg%2F1227jzsm!19sChIJ3di_yywtABMRU5OXy8etjoU?authuser=0&hl=fr&rclk=1
ChIJzWDSWNTSARMRi6klzzwNDq4,Musee de Sfax,Musee archeologique a l'interieur d'un batiment municipal avec objets et oeuvres d'art de differentes epoques.,False,26,,Musee de Sfax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipON_KFmMK9R2qNjcznRiZCE3hZYj2Jq1ltajTkU=w408-h306-k-no,Musee archeologique,"Musee archeologique, Attraction touristique",4.1,,,,"Musee de Sfax, 9 Av. Habib Bourguiba, Sfax 3000",,https://www.google.com/maps/place/Mus%C3%A9e+de+Sfax/data=!4m7!3m6!1s0x1301d2d458d260cd:0xae0e0d3ccf25a98b!8m2!3d34.7332768!4d10.7651983!16s%2Fm%2F05b1b5r!19sChIJzWDSWNTSARMRi6klzzwNDq4?authuser=0&hl=fr&rclk=1
ChIJOW8b7CItABMROCctGYsVPsM,Port de peche de sfax,,False,23,,,,https://lh5.googleusercontent.com/p/AF1QipN4ila5wL2HzDeuezp6U8FfcMqwroeMwE7GNVx4=w408-h544-k-no,Port,Port,3.5,,,,Port de peche de sfax,,https://www.google.com/maps/place/Port+de+p%C3%AAche+de+sfax/data=!4m7!3m6!1s0x13002d22ec1b6f39:0xc33e158b192d2738!8m2!3d34.7157416!4d10.7652496!16s%2Fg%2F120mbhbl!19sChIJOW8b7CItABMROCctGYsVPsM?authuser=0&hl=fr&rclk=1
ChIJWyrgjOYsABMRGW6bJh8c3jE,Les Salines de Sfax,,False,11,,,,https://lh5.googleusercontent.com/p/AF1QipM8yXKZftIFpYAHiheA3_ch0VGnD-vS3-vO1xWw=w426-h240-k-no,Salt flat,Salt flat,4.9,,,,Les Salines de Sfax,,https://www.google.com/maps/place/Les+Salines+de+Sfax/data=!4m7!3m6!1s0x13002ce68ce02a5b:0x31de1c1f269b6e19!8m2!3d34.7140974!4d10.7464275!16s%2Fg%2F11_ts7p9b!19sChIJWyrgjOYsABMRGW6bJh8c3jE?authuser=0&hl=fr&rclk=1
ChIJedErXkLTARMR0K4WrADM3Cc,Floraison Sfax,,False,7,https://floraison.bio/,Floraison Sfax (proprietaire),https://www.google.com/maps/contrib/106153728964553883311,https://lh5.googleusercontent.com/p/AF1QipPJXmX3tUCo5cqh3EozMAfSB9BgwGcwNYivp8-A=w426-h240-k-no,Magasin bio,Magasin bio,4.4,09:00-20:00,,74 218 160,"Floraison Sfax, Kassas, Av. Mohamed Jmal, Sfax 3062",,https://www.google.com/maps/place/Floraison+Sfax/data=!4m7!3m6!1s0x1301d3425e2bd179:0x27dccc00ac16aed0!8m2!3d34.7714349!4d10.7478545!16s%2Fg%2F11jzntm2fy!19sChIJedErXkLTARMR0K4WrADM3Cc?authuser=0&hl=fr&rclk=1
