place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJm0V57IeYAhMRGQIEDcyHjXI,Arvea Nature Siege Nabeul,,False,117,http://www.arvea-nature.com/,Arvea Nature Siege Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPn9uX3knPrIJhBCTvnqwS4uAhmMZijqCzs9Txk=w408-h306-k-no,Centre commercial,Centre commercial,4.8,08:00-16:30,dimanche,72 320 800,"Arvea Nature Siege Nabeul, dar chaben, nabeul 8000","succes, fierte, vie, travail, experience, compagnie, credibilite, reve, bonheur, famille",https://www.google.com/maps/place/Arvea+Nature+Si%C3%A8ge+Nabeul/data=!4m7!3m6!1s0x13029887ec79459b:0x728d87cc0d040219!8m2!3d36.4685165!4d10.7627532!16s%2Fg%2F11df0p6vgj!19sChIJm0V57IeYAhMRGQIEDcyHjXI?authuser=0&hl=fr&rclk=1
ChIJNZgp0vOYAhMR2VU9TrTC6ts,Corniche de Nabeul,,False,84,,Corniche de Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOfpcHb9ENvmNJ_dRJpEubUo9ALnamZawSWgaUT=w481-h240-k-no,Parc,Parc,4.1,Ouvert 24h/24,,95 071 074,"CPRW+RPC Corniche de Nabeul, Nabeul",mer,https://www.google.com/maps/place/Corniche+de+Nabeul/data=!4m7!3m6!1s0x130298f3d2299835:0xdbeac2b44e3d55d9!8m2!3d36.4420574!4d10.7467713!16s%2Fg%2F11dxfmxbwc!19sChIJNZgp0vOYAhMR2VU9TrTC6ts?authuser=0&hl=fr&rclk=1
ChIJ8fM7zhahAhMReY1GFYDVHKY,dar kaboura,,False,26,,dar kaboura (proprietaire),https://www.google.com/maps/contrib/117607724989114522797,https://lh5.googleusercontent.com/p/AF1QipNIi3l5g3xB4Llzp_nxzhpPMLOVvDqO1m2NHNVe=w408-h306-k-no,Ferme pedagogique,Ferme pedagogique,4.5,09:00-00:00,,26 361 642,"dar kaboura, Medis Les laboratories",,https://www.google.com/maps/place/dar+kaboura/data=!4m7!3m6!1s0x1302a116ce3bf3f1:0xa61cd58015468d79!8m2!3d36.4993893!4d10.6857973!16s%2Fg%2F11rql8cwcb!19sChIJ8fM7zhahAhMReY1GFYDVHKY?authuser=0&hl=fr&rclk=1
ChIJZYMfx0qZAhMRCVJSBBJ38m0,Beni khiar,,False,17,,Beni khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipODYKU776ob52lQ7LVbY8iXbY-Aka-RHOWJsamF=w408-h725-k-no,Boulangerie,Boulangerie,4.4,,,92 422 215,"FQ5M+V7J Beni khiar, Beni Khiar",,https://www.google.com/maps/place/B%C3%A9ni+khiar/data=!4m7!3m6!1s0x1302994ac71f8365:0x6df2771204525209!8m2!3d36.4597097!4d10.7831324!16s%2Fg%2F11qbvnqgc6!19sChIJZYMfx0qZAhMRCVJSBBJ38m0?authuser=0&hl=fr&rclk=1
ChIJr0rVHrKZAhMRqOs2fCmwGy8,LA BAMBA,,False,10,,LA BAMBA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPY2Yb3GNilqxKBSVbObMnzBnN9m7irGbXkS1ya=w408-h544-k-no,Pizzeria,Pizzeria,4.7,,,,"FQ7M+Q9C LA BAMBA, shr` lbyy'@, Beni Khiar 8060",,https://www.google.com/maps/place/LA+BAMBA/data=!4m7!3m6!1s0x130299b21ed54aaf:0x2f1bb0297c36eba8!8m2!3d36.4644411!4d10.7833834!16s%2Fg%2F11flgfs71b!19sChIJr0rVHrKZAhMRqOs2fCmwGy8?authuser=0&hl=fr&rclk=1
ChIJ2YwBHgOYAhMRZiWxayaoR4E,Port de Beni Khiar,,False,9,,Port de Beni Khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNBxwguZL5m1dFWKgEsj7AK0wS9uLRgiTRLVJ3z=w408-h306-k-no,Port maritime,Port maritime,4.6,,,,"Port de Beni Khiar, Beni Khiar",,https://www.google.com/maps/place/Port+de+Beni+Khiar/data=!4m7!3m6!1s0x130298031e018cd9:0x8147a8266bb12566!8m2!3d36.4539605!4d10.797537!16s%2Fg%2F1v_sw73_!19sChIJ2YwBHgOYAhMRZiWxayaoR4E?authuser=0&hl=fr&rclk=1
ChIJseWdqUu9AhMRHYDTZ928EfI,Pepiniere Maamoura,,False,4,,Pepiniere Maamoura (proprietaire),https://www.google.com/maps/contrib/107493205973478548130,https://lh5.googleusercontent.com/p/AF1QipMwQ-3p45K1Re5yRPG41RZ4uGyRj0vWOSvRTrL-=w408-h544-k-no,Pepiniere,Pepiniere,4.5,07:30-17:30,,98 227 039,"Pepiniere Maamoura, Beni Khiar",,https://www.google.com/maps/place/P%C3%A9pini%C3%A8re+Maamoura/data=!4m7!3m6!1s0x1302bd4ba99de5b1:0xf211bcdd67d3801d!8m2!3d36.4814682!4d10.8029985!16s%2Fg%2F11hd1pvp0f!19sChIJseWdqUu9AhMRHYDTZ928EfI?authuser=0&hl=fr&rclk=1
ChIJrR0pscqfAhMR32CXb-7mqww,djebel Hammamet,,False,4,,djebel Hammamet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNDTETsKM3JXEY6QdaoH2Z1WdqbzEKpZnbD17TD=w408-h306-k-no,Reserve naturelle,Reserve naturelle,4.3,,,,"CJQG+7QQ djebel Hammamet, Hammamet Nord, Bir Bou Rekba",,https://www.google.com/maps/place/djebel+Hammamet/data=!4m7!3m6!1s0x13029fcab1291dad:0xcabe6ee6f9760df!8m2!3d36.4382127!4d10.6269922!16s%2Fg%2F11l37xkd55!19sChIJrR0pscqfAhMR32CXb-7mqww?authuser=0&hl=fr&rclk=1
ChIJs2iqwVuZAhMRLCrYI4mIAvs,Jinen Beni Khiar,,False,3,,Jinen Beni Khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMu7EYYUyz09B4f4rzqPqwIoDbDq7xEOgRNI3ft=w408-h306-k-no,Chambre d'hotes,Chambre d'hotes,4.7,,,98 312 948,"FQ3G+6P3 Jinen Beni Khiar, Rue de, Beni Khiar 8060",,https://www.google.com/maps/place/Jinen+Beni+Khiar/data=!4m7!3m6!1s0x1302995bc1aa68b3:0xfb02888923d82a2c!8m2!3d36.453007!4d10.7768043!16s%2Fg%2F11j7g6ftv1!19sChIJs2iqwVuZAhMRLCrYI4mIAvs?authuser=0&hl=fr&rclk=1
ChIJQV3KrjyZAhMReJahoQrN34c,Maison de campagne imed Aounallah,,False,2,,Maison de campagne imed Aounallah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNWfkCZbP724O7n0obCoF28pt9mzQyas6aHebPd=w408-h306-k-no,Agriculteur,Agriculteur,5,Ouvert 24h/24,,93 573 363,"FQ5M+R6W Maison de campagne imed Aounallah, Beni Khiar",,https://www.google.com/maps/place/Maison+de+campagne+imed+Aounallah/data=!4m7!3m6!1s0x1302993caeca5d41:0x87dfcd0aa1a19678!8m2!3d36.4596214!4d10.7830826!16s%2Fg%2F11fkt82kdv!19sChIJQV3KrjyZAhMReJahoQrN34c?authuser=0&hl=fr&rclk=1
