place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJHzgEBTBtAhMRqyURTru9pFM,Ribat de Monastir,Immense fort cotier du VIIIe siecle bien conserve et abritant aujourd'hui le musee d'Art islamique.,False,2204,,Ribat de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZF3SFW5N_4PyjWhsF7iV8a55W4OH1rzx0bePe=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Musee, Attraction touristique",4.6,08:30-17:30,,42 223 476,"QRGM+F6M Ribat de Monastir, Rte de la Falaise, Monastir","tour, fortification, especes, mer, dinar, mosquee, musulmans, habib bourguiba, mausolee, viiie siecle",https://www.google.com/maps/place/Ribat+de+Monastir/data=!4m7!3m6!1s0x13026d300504381f:0x53a4bdbb4e1125ab!8m2!3d35.7762108!4d10.8330383!16s%2Fg%2F121djqp8!19sChIJHzgEBTBtAhMRqyURTru9pFM?authuser=0&hl=fr&rclk=1
ChIJGV2l9TNtAhMR1_ZRALvMa64,Mausolee Habib Bourguiba,"Mausolee opulent avec minarets et dome dore, ou repose le president Habib Bourguiba.",False,1132,,Mausolee Habib Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPSBGgo1_-ja_QNacG6VcaxjyJbS8aQ_nhdY1pv=w408-h306-k-no,Tombeau,"Tombeau, Lieu historique, Musee, Attraction touristique",4.6,09:00-16:30,,,"Mausolee Habib Bourguiba, 11 shr` lshhd, jml","president, architecture, histoire, pays, monument, espace, marbre, ribat, independance, objets",https://www.google.com/maps/place/Mausol%C3%A9e+Habib+Bourguiba/data=!4m7!3m6!1s0x13026d33f5a55d19:0xae6bccbb0051f6d7!8m2!3d35.7778246!4d10.8283824!16s%2Fg%2F1226g5hq!19sChIJGV2l9TNtAhMR1_ZRALvMa64?authuser=0&hl=fr&rclk=1
ChIJ8f7LIzNtAhMRPuqcw7Y6Y1A,Mosquee de Bourguiba,,False,398,,Mosquee de Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQWzEWsjnryhNRDxrQGb9BNX0-6U2c6D1ELNWR=w426-h240-k-no,Mosquee,"Mosquee, Attraction touristique",4.5,,,,"QRFJ+R86 Mosquee de Bourguiba, Monastir",,https://www.google.com/maps/place/Mosqu%C3%A9e+de+Bourguiba/data=!4m7!3m6!1s0x13026d3323cbfef1:0x50633ab6c39cea3e!8m2!3d35.7745369!4d10.8307731!16s%2Fg%2F122l893d!19sChIJ8f7LIzNtAhMRPuqcw7Y6Y1A?authuser=0&hl=fr&rclk=1
ChIJaZytwjFtAhMRxi7YVx8htrY,Marina Cap Monastir,,False,296,http://www.marinamonastir.tn/,Marina Cap Monastir (proprietaire),https://www.google.com/maps/contrib/105575932631645469969,https://lh5.googleusercontent.com/p/AF1QipPvq-nBxF5xZxwU8B3MzPrZo_isoMa1RfI_Ul1G=w425-h240-k-no,Port de plaisance,"Port de plaisance, Hotel de ville, Cafe, Salle de reception, Hotel, Restaurant, Appartement de vacances",4.5,,,73 462 305,"Marina Cap Monastir, Monastir","cafes, appartement, prix, climatise, soir, marche",https://www.google.com/maps/place/Marina+Cap+Monastir/data=!4m7!3m6!1s0x13026d31c2ad9c69:0xb6b6211f57d82ec6!8m2!3d35.7796346!4d10.8333832!16s%2Fg%2F1tf91xsv!19sChIJaZytwjFtAhMRxi7YVx8htrY?authuser=0&hl=fr&rclk=1
ChIJDS6Q9tUTAhMRvvERDZuil_Q,Le Bistrot +,,False,75,,Le Bistrot + (proprietaire),https://www.google.com/maps/contrib/104079876214426271000,https://lh5.googleusercontent.com/p/AF1QipOOWqIljStzW2dPepI1gXSVvgGUX3ViYLpTPXGK=w408-h272-k-no,Cafe,Cafe,4.5,07:00-00:00,mercredi,99 175 002,"QRCC+9GP Le Bistrot +, Monastir","cheesecake, prix",https://www.google.com/maps/place/Le+Bistrot+%2B/data=!4m7!3m6!1s0x130213d5f6902e0d:0xf497a29b0d11f1be!8m2!3d35.7708537!4d10.8213632!16s%2Fg%2F11rz9kngd5!19sChIJDS6Q9tUTAhMRvvERDZuil_Q?authuser=0&hl=fr&rclk=1
ChIJXYa1j20TAhMRGhMFxbqERgw,Dar Benti,"Logements sobres dans une maison d'hotes raffinee avec piscine exterieure, hammam et petit-dejeuner.",False,60,http://www.darbenti.com/,Dar Benti (proprietaire),https://www.google.com/maps/contrib/108266047674093317186,https://lh5.googleusercontent.com/p/AF1QipPLvIZ6UWEpAO0Rj_W76sM95onp9sQgbUgdVzE=w408-h267-k-no,Chambre d'hotes,Chambre d'hotes,4.9,,,25 020 036,"Dar Benti, Beb El Gharbi- Avenue Mahmoud Bourguiba Monastir, 5000","chambres, piscine, coeur, tradition, paix, experience, architectes",https://www.google.com/maps/place/Dar+Benti/data=!4m10!3m9!1s0x1302136d8fb5865d:0xc4684bac505131a!5m2!4m1!1i2!8m2!3d35.7735239!4d10.8273706!16s%2Fg%2F11h1dgvyby!19sChIJXYa1j20TAhMRGhMFxbqERgw?authuser=0&hl=fr&rclk=1
ChIJEx9XnWITAhMRo3mRZltWkGg,Monastir Medina,,False,13,,Monastir Medina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFbxSN_Y7Cb9eDCzVcFub5_H9CWCw0xdg9zQyM=w408-h306-k-no,Centre commercial,Centre commercial,4.5,08:00-20:00,,,"QRFH+876 Monastir Medina, Rue de l'Independance, Monastir",,https://www.google.com/maps/place/Monastir+Medina/data=!4m7!3m6!1s0x130213629d571f13:0x6890565b669179a3!8m2!3d35.773293!4d10.8281397!16s%2Fg%2F11gsmkrzdk!19sChIJEx9XnWITAhMRo3mRZltWkGg?authuser=0&hl=fr&rclk=1
ChIJUXAm5QYTAhMRwVQmdlYyzg0,Gyzel Tunisie,,False,6,,Gyzel Tunisie (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrHX_ue5wPIxOT85rTSBQGXYgXICVLpq3XNzk1=w408-h306-k-no,Magasin de vetements,"Magasin de vetements, Service d'e-commerce",4.3,08:30-17:00,dimanche,29 707 399,"QRCF+C62 Gyzel Tunisie, Av. du combattant supreme, Monastir",,https://www.google.com/maps/place/Gyzel+Tunisie/data=!4m7!3m6!1s0x13021306e5267051:0xdce3256762654c1!8m2!3d35.7710046!4d10.8230054!16s%2Fg%2F11g4bfw8cw!19sChIJUXAm5QYTAhMRwVQmdlYyzg0?authuser=0&hl=fr&rclk=1
ChIJtS9JBrUSAhMRzpx7P0YgYkk,Fleur des Champs,,False,5,,Fleur des Champs (proprietaire),,,Boutique de sante et beaute,Boutique de sante et beaute,4.6,,,22 861 094,"QRCC+M4F Fleur des Champs, Unnamed Road, Monastir",,https://www.google.com/maps/place/Fleur+des+Champs/data=!4m7!3m6!1s0x130212b506492fb5:0x496220463f7b9cce!8m2!3d35.7716875!4d10.820296!16s%2Fg%2F11hbv8z9q3!19sChIJtS9JBrUSAhMRzpx7P0YgYkk?authuser=0&hl=fr&rclk=1
ChIJC0HkzIkRAhMR1hHwoNIMCQk,HERBALYA NATURAL CARE,,False,5,https://herbalya.tn/,HERBALYA NATURAL CARE (proprietaire),https://www.google.com/maps/contrib/115091978298889838511,https://lh5.googleusercontent.com/p/AF1QipMt9njYyJpxhOE8GVf5d66LGb6Kxl6nHPwpmXcL=w408-h408-k-no,,,5,08:00-21:00,,97 498 405,"HERBALYA NATURAL CARE, avenue de la republique, Bennane 5025",,https://www.google.com/maps/place/HERBALYA+NATURAL+CARE/data=!4m7!3m6!1s0x13021189cce4410b:0x9090cd2a0f011d6!8m2!3d35.6612152!4d10.8370697!16s%2Fg%2F11r8_10cdj!19sChIJC0HkzIkRAhMR1hHwoNIMCQk?authuser=0&hl=fr&rclk=1
