place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQ9nY-6UMAhMRL8iKcKYLJZ0,One Resort Aqua Park & Spa,"Chambres sobres dans complexe balneaire tout compris avec 4 piscines, spa et plusieurs restaurants.",False,1618,https://oneaqua.tn/,One Resort Aqua Park & Spa (proprietaire),https://www.google.com/maps/contrib/108649289853985116648,https://lh5.googleusercontent.com/p/AF1QipOzw2jFZWQew12ezv6f8mK74g0bfI51QHZJ25I=w408-h263-k-no,Hotel,Hotel,4.1,,,73 521 750,"One Resort Aqua Park & Spa, Route Touristique, Monastir 5029","plage, parc aquatique, animation, toboggans, bungalows, divertissement, excursions, all inclusive, animateurs, pirate",https://www.google.com/maps/place/One+Resort+Aqua+Park+%26+Spa/data=!4m10!3m9!1s0x13020ca5fbd8d943:0x9d250ba6708ac82f!5m2!4m1!1i2!8m2!3d35.7716804!4d10.7147255!16s%2Fg%2F11c5zk594v!19sChIJQ9nY-6UMAhMRL8iKcKYLJZ0?authuser=0&hl=fr&rclk=1
ChIJGZRI3FYTAhMRO_hDqgfMKOY,Hotel Skanes,"Complexe tout compris convivial en bord de plage, chambres colorees, 5 piscines exterieures et 3 restaurants.",False,952,,Hotel Skanes (proprietaire),https://www.google.com/maps/contrib/104698977115559048173,https://lh5.googleusercontent.com/p/AF1QipPVuD-oa5GEp9df9zURlRpdVdig_sM_GcJt4PVu=w408-h272-k-no,Hotel,Hotel,4.4,,,29 919 643,"Hotel Skanes, Dekhila Skanes, 5000","piscine, plage, animation, loisirs, toboggan aquatique, adultes, tennis, boite de nuit, chambre familiale, all inclusive",https://www.google.com/maps/place/Hotel+Skanes/data=!4m10!3m9!1s0x13021356dc489419:0xe628cc07aa43f83b!5m2!4m1!1i2!8m2!3d35.7641601!4d10.746232!16s%2Fg%2F12hsz2kbp!19sChIJGZRI3FYTAhMRO_hDqgfMKOY?authuser=0&hl=fr&rclk=1
ChIJXR5jnMAMAhMRXgh1gr5FuJQ,Hilton Skanes Monastir Beach Resort,,False,426,https://www.hilton.com/en/hotels/mirsmhi-hilton-skanes-monastir-beach-resort/%3FSEO_id%3DGMB-EMEA-HI-MIRSMHI,Hilton Skanes Monastir Beach Resort (proprietaire),https://www.google.com/maps/contrib/103201951218050525977,https://lh5.googleusercontent.com/p/AF1QipM4mzjeHJERTlN5-XdgiBBNV3PpY6xA-VsCgbmL=w408-h254-k-no,Complexe hotelier,"Complexe hotelier, Institut de spa et bien-etre",4,,,31 377 737,"Hilton Skanes Monastir Beach Resort, Zone Touristique Dkhila, Monastir 5000","chambre, buffet, catastrophique, italien, animation, toboggans, remercier, superviseur, piscine couverte, employes",https://www.google.com/maps/place/Hilton+Skanes+Monastir+Beach+Resort/data=!4m10!3m9!1s0x13020cc09c631e5d:0x94b845be8275085e!5m2!4m1!1i2!8m2!3d35.7640676!4d10.7325502!16s%2Fg%2F11sb12pw0j!19sChIJXR5jnMAMAhMRXgh1gr5FuJQ?authuser=0&hl=fr&rclk=1
ChIJhyGHdNwMAhMRi_QjFl1fHAs,Hotel Magic life Family Skanes,,False,113,http://skanes.magichotelsandresorts.com/,Hotel Magic life Family Skanes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkYX6j9_2vDsQKb7iPx-9bfcwtNefi1XgCmLwM=w408-h306-k-no,Hotel,"Hotel, Parc aquatique",4.2,,,73 520 350,"QP7X+P37 Hotel Magic life Family Skanes, Monastir","piscine, plage, tennis, animation, tout compris, chambre, service",https://www.google.com/maps/place/Hotel+Magic+life+Family+Skanes/data=!4m10!3m9!1s0x13020cdc74872187:0xb1c5f5d1623f48b!5m2!4m1!1i2!8m2!3d35.7642896!4d10.7476705!16s%2Fg%2F11c1s7t80n!19sChIJhyGHdNwMAhMRi_QjFl1fHAs?authuser=0&hl=fr&rclk=1
ChIJtS9JBrUSAhMRzpx7P0YgYkk,Fleur des Champs,,False,5,,Fleur des Champs (proprietaire),,,Boutique de sante et beaute,Boutique de sante et beaute,4.6,,,22 861 094,"QRCC+M4F Fleur des Champs, Unnamed Road, Monastir",,https://www.google.com/maps/place/Fleur+des+Champs/data=!4m7!3m6!1s0x130212b506492fb5:0x496220463f7b9cce!8m2!3d35.7716875!4d10.820296!16s%2Fg%2F11hbv8z9q3!19sChIJtS9JBrUSAhMRzpx7P0YgYkk?authuser=0&hl=fr&rclk=1
ChIJXZZ983jx_RIRkTgLlpRYKaY,Sidi el Hani East side. Near knais,,False,3,,Sidi el Hani East side. Near knais (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN4kXZtDzngQUWAucTBcStl-kOY2xWHir2aH9TQ=w408-h510-k-no,Reserve naturelle,Reserve naturelle,5,,,,"JFP6+MPW Sidi el Hani East side. Near knais, Unnamed Road, Masakin",,https://www.google.com/maps/place/Sidi+el+Hani+East+side.+Near+knais/data=!4m7!3m6!1s0x12fdf178f37d965d:0xa6295894960b3891!8m2!3d35.6367426!4d10.4618279!16s%2Fg%2F11j37pym75!19sChIJXZZ983jx_RIRkTgLlpRYKaY?authuser=0&hl=fr&rclk=1
ChIJEX_q35SL_RIRwGFMNfCG9Tw,ma douce nature,,False,3,https://madoucenature.tn/,ma douce nature (proprietaire),https://www.google.com/maps/contrib/104028439239444921134,https://lh5.googleusercontent.com/p/AF1QipOjhlQlKu7vk55Qzpqy2wS_3SNlQu3k8Nx4tfis=w408-h408-k-no,Magasin de cosmetiques,Magasin de cosmetiques,5,,,93 945 775,"ma douce nature, Gouvernorat de, Rue Omar Ibn El Khattab, Sousse 4007",,https://www.google.com/maps/place/ma+douce+nature/data=!4m7!3m6!1s0x12fd8b94dfea7f11:0x3cf586f0354c61c0!8m2!3d35.8190768!4d10.6190348!16s%2Fg%2F11rk23wn0m!19sChIJEX_q35SL_RIRwGFMNfCG9Tw?authuser=0&hl=fr&rclk=1
ChIJnXdnKdiJ_RIRZVPzUkx3LqQ,Nature & Harmony,,False,2,https://www.facebook.com/Nature-Harmony-103440578162995/,Nature & Harmony (proprietaire),https://www.google.com/maps/contrib/104423161937498497847,https://lh5.googleusercontent.com/p/AF1QipP15r-J5OAnDnjlGR3Tny1i8Szknqm5SXTDWsJV=w426-h240-k-no,Naturopathe,Naturopathe,5,Ouvert 24h/24,,28 300 551,"Nature & Harmony, Kalaa Kebira 4060",,https://www.google.com/maps/place/Nature+%26+Harmony/data=!4m7!3m6!1s0x12fd89d82967779d:0xa42e774c52f35365!8m2!3d35.8860331!4d10.5354492!16s%2Fg%2F11k2z0c7th!19sChIJnXdnKdiJ_RIRZVPzUkx3LqQ?authuser=0&hl=fr&rclk=1
ChIJHU1Kg-4XAhMRD0u2XULb9-M,LA NATURE,,False,1,,LA NATURE (proprietaire),https://www.google.com/maps/contrib/115062522718002599740,https://lh5.googleusercontent.com/p/AF1QipNLQsiizRge8hbc9z5g_8VqizuZZCCaVV1qGR8=w408-h612-k-no,Fromagerie,Fromagerie,5,08:00-22:00,,53 217 518,"LA NATURE, Tabulbah",,https://www.google.com/maps/place/LA+NATURE/data=!4m7!3m6!1s0x130217ee834a4d1d:0xe3f7db425db64b0f!8m2!3d35.6474641!4d10.9764325!16s%2Fg%2F11jj45smcz!19sChIJHU1Kg-4XAhMRD0u2XULb9-M?authuser=0&hl=fr&rclk=1
ChIJ2xoWKusRAhMRIGpml3yBeHQ,Arvea Nature,,False,1,,Arvea Nature (proprietaire),,,Magasin de cosmetiques,Magasin de cosmetiques,5,,,29 294 294,"MVFM+4HV Arvea Nature, Lamta",,https://www.google.com/maps/place/Arvea+Nature/data=!4m7!3m6!1s0x130211eb2a161adb:0x7478817c97666a20!8m2!3d35.6728555!4d10.8839119!16s%2Fg%2F11p5g3xqz1!19sChIJ2xoWKusRAhMRIGpml3yBeHQ?authuser=0&hl=fr&rclk=1
