place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJbwAC4aCJ_RIR4b1ng5DJTL0,Restaurant Club House Golf Kantaoui,,False,120,,Restaurant Club House Golf Kantaoui (proprietaire),https://www.google.com/maps/contrib/109358727411435385955,https://lh5.googleusercontent.com/p/AF1QipNUuv1JigudG0oHD_r61P11kKjNrOFRP392yobt=w427-h240-k-no,Restaurant,"Restaurant, Bar lounge",4.3,,,95 601 000,"Restaurant Club House Golf Kantaoui, Port, Hammam Sousse 4089","prix, vue, biere",https://www.google.com/maps/place/Restaurant+Club+House+Golf+Kantaoui/data=!4m7!3m6!1s0x12fd89a0e102006f:0xbd4cc9908367bde1!8m2!3d35.8969708!4d10.5868548!16s%2Fg%2F11c1q90xxr!19sChIJbwAC4aCJ_RIR4b1ng5DJTL0?authuser=0&hl=fr&rclk=1
ChIJXQ7xGqeJ_RIRzqf0FmgtIeA,The Container,,False,49,,The Container (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxdo8kyfWBwxjnCPEKM7buj34SUYjMynzxsh0v=w408-h306-k-no,Bar lounge,Bar lounge,4.2,19:00-04:00,,28 804 300,"WH6G+FPP The Container, Hammam Sousse",,https://www.google.com/maps/place/The+Container/data=!4m7!3m6!1s0x12fd89a71af10e5d:0xe0212d6816f4a7ce!8m2!3d35.9112244!4d10.5768349!16s%2Fg%2F11g8vw4rrv!19sChIJXQ7xGqeJ_RIRzqf0FmgtIeA?authuser=0&hl=fr&rclk=1
ChIJi6jtJEuJ_RIRIt1b9wfUnHY,NoMAD,,False,36,http://www.seabelhotels.com/,NoMAD (proprietaire),https://www.google.com/maps/contrib/101680957012708050573,https://lh5.googleusercontent.com/p/AF1QipM3ddxra0X4HA7Sh4UHO9USG1dHs7x531YnHqM=w408-h305-k-no,Bar,"Bar, Bar lounge, Restaurant",4.2,12:00-00:00,,73 246 400,"NoMAD, Seabel Alhambra, 4089, Hammam Sousse 4089",cuisine,https://www.google.com/maps/place/NoMAD/data=!4m7!3m6!1s0x12fd894b24eda88b:0x769cd407f75bdd22!8m2!3d35.9009365!4d10.5872016!16s%2Fg%2F11rc9wqkwx!19sChIJi6jtJEuJ_RIRIt1b9wfUnHY?authuser=0&hl=fr&rclk=1
ChIJJ3Jvo4R1AhMReGuAAwKUzxc,First Lounge,,False,14,,First Lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPH5AmjOnL-GSKlLahojGfhgJzIOjxgfWDKxqQy=w408-h544-k-no,Bar lounge,Bar lounge,4.4,11:00-03:00,,26 200 393,"RJRH+5WG First Lounge, Sousse",,https://www.google.com/maps/place/First+Lounge/data=!4m7!3m6!1s0x13027584a36f7227:0x17cf940203806b78!8m2!3d35.840433!4d10.6298129!16s%2Fg%2F11g6xthlqm!19sChIJJ3Jvo4R1AhMReGuAAwKUzxc?authuser=0&hl=fr&rclk=1
ChIJ55i6rpSJ_RIRX84LAnwqY68,My Way Resto-Lounge,,False,9,https://www.facebook.com/mywayrestolounge,My Way Resto-Lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOaxRbc4_4XTrbijTprN_14E_mv0emPqfa2FUBh=w408-h544-k-no,Bar lounge,Bar lounge,4.3,14:00-05:00,,93 299 200,"VHQW+86M My Way Resto-Lounge, Hotel Houria Palace Port, Sousse",,https://www.google.com/maps/place/My+Way+Resto-Lounge/data=!4m7!3m6!1s0x12fd8994aeba98e7:0xaf632a7c020bce5f!8m2!3d35.8883499!4d10.5955496!16s%2Fg%2F11lwn_339d!19sChIJ55i6rpSJ_RIRX84LAnwqY68?authuser=0&hl=fr&rclk=1
ChIJaSWItdOL_RIROuhvLJsfYGo,Dar Mjoujem,,False,7,https://www.facebook.com/mootaz.braham.7,Dar Mjoujem (proprietaire),https://www.google.com/maps/contrib/106364766944762214459,https://lh5.googleusercontent.com/p/AF1QipMRNU-eXhoNiC-iCWnPait2qKYYsVL2mFuiQxo0=w408-h547-k-no,Discotheque,Discotheque,4.6,Ouvert 24h/24,vendredi,98 757 516,"Dar Mjoujem, Sousse",,https://www.google.com/maps/place/Dar+Mjoujem/data=!4m7!3m6!1s0x12fd8bd3b5882569:0x6a601f9b2c6fe83a!8m2!3d35.8283859!4d10.5959962!16s%2Fg%2F11s42vyv9j!19sChIJaSWItdOL_RIROuhvLJsfYGo?authuser=0&hl=fr&rclk=1
ChIJb4hajqKL_RIRKGBZkWaYims,ARSLEN CLUB,,False,3,,ARSLEN CLUB (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPbXB5G5pNhqAHGkxfnRox-kW4NuRH-RrZOO46o=w497-h240-k-no,Bar,Bar,4.7,16:49-05:00,,25 826 600,"ARSLEN CLUB, 1 Av. 14 Janvier, Sousse",,https://www.google.com/maps/place/ARSLEN+CLUB/data=!4m7!3m6!1s0x12fd8ba28e5a886f:0x6b8a986691596028!8m2!3d35.8535048!4d10.6160862!16s%2Fg%2F11h8ll0r86!19sChIJb4hajqKL_RIRKGBZkWaYims?authuser=0&hl=fr&rclk=1
ChIJU_MqWgWK_RIRmUVYG6r6lwU,Loka Resto Beach,,False,3,,Loka Resto Beach (proprietaire),https://www.google.com/maps/contrib/118055286458070264454,https://lh5.googleusercontent.com/p/AF1QipNVVX0aiJLa-LNGyIrDs2l2jXls5t5GPqg3U8T3=w408-h544-k-no,Bar lounge,Bar lounge,4.3,09:00-23:00,,,"Loka Resto Beach, Sousse",,https://www.google.com/maps/place/Loka+Resto+Beach/data=!4m7!3m6!1s0x12fd8a055a2af353:0x597faaa1b584599!8m2!3d35.8689959!4d10.6092652!16s%2Fg%2F11f03s6jh0!19sChIJU_MqWgWK_RIRmUVYG6r6lwU?authuser=0&hl=fr&rclk=1
ChIJz6_au0KJ_RIRNmaUFFtDr34,Le fouqeut's disco lounge,,False,2,,Le fouqeut's disco lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOoF5f6lM4_uWvkFv9Q99QUVnhr38SZ3PY6Az9k=w615-h240-k-no,Discotheque,Discotheque,5,22:00-07:00,,,"WH2J+WH7 Le fouqeut's disco lounge, Hammam Sousse",,https://www.google.com/maps/place/Le+fouqeut%27s+disco+lounge/data=!4m7!3m6!1s0x12fd8942bbdaafcf:0x7eaf435b14946636!8m2!3d35.9022944!4d10.5814092!16s%2Fg%2F11hmh46kt1!19sChIJz6_au0KJ_RIRNmaUFFtDr34?authuser=0&hl=fr&rclk=1
ChIJbRgK-C11AhMRAZnglY94GCo,Atbet Tarchouna,,False,1,,Atbet Tarchouna (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sQhW2iYTGN_PpcjCCjESrw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=148.31828&pitch=0&thumbfov=100,Discotheque,Discotheque,5,Ouvert 24h/24,,,"RJGP+W8Q Atbet Tarchouna, Sousse",,https://www.google.com/maps/place/Atbet+Tarchouna/data=!4m7!3m6!1s0x1302752df80a186d:0x2a18788f95e09901!8m2!3d35.8273272!4d10.6358602!16s%2Fg%2F11h9p5tc95!19sChIJbRgK-C11AhMRAZnglY94GCo?authuser=0&hl=fr&rclk=1
