place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQUjGCJfK4hIRpphh6eQVfNg,Golf de Carthage,,False,291,,Golf de Carthage (proprietaire),https://www.google.com/maps/contrib/116368898169645637469,https://lh5.googleusercontent.com/p/AF1QipPzrq-uYZOLK0KnDIlNNX2x8NVyqX2B3WxHCr_X=w408-h306-k-no,Parcours de golf,"Parcours de golf, Bar lounge, Restaurant",4.1,08:00-02:00,,99 882 398,"V6HV+82F Golf de Carthage, Rue 13 Aout, Tunis","service, prix",https://www.google.com/maps/place/Golf+de+Carthage/data=!4m7!3m6!1s0x12e2ca9708c64841:0xd87c15e4e96198a6!8m2!3d36.8789477!4d10.2426377!16s%2Fg%2F1224br8c!19sChIJQUjGCJfK4hIRpphh6eQVfNg?authuser=0&hl=fr&rclk=1
ChIJgdht4Z614hIRoRjhu9eX5BU,BSMNT The Club,,False,33,https://basement-theclub.com/,BSMNT The Club (proprietaire),https://www.google.com/maps/contrib/101612273304982936520,https://lh5.googleusercontent.com/p/AF1QipPKPlw2EPI9gs4xpsNuD2__JNhjXF_63fbDYaT-=w408-h303-k-no,Discotheque,"Discotheque, Bar",4.2,20:00-04:00,"lundi, mardi, mercredi",,"W7CQ+5MQ BSMNT The Club, Gammarth",,https://www.google.com/maps/place/BSMNT+The+Club/data=!4m7!3m6!1s0x12e2b59ee16dd881:0x15e497d7bbe118a1!8m2!3d36.9204708!4d10.2894025!16s%2Fg%2F11pkcc70bq!19sChIJgdht4Z614hIRoRjhu9eX5BU?authuser=0&hl=fr&rclk=1
ChIJR7TKJba04hIRaKdqnaUgoH0,Tennis Club de Carthage,,False,31,,Tennis Club de Carthage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMuMgzSqHCl5JWOGxB0Op2FbQk05aF-6x6kkKwA=w408-h306-k-no,Club,"Club, Court de tennis",4.2,,,71 734 129,"V83H+M4J Tennis Club de Carthage, Rue de la Republique, qrTj 2016",,https://www.google.com/maps/place/Tennis+Club+de+Carthage/data=!4m7!3m6!1s0x12e2b4b625cab447:0x7da020a59d6aa768!8m2!3d36.8542223!4d10.3277707!16s%2Fg%2F1tz7r0dr!19sChIJR7TKJba04hIRaKdqnaUgoH0?authuser=0&hl=fr&rclk=1
ChIJoxlhJ8q04hIR0k0eCcIdsgQ,Le Perchoir,,False,25,,Le Perchoir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMTYy8FVYS7CgxLYhXiFkpYOi76K3NDNhiS6bBt=w408-h306-k-no,Bar lounge,Bar lounge,4.3,17:00-00:00,dimanche,31 323 000,"V83G+25H Le Perchoir, Site archeologique de Carthage",prix,https://www.google.com/maps/place/Le+Perchoir/data=!4m7!3m6!1s0x12e2b4ca276119a3:0x4b21dc2091e4dd2!8m2!3d36.8525609!4d10.3254734!16s%2Fg%2F11ggrrpnwr!19sChIJoxlhJ8q04hIR0k0eCcIdsgQ?authuser=0&hl=fr&rclk=1
ChIJ_zmWk7m14hIRIvwDXiffsiY,TSpice,,False,8,,TSpice (proprietaire),,,Bar lounge,Bar lounge,4,,,21 225 156,"TSpice, Zone touristique Gammarth Tunis, 2070",,https://www.google.com/maps/place/TSpice/data=!4m7!3m6!1s0x12e2b5b9939639ff:0x26b2df275e03fc22!8m2!3d36.9217262!4d10.2908078!16s%2Fg%2F11jkns1v20!19sChIJ_zmWk7m14hIRIvwDXiffsiY?authuser=0&hl=fr&rclk=1
ChIJ756OPQC14hIRsfJ7d01RTW0,Lazy Club,,False,7,,Lazy Club (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMzX2vg0ATS1fyK7kJBYKFeUE4TrnigN-IXXkZn=w408-h725-k-no,Discotheque,Discotheque,4,22:00-04:00,"lundi, mardi, mercredi",,"W7GF+56G Lazy Club, Gammarth",,https://www.google.com/maps/place/Lazy+Club/data=!4m7!3m6!1s0x12e2b5003d8e9eef:0x6d4d514d777bf2b1!8m2!3d36.9254413!4d10.2730484!16s%2Fg%2F11y27jv90l!19sChIJ756OPQC14hIRsfJ7d01RTW0?authuser=0&hl=fr&rclk=1
ChIJ2x2abku14hIRIBzlLqUBTgw,A Point Le Bar,,False,5,https://instagram.com/apointbar%3Figshid%3DNzZlODBkYWE4Ng%3D%3D%26utm_source%3Dqr,A Point Le Bar (proprietaire),https://www.google.com/maps/contrib/107165644153933908991,https://lh5.googleusercontent.com/p/AF1QipO9WESN5Yxx2irfEhz4uSr4NMHyUpNhsB3JmJQN=w408-h338-k-no,Bar lounge,Bar lounge,4.8,14:00-00:00,,95 823 432,"A Point Le Bar, Av de la Promenade, Marsa 2078",,https://www.google.com/maps/place/A+Point+Le+Bar/data=!4m7!3m6!1s0x12e2b54b6e9a1ddb:0xc4e01a52ee51c20!8m2!3d36.9063784!4d10.3125508!16s%2Fg%2F11vj941z66!19sChIJ2x2abku14hIRIBzlLqUBTgw?authuser=0&hl=fr&rclk=1
ChIJ7UB1L0G14hIRGrigiCgkhj0,Le QG,,False,1,,Le QG (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BdY_5P_2MeyqY2QhcwXgQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.625923&pitch=0&thumbfov=100,Discotheque,Discotheque,5,,,,"Le QG, 4 Rue El Khawarizmi, La Marsa",,https://www.google.com/maps/place/Le+QG/data=!4m7!3m6!1s0x12e2b5412f7540ed:0x3d86242888a0b81a!8m2!3d36.876868!4d10.3297651!16s%2Fg%2F11s4zhpg5f!19sChIJ7UB1L0G14hIRGrigiCgkhj0?authuser=0&hl=fr&rclk=1
ChIJiwLuEgS14hIRDHk8i4qLfKo,Elyssar - lWy Sr,,False,1,https://www.facebook.com/elyssartunis%3Fmibextid%3DZbWKwL,Elyssar - lWy Sr (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjYE9ZdPcWhJ5yO9e79979rWIHj_QyPayzoVf1=w408-h272-k-no,Discotheque,Discotheque,5,21:00-00:00,"lundi, mardi, dimanche",54 549 994,"W846+JW3 Elyssar - lWy Sr, Marsa",,https://www.google.com/maps/place/Elyssar+-+%D8%A5%D9%84%D9%91%D9%8A+%D8%B5%D8%A7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x12e2b50412ee028b:0xaa7c8b8a8b3c790c!8m2!3d36.9066112!4d10.3121234!16s%2Fg%2F11ttb9gylb!19sChIJiwLuEgS14hIRDHk8i4qLfKo?authuser=0&hl=fr&rclk=1
ChIJC03rXYxL_RIRMOElwOWzY3E,Le manoir,,False,1,,Le manoir (proprietaire),https://www.google.com/maps/contrib/116312600622618228044,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9b-ZBEttH51tro2Any5T2g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.55977&pitch=0&thumbfov=100,Bar lounge,Bar lounge,5,17:00-01:00,dimanche,,"Le manoir, 100 Rte de La Goulette, Gammarth",,https://www.google.com/maps/place/Le+manoir/data=!4m7!3m6!1s0x12fd4b8c5deb4d0b:0x7163b3e5c025e130!8m2!3d36.8389605!4d10.3182491!16s%2Fg%2F11thkwhv8l!19sChIJC03rXYxL_RIRMOElwOWzY3E?authuser=0&hl=fr&rclk=1
